Species_name	References
"""Ajuga reptans L."""	"""Beijerinck (1887); Benneker (1915); Irmisch (1854-1879); Kutschera and Lichtenegger (1992); Rauh (1937); Rysin and Rysina (1987); Serebrjakov (1952); Schubert et al. (1987); Klimešová, pers. obs."""
"""Alcea rosea L."""	"""Schubert et al. (1987)"""
"""Alchemilla alpina L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Alchemilla conjuncta Bab."""	"""Schubert et al. (1987)"""
"""Alchemilla fissa Günther et Schummel"""	"""Schubert et al. (1987)"""
"""Alchemilla glabra Neygenf."""	"""Klimešová, pers. obs."""
"""Alchemilla glacialis Buser"""	"""Klimešová, pers. obs."""
"""Alchemilla glomerulans Buser"""	"""Klimešová, pers. obs."""
"""Alchemilla monticola Opiz"""	"""Kutschera and Lichtenegger (1992); Lukasiewicz (1962); Tikhomirov et al. (1995)"""
"""Alchemilla versipila Buser"""	"""Jäger and Werner (2002)"""
"""Alchemilla vulgaris L."""	"""Schubert et al. (1987)"""
"""Alchemilla wichurae (Buser) Stefánsson"""	"""Klimešová, pers. obs."""
"""Alchemilla xanthochlora Rothm."""	"""Klimešová, pers. obs."""
"""Aldrovanda vesiculosa L."""	"""Adamec (1995); Adamec (1999); Glück (1906); Maldonado San Martín et al. (2003); Schubert et al. (1987); Klimešová, pers. obs."""
"""Alisma gramineum Lej."""	"""Glück and Kirchner (1908); Jäger and Werner (2002)"""
"""Alisma lanceolatum With."""	"""Jäger and Werner (2002); Klimešová, pers. obs."""
"""Alisma plantago-aquatica L."""	""" Glück (1905); Glück and Kirchner (1908); Grime et al. (1988); Irmisch (1850); Jäger and Werner (2002); Klimešová, pers. obs."""
"""Alliaria petiolata (M. Bieb.) Cavara et Grande"""	"""Beijerinck (1887); Dubard (1903); Grime et al. (1988); Jäger and Werner (2002); Rauh (1937); Wydler (1859); Klimešová, pers. obs."""
"""Allium ampeloprasum L."""	"""Graebner et al. (1934)"""
"""Allium angulosum L."""	"""Graebner et al. (1934); Schubert et al. (1987)"""
"""Allium carinatum L."""	"""Graebner et al. (1934); Schubert et al. (1987); Velenovský (1904)"""
"""Allium cepa L."""	"""Graebner et al. (1934); Irmisch (1850); Möbius (1940); Schubert et al. (1987); Troll (1941-1942)"""
"""Allium chamaemoly L."""	"""Graebner et al. (1934)"""
"""Allium ericetorum agg."""	"""Graebner et al. (1934)"""
"""Allium fistulosum L."""	"""Graebner et al. (1934); Irmisch (1850); Lukasiewicz (1962); Schubert et al. (1987)"""
"""Allium flavum L."""	"""Graebner et al. (1934); Kutschera and Lichtenegger (1982); Klimešová, pers. obs."""
"""Allium moly L."""	"""Graebner et al. (1934)"""
"""Allium moschatum L."""	"""Graebner et al. (1934)"""
"""Allium neapolitanum Cirillo"""	"""Graebner et al. (1934)"""
"""Allium nigrum L."""	"""Graebner et al. (1934)"""
"""Allium nutans L."""	"""Lukasiewicz (1962)"""
"""Allium oleraceum L."""	"""Graebner et al. (1934); Irmisch (1850); Schubert et al. (1987)"""
"""Allium paniculatum L."""	"""Graebner et al. (1934)"""
"""Allium paradoxum (M. Bieb.) G. Don"""	"""Graebner et al. (1934); Schubert et al. (1987); Velenovský (1904)"""
"""Allium porrum L."""	"""Irmisch (1850); Schubert et al. (1987)"""
"""Allium roseum L."""	"""Graebner et al. (1934)"""
"""Allium rotundum L."""	"""Graebner et al. (1934); Irmisch (1850); Schubert et al. (1987)"""
"""Allium sativum L."""	"""Graebner et al. (1934); Irmisch (1850); Möbius (1940); Schubert et al. (1987); Troll (1941-1942)"""
"""Allium schoenoprasum L."""	"""Graebner et al. (1934); Schubert et al. (1987); Klimešová, pers. obs."""
"""Allium scorodoprasum L."""	"""Graebner et al. (1934); Irmisch (1850); Möbius (1940); Schubert et al. (1987); Troll (1941-1942); Klimešová, pers. obs."""
"""Allium senescens L."""	"""Schubert et al. (1987)"""
"""Allium sphaerocephalon L."""	"""Graebner et al. (1934); Kutschera and Lichtenegger (1982); Schubert et al. (1987)"""
"""Allium strictum Schrad."""	"""Graebner et al. (1934); Schubert et al. (1987)"""
"""Allium suaveolens Jacq."""	"""Graebner et al. (1934); Schubert et al. (1987)"""
"""Allium subhirsutum L."""	"""Graebner et al. (1934)"""
"""Allium triquetrum L."""	"""Graebner et al. (1934)"""
"""Allium ursinum L."""	"""Graebner et al. (1934); Irmisch (1850); Schubert et al. (1987); Troll (1941-1942); Tutin (1957); Velenovský (1904); Klimešová, pers. obs."""
"""Allium ursinum subsp. ucrainicum Kleopow et Oxner"""	"""Graebner et al. (1934); Irmisch (1850); Schubert et al. (1987); Troll (1941-1942); Tutin (1957); Velenovský (1904); Klimešová, pers. obs."""
"""Allium victorialis L."""	"""Graebner et al. (1934); Schubert et al. (1987)"""
"""Allium vineale L."""	"""Graebner et al. (1934); Irmisch (1850); Kutschera and Lichtenegger (1982); Lazebny (1960); Leakey (1981); Richens (1947); Schubert et al. (1987); Velenovský (1904); Klimešová, pers. obs."""
"""Alnus glutinosa (L.) Gaertn."""	"""Büsgen (1921); McVean (1953)"""
