Species_name	References
"""Cirsium canum (L.) All."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Cirsium dissectum (L.) Hill"""	"""Glück (1911); Schubert et al. (1987)"""
"""Cirsium eriophorum (L.) Scop."""	"""Schubert et al. (1987); Tofts (1999)"""
"""Cirsium erisithales (Jacq.) Scop."""	"""Klimešová, pers. obs."""
"""Cirsium heterophyllum (L.) Hill"""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Cirsium oleraceum (L.) Scop."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Cirsium palustre (L.) Scop."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Cirsium pannonicum (L. f.) Link"""	"""Kutschera and Lichtenegger (1992); Klimešová, pers. obs."""
"""Cirsium rivulare (Jacq.) All."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Cirsium spinosissimum (L.) Scop."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Cirsium tuberosum (L.) All."""	"""Schubert et al. (1987)"""
"""Cirsium vulgare (Savi) Ten."""	"""Klinkhamer and De Jong (1993); Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Cladium mariscus (L.) Pohl"""	"""Conway (1942); Schubert et al. (1987)"""
"""Claytonia perfoliata Donn ex Willd."""	"""Schubert et al. (1987)"""
"""Clematis alpina (L.) Mill."""	"""Klimešová, pers. obs."""
"""Clematis integrifolia L."""	"""Klimešová, pers. obs."""
"""Clematis recta L."""	"""Lukasiewicz (1962); Klimešová, pers. obs."""
"""Clematis vitalba L."""	"""Klimešová, pers. obs."""
"""Clinopodium menthifolium (Host) Stace"""	"""Schubert et al. (1987)"""
"""Clinopodium vulgare L."""	"""Lukasiewicz (1962); Schubert et al. (1987); Klimešová, pers. obs."""
"""Cnidium dubium (Schkuhr) Thell."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Cochlearia anglica L."""	"""Schubert et al. (1987)"""
"""Cochlearia danica L."""	"""Jäger and Werner (2002); Schubert et al. (1987)"""
"""Cochlearia officinalis L."""	"""Schubert et al. (1987)"""
"""Cochlearia pyrenaica DC."""	"""Schubert et al. (1987)"""
"""Coeloglossum viride (L.) Hartm."""	"""Blinova (1998); Schubert et al. (1987); Stojanow (1917); Ziegenspeck (1936); Klimešová, pers. obs."""
"""Coincya monensis subsp. cheiranthos (Vill.) C.Aedo Pérez, Leadlay & Mu?oz Garm."""	"""Schubert et al. (1987)"""
"""Coincya wrightii (O. E. Schulz) Stace"""	"""Compton and Key (2000)"""
"""Colchicum autumnale L."""	"""Butcher (1954); Irmisch (1850); Komendar and Neimet (1980); Kutschera and Lichtenegger (1982); Loew and Kirchner (1934c); Schubert et al. (1987); Velenovský (1904); Klimešová, pers. obs."""
"""Colchicum bulbocodium Ker Gawl."""	"""Graebner and Kirchner (1934a)"""
"""Coleanthus subtilis (Tratt.) Seidl ex Roem. et Schult."""	"""Schubert et al. (1987)"""
"""Collomia grandiflora Douglas ex Lindl."""	"""Schubert et al. (1987)"""
"""Colutea arborescens L."""	"""Christiansen (1938-42)"""
"""Comarum palustre L."""	"""Hegi et al. (1923); Klimešová, pers. obs."""
"""Conium maculatum L."""	"""Schubert et al. (1987)"""
"""Conopodium majus (Gouan) Loret"""	"""Schubert et al. (1987)"""
"""Conringia orientalis (L.) C. Presl"""	"""Schubert et al. (1987)"""
"""Consolida ajacis (L.) Schur"""	"""Schubert et al. (1987)"""
"""Consolida regalis Gray"""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Convallaria majalis L."""	"""Bernátsky and Kirchner (1934); Irmisch (1850); Lukasiewicz (1962); Möbius (1940); Serebrjakov (1952); Schubert et al. (1987); Klimešová, pers. obs."""
"""Convolvulus arvensis L."""	"""Beijerinck (1887); Frazier (1943); Grime et al. (1988); Korsmo (1930); Kutschera (1960); Lukasiewicz (1962); Rauh (1937); Schubert et al. (1987); Weaver and Walker (1982); Wehsarg (1954); Klimešová, pers. obs."""
"""Conyza canadensis (L.) Cronquist"""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Corallorhiza trifida Châtel."""	"""Schubert et al. (1987); Ziegenspeck (1936)"""
"""Coriandrum sativum L."""	"""Schubert et al. (1987)"""
"""Corispermum marschallii Steven"""	"""Schubert et al. (1987)"""
"""Corispermum pallasii Steven"""	"""Schubert et al. (1987)"""
"""Cornus mas L."""	"""Klimešová, pers. obs."""
"""Cornus sanguinea L."""	"""Beijerinck (1887); Jäger and Werner (2002)"""
"""Cornus sericea L."""	"""Beijerinck (1887); Jäger and Werner (2002)"""
"""Cornus suecica L."""	"""Hegi and Beger (1926); Schubert et al. (1987); Taylor (1999b); Klimešová, pers. obs."""
"""Coronilla coronata L."""	"""Christiansen (1938-42); Schubert et al. (1987)"""
"""Coronilla minima L."""	"""Christiansen (1938-42)"""
"""Coronilla vaginalis Lam."""	"""Christiansen (1938-42); Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Corrigiola littoralis L."""	"""Coker (1962); Schubert et al. (1987)"""
"""Cortusa matthioli L."""	"""Petruk and Blalandin (1995); Schubert et al. (1987); Klimešová, pers. obs."""
"""Corydalis cava (L.) Schweigg. et Körte"""	"""Lukasiewicz (1962); Schubert et al. (1987); Tumidajowicz and Dawidowicz (1986); Velenovský (1904); Klimešová, pers. obs."""
"""Corydalis intermedia (L.) Mérat"""	"""Schubert et al. (1987); Velenovský (1904)"""
"""Corydalis pumila (Host) Rchb."""	"""Schubert et al. (1987)"""
"""Corydalis solida (L.) Clairv."""	"""Rysin and Rysina (1987); Schubert et al. (1987); Velenovský (1904); Klimešová, pers. obs."""
"""Corylus avellana L."""	"""Aksenova and Vakhrameeva (1975); Büsgen (1921); Kiermeier (1983)"""
"""Corynephorus canescens (L.) P. Beauv."""	"""Kutschera and Lichtenegger (1982); Schubert et al. (1987); Klimešová, pers. obs."""
"""Cota austriaca (Jacq.) Sch. Bip."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Cota tinctoria (L.) J. Gay"""	"""Schubert et al. (1987)"""
"""Cotoneaster integerrimus Medik."""	"""Beijerinck 1887, Rauh 1937 """
"""Cotula coronopifolia L."""	"""Schubert et al. (1987)"""
"""Crambe maritima L."""	"""Beijerinck (1887); Jäger and Werner (2002); Lukasiewicz (1962)"""
"""Crassula tillaea Lest.-Garl."""	"""Schubert et al. (1987)"""
"""Crataegus laevigata (Poir.) DC."""	"""Klimešová, pers. obs."""
"""Crataegus monogyna Jacq."""	"""Jäger and Werner 2002"""
"""Crepis alpestris (Jacq.) Tausch"""	"""Schubert et al. (1987)"""
"""Crepis aurea (L.) Cass."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Crepis biennis L."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Crepis capillaris (L.) Wallr."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Crepis conyzifolia (Gouan) A. Kern."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Crepis foetida L."""	"""Schubert et al. (1987)"""
"""Crepis jacquinii subsp. kerneri (Rech. f.) Merxm."""	"""Schubert et al. (1987)"""
"""Crepis mollis (Jacq.) Asch."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Crepis nicaeensis Balb."""	"""Schubert et al. (1987)"""
"""Crepis paludosa (L.) Moench"""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Crepis pontana (L.) Dalla Torre"""	"""Schubert et al. (1987)"""
"""Crepis praemorsa (L.) Walther"""	"""Schubert et al. (1987)"""
"""Crepis pulchra L. subsp. pulchra"""	"""Schubert et al. (1987)"""
"""Crepis pyrenaica (L.) Greuter"""	"""Schubert et al. (1987)"""
"""Crepis setosa Haller f."""	"""Schubert et al. (1987)"""
"""Crepis tectorum L."""	"""Schubert et al. (1987)"""
"""Crepis terglouensis (Hacq.) A. Kern."""	"""Schubert et al. (1987)"""
"""Crepis vesicaria subsp. taraxacifolia (Thuill.) Thell."""	"""Schubert et al. (1987)"""
"""Crocus albiflorus Kit. ex Schult."""	"""Buxbaum (1934b); Irmisch (1854-1879); Troll (1941-1942); Velenovský (1904)"""
"""Crocus banaticus J.Gay"""	"""Komendar and Neimet (1980)"""
"""Crocus chrysanthus (Herb.) Herb."""	"""Schubert et al. (1987)"""
"""Crocus reticulatus Steven ex Adam"""	"""Buxbaum (1934b)"""
"""Crocus sativus L."""	"""Buxbaum (1934b)"""
"""Crocus vernus (L.) Hill"""	"""Buxbaum (1934b); Irmisch (1854-1879); Troll (1941-1942); Velenovský (1904)"""
"""Cruciata laevipes Opiz"""	"""Grime et al. (1988); Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Cruciata verna (Scop.) Gutermann & Ehrend."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Crypsis aculeata (L.) Aiton"""	"""Kutschera and Lichtenegger (1982)"""
"""Cryptogramma crispa (L.) R. Br. ex Hook."""	"""Schubert et al. (1987)"""
"""Cucumis sativus L."""	"""Schubert et al. (1987)"""
"""Cucurbita pepo L."""	"""Schubert et al. (1987)"""
"""Cuscuta campestris Yunck."""	"""Schubert et al. (1987)"""
"""Cuscuta epilinum Weihe"""	"""Schubert et al. (1987)"""
"""Cuscuta epithymum (L.) L."""	"""Schubert et al. (1987)"""
"""Cuscuta europaea L."""	"""Schubert et al. (1987); Verdcourt (1948); Klimešová, pers. obs."""
"""Cuscuta gronovii Schult."""	"""Schubert et al. (1987)"""
"""Cuscuta lupuliformis Krock."""	"""Schubert et al. (1987)"""
"""Cuscuta monogyna Vahl"""	"""Schubert et al. (1987)"""
"""Cuscuta suaveolens Ser."""	"""Schubert et al. (1987)"""
"""Cyclamen purpurascens Mill."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Cymbalaria muralis G. Gaertn. et al."""	"""Rauh (1937); Schubert et al. (1987)"""
"""Cymodocea nodosa (Ucria) Asch."""	"""Caye and Meinesz (1985)"""
"""Cynodon dactylon (L.) Pers."""	"""Kutschera and Lichtenegger (1982); Schubert et al. (1987); Klimešová, pers. obs."""
"""Cynoglossum germanicum Jacq."""	"""Schubert et al. (1987)"""
"""Cynoglossum officinale L."""	"""de Jong et al. (1990); Schubert et al. (1987)"""
"""Cynosurus cristatus L."""	"""Kutschera and Lichtenegger (1982); Lodge (1959); Schubert et al. (1987); Schubert et al. (1987)"""
"""Cynosurus echinatus L."""	"""Schubert et al. (1987)"""
"""Cyperus esculentus L."""	"""Lapham and Drennan (1987); Li et al. (2001); Mulligan and Junkins (1976)"""
"""Cyperus flavescens L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Cyperus fuscus L."""	"""Schubert et al. (1987)"""
"""Cyperus longus L. s.l."""	"""Schubert et al. (1987)"""
"""Cyperus longus subsp. badius (Desf.) Bonnier & Layens"""	"""Schubert et al. (1987)"""
"""Cyperus michelianus (L.) Delile"""	"""Schubert et al. (1987)"""
"""Cyperus rotundus L."""	"""Leakey (1981)"""
"""Cypripedium calceolus L."""	"""Brzosko (2002); Irmisch (1850); Kéry and Gregg (2004); Kull (1999); Kull and Paaver (1997); Lukasiewicz (1962); Schubert et al. (1987); Ziegenspeck (1936)"""
"""Cystopteris fragilis (L.) Bernh."""	"""Grime et al. (1988); Schubert et al. (1987); Klimešová, pers. obs."""
"""Cystopteris montana (Lam.) Desv."""	"""Schubert et al. (1987)"""
"""Cystopteris sudetica A. Braun et Milde"""	"""Schubert et al. (1987)"""
"""Cytisus nigricans L."""	"""Schubert et al. (1987)"""
"""Cytisus purpureus Scop."""	"""Beijerinck (1887)"""
"""Cytisus scoparius (L.) Link"""	"""Schubert et al. (1987)"""
"""Daboecia cantabrica (Huds.) K. Koch"""	"""Woodell (1958)"""
"""Dactylis glomerata L."""	"""Beddows (1959); Grime et al. (1988); Kutschera and Lichtenegger (1982); Lukasiewicz (1962); Mühlberg (1967); Schubert et al. (1987); Klimešová, pers. obs."""
"""Dactylis polygama Horv."""	"""Schubert et al. (1987)"""
"""Dactylorhiza fuchsii (Druce) Soó"""	"""Blinova (1998); Irmisch (1850); Schubert et al. (1987); Ziegenspeck (1936)"""
"""Dactylorhiza incarnata (L.) Soó"""	"""Schubert et al. (1987); Ziegenspeck (1936)"""
"""Dactylorhiza maculata agg. """	"""Blinova (1998); Irmisch (1850); Schubert et al. (1987); Ziegenspeck (1936)"""
"""Dactylorhiza majalis (Rchb.) P. F. Hunt et Summerh."""	"""Irmisch (1850); Kutschera and Lichtenegger (1982); Schubert et al. (1987); Stojanow (1917); Ziegenspeck (1936)"""
"""Dactylorhiza sambucina (L.) Soó"""	"""Schubert et al. (1987); Ziegenspeck (1936)"""
"""Dactylorhiza traunsteineri (Saut. ex Rchb.) Soó"""	"""Schubert et al. (1987)"""
"""Danthonia alpina Vest"""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Danthonia decumbens (L.) DC."""	"""Kutschera and Lichtenegger (1982); Schubert et al. (1987)"""
"""Daphne cneorum L."""	"""Vasilchenko (1981)"""
"""Daphne mezereum L."""	"""Klimešová, pers. obs."""
"""Dasiphora fruticosa (L.) Rydb."""	"""Elkington and Woodell (1963)"""
"""Datura stramonium L."""	"""Schubert et al. (1987)"""
"""Daucus carota L."""	"""Beijerinck (1887); Jäger and Werner (2002); Kutschera and Lichtenegger (1982); Kutschera and Lichtenegger (1992); Klimešová, pers. obs."""
"""Delphinium elatum L."""	"""Lukasiewicz (1962); Schubert et al. (1987)"""
"""Dentaria bulbifera L."""	"""Gustafsson et al. (2002); Irmisch (1850); Schubert et al. (1987); Klimešová, pers. obs."""
"""Dentaria enneaphyllos L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Dentaria glandulosa Waldst. et Kit. ex Willd."""	"""Lukasiewicz (1962)"""
"""Dentaria heptaphylla Vill."""	"""Schubert et al. (1987)"""
"""Dentaria pentaphyllos L."""	"""Schubert et al. (1987)"""
"""Deschampsia cespitosa (L.) P. Beauv."""	"""Davy (1980); Davy (1982); Gatsuk et al. (1980); Grime et al. (1988); Kutschera and Lichtenegger (1982); Mühlberg (1967); Schubert et al. (1987); Klimešová, pers. obs."""
"""Deschampsia media (Gouan) Roem. & Schult."""	"""Schubert et al. (1987)"""
"""Deschampsia setacea (Huds.) Hack."""	"""Schubert et al. (1987)"""
"""Descurainia sophia (L.) Prantl"""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Dianthus arenarius L."""	"""Schubert et al. (1987)"""
"""Dianthus armeria L."""	"""Schubert et al. (1987)"""
"""Dianthus barbatus L."""	"""Schubert et al. (1987)"""
"""Dianthus carthusianorum L."""	"""Kutschera and Lichtenegger (1992); Lepš (2004); Lukasiewicz (1962); Schubert et al. (1987); Klimešová, pers. obs."""
"""Dianthus deltoides L."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Dianthus gratianopolitanus Vill."""	"""Lukasiewicz (1962); Schubert et al. (1987)"""
"""Dianthus plumarius L."""	"""Schubert et al. (1987)"""
"""Dianthus superbus L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Dianthus superbus subsp. alpestris (Kablík. ex R. Uechtr.) Èelak."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Dianthus sylvaticus Willd."""	"""Schubert et al. (1987)"""
"""Dianthus sylvestris Wulfen"""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Diapensia lapponica L."""	"""Rauh (1939)"""
"""Dictamnus albus L."""	"""Jäger et al. (1997); Lukasiewicz (1962); Schubert et al. (1987); Klimešová, pers. obs."""
"""Digitalis grandiflora Mill."""	"""Jäger and Werner (2002); Lukasiewicz (1962); Klimešová, pers. obs."""
"""Digitalis lutea L."""	"""Schubert et al. (1987)"""
"""Digitalis purpurea L."""	"""Schubert et al. (1987)"""
"""Digitaria ischaemum (Schreb.) Muhl."""	"""Schubert et al. (1987)"""
"""Digitaria sanguinalis (L.) Scop."""	"""Schubert et al. (1987)"""
"""Dioscorea communis (L.) Caddick & Wilkin"""	"""Beijerinck (1887); Brenner (1934); Burkill (1945); Jäger and Werner (2002)"""
"""Diphasiastrum alpinum (L.) Holub"""	"""Schubert et al. (1987)"""
"""Diphasiastrum complanatum (L.) Holub"""	"""Headley et al. (1988); Schubert et al. (1987)"""
"""Diplotaxis muralis (L.) DC."""	"""Jäger and Werner (2002); Rauh (1937); Schubert et al. (1987)"""
"""Diplotaxis tenuifolia (L.) DC."""	"""Schubert et al. (1987)"""
"""Diplotaxis viminea (L.) DC."""	"""Schubert et al. (1987)"""
"""Dipsacus fullonum L."""	"""Schubert et al. (1987); Werner (1975)"""
"""Dipsacus laciniatus L."""	"""Schubert et al. (1987)"""
"""Dipsacus pilosus L."""	"""Schubert et al. (1987)"""
"""Dipsacus sativus (L.) Honck."""	"""Schubert et al. (1987)"""
"""Doronicum austriacum Jacq."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Doronicum clusii (All.) Tausch"""	"""Hartmann (1957)"""
"""Doronicum columnae Ten."""	"""Schubert et al. (1987)"""
"""Doronicum glaciale (Wulfen) Nyman"""	"""Schubert et al. (1987)"""
"""Doronicum grandiflorum Lam."""	"""Hartmann (1957); Hess (1909); Schubert et al. (1987); Klimešová, pers. obs."""
"""Doronicum pardalianches L."""	"""Schmidt (1986); Schubert et al. (1987)"""
"""Dorycnium germanicum (Gremli) Rikli"""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Dorycnium herbaceum Vill."""	"""Schubert et al. (1987)"""
"""Dorycnium hirsutum (L.) Ser."""	"""Schubert et al. (1987)"""
"""Dorycnium pentaphyllum Scop."""	"""Christiansen (1938-42); Klimešová, pers. obs."""
"""Draba aizoides L."""	"""Kay and Harrison (1970); Rauh (1939); Schubert et al. (1987); Klimešová, pers. obs."""
"""Draba dubia Suter"""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Draba fladnizensis Wulfen"""	"""Schubert et al. (1987)"""
"""Draba hoppeana Rchb."""	"""Klimešová, pers. obs."""
"""Draba muralis L."""	"""Ratcliffe (1960); Schubert et al. (1987)"""
"""Draba sauteri Hoppe"""	"""Schubert et al. (1987)"""
"""Draba siliquosa M. Bieb."""	"""Klimešová, pers. obs."""
"""Draba tomentosa Clairv."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Dracocephalum ruyschiana L."""	"""Lukasiewicz (1962); Schubert et al. (1987)"""
"""Drosera anglica Huds."""	"""Crowder et al. (1990); Jäger and Werner (2002); Weber (1995a)"""
"""Drosera intermedia Hayne"""	"""Crowder et al. (1990); Jäger and Werner (2002); Weber (1995a)"""
"""Drosera rotundifolia L."""	"""Crowder et al. (1990); Jäger and Werner (2002); Weber (1995a)"""
"""Dryas octopetala L."""	"""Elkington and Woodell (1963); Hess (1909); Klimešová, pers. obs."""
"""Drymocallis rupestris (L.) Soják"""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Wilson et al. (1995)"""
"""Dryopteris affinis s. lat. """	"""Schubert et al. (1987)"""
"""Dryopteris carthusiana (Vill.) H. P. Fuchs"""	"""Schubert et al. (1987)"""
"""Dryopteris cristata (L.) A. Gray"""	"""Schubert et al. (1987)"""
"""Dryopteris dilatata (Hoffm.) A. Gray"""	"""Grime et al. (1988); Schubert et al. (1987)"""
"""Dryopteris filix-mas (L.) Schott"""	"""Grime et al. (1988); Schubert et al. (1987)"""
"""Dryopteris villarii (Bellardi) Schinz & Thell."""	"""Gilbert (1970); Schubert et al. (1987)"""
"""Dysphania ambrosioides (L.) Mosyakin et Clemants"""	"""Schubert et al. (1987)"""
"""Dysphania botrys (L.) Mosyakin et Clemants"""	"""Schubert et al. (1987)"""
"""Dysphania pumilio (R. Br.) Mosyakin et Clemants"""	"""Schubert et al. (1987)"""
"""Echinochloa crus-galli (L.) P. Beauv."""	"""Schubert et al. (1987); Serebriakova (1972)"""
"""Echinocystis lobata (Michx.) Torr. et A. Gray"""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Echinops sphaerocephalus L."""	"""Jäger and Werner (2002); Schubert et al. (1987)"""
"""Echium vulgare L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Egeria densa Planch."""	"""Jäger and Werner (2002)"""
"""Elaeagnus commutata Bernh. ex Rydb."""	"""Schubert et al. (1987)"""
"""Elatine alsinastrum L."""	"""Glück (1911); Schubert et al. (1987)"""
"""Elatine hexandra (Lappierre) DC."""	"""Schubert et al. (1987)"""
"""Elatine hydropiper L."""	"""Schubert et al. (1987)"""
"""Elatine triandra Schkuhr"""	"""Schubert et al. (1987)"""
"""Eleocharis acicularis (L.) Roem. et Schult."""	"""Schubert et al. (1987)"""
"""Eleocharis mamillata (H. Lindb.) H. Lindb."""	"""Kutschera and Lichtenegger (1982); Schubert et al. (1987)"""
"""Eleocharis multicaulis (Sm.) Desv."""	"""Glück (1911)"""
"""Eleocharis ovata (Roth) Roem. et Schult."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Eleocharis palustris agg. """	"""Glück and Kirchner (1908); Grime et al. (1988); Schubert et al. (1987); Walters (1949a)"""
"""Eleocharis parvula (Roem. & Schult.) Link ex Bluff, Nees & Schauer"""	"""Glück (1911); Schubert et al. (1987)"""
"""Eleocharis quinqueflora (Hartmann) O. Schwarz"""	"""Schubert et al. (1987)"""
"""Eleocharis uniglumis (Link) Schult."""	"""Schubert et al. (1987); Walters (1949b)"""
"""Elodea canadensis Michx."""	"""Barrat-Segretain et al. (1998); Bartley and Spence (1987); Glück (1906); Graebner and Kirchner (1908); Grime et al. (1988); Jäger and Werner (2002); Spicer and Catling (1988); Klimešová, pers. obs."""
"""Elodea nuttallii (Planch.) H. St. John"""	"""Jäger and Werner (2002); Kunii (1982)"""
"""Elsholtzia ciliata (Thunb.) Hyl."""	"""Schubert et al. (1987)"""
"""Elymus caninus (L.) L."""	"""Schubert et al. (1987); Tripathi and Harper (1973)"""
"""Elymus hispidus (Opiz) Melderis"""	"""Kutschera and Lichtenegger (1982); Schubert et al. (1987); Klimešová, pers. obs."""
"""Elymus junceiformis (Á. Löve & D. Löve) Hand & Buttler"""	"""Harris and Davy (1986); Schubert et al. (1987)"""
"""Elymus repens (L.) Gould"""	"""Grime et al. (1988); Kutschera (1960); Leakey (1981); Möbius (1940); Mühlberg (1967); Palmer and Sagar (1963); Serebrjakov (1952); Schubert et al. (1987); Tripathi and Harper (1973)"""
"""Empetrum hermaphroditum Hagerup"""	"""Schubert et al. (1987)"""
"""Empetrum nigrum L."""	"""Antonova (1981); Bell and Tallis (1973); Grevillius and Kirchner (1925a); Grime et al. (1988); Schubert et al. (1987); Klimešová, pers. obs."""
"""Epilobium adenocaulon Hausskn."""	"""Grime et al. (1988); Jäger and Werner (2002); Whitehead and Myerscough (1966)"""
"""Epilobium alpestre (Jacq.) Krocker"""	"""Jäger and Werner (2002); Klimešová, pers. obs."""
"""Epilobium alsinifolium Vill."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Epilobium anagallidifolium Lam."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Epilobium angustifolium L."""	"""Beijerinck (1887); Broderick (1990); Grime et al. (1988); Husband and Schemske (2000); Jäger and Werner (2002); Korsmo (1930); Myerscough (1980); Rauh (1937); Rysin and Rysina (1987); Schubert et al. (1987); Stöcklin (1992); Wehsarg (1954); Whitehead and Myerscough (1966); Zabelkin and Ulanova (1995); Klimešová, pers. obs."""
"""Epilobium collinum C. C. Gmel."""	"""Jäger and Werner (2002)"""
"""Epilobium dodonaei Vill."""	"""Lichtenegger et al. (1997); Schubert et al. (1987); Stöcklin (1992); Stöcklin (1999)"""
"""Epilobium fleischeri Hochst."""	"""Stöcklin (1990); Stöcklin (1992); Stöcklin (1999); Stöcklin and Bäumler (1996)"""
"""Epilobium hirsutum L."""	"""Grime et al. (1988); Shamsi and Whitehead (1974); Schubert et al. (1987); Klimešová, pers. obs."""
"""Epilobium montanum L."""	"""Grime et al. (1988); Jäger and Werner (2002); Whitehead and Myerscough (1966); Klimešová, pers. obs."""
"""Epilobium nerterioides A. Cunn."""	"""Davey (1962)"""
"""Epilobium nutans F. W. Schmidt"""	"""Schubert et al. (1987)"""
"""Epilobium obscurum Schreb."""	"""Grime et al. (1988); Jäger and Werner (2002)"""
"""Epilobium palustre L."""	"""Grime et al. (1988); Schubert et al. (1987); Troll (1941-1942); Klimešová, pers. obs."""
"""Epilobium parviflorum Schreb."""	"""Grime et al. (1988); Schubert et al. (1987)"""
"""Epilobium roseum Schreb."""	"""Jäger and Werner (2002); Lukasiewicz (1962)"""
"""Epilobium tetragonum L."""	"""Schubert et al. (1987)"""
"""Epimedium alpinum L."""	"""Schubert et al. (1987)"""
"""Epipactis atrorubens (Hoffm.) Besser"""	"""Schubert et al. (1987); Ziegenspeck (1936)"""
"""Epipactis helleborine (L.) Crantz"""	"""Schubert et al. (1987); Ziegenspeck (1936); Klimešová, pers. obs."""
"""Epipactis leptochila (Godfery) Godfery"""	"""Schubert et al. (1987)"""
"""Epipactis microphylla (Ehrh.) Sw."""	"""Schubert et al. (1987); Ziegenspeck (1936)"""
"""Epipactis muelleri Godfery"""	"""Schubert et al. (1987)"""
"""Epipactis palustris (L.) Crantz"""	"""Schubert et al. (1987)"""
"""Epipactis purpurata Sm."""	"""Schubert et al. (1987); Ziegenspeck (1936)"""
"""Epipogium aphyllum Sw."""	"""Schubert et al. (1987)"""
"""Equisetum arvense L."""	"""Cody and Wagner (1980); Grime et al. (1988); Möbius (1940); Schubert et al. (1987); Troll (1941-1942); Williams (1979); Klimešová, pers. obs."""
"""Equisetum fluviatile L."""	"""Bogachev and Filin (1990); Grime et al. (1988); Schubert et al. (1987)"""
"""Equisetum hyemale L."""	"""Filin (1990); Schubert et al. (1987)"""
"""Equisetum palustre L."""	"""Grime et al. (1988); Kutschera and Lichtenegger (1992); Möbius (1940); Schubert et al. (1987); Troll (1941-1942)"""
"""Equisetum pratense Ehrh."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Equisetum ramosissimum Desf."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Equisetum sylvaticum L."""	"""Möbius (1940); Schubert et al. (1987); Velenovský (1904)"""
"""Equisetum telmateia Ehrh."""	"""Möbius (1940); Schubert et al. (1987); Troll (1941-1942)"""
"""Equisetum variegatum Schleich."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Eragrostis cilianensis (All.) Janch."""	"""Schubert et al. (1987)"""
"""Eragrostis minor Host"""	"""Schubert et al. (1987)"""
"""Eragrostis pilosa (L.) P. Beauv."""	"""Schubert et al. (1987)"""
"""Eranthis hyemalis (L.) Salisb."""	"""Möbius (1940); Schubert et al. (1987); Troll (1941-1942)"""
"""Erica arborea L."""	"""Grevillius and Kirchner (1923)"""
"""Erica carnea L."""	"""Grevillius and Kirchner (1923); Schubert et al. (1987)"""
"""Erica ciliaris L."""	"""Rose et al. (1996)"""
"""Erica cinerea L."""	"""Grevillius and Kirchner (1923); Grime et al. (1988); Schubert et al. (1987)"""
"""Erica mackaiana Bab."""	"""Webb (1955)"""
"""Erica manipuliflora Salisb."""	"""Grevillius and Kirchner (1923)"""
"""Erica tetralix L."""	"""Grevillius and Kirchner (1923); Schubert et al. (1987)"""
"""Erigeron acris L."""	"""Jäger and Werner (2002); Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Erigeron alpinus L."""	"""Schubert et al. (1987)"""
