"accepted_taxa","original_taxa_BIEN","Flower.color_BIEN","Leaf.area_mm2_BIEN","SLA_m2.kg-1_BIEN","Leaf.carbon.to.nitrogen.content_mg.g-1_BIEN","Leaf.dry.mass.content_mg.g-1_BIEN","Leaf.nitrogen.content_mg.g-1_BIEN","Flowering_begin.month_BIEN","Seed.mass_mg_BIEN","Plant.height_m_BIEN"
"Agrostis stolonifera var. stolonifera","Agrostis stolonifera","Purple",281.306553846154,30.880967425,NA,293.683721661538,NA,"6",0.0545506666666667,0.27823525
"Ailanthus altissima","Ailanthus altissima","Green",3271.70189189189,32.293361025641,NA,NA,NA,"10_7",27.32875,13.9527002695418
"Aira armoricana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aira caryophyllea","Aira caryophyllea","",20.25402,31.930372970397,11.7156649166667,279.666666666667,38.4588958333333,"6",0.1301545,0.206
"Aira cupaniana","Aira cupaniana","",NA,NA,NA,NA,NA,"",0.043,NA
"Aira multiculmis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ajuga chamaepitys","Ajuga chamaepitys","",70.5,22.442,NA,162.92,NA,"5",NA,0.096875
"Ajuga genevensis","Ajuga genevensis","",368.5,25.99,NA,145.94,NA,"4",NA,0.185
"Ajuga iva","Ajuga iva","",NA,NA,NA,NA,NA,"",1.4,NA
"Ajuga reptans","Ajuga reptans","Blue",556,33.30081319,NA,202.85282885,NA,"4_5",1.47,0.152125
"Alcea rosea","Alcea rosea","",8249,14.292,NA,202.432,NA,"6",9.5,1.55
"Alchemilla","Alchemilla acutiloba_Alchemilla monticola_Alchemilla reniformis_Alchemilla xanthochlora","",4977.75,18.7345555555556,NA,224.624857142857,NA,"5",0.37,0.431333333333333
"Alchemilla acutiloba","Alchemilla acutiloba","",NA,NA,NA,NA,NA,"",0.37,0.65
"Alchemilla monticola","Alchemilla monticola","",2594.75,17.528,NA,235.944,NA,"5",NA,0.229
"Alchemilla reniformis","Alchemilla reniformis","",NA,NA,NA,NA,NA,"5",NA,NA
"Alchemilla xanthochlora","Alchemilla xanthochlora","",7360.75,19.9411111111111,NA,213.305714285714,NA,"5",NA,0.415
"Alisma lanceolatum","Alisma lanceolatum","",1774.8,29.3471503151724,NA,117.2312,NA,"6",NA,0.275
"Alisma plantago-aquatica","Alisma plantago-aquatica","White",11979.4166666667,29.6763636363636,NA,129.893333333333,NA,"7",0.476266666666667,0.49375
"Alkanna matthioli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alkekengi officinarum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alliaria","Alliaria petiolata","",7514,47.0135,NA,161.333333333333,NA,"4",2.70525,0.561111111111111
"Alliaria petiolata","Alliaria petiolata","",7514,47.0135,NA,161.333333333333,NA,"4",2.70525,0.561111111111111
"Allium","Allium ampeloprasum_Allium cepa_Allium nigrum_Allium oleraceum_Allium paniculatum_Allium porrum_Allium rotundum_Allium sativum_Allium scorodoprasum_Allium sphaerocephalon_Allium triquetrum_Allium ursinum_Allium vineale","",2337.35933333333,17.024,NA,156.975866666667,NA,"5_6_7",4.36346560846561,0.33046875
"Allium ampeloprasum","Allium ampeloprasum","",NA,NA,NA,NA,NA,"6",2.7,NA
"Allium cepa","Allium cepa","",NA,NA,NA,NA,NA,"6",3.595,0.5
"Allium cyrilli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium neapolitanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium nigrum","Allium nigrum","",NA,NA,NA,NA,NA,"5",NA,NA
"Allium oleraceum","Allium oleraceum","",1224,11.8,NA,150,NA,"7",NA,0.225
"Allium pallens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium paniculatum","Allium paniculatum","",NA,NA,NA,NA,NA,"",1.4,NA
"Allium polyanthum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium porrum","Allium porrum","",NA,NA,NA,NA,NA,"",3.44,0.325
"Allium roseum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium rotundum","Allium rotundum","",NA,NA,NA,NA,NA,"6",1.1935,NA
