"original_taxa","accepted_wfo","wfo_taxonID","wfo_rank","wfo_authorship","wfo_family","wfo_genus","wfo_status","wfo_match"
"Chaenorhinum minus","Chaenorhinum minus","wfo-0000598753","species","(L.) Lange","Plantaginaceae","Chaenorhinum","Accepted","MATCH"
"Chaenorhinum origanifolium","Chaenorhinum origanifolium","wfo-0001139066","species","(L.) Kostel.","Plantaginaceae","Chaenorhinum","Accepted","MATCH"
"Chaenorhinum rubrifolium","Chaenorhinum rubrifolium","wfo-0000598781","species","(Robert & Castagne ex DC.) Fourr.","Plantaginaceae","Chaenorhinum","Accepted","MATCH"
"Chaenorrhinum minus","Chaenorhinum minus","wfo-0000598753","species","(L.) Lange","Plantaginaceae","Chaenorhinum","Accepted","FUZZY"
"Chaenorrhinum minus minus","Chaenorhinum minus","wfo-0000598753","species","(L.) Lange","Plantaginaceae","Chaenorhinum","Accepted","FUZZY"
"Chaerophyllum","Chaerophyllum","wfo-4000007487","genus","L.","Apiaceae","Chaerophyllum","Accepted","MATCH"
"Chaerophyllum aureum","Chaerophyllum aureum","wfo-0000598944","species","L.","Apiaceae","Chaerophyllum","Accepted","MATCH"
"Chaerophyllum bulbosum","Chaerophyllum bulbosum","wfo-0000598957","species","L.","Apiaceae","Chaerophyllum","Accepted","MATCH"
"Chaerophyllum hirsutum","Chaerophyllum hirsutum","wfo-0000599013","species","L.","Apiaceae","Chaerophyllum","Accepted","MATCH"
"Chaerophyllum temulum","Chaerophyllum temulum","wfo-0000599113","species","L.","Apiaceae","Chaerophyllum","Accepted","MATCH"
"Chamaemelum","Chamaemelum","wfo-4000007610","genus","Mill.","Asteraceae","Chamaemelum","Accepted","MATCH"
"Chamaemelum nobile","Chamaemelum nobile","wfo-0000005006","species","L.","Asteraceae","Chamaemelum","Accepted","MATCH"
"Chamaenerion angustifolium","Epilobium angustifolium","wfo-0000668750","species","L.","Onagraceae","Epilobium","Accepted","MATCH"
"Chamerion angustifolium","Epilobium angustifolium","wfo-0000668750","species","L.","Onagraceae","Epilobium","Accepted","MATCH"
"Chamomilla recutita","Chamomilla recutita","wfo-0000010283","species","(L.) Rauschert","Asteraceae","Chamomilla","Unchecked","MATCH"
"Chelidonium","Chelidonium","wfo-4000007794","genus","L.","Papaveraceae","Chelidonium","Accepted","MATCH"
"Chelidonium majus","Chelidonium majus","wfo-0000600655","species","L.","Papaveraceae","Chelidonium","Accepted","MATCH"
"Chenopodiaceae","Chenopodiaceae","wfo-7000000655","family","Vent.","Chenopodiaceae","","Accepted","MATCH"
"Chenopodiastrum hybridum","Chenopodiastrum hybridum","wfo-0001302713","species","(L.) S.Fuentes, Uotila & Borsch","Chenopodiaceae","Chenopodiastrum","Unchecked","MATCH"
"Chenopodiastrum murale","Chenopodiastrum murale","wfo-0001440519","species","(L.) S.Fuentes, Uotila & Borsch","Chenopodiaceae","Chenopodiastrum","Accepted","MATCH"
"Chenopodium","Chenopodium","wfo-4000007814","genus","L.","Chenopodiaceae","Chenopodium","Accepted","MATCH"
"Chenopodium album","Chenopodium album","wfo-0000600897","species","L.","Chenopodiaceae","Chenopodium","Accepted","MATCH"
"Chenopodium album album","Chenopodium album","wfo-0000600897","species","L.","Chenopodiaceae","Chenopodium","Accepted","FUZZY"
"Chenopodium album x rubrum","Chenopodium album","wfo-0000600897","species","L.","Chenopodiaceae","Chenopodium","Accepted","FUZZY"
"Chenopodium berlandieri","Chenopodium berlandieri","wfo-0000601061","species","Moq.","Chenopodiaceae","Chenopodium","Accepted","MATCH"
"Chenopodium betaceum","Chenopodium betaceum","wfo-0000601099","species","Andrz.","Chenopodiaceae","Chenopodium","Accepted","MATCH"
"Chenopodium ficifolium","Chenopodium ficifolium","wfo-0000601268","species","Sm.","Chenopodiaceae","Chenopodium","Accepted","MATCH"
"Chenopodium glaucum","Oxybasis glauca","wfo-0001302717","species","(L.) S.Fuentes, Uotila & Borsch","Chenopodiaceae","Oxybasis","Accepted","MATCH"
"Chenopodium hybridum","Chenopodium hybridum","wfo-0000601402","species","L.","Chenopodiaceae","Chenopodium","Accepted","MATCH"
"Chenopodium murale","Chenopodium murale","wfo-0000601534","species","L.","Chenopodiaceae","Chenopodium","Accepted","MATCH"
"Chenopodium opulifolium","Chenopodium opulifolium","wfo-0000601580","species","Schrad. ex W.D.J.Koch & Ziz","Chenopodiaceae","Chenopodium","Accepted","MATCH"
"Chenopodium polyspermum","Lipandra polysperma","wfo-0001302716","species","(L.) S.Fuentes, Uotila & Borsch","Chenopodiaceae","Lipandra","Accepted","MATCH"
"Chenopodium pratericola","Chenopodium desiccatum var. leptophylloides","wfo-0000601232","variety","(Murr) Wahl","Chenopodiaceae","Chenopodium","Accepted","MATCH"
"Chenopodium urbicum","Oxybasis urbica","wfo-0001302718","species","(L.) S.Fuentes, Uotila & Borsch","Chenopodiaceae","Oxybasis","Accepted","MATCH"
"Chenopodium vulvaria","Chenopodium vulvaria","wfo-0000601914","species","L.","Chenopodiaceae","Chenopodium","Accepted","MATCH"
"Chepodium polyspermum","Lipandra polysperma","wfo-0001302716","species","(L.) S.Fuentes, Uotila & Borsch","Chenopodiaceae","Lipandra","Accepted","FUZZY"
"Chondrilla juncea","Chondrilla juncea","wfo-0000030135","species","L.","Asteraceae","Chondrilla","Accepted","MATCH"
"Chrozophora tinctoria","Chrozophora tinctoria","wfo-0000852775","species","(L.) A.Juss.","Euphorbiaceae","Chrozophora","Accepted","MATCH"
"Chrysanthemum","Chrysanthemum","wfo-4000008177","genus","L.","Asteraceae","Chrysanthemum","Accepted","MATCH"
"Chrysanthemum segetum","Glebionis segetum","wfo-0000091403","species","Fourr.","Asteraceae","Glebionis","Accepted","MATCH"
"Cicer arietinum","Cicer arietinum","wfo-0000196617","species","L.","Fabaceae","Cicer","Accepted","MATCH"
"Cichorium","Cichorium","wfo-4000008307","genus","L.","Asteraceae","Cichorium","Accepted","MATCH"
"Cichorium calvum","Cichorium calvum","wfo-0000027681","species","Sch.Bip. ex Asch.","Asteraceae","Cichorium","Accepted","MATCH"
"Cichorium endivia","Cichorium endivia","wfo-0000121598","species","L.","Asteraceae","Cichorium","Accepted","MATCH"
"Cichorium intybus","Cichorium intybus","wfo-0000080671","species","L.","Asteraceae","Cichorium","Accepted","MATCH"
"Cichorium intybus intybus","Cichorium intybus","wfo-0000080671","species","L.","Asteraceae","Cichorium","Accepted","FUZZY"
"Cicuta virosa","Cicuta virosa","wfo-0000604532","species","L.","Apiaceae","Cicuta","Accepted","MATCH"
"Circaea","Circaea","wfo-4000008361","genus","L.","Onagraceae","Circaea","Accepted","MATCH"
"Cirsium","Cirsium","wfo-4000008373","genus","Mill.","Asteraceae","Cirsium","Accepted","MATCH"
"Cirsium arvense","Cirsium arvense","wfo-0000006870","species","(L.) Scop.","Asteraceae","Cirsium","Accepted","MATCH"
"Cirsium arvense alpestre","Cirsium arvense","wfo-0000006870","species","(L.) Scop.","Asteraceae","Cirsium","Accepted","FUZZY"
"Cirsium arvense arvense","Cirsium arvense","wfo-0000006870","species","(L.) Scop.","Asteraceae","Cirsium","Accepted","FUZZY"
"Cirsium dissectum","Cirsium dissectum","wfo-0000079119","species","(L.) Hill","Asteraceae","Cirsium","Accepted","MATCH"
"Cirsium eriophorum","Cirsium eriophorum","wfo-0000055206","species","Scop.","Asteraceae","Cirsium","Accepted","MATCH"
"Cirsium erisitales","Cirsium erisithales","wfo-0000013488","species","(Jacq.) Scop.","Asteraceae","Cirsium","Accepted","FUZZY"
"Cirsium ferox","Cirsium ferox","wfo-0000021264","species","(L.) DC.","Asteraceae","Cirsium","Accepted","MATCH"
"Cirsium helenioides","Cirsium helenioides","wfo-0000005084","species","(L.) Hill","Asteraceae","Cirsium","Accepted","MATCH"
"Cirsium lanceolatum","Cirsium lanceolatum","wfo-0000121697","species","Hill","Asteraceae","Cirsium","Accepted","MATCH"
"Cirsium oleraceum","Cirsium oleraceum","wfo-0000063143","species","(L.) Scop.","Asteraceae","Cirsium","Accepted","MATCH"
"Cirsium palustre","Cirsium palustre","wfo-0000043760","species","(L.) Scop.","Asteraceae","Cirsium","Accepted","MATCH"
"Cirsium spinosissimum","Cirsium spinosissimum","wfo-0000027702","species","(L.) Scop.","Asteraceae","Cirsium","Accepted","MATCH"
"Cirsium tuberosum","Cirsium tuberosum","wfo-0000126944","species","(L.) All.","Asteraceae","Cirsium","Accepted","MATCH"
"Cirsium vulgare","Cirsium vulgare","wfo-0000081703","species","(Savi) Ten.","Asteraceae","Cirsium","Accepted","MATCH"
"Cirsium vulgare crinitum","Cirsium vulgare","wfo-0000081703","species","(Savi) Ten.","Asteraceae","Cirsium","Accepted","FUZZY"
"Cirsium vulgare vulgare","Cirsium vulgare","wfo-0000081703","species","(Savi) Ten.","Asteraceae","Cirsium","Accepted","FUZZY"
"Cistus albidus","Cistus albidus","wfo-0000607197","species","L.","Cistaceae","Cistus","Accepted","MATCH"
"Cistus monspeliensis","Cistus monspeliensis","wfo-0000607465","species","L.","Cistaceae","Cistus","Accepted","MATCH"
"Cistus salviifolius","Cistus salviifolius","wfo-0000607577","species","L.","Cistaceae","Cistus","Accepted","MATCH"
"Cladanthus mixtus","Cladanthus mixtus","wfo-0000122557","species","(L.) Chevall.","Asteraceae","Cladanthus","Accepted","MATCH"
"Clematis","Clematis","wfo-4000008565","genus","L.","Ranunculaceae","Clematis","Accepted","MATCH"
"Clematis cirrhosa","Clematis cirrhosa","wfo-0000609696","species","L.","Ranunculaceae","Clematis","Accepted","MATCH"
"Clematis flammula","Clematis flammula","wfo-0000609903","species","L.","Ranunculaceae","Clematis","Accepted","MATCH"
"Clematis vitalba","Clematis vitalba","wfo-0000610926","species","L.","Ranunculaceae","Clematis","Accepted","MATCH"
"Clematis viticella","Clematis viticella","wfo-0000610944","species","L.","Ranunculaceae","Clematis","Accepted","MATCH"
"Clinopodium","Clinopodium","wfo-4000008626","genus","L.","Lamiaceae","Clinopodium","Accepted","MATCH"
"Clinopodium acinos","Clinopodium acinos","wfo-0000890516","species","(L.) Kuntze","Lamiaceae","Clinopodium","Accepted","MATCH"
"Clinopodium nepeta","Clinopodium nepeta","wfo-0000892607","species","(L.) Kuntze","Lamiaceae","Clinopodium","Accepted","MATCH"
"Clinopodium nepeta ascendens","Clinopodium nepeta","wfo-0000892607","species","(L.) Kuntze","Lamiaceae","Clinopodium","Accepted","FUZZY"
"Clinopodium vulgare","Clinopodium vulgare","wfo-0000893535","species","L.","Lamiaceae","Clinopodium","Accepted","MATCH"
"Cochlearia","Cochlearia","wfo-4000008737","genus","L.","Brassicaceae","Cochlearia","Accepted","MATCH"
"Coincya cheiranthos","Coincya monensis subsp. cheiranthos","wfo-0000614324","subspecies","(Vill.) Aedo, Leadlay & Muñoz Garm.","Brassicaceae","Coincya","Accepted","MATCH"
"Coincya monensis cheiranthos","Coincya monensis","wfo-0000614323","species","(L.) Greuter & Burdet","Brassicaceae","Coincya","Accepted","FUZZY"
"Colchicum autumnalis","Colchicum autumnale","wfo-0000763824","species","L.","Colchicaceae","Colchicum","Accepted","FUZZY"
"Coleostephus myconis","Coleostephus myconis","wfo-0000060066","species","(L.) Rchb.f.","Asteraceae","Coleostephus","Accepted","MATCH"
"Commelina","Commelina","wfo-4000009041","genus","Plum. ex L.","Commelinaceae","Commelina","Accepted","MATCH"
"Commelina communis","Commelina communis","wfo-0000358362","species","L.","Commelinaceae","Commelina","Accepted","MATCH"
"Conium","Conium","wfo-4000009137","genus","L.","Apiaceae","Conium","Accepted","MATCH"
"Conium maculatum","Conium maculatum","wfo-0000617964","species","L.","Apiaceae","Conium","Accepted","MATCH"
"Conopodium majus","Conopodium majus","wfo-0000619241","species","(Gouan) Loret","Apiaceae","Conopodium","Accepted","MATCH"
"Conringia orientalis","Conringia orientalis","wfo-1000080222","species","(L.) C.Presl","Brassicaceae","Conringia","Accepted","MATCH"
"Consolida orientalis","Delphinium ajacis","wfo-0000639671","species","L.","Ranunculaceae","Delphinium","Accepted","MATCH"
"Consolida pubescens","Delphinium pubescens","wfo-0000640612","species","DC.","Ranunculaceae","Delphinium","Accepted","MATCH"
"Consolida regalis","Delphinium consolida","wfo-0000639920","species","L.","Ranunculaceae","Delphinium","Accepted","MATCH"
"Convolvulus","Convolvulus","wfo-4000009203","genus","L.","Convolvulaceae","Convolvulus","Accepted","MATCH"
"Convolvulus althaeoides","Convolvulus althaeoides","wfo-0001297551","species","L.","Convolvulaceae","Convolvulus","Accepted","MATCH"
"Convolvulus arvensis","Convolvulus arvensis","wfo-0001296633","species","L.","Convolvulaceae","Convolvulus","Accepted","MATCH"
"Convolvulus arvensis arvensis","Convolvulus arvensis","wfo-0001296633","species","L.","Convolvulaceae","Convolvulus","Accepted","FUZZY"
"Convolvulus cantabrica","Convolvulus cantabrica","wfo-0000155688","species","L.","Convolvulaceae","Convolvulus","Accepted","MATCH"
"Convolvulus sepium","Calystegia sepium","wfo-0001296723","species","(L.) R.Br.","Convolvulaceae","Calystegia","Accepted","MATCH"
"Convolvulus soldanella","Convolvulus soldanella","wfo-0001297653","species","L.","Convolvulaceae","Convolvulus","Unchecked","MATCH"
"Conyza","Conyza","wfo-4000009205","genus","Less.","Asteraceae","Conyza","Accepted","MATCH"
"Conyza bonariensis","Erigeron bonariensis","wfo-0000075344","species","L.","Asteraceae","Erigeron","Accepted","MATCH"
"Conyza canadensis","Erigeron canadensis","wfo-0000015917","species","L.","Asteraceae","Erigeron","Accepted","MATCH"
"Conyza sumatrensis","Conyza sumatrensis","wfo-0000073349","species","(S.F.Blake) Pruski & G.Sancho","Asteraceae","Conyza","Accepted","MATCH"
"Coriandrum sativum","Coriandrum sativum","wfo-0000621274","species","L.","Apiaceae","Coriandrum","Accepted","MATCH"
"Coris monspeliensis","Coris monspeliensis","wfo-0000621338","species","L.","Primulaceae","Coris","Accepted","MATCH"
"Corispermum nitidum","Corispermum nitidum","wfo-0000621447","species","Kit. ex Schult.","Chenopodiaceae","Corispermum","Accepted","MATCH"
"Cornonilla varia","Coronilla varia","wfo-0000213691","species","L.","Fabaceae","Coronilla","Accepted","FUZZY"
"Cornus","Cornus","wfo-4000009342","genus","L.","Cornaceae","Cornus","Accepted","MATCH"
"Cornus alba","Cornus alba","wfo-0000924570","species","L.","Cornaceae","Cornus","Accepted","MATCH"
"Cornus mas","Cornus mas","wfo-0000924760","species","L.","Cornaceae","Cornus","Accepted","MATCH"
"Cornus sanguinea","Cornus sanguinea","wfo-0000924828","species","L.","Cornaceae","Cornus","Accepted","MATCH"
"Cornus sanguinea sanguinea","Cornus sanguinea","wfo-0000924828","species","L.","Cornaceae","Cornus","Accepted","FUZZY"
"Coronilla","Coronilla","wfo-4000009355","genus","L.","Fabaceae","Coronilla","Accepted","MATCH"
"Coronilla scorpioides","Coronilla scorpioides","wfo-0000205285","species","(L.) Koch","Fabaceae","Coronilla","Accepted","MATCH"
"Coronilla vaginalis","Coronilla vaginalis","wfo-0000213690","species","Lam.","Fabaceae","Coronilla","Accepted","MATCH"
"Coronilla varia","Coronilla varia","wfo-0000213691","species","L.","Fabaceae","Coronilla","Accepted","MATCH"
"Coronopus","Heliophila","wfo-4000017258","genus","Burm.f.","Brassicaceae","Heliophila","Accepted","MATCH"
"Coronopus didymus","Lepidium didymum","wfo-0000358253","species","L.","Brassicaceae","Lepidium","Accepted","MATCH"
"Corrigiola litoralis","Corrigiola litoralis","wfo-0001291438","species","L.","Caryophyllaceae","Corrigiola","Accepted","MATCH"
"Corrigiola littoralis","Corrigiola litoralis","wfo-0001291438","species","L.","Caryophyllaceae","Corrigiola","Accepted","FUZZY"
"Corylus","Corylus","wfo-4000009390","genus","L.","Betulaceae","Corylus","Accepted","MATCH"
"Corylus avellana","Corylus avellana","wfo-0000925259","species","L.","Betulaceae","Corylus","Accepted","MATCH"
"Cosmos","Cosmos","wfo-4000009452","genus","Cav.","Asteraceae","Cosmos","Accepted","MATCH"
"Cosmos bipinnatus","Cosmos bipinnatus","wfo-0000066682","species","Cav.","Asteraceae","Cosmos","Accepted","MATCH"
"Cota altissima","Cota altissima","wfo-0000086301","species","(L.) J.Gay","Asteraceae","Cota","Accepted","MATCH"
"Cota austriaca","Cota austriaca","wfo-0000043827","species","(Jacq.) Sch.Bip.","Asteraceae","Cota","Accepted","MATCH"
"Cota segetalis","Cota segetalis","wfo-0000041809","species","(Ten.) Holub","Asteraceae","Cota","Accepted","MATCH"
"Cota tinctoria","Cota tinctoria","wfo-0000076814","species","(L.) J.Gay","Asteraceae","Cota","Accepted","MATCH"
"Cota tinctoria australis","Cota tinctoria","wfo-0000076814","species","(L.) J.Gay","Asteraceae","Cota","Accepted","FUZZY"
"Crambe abyssinica","Crambe hispanica subsp. abyssinica","wfo-0000624583","subspecies","(Hochst. ex R.E.Fr.) A.Prina","Brassicaceae","Crambe","Accepted","MATCH"
"Crambe hispanica abyssinica","Crambe hispanica","wfo-0000624582","species","L.","Brassicaceae","Crambe","Accepted","FUZZY"
"Crassula tillaea","Crassula tillaea","wfo-0000625566","species","Lest.-Garl.","Crassulaceae","Crassula","Accepted","MATCH"
"Crataegus","Crataegus","wfo-4000009592","genus","L.","Rosaceae","Crataegus","Accepted","MATCH"
"Crataegus laevigata","Crataegus laevigata","wfo-0001009174","species","(Poir.) DC.","Rosaceae","Crataegus","Accepted","MATCH"
"Crataegus monogyna","Crataegus monogyna","wfo-0001009785","species","Jacq.","Rosaceae","Crataegus","Accepted","MATCH"
"Crataegus x subsphaerica","Crataegus kyrtostyla var. domicensis","wfo-0001409387","variety","(Hrabětová) K.I.Chr.","Rosaceae","Crataegus","Accepted","FUZZY"
"Crategus monogyna","Crataegus monogyna","wfo-0001009785","species","Jacq.","Rosaceae","Crataegus","Accepted","FUZZY"
"Crepis","Crepis","wfo-4000009682","genus","L.","Asteraceae","Crepis","Accepted","MATCH"
"Crepis bellidifolia","Crepis bellidifolia","wfo-0000070882","species","Loisel.","Asteraceae","Crepis","Accepted","MATCH"
"Crepis bienis","Crepis biennis","wfo-0000106204","species","L.","Asteraceae","Crepis","Accepted","FUZZY"
"Crepis biennis","Crepis biennis","wfo-0000106204","species","L.","Asteraceae","Crepis","Accepted","MATCH"
"Crepis bursifolia","Crepis bursifolia","wfo-0000089236","species","L.","Asteraceae","Crepis","Accepted","MATCH"
"Crepis capillaris","Crepis capillaris","wfo-0000030643","species","(L.) Wallr.","Asteraceae","Crepis","Accepted","MATCH"
"Crepis capillaris capillaris","Crepis capillaris","wfo-0000030643","species","(L.) Wallr.","Asteraceae","Crepis","Accepted","FUZZY"
"Crepis foetida","Crepis foetida","wfo-0000004762","species","L.","Asteraceae","Crepis","Accepted","MATCH"
"Crepis foetida foetida","Crepis foetida subsp. foetida","wfo-0000098510","subspecies","","Asteraceae","Crepis","Accepted","FUZZY"
"Crepis foetida rhoeadifolia","Crepis foetida","wfo-0000004762","species","L.","Asteraceae","Crepis","Accepted","FUZZY"
"Crepis leontodontoides","Crepis leontodontoides","wfo-0000010823","species","All.","Asteraceae","Crepis","Accepted","MATCH"
"Crepis micrantha","Crepis micrantha","wfo-0000096189","species","Czerep.","Asteraceae","Crepis","Accepted","MATCH"
"Crepis mollis","Crepis mollis","wfo-0000000138","species","(Jacq.) Asch.","Asteraceae","Crepis","Accepted","MATCH"
"Crepis neglecta","Crepis neglecta","wfo-0000085155","species","L.","Asteraceae","Crepis","Accepted","MATCH"
"Crepis neglecta corymbosa","Crepis neglecta","wfo-0000085155","species","L.","Asteraceae","Crepis","Accepted","FUZZY"
"Crepis pulchra","Crepis pulchra","wfo-0000120735","species","L.","Asteraceae","Crepis","Accepted","MATCH"
"Crepis pygmaea","Crepis pygmaea","wfo-0000113946","species","L.","Asteraceae","Crepis","Accepted","MATCH"
"Crepis rhoeadifolia","Crepis foetida subsp. rhoeadifolia","wfo-0000108143","subspecies","(M.Bieb.) Čelak.","Asteraceae","Crepis","Accepted","MATCH"
"Crepis rubra","Crepis rubra","wfo-0000021679","species","L.","Asteraceae","Crepis","Accepted","MATCH"
"Crepis sancta","Crepis sancta","wfo-1200009702","species","(L.) Bornm.","Asteraceae","Crepis","Accepted","MATCH"
"Crepis sancta nemausensis","Crepis sancta","wfo-1200009702","species","(L.) Bornm.","Asteraceae","Crepis","Accepted","FUZZY"
"Crepis setosa","Crepis setosa","wfo-0000085139","species","Haller f.","Asteraceae","Crepis","Accepted","MATCH"
"Crepis taraxacifolia","Crepis vesicaria","wfo-0000043912","species","L.","Asteraceae","Crepis","Accepted","MATCH"
"Crepis tectorum","Crepis tectorum","wfo-0000072011","species","L.","Asteraceae","Crepis","Accepted","MATCH"
"Crepis vesicaria","Crepis vesicaria","wfo-0000043912","species","L.","Asteraceae","Crepis","Accepted","MATCH"
"Crepis vesicaria taraxacifolia","Crepis vesicaria","wfo-0000043912","species","L.","Asteraceae","Crepis","Accepted","FUZZY"
"Cruciata","Cruciata","wfo-4000009803","genus","Mill.","Rubiaceae","Cruciata","Accepted","MATCH"
"Cruciata glabra","Cruciata glabra","wfo-0000932943","species","(L.) Opiz","Rubiaceae","Cruciata","Accepted","MATCH"
"Cruciata laevipes","Cruciata laevipes","wfo-0000932960","species","Opiz","Rubiaceae","Cruciata","Accepted","MATCH"
"Cruciata laevipes opiz","Cruciata laevipes","wfo-0000932960","species","Opiz","Rubiaceae","Cruciata","Accepted","FUZZY"
"Cucubalus baccifer","Silene baccifera","wfo-0000438916","species","Roth","Caryophyllaceae","Silene","Accepted","MATCH"
"Cucurbita","Cucurbita","wfo-4000010008","genus","L.","Cucurbitaceae","Cucurbita","Accepted","MATCH"
"Cucurbita pepo","Cucurbita pepo","wfo-0000629123","species","L.","Cucurbitaceae","Cucurbita","Accepted","MATCH"
"Cullen americanum","Cullen americanum","wfo-0000212418","species","(L.) Rydb.","Fabaceae","Cullen","Accepted","MATCH"
"Cupressus","Cupressus","wfo-4000010075","genus","L.","Cupressaceae","Cupressus","Accepted","MATCH"
"Cuscuta","Cuscuta","wfo-4000010113","genus","L.","Convolvulaceae","Cuscuta","Accepted","MATCH"
"Cuscuta campestris","Cuscuta campestris","wfo-0001297200","species","Yunck.","Convolvulaceae","Cuscuta","Accepted","MATCH"
"Cuscuta epilinum","Cuscuta epilinum","wfo-0001297210","species","Weihe","Convolvulaceae","Cuscuta","Accepted","MATCH"
"Cuscuta monogyna","Cuscuta monogyna","wfo-0001298472","species","Vahl","Convolvulaceae","Cuscuta","Accepted","MATCH"
"Cyanus depressus","Centaurea depressa","wfo-0000008112","species","M.Bieb.","Asteraceae","Centaurea","Accepted","MATCH"
"Cyanus segetum","Centaurea cyanus","wfo-0000008997","species","L.","Asteraceae","Centaurea","Accepted","MATCH"
"Cydonia oblonga","Cydonia oblonga","wfo-0001011708","species","Mill.","Rosaceae","Cydonia","Accepted","MATCH"
"Cymbalaria muralis","Cymbalaria muralis","wfo-0000632510","species","G.Gaertn., B.Mey. & Scherb.","Plantaginaceae","Cymbalaria","Accepted","MATCH"
"Cynanchum acutum","Cynanchum acutum","wfo-0000632748","species","L.","Apocynaceae","Cynanchum","Accepted","MATCH"
"Cynara","Cynara","wfo-4000010397","genus","L.","Asteraceae","Cynara","Accepted","MATCH"
"Cynara cardunculus","Cynara cardunculus","wfo-0000013358","species","L.","Asteraceae","Cynara","Accepted","MATCH"
"Cynara scolymus","Cynara scolymus","wfo-0000131895","species","L.","Asteraceae","Cynara","Accepted","MATCH"
"Cynodon","Cynodon","wfo-4000010411","genus","Rich.","Poaceae","Cynodon","Accepted","MATCH"
"Cynodon dactylon","Cynodon dactylon","wfo-0000861178","species","(L.) Pers.","Poaceae","Cynodon","Accepted","MATCH"
"Cynodon dactylon affinis","Cynodon dactylon","wfo-0000861178","species","(L.) Pers.","Poaceae","Cynodon","Accepted","FUZZY"
"Cynoglossum cheirifolium","Pardoglossum cheirifolium","wfo-0000397293","species","(L.) Barbier & Mathez","Boraginaceae","Pardoglossum","Accepted","MATCH"
"Cynoglossum creticum","Cynoglossum creticum","wfo-0000633973","species","Mill.","Boraginaceae","Cynoglossum","Accepted","MATCH"
"Cynoglossum officinale","Cynoglossum officinale","wfo-0000634152","species","L.","Boraginaceae","Cynoglossum","Accepted","MATCH"
"Cynoglosum officinale","Cynoglossum officinale","wfo-0000634152","species","L.","Boraginaceae","Cynoglossum","Accepted","FUZZY"
"Cynosurus cristatus","Cynosurus cristatus","wfo-0000861316","species","L.","Poaceae","Cynosurus","Accepted","MATCH"
"Cynosurus echinatus","Cynosurus echinatus","wfo-0000861333","species","L.","Poaceae","Cynosurus","Accepted","MATCH"
"Cyperus","Cyperus","wfo-4000010449","genus","L.","Cyperaceae","Cyperus","Accepted","MATCH"
"Cyperus difformis","Cyperus difformis","wfo-0000371697","species","L.","Cyperaceae","Cyperus","Accepted","MATCH"
"Cyperus egagrostis","Cyperus eragrostis","wfo-0000372740","species","Lam.","Cyperaceae","Cyperus","Accepted","FUZZY"
"Cyperus eragrostis","Cyperus eragrostis","wfo-0000372740","species","Lam.","Cyperaceae","Cyperus","Accepted","MATCH"
"Cyperus esculentus","Cyperus esculentus","wfo-0000372964","species","L.","Cyperaceae","Cyperus","Accepted","MATCH"
"Cyperus flavidus","Cyperus flavidus","wfo-0000373599","species","Retz.","Cyperaceae","Cyperus","Accepted","MATCH"
"Cyperus fuscus","Cyperus fuscus","wfo-0000373976","species","L.","Cyperaceae","Cyperus","Accepted","MATCH"
"Cyperus longus","Cyperus longus","wfo-0000377196","species","L.","Cyperaceae","Cyperus","Accepted","MATCH"
"Cyperus rotundus","Cyperus rotundus","wfo-0000381487","species","L.","Cyperaceae","Cyperus","Accepted","MATCH"
"Cytisus scoparius","Cytisus scoparius","wfo-0000213711","species","(L.) Link","Fabaceae","Cytisus","Accepted","MATCH"
"Dactylis","Dactylis","wfo-4000010628","genus","L.","Poaceae","Dactylis","Accepted","MATCH"
"Dactylis glomerata","Dactylis glomerata","wfo-0000861498","species","L.","Poaceae","Dactylis","Accepted","MATCH"
"Dactylis glomerata glomerata","Dactylis glomerata","wfo-0000861498","species","L.","Poaceae","Dactylis","Accepted","FUZZY"
"Dactylis glomerata glomerata x glomerata lobata","Dactylis glomerata","wfo-0000861498","species","L.","Poaceae","Dactylis","Accepted","FUZZY"
"Dactylis glomerata lobata","Dactylis glomerata","wfo-0000861498","species","L.","Poaceae","Dactylis","Accepted","FUZZY"
"Dactylis glomerata oceanica","Dactylis glomerata","wfo-0000861498","species","L.","Poaceae","Dactylis","Accepted","FUZZY"
"Dasypyrum villosum","Dasypyrum villosum","wfo-0000862262","species","(L.) Borbás","Poaceae","Dasypyrum","Accepted","MATCH"
"Datura stramonium","Datura stramonium","wfo-0001021374","species","L.","Solanaceae","Datura","Accepted","MATCH"
"Daucus","Daucus","wfo-4000010858","genus","L.","Apiaceae","Daucus","Accepted","MATCH"
"Daucus carota","Daucus carota","wfo-0000638442","species","L.","Apiaceae","Daucus","Accepted","MATCH"
"Daucus carota carota","Daucus carota","wfo-0000638442","species","L.","Apiaceae","Daucus","Accepted","FUZZY"
"Daucus carotta","Daucus carota","wfo-0000638442","species","L.","Apiaceae","Daucus","Accepted","FUZZY"
"Daucus crinitus","Daucus crinitus","wfo-0000638478","species","Desf.","Apiaceae","Daucus","Accepted","MATCH"
"Delphinium","Delphinium","wfo-4000011022","genus","L.","Ranunculaceae","Delphinium","Accepted","MATCH"
"Delphinium ajacis","Delphinium ajacis","wfo-0000639671","species","L.","Ranunculaceae","Delphinium","Accepted","MATCH"
"Delphinium consolida","Delphinium consolida","wfo-0000639920","species","L.","Ranunculaceae","Delphinium","Accepted","MATCH"
"Delphinium consolida consolida","Delphinium consolida","wfo-0000639920","species","L.","Ranunculaceae","Delphinium","Accepted","FUZZY"
