"accepted_taxa","original_taxa_Hodgson2023","Lifecycle_Hodgson2023","Canopy.diameter_log2_Hodgson2023","Canopy.height_log2_Hodgson2023","SLA.mm2.mg-1_Hodgson2023","Vegetative.propagation_Hodgson2023"
"Silene conoidea",NA,NA,NA,NA,NA,NA
"Silene cretica",NA,NA,NA,NA,NA,NA
"Silene dichotoma","Silene dichotoma","Ann",4,6,25.28,""
"Silene dioica","Silene dioica","Herb.perenn",5,6,28.8275,"0"
"Silene gallica","Silene gallica","Ann",5,5,24.43904006,""
"Silene italica",NA,NA,NA,NA,NA,NA
"Silene latifolia","Silene latifolia","Herb.perenn",6,6,27.17428571,"0"
"Silene muscipula","Silene muscipula","Ann",4,5,16.31119222,""
"Silene nicaeensis",NA,NA,NA,NA,NA,NA
"Silene noctiflora","Silene noctiflora","Ann",5,6,23.332,""
"Silene nocturna","Silene nocturna","Ann",4,5,13.78946126,""
"Silene nutans","Silene nutans","Herb.perenn",6,4,21.335,"0"
"Silene nutans subsp. nutans","Silene nutans","Herb.perenn",6,4,21.335,"0"
"Silene stricta",NA,NA,NA,NA,NA,NA
"Silene vulgaris","Silene vulgaris","Herb.perenn",7,5,21.31625,"1"
"Silene vulgaris subsp. vulgaris","Silene vulgaris","Herb.perenn",7,5,21.31625,"1"
"Silphium perfoliatum",NA,NA,NA,NA,NA,NA
"Silybum","Silybum marianum","Ann",8,2,22.65,""
"Silybum marianum","Silybum marianum","Ann",8,2,22.65,""
"Sinapis","Sinapis alba_Sinapis arvensis","Ann",5.5,5,27.62,""
"Sinapis alba","Sinapis alba","Ann",5,5,26.49428571,""
"Sinapis arvensis","Sinapis arvensis","Ann",6,5,28.74571429,""
"Sison amomum","Sison amomum","Bienn",5,7,22.72,""
"Sison segetum",NA,NA,NA,NA,NA,NA
"Sisymbrella aspera",NA,NA,NA,NA,NA,NA
"Sisymbrium","Sisymbrium irio_Sisymbrium officinale_Sisymbrium orientale_Sisymbrium runcinatum","Ann",5,5,25.289562835,""
"Sisymbrium altissimum",NA,NA,NA,NA,NA,NA
"Sisymbrium austriacum",NA,NA,NA,NA,NA,NA
"Sisymbrium irio","Sisymbrium irio","Ann",5,5,31.4416,""
"Sisymbrium loeselii",NA,NA,NA,NA,NA,NA
"Sisymbrium officinale","Sisymbrium officinale","Ann",5,5,26.5475,""
"Sisymbrium orientale","Sisymbrium orientale","Ann",5,5,22.82918365,""
"Sisymbrium runcinatum","Sisymbrium runcinatum","Ann",5,5,20.33996769,""
"Smilax aspera",NA,NA,NA,NA,NA,NA
"Smyrnium olusatrum",NA,NA,NA,NA,NA,NA
"Solanum","Solanum americanum_Solanum dulcamara","Ann_Woody.peren",7.5,6.5,27.85724688,"0"
"Solanum americanum","Solanum americanum","Ann",6,6,26.09666667,""
"Solanum chenopodioides",NA,NA,NA,NA,NA,NA
"Solanum dulcamara","Solanum dulcamara","Woody.peren",9,7,29.61782709,"0"
"Solanum lycopersicum",NA,NA,NA,NA,NA,NA
"Solanum nigrum",NA,NA,NA,NA,NA,NA
"Solanum nitidibaccatum",NA,NA,NA,NA,NA,NA
"Solanum tuberosum",NA,NA,NA,NA,NA,NA
"Solanum villosum",NA,NA,NA,NA,NA,NA
"Solidago","Solidago canadensis","Herb.perenn",9,7,23.6775,"0"
"Solidago canadensis","Solidago canadensis","Herb.perenn",9,7,23.6775,"0"
"Solidago gigantea",NA,NA,NA,NA,NA,NA
"Solidago virgaurea",NA,NA,NA,NA,NA,NA
"Sonchus","Sonchus arvensis_Sonchus asper_Sonchus oleraceus","Ann_Herb.perenn",7.66666666666667,7,28.8553439166667,"1"
"Sonchus arvensis","Sonchus arvensis","Herb.perenn",9,7,25.89571429,"1"
"Sonchus arvensis subsp. uliginosus","Sonchus arvensis","Herb.perenn",9,7,25.89571429,"1"
"Sonchus asper","Sonchus asper","Ann",7,7,26.27888889,""
"Sonchus asper subsp. asper","Sonchus asper","Ann",7,7,26.27888889,""
"Sonchus oleraceus","Sonchus oleraceus","Ann",7,7,34.39142857,""
"Sonchus tenerrimus",NA,NA,NA,NA,NA,NA
"Sorbus",NA,NA,NA,NA,NA,NA
"Sorbus aucuparia",NA,NA,NA,NA,NA,NA
"Sorghum",NA,NA,NA,NA,NA,NA
"Sorghum bicolor",NA,NA,NA,NA,NA,NA
"Sorghum halepense",NA,NA,NA,NA,NA,NA
"Sparganium erectum","Sparganium erectum","Herb.perenn",9,7,17.4,"1"
"Spergula","Spergula arvensis","Ann",5,5,39.47666667,""
"Spergula arvensis","Spergula arvensis","Ann",5,5,39.47666667,""
"Spergula morisonii",NA,NA,NA,NA,NA,NA
"Spergula pentandra",NA,NA,NA,NA,NA,NA
"Spergularia","Spergularia rubra","Ann",5,4,31.31333333,""
"Spergularia media",NA,NA,NA,NA,NA,NA
"Spergularia rubra","Spergularia rubra","Ann",5,4,31.31333333,""
"Spergularia segetalis",NA,NA,NA,NA,NA,NA
"Sporobolus",NA,NA,NA,NA,NA,NA
"Sporobolus indicus",NA,NA,NA,NA,NA,NA
"Stachys","Stachys annua_Stachys arvensis_Stachys palustris_Stachys recta_Stachys sylvatica","Ann_Herb.perenn",6.4,5.4,31.170441892,"0_1"
"Stachys annua","Stachys annua","Ann",5,5,34.105,""
"Stachys arvensis","Stachys arvensis","Ann",4,4,33.2683157,""
"Stachys germanica",NA,NA,NA,NA,NA,NA
"Stachys palustris","Stachys palustris","Herb.perenn",9,6,32.54166667,"1"
"Stachys recta","Stachys recta","Herb.perenn",6,6,25.06122709,"0"
"Stachys sylvatica","Stachys sylvatica","Herb.perenn",8,6,30.876,"1"
"Stellaria","Myosoton aquaticum_Stellaria graminea_Stellaria media","Ann_Herb.perenn",7.33333333333333,6,42.54849359,"0"
"Stellaria aquatica","Myosoton aquaticum","Herb.perenn",8,7,51.41,"0"
"Stellaria graminea","Stellaria graminea","Herb.perenn",7,6,27.66625,"0"
"Stellaria media","Stellaria media","Ann",7,5,48.56923077,""
"Stellaria neglecta",NA,NA,NA,NA,NA,NA
"Stellaria pallida",NA,NA,NA,NA,NA,NA
"Stipa capillata",NA,NA,NA,NA,NA,NA
"Stipellula capensis","Stipa capensis","Ann",5,5,17.06833333,""
"Succisa pratensis","Succisa pratensis","Herb.perenn",5,4,18.98857143,"0"
"Succowia balearica",NA,NA,NA,NA,NA,NA
"Symphoricarpos albus",NA,NA,NA,NA,NA,NA
"Symphyotrichum",NA,NA,NA,NA,NA,NA
"Symphyotrichum lanceolatum",NA,NA,NA,NA,NA,NA
"Symphyotrichum squamatum",NA,NA,NA,NA,NA,NA
"Symphyotrichum subulatum",NA,NA,NA,NA,NA,NA
"Symphytum","Symphytum officinale","Herb.perenn",7,7,28.05833333,"0"
"Symphytum kurdicum",NA,NA,NA,NA,NA,NA
"Symphytum officinale","Symphytum officinale","Herb.perenn",7,7,28.05833333,"0"
"Syringa vulgaris",NA,NA,NA,NA,NA,NA
"Taeniatherum caput-medusae","Taeniatherum caput-medusae","Ann",6,6,23.54977087,""
"Tagetes minuta",NA,NA,NA,NA,NA,NA
"Tanacetum corymbosum",NA,NA,NA,NA,NA,NA
"Tanacetum vulgare","Tanacetum vulgare","Herb.perenn",9,7,21.71692308,"0"
"Taraxacum","Taraxacum officinale","Herb.perenn",8,6,27.8236,"1"
"Taraxacum campylodes",NA,NA,NA,NA,NA,NA
"Taraxacum erythrospermum",NA,NA,NA,NA,NA,NA
"Taraxacum officinale","Taraxacum officinale","Herb.perenn",8,6,27.8236,"1"
"Taxus baccata",NA,NA,NA,NA,NA,NA
"Teesdalia nudicaulis",NA,NA,NA,NA,NA,NA
"Teloxys aristata",NA,NA,NA,NA,NA,NA
"Teucrium","Teucrium botrys_Teucrium chamaedrys_Teucrium polium","Ann_Woody.peren",6.33333333333333,3.33333333333333,18.6430179666667,"0"
"Teucrium botrys","Teucrium botrys","Ann",5,4,26.992,""
"Teucrium chamaedrys","Teucrium chamaedrys","Woody.peren",7,3,13.5445539,"0"
"Teucrium polium","Teucrium polium","Woody.peren",7,3,15.3925,"0"
"Teucrium scorodonia",NA,NA,NA,NA,NA,NA
"Thalictrum flavum","Thalictrum flavum","Herb.perenn",9,7,23.985,"0"
"Thalictrum lucidum",NA,NA,NA,NA,NA,NA
"Thalictrum minus",NA,NA,NA,NA,NA,NA
"Thesium dollineri",NA,NA,NA,NA,NA,NA
"Thesium humile",NA,NA,NA,NA,NA,NA
"Thlaspi","Thlaspi arvense","Ann",4,5,23.442,""
"Thlaspi alliaceum",NA,NA,NA,NA,NA,NA
"Thlaspi arvense","Thlaspi arvense","Ann",4,5,23.442,""
"Thymbra capitata",NA,NA,NA,NA,NA,NA
"Thymelaea passerina","Thymelaea passerina","Ann",4,5,25.02,""
"Thymelaea sanamunda",NA,NA,NA,NA,NA,NA
"Thymus","Thymus pulegioides","Woody.peren",8,2,24.50375,"0"
"Thymus pulegioides","Thymus pulegioides","Woody.peren",8,2,24.50375,"0"
"Thymus spinulosus",NA,NA,NA,NA,NA,NA
"Thymus striatus",NA,NA,NA,NA,NA,NA
"Thymus vulgaris",NA,NA,NA,NA,NA,NA
"Thysselinum palustre",NA,NA,NA,NA,NA,NA
"Tilia",NA,NA,NA,NA,NA,NA
"Tilia platyphyllos",NA,NA,NA,NA,NA,NA
"Tolpis umbellata","Tolpis barbata","Ann",4,4,36.56817395,""
"Tordylium","Tordylium apulum_Tordylium maximum","Ann",4.5,5.5,24.76429015,""
"Tordylium apulum","Tordylium apulum","Ann",4,5,28.73666667,""
"Tordylium maximum","Tordylium maximum","Ann",5,6,20.79191363,""
"Torilis","Torilis arvensis_Torilis japonica_Torilis leptophylla_Torilis nodosa","Ann",4.5,5.5,25.7083867525,""
"Torilis arvensis","Torilis arvensis","Ann",5,6,21.52910257,""
"Torilis arvensis subsp. arvensis","Torilis arvensis","Ann",5,6,21.52910257,""
"Torilis japonica","Torilis japonica","Ann",5,6,29.22111111,""
"Torilis leptophylla","Torilis leptophylla","Ann",4,5,25.61,""
"Torilis nodosa","Torilis nodosa","Ann",4,5,26.47333333,""
"Torilis nodosa subsp. nodosa","Torilis nodosa","Ann",4,5,26.47333333,""
"Tragopogon","Tragopogon pratensis  subsp. minor_Tragopogon pratensis  subsp. orientalis","Bienn",5,6,21.29775,""
"Tragopogon crocifolius",NA,NA,NA,NA,NA,NA
"Tragopogon dubius",NA,NA,NA,NA,NA,NA
"Tragopogon porrifolius",NA,NA,NA,NA,NA,NA
"Tragopogon pratensis","Tragopogon pratensis  subsp. minor_Tragopogon pratensis  subsp. orientalis","Bienn",5,6,21.29775,""
"Tragopogon pratensis subsp. minor","Tragopogon pratensis  subsp. minor_Tragopogon pratensis  subsp. orientalis","Bienn",5,6,21.29775,""
"Tragopogon pratensis subsp. orientalis","Tragopogon pratensis  subsp. orientalis","Bienn",6,6,23.8475,""
"Tragopogon pratensis subsp. pratensis","Tragopogon pratensis  subsp. minor_Tragopogon pratensis  subsp. orientalis","Bienn",5,6,21.29775,""
"Tragus racemosus",NA,NA,NA,NA,NA,NA
"Tribulus terrestris",NA,NA,NA,NA,NA,NA
"Trifolium","Trifolium arvense_Trifolium aureum_Trifolium campestre_Trifolium clypeatum_Trifolium dubium_Trifolium fragiferum_Trifolium glomeratum_Trifolium hybridum_Trifolium incarnatum  subsp. incarnatum_Trifolium medium_Trifolium montanum_Trifolium pratense_Trifolium repens_Trifolium resupinatum_Trifolium scabrum_Trifolium stellatum_Trifolium striatum_Trifolium tomentosum","Ann_Herb.perenn",6.22222222222222,4.72222222222222,27.6494370344444,"0_1"
"Trifolium alexandrinum",NA,NA,NA,NA,NA,NA
"Trifolium alpestre",NA,NA,NA,NA,NA,NA
"Trifolium angustifolium",NA,NA,NA,NA,NA,NA
"Trifolium arvense","Trifolium arvense","Ann",5,6,19.40107292,""
"Trifolium aureum","Trifolium aureum","Ann",5,5,39.69152722,""
"Trifolium campestre","Trifolium campestre","Ann",5,5,29.89545455,""
"Trifolium cherleri",NA,NA,NA,NA,NA,NA
"Trifolium dubium","Trifolium dubium","Ann",6,5,31.118,""
"Trifolium fragiferum","Trifolium fragiferum","Herb.perenn",8,4,25.57166667,"1"
"Trifolium glomeratum","Trifolium glomeratum","Ann",6,3,25.0825,""
"Trifolium hirtum",NA,NA,NA,NA,NA,NA
"Trifolium hybridum","Trifolium hybridum","Herb.perenn",7,6,23.17916667,"0"
"Trifolium hybridum var. elegans","Trifolium hybridum","Herb.perenn",7,6,23.17916667,"0"
"Trifolium hybridum var. hybridum","Trifolium hybridum","Herb.perenn",7,6,23.17916667,"0"
"Trifolium incarnatum","Trifolium incarnatum  subsp. incarnatum","Ann",5,5,30.34860952,""
"Trifolium incarnatum var. incarnatum","Trifolium incarnatum  subsp. incarnatum","Ann",5,5,30.34860952,""
"Trifolium lappaceum",NA,NA,NA,NA,NA,NA
"Trifolium medium","Trifolium medium","Herb.perenn",9,6,20.36,"0"
"Trifolium micranthum",NA,NA,NA,NA,NA,NA
"Trifolium montanum","Trifolium montanum","Herb.perenn",6,6,21.383,"0"
"Trifolium nigrescens",NA,NA,NA,NA,NA,NA
"Trifolium pallidum",NA,NA,NA,NA,NA,NA
"Trifolium pratense","Trifolium pratense","Herb.perenn",6,6,23.55458333,"0"
"Trifolium repens","Trifolium repens","Herb.perenn",8,5,32.70954545,"1"
"Trifolium resupinatum","Trifolium resupinatum","Ann",7,4,38.34066116,""
"Trifolium rubens",NA,NA,NA,NA,NA,NA
"Trifolium scabrum","Trifolium scabrum","Ann",5,3,20.57669805,""
"Trifolium scabrum subsp. scabrum","Trifolium scabrum","Ann",5,3,20.57669805,""
"Trifolium squamosum","Trifolium clypeatum","Ann",6,5,35.72944996,""
"Trifolium squarrosum",NA,NA,NA,NA,NA,NA
"Trifolium stellatum","Trifolium stellatum","Ann",5,4,27.42319488,""
"Trifolium striatum","Trifolium striatum","Ann",6,3,21.32381031,""
"Trifolium strictum",NA,NA,NA,NA,NA,NA
"Trifolium subterraneum",NA,NA,NA,NA,NA,NA
"Trifolium suffocatum",NA,NA,NA,NA,NA,NA
"Trifolium tomentosum","Trifolium tomentosum","Ann",7,4,32.00092593,""
"Trifolium vesiculosum",NA,NA,NA,NA,NA,NA
"Trigonella","Trigonella esculenta","Ann",6,6,25.54691274,""
"Trigonella esculenta","Trigonella esculenta","Ann",6,6,25.54691274,""
"Trigonella foenum-graecum",NA,NA,NA,NA,NA,NA
"Trigonella gladiata",NA,NA,NA,NA,NA,NA
"Trigonotis",NA,NA,NA,NA,NA,NA
"Trigonotis peduncularis",NA,NA,NA,NA,NA,NA
"Tripleurospermum","Tripleurospermum inodorum","Ann",7,6,21.31125,""
"Tripleurospermum inodorum","Tripleurospermum inodorum","Ann",7,6,21.31125,""
"Tripleurospermum maritimum",NA,NA,NA,NA,NA,NA
"Trisetaria aurea",NA,NA,NA,NA,NA,NA
"Trisetaria panicea",NA,NA,NA,NA,NA,NA
"Trisetum flavescens","Trisetum flavescens","Herb.perenn",5,6,21.24428571,"0"
"Trisetum flavescens subsp. flavescens","Trisetum flavescens","Herb.perenn",5,6,21.24428571,"0"
"Triticosecale",NA,NA,NA,NA,NA,NA
"Triticosecale rimpaui",NA,NA,NA,NA,NA,NA
"Triticum",NA,NA,NA,NA,NA,NA
"Triticum aestivum",NA,NA,NA,NA,NA,NA
"Triticum aestivum subsp. spelta",NA,NA,NA,NA,NA,NA
"Triticum monococcum subsp. monococcum",NA,NA,NA,NA,NA,NA
"Triticum turgidum",NA,NA,NA,NA,NA,NA
"Triticum turgidum subsp. durum",NA,NA,NA,NA,NA,NA
"Tulipa",NA,NA,NA,NA,NA,NA
"Tulipa agenensis",NA,NA,NA,NA,NA,NA
"Tulipa aximensis",NA,NA,NA,NA,NA,NA
"Tulipa billietiana",NA,NA,NA,NA,NA,NA
"Tulipa clusiana",NA,NA,NA,NA,NA,NA
"Tulipa didieri",NA,NA,NA,NA,NA,NA
"Tulipa gesneriana",NA,NA,NA,NA,NA,NA
"Tulipa lortetii",NA,NA,NA,NA,NA,NA
"Tulipa mauriana",NA,NA,NA,NA,NA,NA
"Tulipa montisandrei",NA,NA,NA,NA,NA,NA
"Tulipa planifolia",NA,NA,NA,NA,NA,NA
"Tulipa raddii",NA,NA,NA,NA,NA,NA
"Tulipa sylvestris subsp. sylvestris",NA,NA,NA,NA,NA,NA
"Turgenia latifolia","Turgenia latifolia","Ann",6,4,20.80776812,""
"Tussilago farfara","Tussilago farfara","Herb.perenn",9,5,19.6125,"1"
"Typha latifolia",NA,NA,NA,NA,NA,NA
"Tyrimnus leucographus",NA,NA,NA,NA,NA,NA
"Ulex",NA,NA,NA,NA,NA,NA
"Ulex europaeus",NA,NA,NA,NA,NA,NA
"Ulmus",NA,NA,NA,NA,NA,NA
"Ulmus glabra",NA,NA,NA,NA,NA,NA
"Ulmus minor",NA,NA,NA,NA,NA,NA
"Umbilicus rupestris",NA,NA,NA,NA,NA,NA
"Urospermum dalechampii",NA,NA,NA,NA,NA,NA
"Urospermum picroides","Urospermum picroides","Ann",5,4,36.28761405,""
"Urtica","Urtica dioica_Urtica urens","Ann_Herb.perenn",7.5,6.5,23.261634615,"0"
"Urtica dioica","Urtica dioica","Herb.perenn",9,7,26.88076923,"0"
"Urtica urens","Urtica urens","Ann",6,6,19.6425,""
"Valeriana",NA,NA,NA,NA,NA,NA
"Valeriana dioica",NA,NA,NA,NA,NA,NA
"Valeriana excelsa subsp. sambucifolia",NA,NA,NA,NA,NA,NA
"Valeriana officinalis",NA,NA,NA,NA,NA,NA
"Valerianella","Valerianella coronata_Valerianella dentata_Valerianella discoidea_Valerianella echinata_Valerianella locusta","Ann",5,4.2,35.151020876,""
"Valerianella coronata","Valerianella coronata","Ann",5,4,29.03833333,""
"Valerianella dentata","Valerianella dentata","Ann",5,5,41.94791391,""
"Valerianella discoidea","Valerianella discoidea","Ann",5,4,31.366,""
"Valerianella echinata","Valerianella echinata","Ann",5,4,29.63,""
"Valerianella eriocarpa",NA,NA,NA,NA,NA,NA
"Valerianella locusta","Valerianella locusta","Ann",5,4,43.77285714,""
"Valerianella microcarpa",NA,NA,NA,NA,NA,NA
"Valerianella multidentata",NA,NA,NA,NA,NA,NA
"Verbascum","Verbascum nigrum_Verbascum sinuatum_Verbascum thapsus","Bienn_Herb.perenn",7,5,16.33415873,"0"
"Verbascum blattaria",NA,NA,NA,NA,NA,NA
"Verbascum boerhavii",NA,NA,NA,NA,NA,NA
"Verbascum chaixii",NA,NA,NA,NA,NA,NA
"Verbascum densiflorum",NA,NA,NA,NA,NA,NA
"Verbascum lychnitis",NA,NA,NA,NA,NA,NA
"Verbascum nigrum","Verbascum nigrum","Herb.perenn",7,5,22.952,"0"
"Verbascum phlomoides",NA,NA,NA,NA,NA,NA
"Verbascum phoeniceum",NA,NA,NA,NA,NA,NA
"Verbascum pulverulentum",NA,NA,NA,NA,NA,NA
"Verbascum sinuatum","Verbascum sinuatum","Bienn",7,5,12.46333333,""
"Verbascum speciosum",NA,NA,NA,NA,NA,NA
"Verbascum thapsus","Verbascum thapsus","Bienn",7,5,13.58714286,""
"Verbena officinalis","Verbena officinalis","Herb.perenn",6,5,17.932,"0"
"Verbena supina",NA,NA,NA,NA,NA,NA
"Veronica","Veronica agrestis_Veronica arvensis_Veronica beccabunga_Veronica chamaedrys_Veronica cymbalaria_Veronica hederifolia_Veronica persica_Veronica polita_Veronica praecox_Veronica prostrata_Veronica serpyllifolia","Ann_Herb.perenn",6.36363636363636,3.63636363636364,28.7850900109091,"0_1"
"Veronica acinifolia",NA,NA,NA,NA,NA,NA
"Veronica agrestis","Veronica agrestis","Ann",6,4,42.0375,""
"Veronica anagallis-aquatica",NA,NA,NA,NA,NA,NA
"Veronica arvensis","Veronica arvensis","Ann",4,4,28.04666667,""
"Veronica beccabunga","Veronica beccabunga","Herb.perenn",9,5,28.49875,"1"
"Veronica catenata",NA,NA,NA,NA,NA,NA
"Veronica chamaedrys","Veronica chamaedrys","Herb.perenn",8,5,29.26388889,"0"
"Veronica cymbalaria","Veronica cymbalaria","Ann",7,3,29.1630791,""
"Veronica filiformis",NA,NA,NA,NA,NA,NA
"Veronica hederifolia","Veronica hederifolia","Ann",7,4,25.639375,""
"Veronica montana",NA,NA,NA,NA,NA,NA
"Veronica officinalis",NA,NA,NA,NA,NA,NA
"Veronica opaca",NA,NA,NA,NA,NA,NA
"Veronica persica","Veronica persica","Ann",7,4,36.67230769,""
"Veronica polita","Veronica polita","Ann",6,4,31.18666667,""
"Veronica praecox","Veronica praecox","Ann",4,3,16.4217561,""
"Veronica prostrata","Veronica prostrata","Herb.perenn",4,3,20.55,"0"
"Veronica serpyllifolia","Veronica serpyllifolia","Herb.perenn",8,1,29.156,"1"
"Veronica spicata",NA,NA,NA,NA,NA,NA
"Veronica triloba",NA,NA,NA,NA,NA,NA
"Veronica triphyllos",NA,NA,NA,NA,NA,NA
"Veronica verna",NA,NA,NA,NA,NA,NA
"Viburnum",NA,NA,NA,NA,NA,NA
"Viburnum lantana",NA,NA,NA,NA,NA,NA
"Vicia","Vicia cracca_Vicia hybrida_Vicia lathyroides_Vicia lutea_Vicia pannonica_Vicia peregrina_Vicia sativa  subsp. sativa_Vicia sepium_Vicia tenuifolia_Vicia villosa","Ann_Herb.perenn",6.4,6.2,30.818038158,"0_1"
"Vicia angustifolia",NA,NA,NA,NA,NA,NA
"Vicia benghalensis",NA,NA,NA,NA,NA,NA
"Vicia bithynica",NA,NA,NA,NA,NA,NA
"Vicia cracca","Vicia cracca","Herb.perenn",8,7,25.25571429,"1"
"Vicia dasycarpa",NA,NA,NA,NA,NA,NA
"Vicia disperma",NA,NA,NA,NA,NA,NA
"Vicia eriocarpa",NA,NA,NA,NA,NA,NA
"Vicia faba",NA,NA,NA,NA,NA,NA
"Vicia grandiflora",NA,NA,NA,NA,NA,NA
"Vicia hybrida","Vicia hybrida","Ann",5,6,46.79889013,""
"Vicia johannis",NA,NA,NA,NA,NA,NA
"Vicia lathyroides","Vicia lathyroides","Ann",6,4,23.7425,""
"Vicia lens",NA,NA,NA,NA,NA,NA
"Vicia lutea","Vicia lutea","Ann",6,6,32.63423976,""
"Vicia lutea subsp. lutea","Vicia lutea","Ann",6,6,32.63423976,""
"Vicia monantha",NA,NA,NA,NA,NA,NA
"Vicia narbonensis",NA,NA,NA,NA,NA,NA
"Vicia pannonica","Vicia pannonica","Ann",5,6,30.94213616,""
"Vicia peregrina","Vicia peregrina","Ann",5,6,28.1800346,""
"Vicia pisiformis",NA,NA,NA,NA,NA,NA
"Vicia pseudocracca",NA,NA,NA,NA,NA,NA
"Vicia sativa","Vicia sativa  subsp. sativa","Ann",7,7,26.84263221,""
"Vicia segetalis",NA,NA,NA,NA,NA,NA
"Vicia sepium","Vicia sepium","Herb.perenn",7,6,39.11423443,"0"
"Vicia serratifolia",NA,NA,NA,NA,NA,NA
"Vicia tenuifolia","Vicia tenuifolia","Herb.perenn",8,7,28.4425,"1"
"Vicia villosa","Vicia villosa","Ann",7,7,26.2275,""
"Vinca major",NA,NA,NA,NA,NA,NA
"Vincetoxicum hirundinaria",NA,NA,NA,NA,NA,NA
"Viola","Viola arvensis_Viola kitaibeliana_Viola odorata_Viola tricolor","Ann_Herb.perenn",5.75,4.25,26.4942216075,"0"
"Viola alba",NA,NA,NA,NA,NA,NA
"Viola arvensis","Viola arvensis","Ann",6,5,25.08818182,""
"Viola canina",NA,NA,NA,NA,NA,NA
"Viola hirta",NA,NA,NA,NA,NA,NA
"Viola kitaibeliana","Viola kitaibeliana","Ann",3,3,24.49370461,""
"Viola odorata","Viola odorata","Herb.perenn",8,4,29.35,"0"
"Viola reichenbachiana",NA,NA,NA,NA,NA,NA
"Viola riviniana",NA,NA,NA,NA,NA,NA
"Viola tricolor","Viola tricolor","Ann",6,5,27.045,""
"Viola tricolor subsp. tricolor","Viola tricolor","Ann",6,5,27.045,""
"Visnaga daucoides","Ammi visnaga","Ann",6,7,19.43331543,""
"Vitis",NA,NA,NA,NA,NA,NA
"Vitis rupestris",NA,NA,NA,NA,NA,NA
"Vitis vinifera",NA,NA,NA,NA,NA,NA
"Vitis vinifera subsp. vinifera",NA,NA,NA,NA,NA,NA
"Vogtia annua",NA,NA,NA,NA,NA,NA
"Vulpia","Vulpia bromoides_Vulpia ciliata  subsp. ciliata_Vulpia geniculata_Vulpia myuros_Vulpia unilateralis","Ann",3.8,4,28.97344367,""
"Vulpia alopecuros",NA,NA,NA,NA,NA,NA
"Vulpia bromoides","Vulpia bromoides","Ann",4,5,27.62666667,""
"Vulpia ciliata","Vulpia ciliata  subsp. ciliata","Ann",4,4,28.44627252,""
"Vulpia fasciculata",NA,NA,NA,NA,NA,NA
"Vulpia geniculata","Vulpia geniculata","Ann",4,4,35.47316805,""
"Vulpia ligustica",NA,NA,NA,NA,NA,NA
"Vulpia myuros","Vulpia myuros","Ann",4,4,28.07,""
"Vulpia unilateralis","Vulpia unilateralis","Ann",3,3,25.25111111,""
"x Hesperotropsis leylandii",NA,NA,NA,NA,NA,NA
"x Triticosecale rimpaui",NA,NA,NA,NA,NA,NA
"Xanthium","Xanthium strumarium","Ann",8,7,16.42875,""
"Xanthium orientale",NA,NA,NA,NA,NA,NA
"Xanthium orientale subsp. italicum",NA,NA,NA,NA,NA,NA
"Xanthium orientale subsp. orientale",NA,NA,NA,NA,NA,NA
"Xanthium spinosum",NA,NA,NA,NA,NA,NA
"Xanthium strumarium","Xanthium strumarium","Ann",8,7,16.42875,""
"Xeranthemum",NA,NA,NA,NA,NA,NA
"Xeranthemum cylindraceum",NA,NA,NA,NA,NA,NA
"Xeranthemum inapertum",NA,NA,NA,NA,NA,NA
"Zea mays",NA,NA,NA,NA,NA,NA
"Ziziphora acinos","Clinopodium acinos","Ann",3,3,19.2175,""
