"accepted_taxa","original_taxa_Midolo2023","Disturbance.Frequency_Midolo2023","Disturbance.Frequency.herblayer_Midolo2023","Disturbance.Severity_Midolo2023","Disturbance.Severity.herblayer_Midolo2023","Grazing.Pressure_Midolo2023","Mowing.Frequency_Midolo2023","Soil.Disturbance_Midolo2023","original_taxa_Tichy2022","Ellenberg.Light_Tichy2022","Ellenberg.Moisture_Tichy2022","Ellenberg.Nutrients_Tichy2022","Ellenberg.Reaction_Tichy2022","Ellenberg.Salinity_Tichy2022","Ellenberg.Temperature_Tichy2022","original_taxa_Lososova2023","Dispersal.distance_class_Lososova2023","Dispersal.mode_Lososova2023","Plant.height_m_Lososova2023","Seed.mass_mg_Lososova2023"
"Adonis aestivalis squarrosa","Adonis aestivalis",1.80024,1.99792,0.8239,0.82009,0.15947,0.58359,0.78911,"Adonis aestivalis",7,3.5,3.8,7.8,0,6.4,"Adonis aestivalis","2","Local non-specific dispersal",0.35,10.1406666666666
"Adonis annua","Adonis annua",2.11979,2.11979,0.85052,0.85052,0.17959,0.80473,0.73118,"Adonis annua",7.6,4,5,6.5,0,NA,"Adonis annua","2","Local non-specific dispersal",0.32,10.0575
"Adonis flammea","Adonis flammea",1.83264,2.1124,0.79167,0.78913,0.2062,0.57403,0.69308,"Adonis flammea",7,3.4,3.2,8.6,0,6.4,"Adonis flammea","2","Local non-specific dispersal",0.302,6.89
"Adoxa moschatellina","Adoxa moschatellina",0.07528,1.32034,0.68933,0.1879,0.1814,0.01335,0.1035,"Adoxa moschatellina",4.3,6.1,7.3,6.9,0,4.8,"Adoxa moschatellina","6","Endozoochory",0.104,38.2096666666666
"Aegilops","Aegilops biuncialis_Aegilops cylindrica_Aegilops geniculata_Aegilops neglecta_Aegilops triuncialis",1.171366,1.937996,0.710332,0.62509,0.297602,0.542504,0.344982,"Aegilops biuncialis_Aegilops cylindrica_Aegilops geniculata_Aegilops neglecta_Aegilops triuncialis",8.28,3.34,4.74,6.72,0,9.3,"Aegilops biuncialis_Aegilops cylindrica_Aegilops geniculata_Aegilops neglecta_Aegilops triuncialis","6","Epizoochory",0.252,22.7523777777667
"Aegilops biuncialis","Aegilops biuncialis",0.71151,1.75858,0.72321,0.45526,0.31949,0.14758,0.30973,"Aegilops biuncialis",7.8,4.4,5,7,0,NA,"Aegilops biuncialis","6","Epizoochory",0.14,22.9
"Aegilops cylindrica","Aegilops cylindrica",1.63651,2.13001,0.70055,0.69066,0.26914,1.04788,0.3875,"Aegilops cylindrica",8.6,2.8,4,6,0,NA,"Aegilops cylindrica","6","Epizoochory",0.38125,29.855
"Aegilops geniculata","Aegilops geniculata",1.27204,1.9407,0.77176,0.72822,0.31268,0.44058,0.36372,"Aegilops geniculata",8.7,3.7,3.7,7,0,9.3,"Aegilops geniculata","6","Epizoochory",0.147083333333333,29.0518888888333
"Aegilops neglecta","Aegilops neglecta",1.03197,1.89886,0.68338,0.61385,0.28765,0.52018,0.33823,"Aegilops neglecta",8,2.9,5.3,7.3,0,NA,"Aegilops neglecta","6","Epizoochory",0.245,20.23
"Aegilops triuncialis","Aegilops triuncialis",1.2048,1.96183,0.67276,0.63746,0.29905,0.5563,0.32573,"Aegilops triuncialis",8.3,2.9,5.7,6.3,0,NA,"Aegilops triuncialis","6","Epizoochory",0.346666666666667,11.725
