"accepted_taxa","original_taxa_Midolo2023","Disturbance.Frequency_Midolo2023","Disturbance.Frequency.herblayer_Midolo2023","Disturbance.Severity_Midolo2023","Disturbance.Severity.herblayer_Midolo2023","Grazing.Pressure_Midolo2023","Mowing.Frequency_Midolo2023","Soil.Disturbance_Midolo2023","original_taxa_Tichy2022","Ellenberg.Light_Tichy2022","Ellenberg.Moisture_Tichy2022","Ellenberg.Nutrients_Tichy2022","Ellenberg.Reaction_Tichy2022","Ellenberg.Salinity_Tichy2022","Ellenberg.Temperature_Tichy2022","original_taxa_Lososova2023","Dispersal.distance_class_Lososova2023","Dispersal.mode_Lososova2023","Plant.height_m_Lososova2023","Seed.mass_mg_Lososova2023"
"Asparagus officinalis","Asparagus officinalis",0.76702,1.61326,0.53308,0.42277,0.24919,0.36981,0.19134,"Asparagus officinalis",7,3.8,4.3,6,0.4,6.7,"Asparagus officinalis","6","Endozoochory",0.863333333333333,95.6730424242424
"Asparagus tenuifolius","Asparagus tenuifolius",0.03378,1.30948,0.68792,0.12423,0.20635,0.01508,0.10353,"Asparagus tenuifolius",6.5,4.2,4.5,6.5,0,6.9,"Asparagus tenuifolius","6","Endozoochory",0.633333333333333,42.9828
"Asperugo procumbens","Asperugo procumbens",1.11736,1.74926,0.80185,0.74667,0.14938,0.72069,0.56325,"Asperugo procumbens",7.3,3.8,8.3,8,0.2,5.7,"Asperugo procumbens","2","Local non-specific dispersal",0.385,7.25843333333334
"Asperula","Asperula arvensis",1.79552,2.12093,0.82411,0.82018,0.18487,0.66114,0.70708,"Asperula arvensis",7.3,3.9,4.3,8.4,0,NA,"Asperula arvensis","1","Local non-specific dispersal",0.285,6.1165
"Asperula arvensis","Asperula arvensis",1.79552,2.12093,0.82411,0.82018,0.18487,0.66114,0.70708,"Asperula arvensis",7.3,3.9,4.3,8.4,0,NA,"Asperula arvensis","1","Local non-specific dispersal",0.285,6.1165
"Asphodelus","Asphodelus ramosus",0.37111,1.4666,0.70314,0.36097,0.32043,0.12268,0.18063,"Asphodelus ramosus",8,3.3,5.3,7.3,0.3,8.5,"Asphodelus ramosus","2","Local non-specific dispersal",0.625,10.25
"Asphodelus ramosus","Asphodelus ramosus",0.37111,1.4666,0.70314,0.36097,0.32043,0.12268,0.18063,"Asphodelus ramosus",8,3.3,5.3,7.3,0.3,8.5,"Asphodelus ramosus","2","Local non-specific dispersal",0.625,10.25
"Aster","Symphyotrichum squamatum",1.25341,1.67082,0.64906,0.61757,0.21538,0.43619,0.32534,"Symphyotrichum squamatum",8,7,7.5,7.5,1,9,"Symphyotrichum squamatum_Symphyotrichum subulatum","5","Anemochory",0.85875,0.64
"Aster squamatus","Symphyotrichum squamatum",1.25341,1.67082,0.64906,0.61757,0.21538,0.43619,0.32534,"Symphyotrichum squamatum",8,7,7.5,7.5,1,9,"Symphyotrichum squamatum","5","Anemochory",0.8075,NA
"Aster subulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Symphyotrichum subulatum","5","Anemochory",0.91,0.64
"Asteraceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Astragalus","Astragalus cicer_Astragalus glycyphyllos_Astragalus hamosus_Astragalus sesameus",1.0266275,1.7855275,0.711895,0.5764475,0.271435,0.4193675,0.261445,"Astragalus alopecurus_Astragalus boeticus_Astragalus cicer_Astragalus glycyphyllos_Astragalus hamosus_Astragalus sesameus",7.86666666666667,3.22,3.31666666666667,7.175,0.216666666666667,7.16,"Astragalus boeticus_Astragalus cicer_Astragalus glycyphyllos_Astragalus hamosus_Astragalus sesameus","1_2","Local non-specific dispersal",0.35458,10.3456708333333
"Astragalus alopecurus",NA,NA,NA,NA,NA,NA,NA,NA,"Astragalus alopecurus",8.5,3.5,2.5,NA,0,4,NA,NA,NA,NA,NA
"Astragalus boeticus",NA,NA,NA,NA,NA,NA,NA,NA,"Astragalus boeticus",8.5,2.5,3,6.5,1,11,"Astragalus boeticus","1","Local non-specific dispersal",0.285,30
"Astragalus cicer","Astragalus cicer",1.07336,1.71023,0.62329,0.56252,0.19945,0.78089,0.21518,"Astragalus cicer",6.9,4.3,3,7.6,0,5.9,"Astragalus cicer","2","Local non-specific dispersal",0.495,3.30766666666666
"Astragalus glycyphyllos","Astragalus glycyphyllos",0.18109,1.39387,0.6392,0.22929,0.207,0.14015,0.13057,"Astragalus glycyphyllos",6.5,NA,3.4,7.1,0,5.9,"Astragalus glycyphyllos","2","Local non-specific dispersal",0.65625,4.92501666666666
"Astragalus hamosus","Astragalus hamosus",1.5974,2.11234,0.7607,0.73593,0.29149,0.60089,0.38783,"Astragalus hamosus",7.8,3.8,6,7.5,0.3,NA,"Astragalus hamosus","1","Local non-specific dispersal",0.215,3.15
"Astragalus sesameus","Astragalus sesameus",1.25466,1.92567,0.82439,0.77805,0.3878,0.15554,0.3122,"Astragalus sesameus",9,2,2,NA,0,9,"Astragalus sesameus","1","Local non-specific dispersal",0.12165,NA
"Atocion armeria","Atocion armeria",0.66654,1.45119,0.45895,0.33922,0.26082,0.30566,0.21471,"Atocion armeria",7.3,4.4,2,5,0,6.9,"Atocion armeria","2","Local non-specific dispersal",0.405,0.129733333333333
"Atriplex","Atriplex calotheca_Atriplex glabriuscula_Atriplex halimus_Atriplex hortensis_Atriplex littoralis_Atriplex oblongifolia_Atriplex patula_Atriplex prostrata_Atriplex sagittata_Atriplex tatarica",1.603572,1.828786,0.700318,0.680378,0.202628,0.463362,0.51907,"Atriplex calotheca_Atriplex glabriuscula_Atriplex halimus_Atriplex hortensis_Atriplex littoralis_Atriplex oblongifolia_Atriplex patula_Atriplex prostrata_Atriplex sagittata_Atriplex tatarica",8.37,5.44444444444444,7.18888888888889,7.02,2.35,6.6875,"Atriplex calotheca_Atriplex glabriuscula_Atriplex halimus_Atriplex hortensis_Atriplex littoralis_Atriplex oblongifolia_Atriplex patula_Atriplex prostrata_Atriplex sagittata_Atriplex tatarica","2","Local non-specific dispersal",0.875366666666667,2.20484844444444
"Atriplex glabriuscula","Atriplex glabriuscula",1.99986,2.01468,0.58805,0.58471,0.16154,0.06365,0.62215,"Atriplex glabriuscula",9,6.3,8,7,4.3,5,"Atriplex glabriuscula","2","Local non-specific dispersal",0.431666666666667,2.68691666666666
"Atriplex halimus","Atriplex halimus",1.08374,1.38295,0.58302,0.50187,0.27892,0.1969,0.2795,"Atriplex halimus",8.3,6,6.3,7.3,6,10,"Atriplex halimus","2","Local non-specific dispersal",1.65,0.85
"Atriplex hortensis","Atriplex hortensis",1.80209,1.80209,0.8,0.78462,0.15926,0.86474,0.5875,"Atriplex hortensis",7.3,4.9,7.7,7,0.3,NA,"Atriplex hortensis","2","Local non-specific dispersal",1.349,2.6905
"Atriplex littoralis","Atriplex littoralis",1.95885,1.99882,0.61644,0.61584,0.26463,0.1536,0.49862,"Atriplex littoralis",8.9,5.6,8.3,7,6.7,6,"Atriplex littoralis","2","Local non-specific dispersal",0.6525,1.72066666666666
"Atriplex oblongifolia","Atriplex oblongifolia",1.33119,1.86379,0.80171,0.76943,0.14496,0.8214,0.58875,"Atriplex oblongifolia",8.6,4.6,6.2,6.8,0.8,6.8,"Atriplex oblongifolia","2","Local non-specific dispersal",0.685,4.2725
"Atriplex patula","Atriplex patula",1.62614,1.90779,0.80903,0.79951,0.15658,0.66404,0.68352,"Atriplex patula",6.9,NA,NA,7,0.8,5.8,"Atriplex patula","2","Local non-specific dispersal",0.6545,1.80974444444444
"Atriplex prostrata","Atriplex prostrata",1.23592,1.73714,0.57179,0.54326,0.28251,0.1638,0.32844,"Atriplex prostrata",8.2,6.6,7.2,7,2.1,NA,"Atriplex prostrata","2","Local non-specific dispersal",0.575,2.47140666666666
"Atriplex prostrata calotheca","Atriplex calotheca",1.70387,1.8988,0.68542,0.67744,0.26621,0.29551,0.39347,"Atriplex calotheca",9,6,8,7,1,6,"Atriplex calotheca","2","Local non-specific dispersal",0.73,0.73175
"Atriplex prostrata calotheca","Atriplex calotheca",1.70387,1.8988,0.68542,0.67744,0.26621,0.29551,0.39347,"Atriplex calotheca",9,6,8,7,1,6,"Atriplex calotheca","2","Local non-specific dispersal",0.73,0.73175
"Atriplex sagittata","Atriplex sagittata",1.53228,1.87269,0.8181,0.8021,0.13098,0.84703,0.62774,"Atriplex sagittata",8.6,5.3,6.8,6.8,0.2,6.8,"Atriplex sagittata","2","Local non-specific dispersal",1.475,3.022
"Atriplex tatarica","Atriplex tatarica",1.76178,1.80911,0.72962,0.725,0.18069,0.56295,0.58101,"Atriplex tatarica",8.9,3.7,6.2,7.3,1.3,7.1,"Atriplex tatarica","2","Local non-specific dispersal",0.551,1.793
"Avena","Avena barbata_Avena fatua_Avena sterilis_Avena strigosa",1.533925,1.9706375,0.805455,0.767185,0.2051775,0.4574325,0.6045825,"Avena barbata_Avena fatua_Avena sativa_Avena sterilis_Avena strigosa",7.82,3.925,5.675,6.34,0.06,7.3,"Avena barbata_Avena fatua_Avena sativa_Avena sterilis_Avena sterilis subsp. ludoviciana_Avena strigosa","2","Local non-specific dispersal",0.766347222222222,25.0233461693169
"Avena barbata","Avena barbata",0.98163,1.73585,0.75778,0.66182,0.25661,0.44182,0.37432,"Avena barbata",8,2.9,NA,6.7,0,8.5,"Avena barbata","2","Local non-specific dispersal",0.536416666666667,13.9613604762142
"Avena fatua","Avena fatua",1.75149,2.03985,0.85398,0.84527,0.13583,0.44489,0.79419,"Avena fatua",7.3,4.5,6,6.9,0,NA,"Avena fatua","2","Local non-specific dispersal",0.748,17.1053703703703
"Avena sativa",NA,NA,NA,NA,NA,NA,NA,NA,"Avena sativa",7.8,5,6.8,6,0,6,"Avena sativa","2","Local non-specific dispersal",0.872,33.0824999999999
"Avena sativa sativa",NA,NA,NA,NA,NA,NA,NA,NA,"Avena sativa",7.8,5,6.8,6,0,6,"Avena sativa","2","Local non-specific dispersal",0.872,33.0824999999999
"Avena sterilis","Avena sterilis",1.19443,1.8987,0.81839,0.76998,0.20706,0.5223,0.5026,"Avena sterilis",8,3.3,5.5,7.1,0.3,NA,"Avena sterilis","2","Local non-specific dispersal",0.696666666666667,48.256
"Avena sterilis ludoviciana","Avena sterilis",1.19443,1.8987,0.81839,0.76998,0.20706,0.5223,0.5026,"Avena sterilis",8,3.3,5.5,7.1,0.3,NA,"Avena sterilis subsp. ludoviciana","2","Local non-specific dispersal",0.75,NA
"Avena strigosa","Avena strigosa",2.20815,2.20815,0.79167,0.79167,0.22121,0.42072,0.74722,"Avena strigosa",8,NA,4.4,5,0,7.4,"Avena strigosa","2","Local non-specific dispersal",0.995,12.7115
"Avenella flexuosa","Avenella flexuosa",0.19807,1.26162,0.60937,0.19344,0.22253,0.04138,0.14252,"Avenella flexuosa",6.2,5.3,2.7,2.1,0,NA,"Avenella flexuosa","2","Local non-specific dispersal",0.337,0.311971171162162
"Avenula pubescens","Avenula pubescens",1.66057,1.98094,0.49342,0.48225,0.18818,1.06378,0.2899,"Avenula pubescens",6.5,3.5,3.5,6.1,0,4.9,"Avenula pubescens","2","Local non-specific dispersal",0.67,1.8487465
"Ballota nigra","Ballota nigra",0.80841,1.51302,0.7258,0.61049,0.17762,0.56634,0.31416,"Ballota nigra",7.4,4.7,7.5,7.2,0.1,NA,"Ballota nigra","2","Local non-specific dispersal",0.605,0.820883333333333
"Barbarea","Barbarea intermedia_Barbarea stricta_Barbarea vulgaris",0.923543333333333,1.55554666666667,0.597646666666667,0.53175,0.238166666666667,0.44494,0.281456666666667,"Barbarea intermedia_Barbarea stricta_Barbarea verna_Barbarea vulgaris",7.975,6,6.5,6.225,0,6.3,"Barbarea intermedia_Barbarea stricta_Barbarea verna_Barbarea vulgaris","2","Local non-specific dispersal",0.474069444444444,0.618737878787878
"Barbarea intermedia","Barbarea intermedia",0.87962,1.68825,0.58462,0.51538,0.332,0.42843,0.32308,"Barbarea intermedia",8.2,NA,6.5,5.8,0,NA,"Barbarea intermedia","2","Local non-specific dispersal",0.40625,0.5512
"Barbarea stricta","Barbarea stricta",0.78089,1.41596,0.58017,0.49655,0.175,0.43914,0.2056,"Barbarea stricta",7.9,6.8,7,7,0,NA,"Barbarea stricta","2","Local non-specific dispersal",0.61725,0.3235
"Barbarea verna",NA,NA,NA,NA,NA,NA,NA,NA,"Barbarea verna",8,5.1,6,5.5,0,6.3,"Barbarea verna","2","Local non-specific dispersal",0.372777777777778,0.940099999999999
"Barbarea vulgaris","Barbarea vulgaris",1.11012,1.56243,0.62815,0.58332,0.2075,0.46725,0.31569,"Barbarea vulgaris",7.8,6.1,6.5,6.6,0,NA,"Barbarea vulgaris","2","Local non-specific dispersal",0.5,0.660151515151514
"Bassia","Bassia scoparia",1.76464,2.067,0.85041,0.84194,0.125,1.16727,0.67934,"Bassia scoparia",8.3,4.5,6.5,6.3,0.5,NA,"Bassia scoparia","4","Anemochory",0.868,0.613328571428571
"Bassia scoparia","Bassia scoparia",1.76464,2.067,0.85041,0.84194,0.125,1.16727,0.67934,"Bassia scoparia",8.3,4.5,6.5,6.3,0.5,NA,"Bassia scoparia","4","Anemochory",0.868,0.613328571428571
"Bellardia trixago","Bellardia trixago",1.31444,1.85583,0.71667,0.65297,0.30286,0.50944,0.3481,"Bellardia trixago",8,3,3.7,5.7,0.5,8.5,"Bellardia trixago","5","Anemochory",0.250835,NA
"Bellevalia trifoliata",NA,NA,NA,NA,NA,NA,NA,NA,"Bellevalia trifoliata",7.3,4.7,4.7,6.7,0.3,9,"Bellevalia trifoliata","2","Local non-specific dispersal",0.425,NA
"Bellis","Bellis annua_Bellis perennis_Bellis sylvestris",1.03399666666667,1.84506333333333,0.563596666666667,0.451753333333333,0.37608,0.458936666666667,0.27005,"Bellis annua_Bellis perennis_Bellis sylvestris",7.33333333333333,6.5,3.15,4.5,0.2,9.7,"Bellis annua_Bellis pappulosa_Bellis perennis_Bellis sylvestris","1","Local non-specific dispersal",0.1355,0.148413333333333
"Bellis annua","Bellis annua",1.18777,1.81706,0.52135,0.48429,0.33209,0.17505,0.26779,"Bellis annua",7,6.5,3.5,2,0.5,9.7,"Bellis annua","1","Local non-specific dispersal",0.077,0.0724
"Bellis pappulosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bellis pappulosa","1","Local non-specific dispersal",0.1875,NA
"Bellis perennis","Bellis perennis",1.51667,2.20989,0.51276,0.49581,0.46997,0.98959,0.3594,"Bellis perennis",8.1,NA,NA,5.2,0.1,NA,"Bellis perennis","1","Local non-specific dispersal",0.09,0.122839999999999
"Bellis sylvestris","Bellis sylvestris",0.39755,1.50824,0.65668,0.37516,0.32618,0.21217,0.18296,"Bellis sylvestris",6.9,NA,2.8,6.3,0,NA,"Bellis sylvestris","1","Local non-specific dispersal",0.1875,0.25
"Berberis vulgaris","Berberis vulgaris",0.14871,1.28948,0.63974,0.16592,0.20769,0.03388,0.10801,"Berberis vulgaris",7.1,3.9,3,8.1,0,5.8,"Berberis vulgaris","6","Endozoochory",2.27777777777778,82.7797333333333
"Berteroa incana","Berteroa incana",1.25863,1.83487,0.6477,0.61504,0.21418,0.75992,0.32156,"Berteroa incana",8.8,3.5,4.4,6.3,0,6,"Berteroa incana","2","Local non-specific dispersal",0.385,0.569266666666666
"Berula erecta","Berula erecta",1.3298,1.71904,0.31196,0.28991,0.14159,0.1995,0.08428,"Berula erecta",7.3,9.9,6.1,7.5,0.6,5.5,"Berula erecta","2","Local non-specific dispersal",0.655,0.629725
"Beta","Beta vulgaris subsp. maritima",1.54224,1.61384,0.63473,0.62915,0.18478,0.23409,0.53689,"Beta vulgaris",8.5,5.1,7.7,7.3,4,NA,"Beta vulgaris subsp. maritima_Beta vulgaris subsp. vulgaris","2","Local non-specific dispersal",0.6875,16.6270833333333
"Beta vulgaris","Beta vulgaris subsp. maritima",1.54224,1.61384,0.63473,0.62915,0.18478,0.23409,0.53689,"Beta vulgaris",8.5,5.1,7.7,7.3,4,NA,"Beta vulgaris subsp. maritima_Beta vulgaris subsp. vulgaris","2","Local non-specific dispersal",0.6875,16.6270833333333
"Betonica alopecuros","Stachys alopecuros",0.28014,0.9242,0.51175,0.21802,0.21904,0.07791,0.09875,"Stachys alopecuros",7.5,4.4,2.3,7.5,0,3,"Stachys alopecuros","1","Local non-specific dispersal",0.26,1.1942
"Betula","Betula pendula_Betula pubescens",0.178485,1.28137,0.651415,0.171515,0.191115,0.04358,0.165835,"Betula pendula_Betula pubescens",7.25,NA,3.15,3.4,0.05,4.6,"Betula pendula_Betula pubescens","4_6","Anemochory_Dyszoochory",19.7112857142857,0.407917307692307
"Betula pendula","Betula pendula",0.14111,1.34435,0.6826,0.18026,0.20078,0.04142,0.17144,"Betula pendula",7.2,NA,3.4,3.8,0.1,5,"Betula pendula","4","Anemochory",21.0745714285714,0.486184615384615
"Betula pubescens","Betula pubescens",0.21586,1.21839,0.62023,0.16277,0.18145,0.04574,0.16023,"Betula pubescens",7.3,NA,2.9,3,0,4.2,"Betula pubescens","6","Dyszoochory",18.348,0.32965
"Bidens","Bidens frondosa_Bidens tripartita",1.096,1.67511,0.587015,0.54358,0.194315,0.24118,0.264375,"Bidens frondosa_Bidens tripartita",7.6,8.3,7.7,6.6,0.15,6.1,"Bidens bipinnata_Bidens frondosa_Bidens subalternans_Bidens tripartita","2_6","Epizoochory_Local non-specific dispersal",0.5715,4.19143047619048
"Bidens bipinnata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bidens bipinnata","2","Local non-specific dispersal",0.505,1.5966
"Bidens frondosa","Bidens frondosa",0.96999,1.59767,0.56634,0.50786,0.16377,0.23168,0.24264,"Bidens frondosa",7.2,8.4,7.8,7,0.2,6.4,"Bidens frondosa","2","Local non-specific dispersal",0.735,8.66097142857143
"Bidens subalternans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bidens subalternans","2","Local non-specific dispersal",0.505,NA
"Bidens tripartita","Bidens tripartita",1.22201,1.75255,0.60769,0.5793,0.22486,0.25068,0.28611,"Bidens tripartita",8,8.2,7.6,6.2,0.1,5.8,"Bidens tripartita","6","Epizoochory",0.541,2.31672
"Bifora radians","Bifora radians",1.50952,1.83378,0.81611,0.80349,0.16045,0.5842,0.75497,"Bifora radians",7.1,3.6,5.7,8.7,0,7.1,"Bifora radians","2","Local non-specific dispersal",0.341,11.1916
"Bifora testiculata","Bifora testiculata",2.25014,2.25014,0.92321,0.92321,0.10536,0.31115,0.81062,"Bifora testiculata",8,3.7,4.7,7.7,0,9,"Bifora testiculata","1","Local non-specific dispersal",0.295,6.1
"Biscutella auriculata","Biscutella auriculata",1.24298,2.01547,0.84,0.81,0.26,0.90833,0.565,"Biscutella auriculata",9,1,5,7,0,7,"Biscutella auriculata","","Local non-specific dispersal",NA,NA
"Biserrula pelecinus","Astragalus pelecinus",1.74674,2.14151,0.53099,0.52254,0.39577,0.4761,0.31486,"Astragalus pelecinus",8,2.5,3.5,7.5,0.5,10,"Astragalus pelecinus","1","Local non-specific dispersal",0.14,0.784999999999999
"Bituminaria bituminosa","Bituminaria bituminosa",0.39747,1.45836,0.69739,0.37492,0.30991,0.17241,0.17006,"Bituminaria bituminosa",7.9,3.7,NA,7.5,0.2,NA,"Bituminaria bituminosa","2","Local non-specific dispersal",0.60453125,40.4
"Blackstonia perfoliata","Blackstonia perfoliata",0.73263,1.65999,0.58126,0.43796,0.29543,0.39285,0.17111,"Blackstonia perfoliata",8.1,NA,NA,7.1,0.6,NA,"Blackstonia perfoliata","1","Local non-specific dispersal",0.205673333333333,0.015125
"Blackstonia perfoliata perfoliata","Blackstonia perfoliata",0.73263,1.65999,0.58126,0.43796,0.29543,0.39285,0.17111,"Blackstonia perfoliata",8.1,NA,NA,7.1,0.6,NA,"Blackstonia perfoliata","1","Local non-specific dispersal",0.205673333333333,0.015125
"Bolboschoenus maritimus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bolboschoenus maritimus","2","Local non-specific dispersal",0.71,2.94340625
"Bombycilaena erecta","Bombycilaena erecta",1.39781,2.00667,0.63248,0.60347,0.37373,0.34613,0.29806,"Bombycilaena erecta",8.9,1.8,1.3,8.6,0,NA,"Bombycilaena erecta","1","Local non-specific dispersal",0.136666666666667,0.1084
"Boraginaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Borago officinalis","Borago officinalis",1.46834,1.98622,0.84183,0.82049,0.21981,0.66712,0.49163,"Borago officinalis",7.8,3.6,6.4,6.6,0,NA,"Borago officinalis","3","Myrmecochory",0.412,15.96625
"Bothriochloa barbinodis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bothriochloa ischaemum","Bothriochloa ischaemum",1.29563,1.88352,0.50497,0.47204,0.37043,0.58379,0.19519,"Bothriochloa ischaemum",8.9,3.3,3,8,0,6.9,"Bothriochloa ischaemum","2","Local non-specific dispersal",0.411,0.406110999999999
"Brachypodium","Brachypodium phoenicoides_Brachypodium pinnatum_Brachypodium retusum_Brachypodium sylvaticum_Trachynia distachya",0.416284,1.489814,0.655844,0.345404,0.275468,0.183428,0.161518,"Brachypodium phoenicoides_Brachypodium pinnatum_Brachypodium retusum_Brachypodium sylvaticum_Trachynia distachya",7.675,3.36,3.54,6.92,0.16,7.2,"Brachypodium phoenicoides_Brachypodium pinnatum_Brachypodium retusum_Brachypodium sylvaticum_Trachynia distachya","2_6","Epizoochory_Local non-specific dispersal",0.489453571428571,3.06799417212197
"Brachypodium distachyon","Trachynia distachya",0.82132,1.65119,0.7098,0.56671,0.33001,0.22768,0.26699,"Trachynia distachya",8,1.5,2.5,7,0.5,9,"Trachynia distachya","6","Epizoochory",0.181625,2.190900901
"Brachypodium phoenicoides","Brachypodium phoenicoides",0.30554,1.47684,0.65401,0.30571,0.27738,0.17415,0.15754,"Brachypodium phoenicoides",8.3,3,3.3,6.7,0,7.5,"Brachypodium phoenicoides","2","Local non-specific dispersal",0.5175,2.835
"Brachypodium pinnatum","Brachypodium pinnatum",0.53396,1.58152,0.55223,0.365,0.25674,0.40993,0.1307,"Brachypodium pinnatum",6.1,4.2,4,7.2,0,5.1,"Brachypodium pinnatum","2","Local non-specific dispersal",0.66,3.57176944445833
"Brachypodium retusum","Brachypodium retusum",0.33114,1.39632,0.68131,0.30136,0.31454,0.07553,0.14317,"Brachypodium retusum",8.3,2.7,2.3,7.3,0.3,NA,"Brachypodium retusum","2","Local non-specific dispersal",0.331142857142857,2.995
"Brachypodium sylvaticum","Brachypodium sylvaticum",0.08946,1.3432,0.68187,0.18824,0.19867,0.02985,0.10919,"Brachypodium sylvaticum",NA,5.4,5.6,6.4,0,NA,"Brachypodium sylvaticum","2","Local non-specific dispersal",0.757,3.74730051515151
"Brachythecium rutabulum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brassica","Brassica barrelieri_Brassica tournefortii",0.732175,1.83818,0.60519,0.39827,0.2305,0.174825,0.319595,"Brassica barrelieri_Brassica napus_Brassica oleracea_Brassica rapa_Brassica tournefortii",8.06,4.28,6.3,6.72,1.08,7.825,"Brassica barrelieri_Brassica juncea_Brassica napus_Brassica oleracea_Brassica rapa_Brassica tournefortii","2","Local non-specific dispersal",0.780325,2.27931287878788
"Brassica barrelieri","Brassica barrelieri",0.35473,1.73636,0.645,0.32381,0.245,0.21503,0.22381,"Brassica barrelieri",8.3,2.8,3.6,4.8,0.1,8.1,"Brassica barrelieri","2","Local non-specific dispersal",NA,0.5636
"Brassica juncea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brassica juncea","2","Local non-specific dispersal",0.8875,2.5
"Brassica napus",NA,NA,NA,NA,NA,NA,NA,NA,"Brassica napus",7.3,4.9,7.8,7.2,0.3,6.4,"Brassica napus","2","Local non-specific dispersal",0.895625,3.846
"Brassica napus napus",NA,NA,NA,NA,NA,NA,NA,NA,"Brassica napus",7.3,4.9,7.8,7.2,0.3,6.4,"Brassica napus","2","Local non-specific dispersal",0.895625,3.846
"Brassica oleracea",NA,NA,NA,NA,NA,NA,NA,NA,"Brassica oleracea",8.2,5.5,7.5,6.8,3.7,NA,"Brassica oleracea","2","Local non-specific dispersal",0.960833333333333,3.27952727272727
"Brassica rapa",NA,NA,NA,NA,NA,NA,NA,NA,"Brassica rapa",7.8,4.9,6.9,6.8,0.3,6.1,"Brassica rapa","2","Local non-specific dispersal",0.707666666666667,2.08675
"Brassica tournefortii","Brassica tournefortii",1.10962,1.94,0.56538,0.47273,0.216,0.13462,0.41538,"Brassica tournefortii",8.7,3.3,5.7,8,1,10.7,"Brassica tournefortii","2","Local non-specific dispersal",0.45,1.4
"Brassicaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Briza","Briza maxima_Briza media_Briza minor",1.10552333333333,1.77657,0.542596666666667,0.448743333333333,0.254566666666667,0.50501,0.231283333333333,"Briza maxima_Briza media_Briza minor",7.73333333333333,3.55,3.03333333333333,5.46666666666667,0.0333333333333333,7.76666666666667,"Briza maxima_Briza media_Briza minor","1_2","Local non-specific dispersal",0.352666666666667,1.07028580247222
"Briza maxima","Briza maxima",0.58594,1.62505,0.65588,0.42994,0.29386,0.22518,0.23224,"Briza maxima",7.5,2,2.3,4.8,0,9.3,"Briza maxima","2","Local non-specific dispersal",0.455,2.36875
"Briza media","Briza media",1.46492,1.96549,0.48219,0.46251,0.23199,0.99842,0.2101,"Briza media",7.9,5.1,2.3,5.8,0.1,5,"Briza media","2","Local non-specific dispersal",0.368,0.518107407416666
"Briza minor","Briza minor",1.26571,1.73917,0.48972,0.45378,0.23785,0.29143,0.25151,"Briza minor",7.8,NA,4.5,5.8,0,9,"Briza minor","1","Local non-specific dispersal",0.235,0.324
"Bromeliaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bromus","Anisantha diandra_Anisantha fasciculata_Anisantha madritensis_Anisantha rigida_Anisantha rubens_Anisantha sterilis_Anisantha tectorum_Bromopsis erecta_Bromopsis inermis_Bromus arvensis_Bromus commutatus_Bromus hordeaceus_Bromus japonicus_Bromus lanceolatus_Bromus racemosus_Bromus secalinus_Bromus squarrosus_Ceratochloa cathartica",1.28643055555556,1.85419833333333,0.678623333333333,0.626903888888889,0.239161666666667,0.6077,0.386796111111111,"Anisantha diandra_Anisantha fasciculata_Anisantha madritensis_Anisantha rigida_Anisantha rubens_Anisantha sterilis_Anisantha tectorum_Bromopsis erecta_Bromopsis inermis_Bromus arvensis_Bromus commutatus_Bromus grossus_Bromus hordeaceus_Bromus japonicus_Bromus lanceolatus_Bromus lepidus_Bromus racemosus_Bromus secalinus_Bromus squarrosus_Ceratochloa cathartica_Festuca stricta",7.71428571428571,3.38888888888889,4.75333333333333,7.045,0.214285714285714,7.35833333333333,"Anisantha diandra_Anisantha fasciculata_Anisantha madritensis_Anisantha rigida_Anisantha rubens_Anisantha sterilis_Anisantha tectorum_Bromopsis benekenii_Bromopsis erecta_Bromopsis erecta subsp. gordjaginii_Bromopsis inermis_Bromopsis ramosa_Bromus arvensis_Bromus commutatus_Bromus grossus_Bromus hordeaceus_Bromus japonicus_Bromus lanceolatus_Bromus lepidus_Bromus racemosus_Bromus secalinus_Bromus squarrosus_Ceratochloa cathartica","2_6","Epizoochory_Local non-specific dispersal",0.515993939393939,4.83184482230905
