"original_taxa","original_ID","database_ID","simplified_taxa","accepted_taxa","in_WFO","match","accepted_wfo"
"Xanthium orientale subsp. orientale",NA,"FR_VIN_SAVM","Xanthium orientale orientale","Xanthium orientale","Accepted","Synonym","Xanthium orientale"
"Xanthium strumarium subsp. italicum","XANSI","FR_ANN_BIOVIGILANCE","Xanthium strumarium italicum","Xanthium strumarium strumarium","Accepted","Synonym","Xanthium strumarium subsp. strumarium"
"Ziziphora acinos","STIAC","FR_ANN_BARR","Ziziphora acinos","Clinopodium acinos","Accepted","Synonym","Clinopodium acinos"
"Ziziphora acinos",NA,"FR_VIN_SAVM","Ziziphora acinos","Clinopodium acinos","Accepted","Synonym","Clinopodium acinos"
"Repousses de graminées cultivées","3GRAC","FR_CASYS","Repousses de graminées cultivées",NA,"NOT FOUND","NOT FOUND",NA
"Elytrigia repens","AGRRE","FR_CASYS","Elytrigia repens","Elymus repens","Accepted","Synonym","Elymus repens"
"Anisantha sterilis","BROST","FR_CASYS","Anisantha sterilis","Bromus sterilis","Accepted","Synonym","Bromus sterilis"
"Brassica nigra","BRSNI","FR_CASYS","Brassica nigra","Mutarda nigra","Accepted","Synonym","Mutarda nigra"
"Chaenorrhinum minus","CHNMI","FR_CASYS","Chaenorrhinum minus","Chaenorhinum minus","Accepted","Fuzzy","Chaenorhinum minus"
"Schedonorus arundinaceus","FESAR","FR_CASYS","Schedonorus arundinaceus","Lolium arundinaceum","Accepted","Synonym","Lolium arundinaceum"
"Schedonorus pratensis","FESPR","FR_CASYS","Schedonorus pratensis","Lolium pratense","Accepted","Synonym","Lolium pratense"
"Pisum","PIBSX","FR_CASYS","Pisum","Lathyrus","Accepted","Synonym","Lathyrus"
"Sinapis arvensis","SINAR","FR_CASYS","Sinapis arvensis","Mutarda arvensis","Accepted","Synonym","Mutarda arvensis"
"x Triticosecale rimpaui","TTLWI","FR_CASYS","x Triticosecale rimpaui","Triticosecale rimpaui","Unchecked","Fuzzy","Triticosecale rimpaui"
"Vulpia myuros","VLPMY","FR_CASYS","Vulpia myuros","Festuca myuros","Accepted","Synonym","Festuca myuros"
"Aira multiculmis Dumort., 1824","80902","FR_CBN","Aira multiculmis","Aira caryophyllea","Accepted","Synonym","Aira caryophyllea"
"Allium pallens L., 1762","81463","FR_CBN","Allium pallens","Allium flavum","Accepted","Synonym","Allium flavum"
"Anchusa italica Retz., 1779","82380","FR_CBN","Anchusa italica","Anchusa azurea","Accepted","Synonym","Anchusa azurea"
"Anisantha diandra (Roth) Tutin ex Tzvelev, 1963","82750","FR_CBN","Anisantha diandra","Bromus diandrus","Accepted","Synonym","Bromus diandrus"
"Anisantha tectorum (L.) Nevski, 1934","82758","FR_CBN","Anisantha tectorum","Bromus tectorum","Accepted","Synonym","Bromus tectorum"
"Aphanes australis Rydb., 1908","83160","FR_CBN","Aphanes australis","Alchemilla australis","Accepted","Synonym","Alchemilla australis"
"Camelina sativa var. pilosa DC.","613479","FR_CBN","Camelina sativa pilosa","Camelina microcarpa","Accepted","Synonym","Camelina microcarpa"
"Ceratocephala falcata (L.) Pers., 1805","90180","FR_CBN","Ceratocephala falcata","Ranunculus falcatus","Accepted","Synonym","Ranunculus falcatus"
"Chaenorrhinum minus subsp. minus (L.) Lange, 1870","133183","FR_CBN","Chaenorrhinum minus minus","Chaenorhinum minus","Accepted","Fuzzy","Chaenorhinum minus"
"Cyanus segetum Hill, 1762","93680","FR_CBN","Cyanus segetum","Centaurea cyanus","Accepted","Synonym","Centaurea cyanus"
"Delphinium orientale J.Gay, 1840","161239","FR_CBN","Delphinium orientale","Delphinium ajacis","Accepted","Synonym","Delphinium ajacis"
"Ervilia articulata (Hornem.) H.Schaef., Coulot & Rabaute, 2016","788870","FR_CBN","Ervilia articulata","Vicia articulata","Accepted","Synonym","Vicia articulata"
"Ervilia hirsuta (L.) Opiz, 1852","97084","FR_CBN","Ervilia hirsuta","Vicia hirsuta","Accepted","Synonym","Vicia hirsuta"
"Ervilia sativa Link, 1822","97088","FR_CBN","Ervilia sativa","Vicia ervilia","Accepted","Synonym","Vicia ervilia"
"Ervum gracile (Loisel.) DC., 1813","97101","FR_CBN","Ervum gracile","Vicia parviflora","Accepted","Synonym","Vicia parviflora"
"Erysimum incanum subsp. aurigeranum (Jeanb. & Timb.-Lagr.) O.Bolòs & Vigo, 1990","134318","FR_CBN","Erysimum incanum aurigeranum","Erysimum aurigeranum","Accepted","Synonym","Erysimum aurigeranum"
"Gypsophila muralis L., 1753","100677","FR_CBN","Gypsophila muralis","Psammophiliella muralis","Accepted","Synonym","Psammophiliella muralis"
"Lycopsis arvensis L., 1753","107027","FR_CBN","Lycopsis arvensis","Anchusa arvensis","Accepted","Synonym","Anchusa arvensis"
"Lysimachia arvensis subsp. arvensis (L.) U.Manns & Anderb., 2009","612638","FR_CBN","Lysimachia arvensis arvensis","Lysimachia arvensis","Accepted","Synonym","Lysimachia arvensis"
"Montia arvensis Wallr., 1840","108780","FR_CBN","Montia arvensis","Montia fontana","Accepted","Synonym","Montia fontana"
"Muscari motelayi Foucaud, 1891","108896","FR_CBN","Muscari motelayi","Muscari botryoides","Accepted","Synonym","Muscari botryoides"
"Myosurus minimus L., 1753","109126","FR_CBN","Myosurus minimus","Ranunculus minimus","Accepted","Synonym","Ranunculus minimus"
"Neslia paniculata subsp. thracica (Velen.) Bornm., 1894","138067","FR_CBN","Neslia paniculata thracica","Neslia apiculata","Accepted","Synonym","Neslia apiculata"
"Nigella hispanica var. hispanica L., 1753","718723","FR_CBN","Nigella hispanica hispanica","Nigella hispanica","Accepted","Synonym","Nigella hispanica"
"Nigella hispanica var. intermedia Coss., 1849","718723","FR_CBN","Nigella hispanica intermedia","Nigella hispanica","Accepted","Synonym","Nigella hispanica"
"Odontites luteus subsp. lanceolatus (Gaudin) P.Fourn., 1937","138126","FR_CBN","Odontites luteus lanceolatus","Odontites lanceolatus","Accepted","Synonym","Odontites lanceolatus"
"Orlaya platycarpos W.D.J.Koch, 1824","111301","FR_CBN","Orlaya platycarpos","Caucalis platycarpos","Accepted","Synonym","Caucalis platycarpos"
"Papaver argemone L., 1753","112285","FR_CBN","Papaver argemone","Roemeria argemone","Accepted","Synonym","Roemeria argemone"
"Papaver hybridum L., 1753","112319","FR_CBN","Papaver hybridum","Roemeria hispida","Accepted","Synonym","Roemeria hispida"
"Phelipanche ramosa (L.) Pomel, 1874","113100","FR_CBN","Phelipanche ramosa","Orobanche ramosa","Accepted","Synonym","Orobanche ramosa"
"Physalis alkekengi L., 1753","113321","FR_CBN","Physalis alkekengi","Alkekengi officinarum","Accepted","Synonym","Alkekengi officinarum"
"Platycapnos spicata (L.) Bernh., 1833","114035","FR_CBN","Platycapnos spicata","Platycapnos spicatus","Accepted","Synonym","Platycapnos spicatus"
"Pisum sativum var. arvense (L.) Poir., 1804","149514","FR_CBN","Pisum sativum arvense","Lathyrus oleraceus","Accepted","Synonym","Lathyrus oleraceus"
"Scleranthus annuus subsp. annuus L., 1753","140781","FR_CBN","Scleranthus annuus annuus","Scleranthus annuus","Accepted","Synonym","Scleranthus annuus"
"Sinapis arvensis L., 1753","123713","FR_CBN","Sinapis arvensis","Mutarda arvensis","Accepted","Synonym","Mutarda arvensis"
"Thlaspi alliaceum L., 1753","126322","FR_CBN","Thlaspi alliaceum","Mummenhoffia alliacea","Accepted","Synonym","Mummenhoffia alliacea"
"Tulipa aximensis Jord. Ex Baker, 1894","127918","FR_CBN","Tulipa aximensis","Tulipa agenensis","Accepted","Synonym","Tulipa agenensis"
"Tulipa billietiana Jord., 1858","127921","FR_CBN","Tulipa billietiana","Tulipa gesneriana","Accepted","Synonym","Tulipa gesneriana"
"Tulipa didieri Jord., 1846","127928","FR_CBN","Tulipa didieri","Tulipa gesneriana","Accepted","Synonym","Tulipa gesneriana"
"Tulipa lortetii Jord., 1858","127938","FR_CBN","Tulipa lortetii","Tulipa agenensis","Accepted","Synonym","Tulipa agenensis"
"Tulipa mauriana Jord & Fourr., 1866","127943","FR_CBN","Tulipa mauriana","Tulipa gesneriana","Accepted","Synonym","Tulipa gesneriana"
"Tulipa montisandrei J. Prudhomme, 1994","127945","FR_CBN","Tulipa montisandrei","Tulipa gesneriana","Accepted","Synonym","Tulipa gesneriana"
"Tulipa planifolia Jord., 1858","127950","FR_CBN","Tulipa planifolia","Tulipa gesneriana","Accepted","Synonym","Tulipa gesneriana"
"Tulipa raddii Reboul, 1822","127956","FR_CBN","Tulipa raddii","Tulipa agenensis","Accepted","Synonym","Tulipa agenensis"
"Vaccaria hispanica (Mill.) Rauschert, 1965","128330","FR_CBN","Vaccaria hispanica","Gypsophila vaccaria","Accepted","Synonym","Gypsophila vaccaria"
"Valerianella dentata (L.) Pollich, 1776","128467","FR_CBN","Valerianella dentata","Valeriana dentata","Accepted","Synonym","Valeriana dentata"
"Valerianella echinata (L.) DC., 1805","128469","FR_CBN","Valerianella echinata","Valeriana echinata","Accepted","Synonym","Valeriana echinata"
"Valerianella eriocarpa Desv., 1809","128470","FR_CBN","Valerianella eriocarpa","Valeriana eriocarpa","Accepted","Synonym","Valeriana eriocarpa"
"Valerianella locusta (L.) Laterr., 1821","128476","FR_CBN","Valerianella locusta","Valeriana locusta","Accepted","Synonym","Valeriana locusta"
"Vicia angustifolia L., 1759","129109","FR_CBN","Vicia angustifolia","Vicia sativa nigra","Accepted","Synonym","Vicia sativa nigra"
"Vicia dasycarpa Ten., 1829","129153","FR_CBN","Vicia dasycarpa","Vicia villosa varia","Accepted","Synonym","Vicia villosa subsp. varia"
"Vicia pannonica var. purpurascens (DC.) Ser., 1825","152461","FR_CBN","Vicia pannonica purpurascens","Vicia pannonica","Accepted","Synonym","Vicia pannonica"
"Vogtia annua (L.) Oberpr. & Sonboli, 2012","717697","FR_CBN","Vogtia annua","Tanacetum annuum","Accepted","Synonym","Tanacetum annuum"
"Repousses graminées","3GRAC","FR_ANN_DEEPIMPACT","Repousses graminées",NA,"NOT FOUND","NOT FOUND",NA
"Elytrigia repens","AGRRE","FR_ANN_DEEPIMPACT","Elytrigia repens","Elymus repens","Accepted","Synonym","Elymus repens"
"Anisantha sterilis","BROST","FR_ANN_DEEPIMPACT","Anisantha sterilis","Bromus sterilis","Accepted","Synonym","Bromus sterilis"
"Brassica carinata","BRSCA","FR_ANN_DEEPIMPACT","Brassica carinata","Mutarda carinata","Accepted","Synonym","Mutarda carinata"
"Convolvulus sepium","CAGSE","FR_ANN_DEEPIMPACT","Convolvulus sepium","Calystegia sepium","Accepted","Synonym","Calystegia sepium"
"Cyanus segetum","CENCY","FR_ANN_DEEPIMPACT","Cyanus segetum","Centaurea cyanus","Accepted","Synonym","Centaurea cyanus"
"Schedonorus arundinaceus","FESAR","FR_ANN_DEEPIMPACT","Schedonorus arundinaceus","Lolium arundinaceum","Accepted","Synonym","Lolium arundinaceum"
"Ficaria verna","FICVE","FR_ANN_DEEPIMPACT","Ficaria verna","Ranunculus ficaria","Accepted","Synonym","Ranunculus ficaria"
"Lens culinaris","LENCU","FR_ANN_DEEPIMPACT","Lens culinaris","Vicia lens","Accepted","Synonym","Vicia lens"
"Lathyrus sativa","LTHSA","FR_ANN_DEEPIMPACT","Lathyrus sativa","Lathyrus sativus","Accepted","Fuzzy","Lathyrus sativus"
"Trigonella alba","MEUAL","FR_ANN_DEEPIMPACT","Trigonella alba","Melilotus albus","Accepted","Synonym","Melilotus albus"
"Trigonella altissima","MEUOF","FR_ANN_DEEPIMPACT","Trigonella altissima","Melilotus altissimus","Accepted","Synonym","Melilotus altissimus"
"Pas d'adventice",NA,"FR_ANN_DEEPIMPACT","Pas d'adventice",NA,"NOT FOUND","NOT FOUND",NA
"Arbre","NNNVP","FR_ANN_DEEPIMPACT","Arbre",NA,"NOT FOUND","NOT FOUND",NA
"Setaria italica subsp. viridis","SETVI","FR_ANN_DEEPIMPACT","Setaria italica viridis","Setaria viridis","Accepted","Synonym","Setaria viridis"
"Sinapis arvensis","SINAR","FR_ANN_DEEPIMPACT","Sinapis arvensis","Mutarda arvensis","Accepted","Synonym","Mutarda arvensis"
"Stellaria holostea","STEHO","FR_ANN_DEEPIMPACT","Stellaria holostea","Rabelera holostea","Accepted","Synonym","Rabelera holostea"
"Vulpia myuros","VLPMY","FR_ANN_DEEPIMPACT","Vulpia myuros","Festuca myuros","Accepted","Synonym","Festuca myuros"
"Anisantha sterilis",NA,"FR_SUN_ENIVTH","Anisantha sterilis","Bromus sterilis","Accepted","Synonym","Bromus sterilis"
"Brachypodium rupestre",NA,"FR_SUN_ENIVTH","Brachypodium rupestre","Brachypodium pinnatum","Accepted","Synonym","Brachypodium pinnatum"
"Bromopsis erecta",NA,"FR_SUN_ENIVTH","Bromopsis erecta","Bromus erectus","Accepted","Synonym","Bromus erectus"
"Ceratochloa cathartica",NA,"FR_SUN_ENIVTH","Ceratochloa cathartica","Bromus catharticus","Accepted","Synonym","Bromus catharticus"
"Chaenorrhinum minus",NA,"FR_SUN_ENIVTH","Chaenorrhinum minus","Chaenorhinum minus","Accepted","Fuzzy","Chaenorhinum minus"
"Convolvulus sepium",NA,"FR_SUN_ENIVTH","Convolvulus sepium","Calystegia sepium","Accepted","Synonym","Calystegia sepium"
"Cyanus segetum",NA,"FR_SUN_ENIVTH","Cyanus segetum","Centaurea cyanus","Accepted","Synonym","Centaurea cyanus"
"Elytrigia repens",NA,"FR_SUN_ENIVTH","Elytrigia repens","Elymus repens","Accepted","Synonym","Elymus repens"
"Ervilia hirsuta",NA,"FR_SUN_ENIVTH","Ervilia hirsuta","Vicia hirsuta","Accepted","Synonym","Vicia hirsuta"
"Ervum tetraspermum",NA,"FR_SUN_ENIVTH","Ervum tetraspermum","Vicia tetrasperma","Accepted","Synonym","Vicia tetrasperma"
"Loncomelos pyrenaicus",NA,"FR_SUN_ENIVTH","Loncomelos pyrenaicus","Loncomelos pyrenaicum","Accepted","Fuzzy","Loncomelos pyrenaicum"
"Lycopsis arvensis",NA,"FR_SUN_ENIVTH","Lycopsis arvensis","Anchusa arvensis","Accepted","Synonym","Anchusa arvensis"
"Oxalis fontana",NA,"FR_SUN_ENIVTH","Oxalis fontana","Oxalis stricta","Accepted","Synonym","Oxalis stricta"
"Pisum sp",NA,"FR_SUN_ENIVTH","Pisum","Lathyrus","Accepted","Synonym","Lathyrus"
"Polygonum amphibium",NA,"FR_SUN_ENIVTH","Polygonum amphibium","Persicaria amphibia","Accepted","Synonym","Persicaria amphibia"
"Polygonum persicaria",NA,"FR_SUN_ENIVTH","Polygonum persicaria","Persicaria maculosa","Accepted","Synonym","Persicaria maculosa"
"Poterium sanguisorba",NA,"FR_SUN_ENIVTH","Poterium sanguisorba","Sanguisorba minor","Accepted","Synonym","Sanguisorba minor"
"Repousse Céréale",NA,"FR_SUN_ENIVTH","Repousse céréale",NA,"NOT FOUND","NOT FOUND",NA
"Schedonorus arundinaceus",NA,"FR_SUN_ENIVTH","Schedonorus arundinaceus","Lolium arundinaceum","Accepted","Synonym","Lolium arundinaceum"
"Schedonorus pratensis",NA,"FR_SUN_ENIVTH","Schedonorus pratensis","Lolium pratense","Accepted","Synonym","Lolium pratense"
"Sinapis arvensis",NA,"FR_SUN_ENIVTH","Sinapis arvensis","Mutarda arvensis","Accepted","Synonym","Mutarda arvensis"
"Stellaria holostea",NA,"FR_SUN_ENIVTH","Stellaria holostea","Rabelera holostea","Accepted","Synonym","Rabelera holostea"
"Trigonella officinalis",NA,"FR_SUN_ENIVTH","Trigonella officinalis","Melilotus officinalis","Accepted","Synonym","Melilotus officinalis"
"Valerianella dentata",NA,"FR_SUN_ENIVTH","Valerianella dentata","Valeriana dentata","Accepted","Synonym","Valeriana dentata"
"Valerianella locusta",NA,"FR_SUN_ENIVTH","Valerianella locusta","Valeriana locusta","Accepted","Synonym","Valeriana locusta"
"Vicia segetalis",NA,"FR_SUN_ENIVTH","Vicia segetalis","Vicia sativa nigra","Accepted","Synonym","Vicia sativa subsp. nigra"
"Vulpia myuros",NA,"FR_SUN_ENIVTH","Vulpia myuros","Festuca myuros","Accepted","Synonym","Festuca myuros"
"Vulpia sp",NA,"FR_SUN_ENIVTH","Vulpia","Festuca","Accepted","Synonym","Festuca"
"Consolida regalis","CNSRE","FR_ANN_FENAY_GFPHD","Consolida regalis","Delphinium consolida","Accepted","Synonym","Delphinium consolida"
"Potentilla anserina","PTLAN","FR_ANN_FENAY_GFPHD","Potentilla anserina","Argentina anserina","Accepted","Synonym","Argentina anserina"
"Sinapis arvensis","SINAR","FR_ANN_FENAY_GFPHD","Sinapis arvensis","Mutarda arvensis","Accepted","Synonym","Mutarda arvensis"
"Anacyclus radiatus","flavi20","FR_VIN_FLAVI","Anacyclus radiatus","Porophyllum ruderale macrocephalum","Accepted","Synonym","Porophyllum ruderale subsp. macrocephalum"
"Anisantha diandra","flavi23","FR_VIN_FLAVI","Anisantha diandra","Bromus diandrus","Accepted","Synonym","Bromus diandrus"
"Anisantha madritensis","flavi24","FR_VIN_FLAVI","Anisantha madritensis","Bromus madritensis","Accepted","Synonym","Bromus madritensis"
"Anisantha sterilis","flavi25","FR_VIN_FLAVI","Anisantha sterilis","Bromus sterilis","Accepted","Synonym","Bromus sterilis"
"Anisantha tectorum","flavi26","FR_VIN_FLAVI","Anisantha tectorum","Bromus tectorum","Accepted","Synonym","Bromus tectorum"
"Arenaria leptoclados","flavi30","FR_VIN_FLAVI","Arenaria leptoclados","Arenaria serpyllifolia leptoclados","Accepted","Synonym","Arenaria serpyllifolia subsp. leptoclados"
"Avenula bromoides","flavi40","FR_VIN_FLAVI","Avenula bromoides","Helictochloa bromoides","Accepted","Synonym","Helictochloa bromoides"
"Beta maritima","flavi43","FR_VIN_FLAVI","Beta maritima","Beta vulgaris","Accepted","Synonym","Beta vulgaris"
"Bromopsis erecta","flavi52","FR_VIN_FLAVI","Bromopsis erecta","Bromus erectus","Accepted","Synonym","Bromus erectus"
"Calamintha sylvatica","flavi56","FR_VIN_FLAVI","Calamintha sylvatica","Clinopodium menthifolium menthifolium","Accepted","Synonym","Clinopodium menthifolium subsp. menthifolium"
"Centranthus calcitrapae","flavi73","FR_VIN_FLAVI","Centranthus calcitrapae","Valeriana calcitrapae","Accepted","Synonym","Valeriana calcitrapae"
"Crataegus x subsphaerica","flavi95","FR_VIN_FLAVI","Crataegus x subsphaerica","Crataegus kyrtostyla domicensis","Accepted","Synonym","Crataegus kyrtostyla domicensis"
"Crepis taraxacifolia","flavi102","FR_VIN_FLAVI","Crepis taraxacifolia","Crepis vesicaria","Accepted","Synonym","Crepis vesicaria"
"Elytrigia campestris","flavi117","FR_VIN_FLAVI","Elytrigia campestris","Elymus pungens campestris","Accepted","Synonym","Elymus pungens subsp. campestris"
"Elytrigia repens","flavi118","FR_VIN_FLAVI","Elytrigia repens","Elymus repens","Accepted","Synonym","Elymus repens"
"Epibolium angustifolium","flavi119","FR_VIN_FLAVI","Epibolium angustifolium","Epilobium angustifolium","Accepted","Fuzzy","Epilobium angustifolium"
"Festuca arundinacea","flavi139","FR_VIN_FLAVI","Festuca arundinacea","Lolium arundinaceum","Accepted","Synonym","Lolium arundinaceum"
"Ficaria verna","flavi141","FR_VIN_FLAVI","Ficaria verna","Ranunculus ficaria","Accepted","Synonym","Ranunculus ficaria"
"Fumana ericifolia","flavi146","FR_VIN_FLAVI","Fumana ericifolia","Fumana ericoides montana","Accepted","Synonym","Fumana ericoides subsp. montana"
"Fumaria tenuifolia","flavi149","FR_VIN_FLAVI","Fumaria tenuifolia","Platycapnos spicata","Synonym","Synonym","Platycapnos spicata"
"Jasminum fruticans","flavi173","FR_VIN_FLAVI","Jasminum fruticans","Chrysojasminum fruticans","Accepted","Synonym","Chrysojasminum fruticans"
"Lycopsis arvensis","flavi204","FR_VIN_FLAVI","Lycopsis arvensis","Anchusa arvensis","Accepted","Synonym","Anchusa arvensis"
"Minuartia hybrida","flavi232","FR_VIN_FLAVI","Minuartia hybrida","Sabulina tenuifolia hybrida","Accepted","Synonym","Sabulina tenuifolia subsp. hybrida"
"Petrorhargia prolifera","flavi250","FR_VIN_FLAVI","Petrorhargia prolifera","Petrorhagia prolifera","Accepted","Fuzzy","Petrorhagia prolifera"
"Phillyrea media","flavi252","FR_VIN_FLAVI","Phillyrea media","Phillyrea latifolia","Accepted","Synonym","Phillyrea latifolia"
"Pisum sativum","flavi256","FR_VIN_FLAVI","Pisum sativum","Lathyrus oleraceus","Accepted","Synonym","Lathyrus oleraceus"
"Plantago arenaria","flavi257","FR_VIN_FLAVI","Plantago arenaria","Plantago indica","Accepted","Synonym","Plantago indica"
"Poa latifolia","flavi265","FR_VIN_FLAVI","Poa latifolia","Poa chaixii","Accepted","Synonym","Poa chaixii"
"Podospermum laciniatum","flavi269","FR_VIN_FLAVI","Podospermum laciniatum","Scorzonera laciniata","Accepted","Synonym","Scorzonera laciniata"
"Podospermum picroides","flavi270","FR_VIN_FLAVI","Podospermum picroides","Urospermum picroides","Accepted","Synonym","Urospermum picroides"
"Poterium sanguisorba","flavi276","FR_VIN_FLAVI","Poterium sanguisorba","Sanguisorba minor","Accepted","Synonym","Sanguisorba minor"
"Poterium verrucosum","flavi277","FR_VIN_FLAVI","Poterium verrucosum","Sanguisorba verrucosa","Accepted","Synonym","Sanguisorba verrucosa"
"Rosmarinus officinalis","flavi291","FR_VIN_FLAVI","Rosmarinus officinalis","Salvia rosmarinus","Accepted","Synonym","Salvia rosmarinus"
"Scabiosa maritima","flavi303","FR_VIN_FLAVI","Scabiosa maritima","Scabiosa atropurpurea","Accepted","Synonym","Scabiosa atropurpurea"
"Scorpiurus subvillosus","flavi305","FR_VIN_FLAVI","Scorpiurus subvillosus","Scorpiurus muricatus","Accepted","Synonym","Scorpiurus muricatus"
"Sinapis arvensis","flavi320","FR_VIN_FLAVI","Sinapis arvensis","Mutarda arvensis","Accepted","Synonym","Mutarda arvensis"
"Symphyotrichum squamatum","flavi331","FR_VIN_FLAVI","Symphyotrichum squamatum","Aster squamatus","Accepted","Synonym","Aster squamatus"
"Trifolium vesiculosum","flavi359","FR_VIN_FLAVI","Trifolium vesiculosum","Trifolium vessiculosum","Accepted","Fuzzy","Trifolium vessiculosum"
"Trigonella officinalis","flavi360","FR_VIN_FLAVI","Trigonella officinalis","Melilotus officinalis","Accepted","Synonym","Melilotus officinalis"
"Trigonella wojciechowskii","flavi362","FR_VIN_FLAVI","Trigonella wojciechowskii","Melilotus neapolitanus","Accepted","Synonym","Melilotus neapolitanus"
"Tyrmnus leucographus","flavi365","FR_VIN_FLAVI","Tyrmnus leucographus","Tyrimnus leucographus","Accepted","Fuzzy","Tyrimnus leucographus"
"Valerianella discoidea","flavi369","FR_VIN_FLAVI","Valerianella discoidea","Valeriana discoidea","Accepted","Synonym","Valeriana discoidea"
"Valerianella locusta","flavi370","FR_VIN_FLAVI","Valerianella locusta","Valeriana locusta","Accepted","Synonym","Valeriana locusta"
"Vicia ciliata","flavi381","FR_VIN_FLAVI","Vicia ciliata","Vicia ciliatula","Accepted","Synonym","Vicia ciliatula"
"Vicia segetalis","flavi386","FR_VIN_FLAVI","Vicia segetalis","Vicia sativa nigra","Accepted","Synonym","Vicia sativa subsp. nigra"
"Vulpia ciliata","flavi390","FR_VIN_FLAVI","Vulpia ciliata","Festuca ambigua","Accepted","Synonym","Festuca ambigua"
"Anisantha sterilis","BROST","FR_SECBIVIT","Anisantha sterilis","Bromus sterilis","Accepted","Synonym","Bromus sterilis"
"Convolvulus sepium","CAGSE","FR_SECBIVIT","Convolvulus sepium","Calystegia sepium","Accepted","Synonym","Calystegia sepium"
"Elytrigia repens","AGRRE","FR_SECBIVIT","Elytrigia repens","Elymus repens","Accepted","Synonym","Elymus repens"
"Festuca pratensis","FESPR","FR_SECBIVIT","Festuca pratensis","Lolium pratense","Accepted","Synonym","Lolium pratense"
"Gnaphalium americanum","GNAAM","FR_SECBIVIT","Gnaphalium americanum","Gamochaeta americana","Accepted","Synonym","Gamochaeta americana"
"Linum usitatissimum subsp. angustifolium","LIUUT","FR_SECBIVIT","Linum usitatissimum angustifolium","Linum bienne","Accepted","Synonym","Linum bienne"
"Matricaria perforata","MATIN","FR_SECBIVIT","Matricaria perforata","Tripleurospermum inodorum","Accepted","Synonym","Tripleurospermum inodorum"
"Montia arvensis","MNTFC","FR_SECBIVIT","Montia arvensis","Montia fontana","Accepted","Synonym","Montia fontana"
"Picris echioides","PICEC","FR_SECBIVIT","Picris echioides","Helminthotheca echioides","Accepted","Synonym","Helminthotheca echioides"
"Pisum sativum","PIBSX","FR_SECBIVIT","Pisum sativum","Lathyrus oleraceus","Accepted","Synonym","Lathyrus oleraceus"
"Poterium sanguisorba","SANMI","FR_SECBIVIT","Poterium sanguisorba","Sanguisorba minor","Accepted","Synonym","Sanguisorba minor"
"Schedonorus arundinaceus","FESAR","FR_SECBIVIT","Schedonorus arundinaceus","Lolium arundinaceum","Accepted","Synonym","Lolium arundinaceum"
"Setaria italica subsp. viridis","SETIT","FR_SECBIVIT","Setaria italica viridis","Setaria viridis","Accepted","Synonym","Setaria viridis"
"Sinapis arvensis","SINAR","FR_SECBIVIT","Sinapis arvensis","Mutarda arvensis","Accepted","Synonym","Mutarda arvensis"
"Valerianella locusta","VLLLO","FR_SECBIVIT","Valerianella locusta","Valeriana locusta","Accepted","Synonym","Valeriana locusta"
"Vulpia bromoides","VLPBR","FR_SECBIVIT","Vulpia bromoides","Festuca bromoides","Accepted","Synonym","Festuca bromoides"
"Vulpia myuros","VLPMY","FR_SECBIVIT","Vulpia myuros","Festuca myuros","Accepted","Synonym","Festuca myuros"
"Anacyclus radiatus",NA,"FR_OLI_GENTY","Anacyclus radiatus","Porophyllum ruderale macrocephalum","Accepted","Synonym","Porophyllum ruderale subsp. macrocephalum"
"Anisantha diandra",NA,"FR_OLI_GENTY","Anisantha diandra","Bromus diandrus","Accepted","Synonym","Bromus diandrus"
"Anisantha madritensis",NA,"FR_OLI_GENTY","Anisantha madritensis","Bromus madritensis","Accepted","Synonym","Bromus madritensis"
"Anisantha sterilis",NA,"FR_OLI_GENTY","Anisantha sterilis","Bromus sterilis","Accepted","Synonym","Bromus sterilis"
"Arenaria leptoclados",NA,"FR_OLI_GENTY","Arenaria leptoclados","Arenaria serpyllifolia leptoclados","Accepted","Synonym","Arenaria serpyllifolia subsp. leptoclados"
"Bromopsis erecta",NA,"FR_OLI_GENTY","Bromopsis erecta","Bromus erectus","Accepted","Synonym","Bromus erectus"
"Conyza canadensis",NA,"FR_OLI_GENTY","Conyza canadensis","Erigeron canadensis","Accepted","Synonym","Erigeron canadensis"
"Elytrigia repens",NA,"FR_OLI_GENTY","Elytrigia repens","Elymus repens","Accepted","Synonym","Elymus repens"
"Espece",NA,"FR_OLI_GENTY","Espece",NA,"NOT FOUND","NOT FOUND",NA
"Inconnue sp",NA,"FR_OLI_GENTY","Inconnue",NA,"NOT FOUND","NOT FOUND",NA
"Inconue sp",NA,"FR_OLI_GENTY","Inconue",NA,"NOT FOUND","NOT FOUND",NA
"Ornithogalum Muscari",NA,"FR_OLI_GENTY","Ornithogalum muscari",NA,"NOT FOUND","NOT FOUND",NA
"Podospermum laciniatum",NA,"FR_OLI_GENTY","Podospermum laciniatum","Scorzonera laciniata","Accepted","Synonym","Scorzonera laciniata"
"Poterium sanguisorba",NA,"FR_OLI_GENTY","Poterium sanguisorba","Sanguisorba minor","Accepted","Synonym","Sanguisorba minor"
"Scorpiurus subvillosus",NA,"FR_OLI_GENTY","Scorpiurus subvillosus","Scorpiurus muricatus","Accepted","Synonym","Scorpiurus muricatus"
"Sedum sediforme",NA,"FR_OLI_GENTY","Sedum sediforme","Petrosedum sediforme","Accepted","Synonym","Petrosedum sediforme"
