"original_taxa","original_ID","database_ID","simplified_taxa","accepted_taxa","in_WFO","match","accepted_wfo"
"Sinapis arvensis","SINAR","FR_ABY","Sinapis arvensis","Mutarda arvensis","Accepted","Synonym","Mutarda arvensis"
"Vulpia myuros","VLPMY","FR_ABY","Vulpia myuros","Festuca myuros","Accepted","Synonym","Festuca myuros"
"Anacyclus radiatus",NA,"FR_VIN_SAVM","Anacyclus radiatus","Porophyllum ruderale macrocephalum","Accepted","Synonym","Porophyllum ruderale subsp. macrocephalum"
"Anisantha diandra","BRODI","FR_VIN_BIOVIGILANCE","Anisantha diandra","Bromus diandrus","Accepted","Synonym","Bromus diandrus"
"Anisantha diandra",NA,"FR_VIN_GIGNAC","Anisantha diandra","Bromus diandrus","Accepted","Synonym","Bromus diandrus"
"Anisantha diandra",NA,"FR_VIN_HERAULT","Anisantha diandra","Bromus diandrus","Accepted","Synonym","Bromus diandrus"
"Anisantha diandra",NA,"FR_ALL_LANGUEDOC","Anisantha diandra","Bromus diandrus","Accepted","Synonym","Bromus diandrus"
"Anisantha diandra",NA,"FR_VIN_SAVM","Anisantha diandra","Bromus diandrus","Accepted","Synonym","Bromus diandrus"
"Anisantha madritensis",NA,"FR_VIN_GIGNAC","Anisantha madritensis","Bromus madritensis","Accepted","Synonym","Bromus madritensis"
"Anisantha madritensis",NA,"FR_VIN_HERAULT","Anisantha madritensis","Bromus madritensis","Accepted","Synonym","Bromus madritensis"
"Anisantha madritensis",NA,"FR_ALL_LANGUEDOC","Anisantha madritensis","Bromus madritensis","Accepted","Synonym","Bromus madritensis"
"Anisantha madritensis",NA,"FR_VIN_SAVM","Anisantha madritensis","Bromus madritensis","Accepted","Synonym","Bromus madritensis"
"Anisantha rubens",NA,"FR_ALL_LANGUEDOC","Anisantha rubens","Bromus rubens","Accepted","Synonym","Bromus rubens"
"Anisantha rubens",NA,"FR_VIN_SAVM","Anisantha rubens","Bromus rubens","Accepted","Synonym","Bromus rubens"
"Anisantha sterilis","BROST","FR_ANN_BIOVIGILANCE","Anisantha sterilis","Bromus sterilis","Accepted","Synonym","Bromus sterilis"
"Anisantha sterilis","BROST","FR_VIN_BIOVIGILANCE","Anisantha sterilis","Bromus sterilis","Accepted","Synonym","Bromus sterilis"
"Anisantha sterilis",NA,"FR_VIN_GIGNAC","Anisantha sterilis","Bromus sterilis","Accepted","Synonym","Bromus sterilis"
