"accepted_taxa","full_name","wfo_rank"
"Chenopodium betaceum","Chenopodium betaceum Andrz.","species"
"Chenopodium desiccatum leptophylloides","Chenopodium desiccatum var. leptophylloides (Murr) Wahl","variety"
"Chenopodium ficifolium","Chenopodium ficifolium Sm.","species"
"Chenopodium hybridum","Chenopodium hybridum L.","species"
"Chenopodium murale","Chenopodium murale L.","species"
"Chenopodium opulifolium","Chenopodium opulifolium Schrad. ex W.D.J.Koch & Ziz","species"
"Chenopodium vulvaria","Chenopodium vulvaria L.","species"
"Cherleria laricifolia","Cherleria laricifolia (L.) Iamonico","species"
"Chondrilla juncea","Chondrilla juncea L.","species"
"Chrozophora tinctoria","Chrozophora tinctoria (L.) A.Juss.","species"
"Chrysanthemum","Chrysanthemum L.","genus"
"Chrysojasminum fruticans","Chrysojasminum fruticans (L.) Banfi","species"
"Cicer arietinum","Cicer arietinum L.","species"
"Cichorium","Cichorium L.","genus"
"Cichorium calvum","Cichorium calvum Sch.Bip. ex Asch.","species"
"Cichorium endivia","Cichorium endivia L.","species"
"Cichorium intybus","Cichorium intybus L.","species"
"Cicuta virosa","Cicuta virosa L.","species"
"Circaea","Circaea L.","genus"
"Cirsium","Cirsium Mill.","genus"
"Cirsium arvense","Cirsium arvense (L.) Scop.","species"
"Cirsium dissectum","Cirsium dissectum (L.) Hill","species"
"Cirsium eriophorum","Cirsium eriophorum Scop.","species"
"Cirsium erisithales","Cirsium erisithales (Jacq.) Scop.","species"
"Cirsium ferox","Cirsium ferox (L.) DC.","species"
"Cirsium helenioides","Cirsium helenioides (L.) Hill","species"
"Cirsium lanceolatum","Cirsium lanceolatum Hill","species"
"Cirsium oleraceum","Cirsium oleraceum (L.) Scop.","species"
"Cirsium palustre","Cirsium palustre (L.) Scop.","species"
"Cirsium spinosissimum","Cirsium spinosissimum (L.) Scop.","species"
"Cirsium tuberosum","Cirsium tuberosum (L.) All.","species"
"Cirsium vulgare","Cirsium vulgare (Savi) Ten.","species"
"Cistus albidus","Cistus albidus L.","species"
"Cistus monspeliensis","Cistus monspeliensis L.","species"
"Cistus salviifolius","Cistus salviifolius L.","species"
"Cladanthus mixtus","Cladanthus mixtus (L.) Chevall.","species"
"Clematis","Clematis L.","genus"
"Clematis cirrhosa","Clematis cirrhosa L.","species"
"Clematis flammula","Clematis flammula L.","species"
"Clematis vitalba","Clematis vitalba L.","species"
"Clematis viticella","Clematis viticella L.","species"
"Clinopodium","Clinopodium L.","genus"
"Clinopodium acinos","Clinopodium acinos (L.) Kuntze","species"
"Clinopodium menthifolium menthifolium","Clinopodium menthifolium subsp. menthifolium ","subspecies"
"Clinopodium nepeta","Clinopodium nepeta (L.) Kuntze","species"
"Clinopodium vulgare","Clinopodium vulgare L.","species"
"Cochlearia","Cochlearia L.","genus"
"Coincya monensis","Coincya monensis (L.) Greuter & Burdet","species"
"Coincya monensis cheiranthos","Coincya monensis subsp. cheiranthos (Vill.) Aedo, Leadlay & Muñoz Garm.","subspecies"
"Colchicum autumnale","Colchicum autumnale L.","species"
"Coleostephus myconis","Coleostephus myconis (L.) Rchb.f.","species"
"Commelina","Commelina Plum. ex L.","genus"
"Commelina communis","Commelina communis L.","species"
"Conium","Conium L.","genus"
"Conium maculatum","Conium maculatum L.","species"
"Conopodium majus","Conopodium majus (Gouan) Loret","species"
"Conringia orientalis","Conringia orientalis (L.) C.Presl","species"
"Convolvulus","Convolvulus L.","genus"
"Convolvulus althaeoides","Convolvulus althaeoides L.","species"
"Convolvulus arvensis","Convolvulus arvensis L.","species"
"Convolvulus cantabrica","Convolvulus cantabrica L.","species"
"Convolvulus soldanella","Convolvulus soldanella L.","species"
"Conyza","Conyza Less.","genus"
"Conyza sumatrensis","Conyza sumatrensis (S.F.Blake) Pruski & G.Sancho","species"
"Coriandrum sativum","Coriandrum sativum L.","species"
"Coris monspeliensis","Coris monspeliensis L.","species"
"Corispermum nitidum","Corispermum nitidum Kit. ex Schult.","species"
"Cornus","Cornus L.","genus"
"Cornus alba","Cornus alba L.","species"
"Cornus mas","Cornus mas L.","species"
"Cornus sanguinea","Cornus sanguinea L.","species"
"Coronilla","Coronilla L.","genus"
"Coronilla scorpioides","Coronilla scorpioides (L.) Koch","species"
"Coronilla vaginalis","Coronilla vaginalis Lam.","species"
"Coronilla varia","Coronilla varia L.","species"
"Corrigiola litoralis","Corrigiola litoralis L.","species"
"Corylus","Corylus L.","genus"
"Corylus avellana","Corylus avellana L.","species"
"Cosmos","Cosmos Cav.","genus"
"Cosmos bipinnatus","Cosmos bipinnatus Cav.","species"
"Cota altissima","Cota altissima (L.) J.Gay","species"
"Cota austriaca","Cota austriaca (Jacq.) Sch.Bip.","species"
"Cota segetalis","Cota segetalis (Ten.) Holub","species"
"Cota tinctoria","Cota tinctoria (L.) J.Gay","species"
"Crambe hispanica","Crambe hispanica L.","species"
"Crambe hispanica abyssinica","Crambe hispanica subsp. abyssinica (Hochst. ex R.E.Fr.) A.Prina","subspecies"
"Crassula tillaea","Crassula tillaea Lest.-Garl.","species"
"Crataegus","Crataegus L.","genus"
"Crataegus kyrtostyla domicensis","Crataegus kyrtostyla var. domicensis (Hrabětová) K.I.Chr.","variety"
"Crataegus laevigata","Crataegus laevigata (Poir.) DC.","species"
"Crataegus monogyna","Crataegus monogyna Jacq.","species"
"Crepis","Crepis L.","genus"
"Crepis bellidifolia","Crepis bellidifolia Loisel.","species"
"Crepis biennis","Crepis biennis L.","species"
"Crepis bursifolia","Crepis bursifolia L.","species"
"Crepis capillaris","Crepis capillaris (L.) Wallr.","species"
"Crepis foetida","Crepis foetida L.","species"
"Crepis foetida foetida","Crepis foetida subsp. foetida ","subspecies"
"Crepis foetida rhoeadifolia","Crepis foetida subsp. rhoeadifolia (M.Bieb.) Čelak.","subspecies"
"Crepis leontodontoides","Crepis leontodontoides All.","species"
"Crepis micrantha","Crepis micrantha Czerep.","species"
"Crepis mollis","Crepis mollis (Jacq.) Asch.","species"
"Crepis neglecta","Crepis neglecta L.","species"
"Crepis pulchra","Crepis pulchra L.","species"
"Crepis pygmaea","Crepis pygmaea L.","species"
"Crepis rubra","Crepis rubra L.","species"
"Crepis sancta","Crepis sancta (L.) Bornm.","species"
"Crepis setosa","Crepis setosa Haller f.","species"
"Crepis tectorum","Crepis tectorum L.","species"
"Crepis vesicaria","Crepis vesicaria L.","species"
"Cruciata","Cruciata Mill.","genus"
"Cruciata glabra","Cruciata glabra (L.) Opiz","species"
"Cruciata laevipes","Cruciata laevipes Opiz","species"
"Cucurbita","Cucurbita L.","genus"
"Cucurbita pepo","Cucurbita pepo L.","species"
"Cullen americanum","Cullen americanum (L.) Rydb.","species"
"Cupressus","Cupressus L.","genus"
"Cuscuta","Cuscuta L.","genus"
"Cuscuta campestris","Cuscuta campestris Yunck.","species"
"Cuscuta epilinum","Cuscuta epilinum Weihe","species"
"Cuscuta monogyna","Cuscuta monogyna Vahl","species"
"Cydonia oblonga","Cydonia oblonga Mill.","species"
"Cymbalaria muralis","Cymbalaria muralis G.Gaertn., B.Mey. & Scherb.","species"
"Cynanchica aristata","Cynanchica aristata (L.f.) P.Caputo & Del Guacchio","species"
"Cynanchica pyrenaica cynanchica","Cynanchica pyrenaica subsp. cynanchica (L.) P.Caputo & Del Guacchio","subspecies"
"Cynanchum acutum","Cynanchum acutum L.","species"
"Cynara","Cynara L.","genus"
"Cynara cardunculus","Cynara cardunculus L.","species"
"Cynara scolymus","Cynara scolymus L.","species"
"Cynodon","Cynodon Rich.","genus"
"Cynodon dactylon","Cynodon dactylon (L.) Pers.","species"
"Cynoglossum creticum","Cynoglossum creticum Mill.","species"
"Cynoglossum officinale","Cynoglossum officinale L.","species"
"Cynosurus cristatus","Cynosurus cristatus L.","species"
"Cynosurus echinatus","Cynosurus echinatus L.","species"
"Cyperus","Cyperus L.","genus"
"Cyperus difformis","Cyperus difformis L.","species"
"Cyperus eragrostis","Cyperus eragrostis Lam.","species"
"Cyperus esculentus","Cyperus esculentus L.","species"
"Cyperus flavidus","Cyperus flavidus Retz.","species"
"Cyperus fuscus","Cyperus fuscus L.","species"
"Cyperus longus","Cyperus longus L.","species"
"Cyperus rotundus","Cyperus rotundus L.","species"
"Cytisus scoparius","Cytisus scoparius (L.) Link","species"
"Dactylis","Dactylis L.","genus"
"Dactylis glomerata","Dactylis glomerata L.","species"
"Dasypyrum villosum","Dasypyrum villosum (L.) Borbás","species"
"Datura stramonium","Datura stramonium L.","species"
"Daucus","Daucus L.","genus"
"Daucus carota","Daucus carota L.","species"
"Daucus crinitus","Daucus crinitus Desf.","species"
"Delphinium","Delphinium L.","genus"
"Delphinium ajacis","Delphinium ajacis L.","species"
"Delphinium consolida","Delphinium consolida L.","species"
"Delphinium halteratum","Delphinium halteratum Sm.","species"
"Delphinium pubescens","Delphinium pubescens DC.","species"
"Delphinium verdunense","Delphinium verdunense Balb.","species"
"Deschampsia cespitosa","Deschampsia cespitosa (L.) P.Beauv.","species"
"Descurainia sophia","Descurainia sophia (L.) Webb ex Prantl","species"
"Dianthus","Dianthus L.","genus"
"Dianthus armeria","Dianthus armeria L.","species"
"Dianthus carthusianorum","Dianthus carthusianorum L.","species"
"Dianthus caryophyllus","Dianthus caryophyllus L.","species"
"Dianthus deltoides","Dianthus deltoides L.","species"
"Digitalis","Digitalis Tourn. ex L.","genus"
"Digitalis grandiflora","Digitalis grandiflora Mill.","species"
"Digitalis purpurea","Digitalis purpurea L.","species"
"Digitaria","Digitaria Haller","genus"
"Digitaria ischaemum","Digitaria ischaemum (Schreb.) Muhl.","species"
"Digitaria sanguinalis","Digitaria sanguinalis (L.) Scop.","species"
"Dimorphotheca sinuata","Dimorphotheca sinuata DC.","species"
"Dioscorea communis","Dioscorea communis (L.) Caddick & Wilkin","species"
"Diplotaxis","Diplotaxis DC.","genus"
"Diplotaxis erucoides","Diplotaxis erucoides (L.) DC.","species"
"Diplotaxis muralis","Diplotaxis muralis DC.","species"
"Diplotaxis tenuifolia","Diplotaxis tenuifolia (L.) DC.","species"
"Diplotaxis viminea","Diplotaxis viminea DC.","species"
"Diplotaxis virgata","Diplotaxis virgata (Cav.) DC.","species"
"Dipsacus","Dipsacus L.","genus"
"Dipsacus fullonum","Dipsacus fullonum L.","species"
"Dipsacus sativus","Dipsacus sativus (L.) Honck.","species"
"Dittrichia graveolens","Dittrichia graveolens (L.) Greuter","species"
"Dittrichia viscosa","Dittrichia viscosa (L.) Greuter","species"
"Draba","Draba L.","genus"
"Draba verna","Draba verna L.","species"
"Dryopteris","Dryopteris Adans.","genus"
"Dryopteris filix-mas","Dryopteris filix-mas (L.) Schott","species"
"Dysphania ambrosioides","Dysphania ambrosioides (L.) Mosyakin & Clemants","species"
"Ecballium elaterium","Ecballium elaterium (L.) A.Rich.","species"
"Echinaria capitata","Echinaria capitata (L.) Desf.","species"
"Echinochloa","Echinochloa P.Beauv.","genus"
"Echinochloa colona","Echinochloa colona (L.) Link","species"
"Echinochloa crus-galli","Echinochloa crus-galli (L.) P.Beauv.","species"
"Echinops ritro","Echinops ritro L.","species"
"Echium","Echium L.","genus"
"Echium arenarium","Echium arenarium Guss.","species"
"Echium asperrimum","Echium asperrimum Lam.","species"
"Echium italicum","Echium italicum L.","species"
"Echium plantagineum","Echium plantagineum L.","species"
"Echium vulgare","Echium vulgare L.","species"
"Elaeagnus angustifolia","Elaeagnus angustifolia L.","species"
"Eleocharis palustris","Eleocharis palustris (L.) Roem. & Schult.","species"
"Eleusine indica","Eleusine indica (L.) Gaertn.","species"
"Elymus","Elymus L.","genus"
"Elymus caninus","Elymus caninus (L.) L.","species"
"Elymus pungens","Elymus pungens (Pers.) Melderis","species"
"Elymus pungens campestris","Elymus pungens subsp. campestris (Godr. & Gren.) Melderis","subspecies"
"Elymus repens","Elymus repens (L.) Gould","species"
"Elymus violaceus","Elymus violaceus (Hornem.) J.Feilberg","species"
"Epilobium","Epilobium L.","genus"
"Epilobium angustifolium","Epilobium angustifolium L.","species"
"Epilobium ciliatum","Epilobium ciliatum Raf.","species"
"Epilobium collinum","Epilobium collinum C.C.Gmel.","species"
"Epilobium dodonaei","Epilobium dodonaei Vill.","species"
"Epilobium hirsutum","Epilobium hirsutum L.","species"
"Epilobium lanceolatum","Epilobium lanceolatum Sebast. & Mauri","species"
"Epilobium montanum","Epilobium montanum L.","species"
"Epilobium obscurum","Epilobium obscurum Schreb.","species"
"Epilobium palustre","Epilobium palustre L.","species"
"Epilobium parviflorum","Epilobium parviflorum (Schreb.) Schreb.","species"
"Epilobium roseum","Epilobium roseum (Schreb.) Schreb.","species"
"Epilobium tetragonum","Epilobium tetragonum L.","species"
"Epilobium x intersitum","Epilobium × intersitum Hausskn.","species"
"Epipactis","Epipactis Zinn","genus"
"Epipactis helleborine","Epipactis helleborine (L.) Crantz","species"
"Equisetum","Equisetum L.","genus"
"Equisetum arvense","Equisetum arvense L.","species"
"Equisetum palustre","Equisetum palustre L.","species"
"Equisetum pratense","Equisetum pratense Ehrh.","species"
"Equisetum ramosissimum","Equisetum ramosissimum Desf.","species"
"Equisetum sylvaticum","Equisetum sylvaticum L.","species"
"Equisetum telmateia","Equisetum telmateia Ehrh.","species"
"Eragrostis barrelieri","Eragrostis barrelieri Daveau","species"
"Eragrostis cilianensis","Eragrostis cilianensis (All.) Vignolo ex Janch.","species"
"Eragrostis minor","Eragrostis minor Host","species"
"Eragrostis pilosa","Eragrostis pilosa (L.) P.Beauv.","species"
"Erigeron","Erigeron L.","genus"
"Erigeron acer","Erigeron acer L.","species"
"Erigeron acris","Erigeron acris L.","species"
"Erigeron annuus","Erigeron annuus (L.) Desf.","species"
"Erigeron annuus annuus","Erigeron annuus f. annuus ","form"
"Erigeron bonariensis","Erigeron bonariensis L.","species"
"Erigeron canadensis","Erigeron canadensis L.","species"
"Erigeron floribundus","Erigeron floribundus (Kunth) Sch.Bip.","species"
"Erigeron glabellus","Erigeron glabellus Nutt.","species"
"Erigeron sumatrensis","Erigeron sumatrensis Retz.","species"
"Erodium","Erodium L'Hér.","genus"
"Erodium chium","Erodium chium Willd.","species"
"Erodium ciconium","Erodium ciconium (L.) L'Hér.","species"
"Erodium cicutarium","Erodium cicutarium (L.) L'Hér.","species"
"Erodium malacoides","Erodium malacoides (L.) L'Hér.","species"
"Erodium moschatum","Erodium moschatum (Burm.f.) L'Hér.","species"
"Eruca vesicaria","Eruca vesicaria (L.) Cav.","species"
"Eruca vesicaria sativa","Eruca vesicaria subsp. sativa (Mill.) Hegi","subspecies"
"Erucastrum gallicum","Erucastrum gallicum (Willd.) O.E.Schulz","species"
"Erucastrum nasturtiifolium","Erucastrum nasturtiifolium (Poir.) O.E.Schulz","species"
"Eryngium","Eryngium L.","genus"
"Eryngium campestre","Eryngium campestre L.","species"
"Eryngium maritimum","Eryngium maritimum L.","species"
"Erysimum","Erysimum L.","genus"
"Erysimum cheiranthoides","Erysimum cheiranthoides L.","species"
"Erysimum incanum","Erysimum incanum Kunze","species"
"Erysimum repandum","Erysimum repandum L.","species"
"Erysimum virgatum","Erysimum virgatum Roth","species"
"Erysimum x cheiri","Erysimum × cheiri (L.) Crantz","species"
"Erythranthe moschata","Erythranthe moschata (Douglas ex Lindl.) G.L.Nesom","species"
"Eschscholzia californica","Eschscholzia californica Cham.","species"
"Euonymus","Euonymus L.","genus"
"Euonymus europaeus","Euonymus europaeus L.","species"
"Eupatorium cannabinum","Eupatorium cannabinum L.","species"
"Euphorbia","Euphorbia L.","genus"
"Euphorbia amygdaloides","Euphorbia amygdaloides L.","species"
"Euphorbia chamaesyce","Euphorbia chamaesyce L.","species"
"Euphorbia characias","Euphorbia characias L.","species"
"Euphorbia cyparissias","Euphorbia cyparissias L.","species"
"Euphorbia esula","Euphorbia esula L.","species"
"Euphorbia esula esula","Euphorbia esula subsp. esula ","subspecies"
"Euphorbia exigua","Euphorbia exigua L.","species"
"Euphorbia falcata","Euphorbia falcata L.","species"
"Euphorbia flavicoma","Euphorbia flavicoma DC.","species"
"Euphorbia helioscopia","Euphorbia helioscopia L.","species"
"Euphorbia hirsuta","Euphorbia hirsuta L.","species"
"Euphorbia humifusa","Euphorbia humifusa Willd.","species"
"Euphorbia lathyris","Euphorbia lathyris L.","species"
"Euphorbia maculata","Euphorbia maculata L.","species"
"Euphorbia nicaeensis","Euphorbia nicaeensis All.","species"
"Euphorbia nutans","Euphorbia nutans Lag.","species"
"Euphorbia paralias","Euphorbia paralias L.","species"
"Euphorbia peplis","Euphorbia peplis L.","species"
"Euphorbia peplus","Euphorbia peplus L.","species"
"Euphorbia platyphyllos","Euphorbia platyphyllos L.","species"
"Euphorbia prostrata","Euphorbia prostrata Aiton","species"
"Euphorbia segetalis","Euphorbia segetalis L.","species"
"Euphorbia serrata","Euphorbia serrata L.","species"
"Euphorbia stricta","Euphorbia stricta L.","species"
"Euphorbia sulcata","Euphorbia sulcata De Lens ex Loizel.","species"
"Euphorbia taurinensis","Euphorbia taurinensis All.","species"
"Euphorbia terracina","Euphorbia terracina L.","species"
"Euphrasia","Euphrasia L.","genus"
"Euphrasia nemorosa","Euphrasia nemorosa (Pers.) Wettst.","species"
"Euphrasia officinalis","Euphrasia officinalis L.","species"
"Fabaceae","Fabaceae Lindl.","family"
"Fagopyrum esculentum","Fagopyrum esculentum Moench","species"
"Fagopyrum tataricum","Fagopyrum tataricum (L.) Gaertn.","species"
"Fagus","Fagus L.","genus"
"Fagus sylvatica","Fagus sylvatica L.","species"
"Falcaria vulgaris","Falcaria vulgaris Bernh.","species"
"Fallopia","Fallopia Adans.","genus"
"Fallopia baldschuanica","Fallopia baldschuanica (Regel) Holub","species"
"Fallopia convolvulus","Fallopia convolvulus (L.) Á.Löve","species"
"Fallopia dumetorum","Fallopia dumetorum (L.) Holub","species"
"Fatsia japonica","Fatsia japonica (Thunb.) Decne. & Planch.","species"
"Festuca","Festuca Tourn. ex L.","genus"
"Festuca ambigua","Festuca ambigua Le Gall","species"
"Festuca bromoides","Festuca bromoides L.","species"
"Festuca cinerea","Festuca cinerea Vill.","species"
"Festuca fasciculata","Festuca fasciculata Forssk.","species"
"Festuca filiformis","Festuca filiformis Pourr.","species"
"Festuca geniculata","Festuca geniculata (L.) Lag. & Rodr.","species"
"Festuca heterophylla","Festuca heterophylla Lam.","species"
"Festuca incurva","Festuca incurva (Gouan) Gutermann","species"
"Festuca lachenalii","Festuca lachenalii (C.C.Gmel.) Spenn.","species"
"Festuca lemanii","Festuca lemanii T.Bastard","species"
"Festuca ligustica","Festuca ligustica (All.) Bertol.","species"
"Festuca maritima","Festuca maritima L.","species"
"Festuca myuros","Festuca myuros L.","species"
"Festuca nevadensis","Festuca nevadensis (Hack.) Markgr.-Dann.","species"
"Festuca ovina","Festuca ovina L.","species"
"Festuca rubra","Festuca rubra L.","species"
"Festuca rupicola","Festuca rupicola Heuff.","species"
"Festuca valesiaca","Festuca valesiaca Schleich. ex Gaudin","species"
"Ficus carica","Ficus carica L.","species"
"Filago","Filago Loefl.","genus"
"Filago arvensis","Filago arvensis L.","species"
"Filago eriocephala","Filago eriocephala Guss.","species"
"Filago gallica","Filago gallica L.","species"
"Filago germanica","Filago germanica (L.) Huds.","species"
"Filago lutescens","Filago lutescens Jord.","species"
"Filago minima","Filago minima (Sm.) Pers.","species"
"Filago pyramidata","Filago pyramidata L.","species"
"Filipendula","Filipendula Mill.","genus"
"Filipendula ulmaria","Filipendula ulmaria (L.) Maxim.","species"
"Filipendula vulgaris","Filipendula vulgaris Moench","species"
"Foeniculum vulgare","Foeniculum vulgare Mill.","species"
"Fragaria","Fragaria L.","genus"
"Fragaria vesca","Fragaria vesca L.","species"
"Fragaria x ananassa","Fragaria × ananassa (Duchesne ex Weston) Duchesne ex Rozier","species"
"Frangula alnus","Frangula alnus Mill.","species"
"Fraxinus","Fraxinus Tourn. ex L.","genus"
"Fraxinus angustifolia","Fraxinus angustifolia Vahl","species"
"Fraxinus excelsior","Fraxinus excelsior L.","species"
"Fraxinus ornus","Fraxinus ornus L.","species"
"Fumana","Fumana (Dunal) Spach","genus"
"Fumana ericoides montana","Fumana ericoides subsp. montana (Pomel) Maire","subspecies"
"Fumaria","Fumaria L.","genus"
"Fumaria agraria","Fumaria agraria Lag.","species"
"Fumaria bastardii","Fumaria bastardii Boreau","species"
"Fumaria capreolata","Fumaria capreolata L.","species"
"Fumaria densiflora","Fumaria densiflora DC.","species"
"Fumaria gaillardotii","Fumaria gaillardotii Boiss.","species"
"Fumaria muralis","Fumaria muralis Sond. ex W.D.J.Koch","species"
"Fumaria officinalis","Fumaria officinalis L.","species"
"Fumaria officinalis wirtgenii","Fumaria officinalis f. wirtgenii (W.D.J.Koch) B.P.R.Chéron","form"
"Fumaria parviflora","Fumaria parviflora Lam.","species"
"Fumaria rostellata","Fumaria rostellata Knaf","species"
"Fumaria schleicheri","Fumaria schleicheri Soy.-Will.","species"
"Fumaria vaillantii","Fumaria vaillantii Loisel.","species"
"Gagea minima","Gagea minima (L.) Ker Gawl.","species"
"Gagea pratensis","Gagea pratensis (Pers.) Dumort.","species"
"Gagea villosa","Gagea villosa (M.Bieb.) Sweet","species"
"Galactites","Galactites Moench","genus"
"Galactites tomentosa","Galactites tomentosa Moench","species"
"Galactites tomentosus","Galactites tomentosus Moench","species"
"Galatella sedifolia","Galatella sedifolia (L.) Greuter","species"
"Galega officinalis","Galega officinalis L.","species"
"Galega orientalis","Galega orientalis Lam.","species"
"Galeopsis","Galeopsis L.","genus"
"Galeopsis angustifolia","Galeopsis angustifolia Ehrh. ex Hoffm.","species"
"Galeopsis bifida","Galeopsis bifida Boenn.","species"
"Galeopsis ladanum","Galeopsis ladanum L.","species"
"Galeopsis pubescens","Galeopsis pubescens Besser","species"
"Galeopsis segetum","Galeopsis segetum Neck.","species"
"Galeopsis speciosa","Galeopsis speciosa Mill.","species"
"Galeopsis tetrahit","Galeopsis tetrahit L.","species"
"Galinsoga","Galinsoga Ruiz & Pav.","genus"
"Galinsoga parviflora","Galinsoga parviflora Cav.","species"
"Galinsoga quadriradiata","Galinsoga quadriradiata Ruiz & Pav.","species"
"Galium","Galium L.","genus"
"Galium album","Galium album Mill.","species"
"Galium aparine","Galium aparine L.","species"
"Galium cinereum","Galium cinereum All.","species"
"Galium elongatum","Galium elongatum C.Presl","species"
"Galium lucidum","Galium lucidum All.","species"
"Galium lucidum corrudifolium","Galium lucidum subsp. corrudifolium (Vill.) Bonnier","subspecies"
"Galium mollugo","Galium mollugo L.","species"
"Galium murale","Galium murale (L.) All.","species"
"Galium odoratum","Galium odoratum (L.) Scop.","species"
"Galium palustre","Galium palustre L.","species"
"Galium parisiense","Galium parisiense L.","species"
"Galium pumilum","Galium pumilum Murray","species"
"Galium rotundifolium","Galium rotundifolium L.","species"
"Galium saxatile","Galium saxatile L.","species"
"Galium spurium","Galium spurium L.","species"
"Galium tricornutum","Galium tricornutum Dandy","species"
"Galium triflorum","Galium triflorum Michx.","species"
"Galium uliginosum","Galium uliginosum L.","species"
"Galium verrucosum","Galium verrucosum Huds.","species"
"Galium verum","Galium verum L.","species"
"Gamochaeta antillana","Gamochaeta antillana (Urb.) Anderb.","species"
"Gastridium ventricosum","Gastridium ventricosum (Gouan) Schinz & Thell.","species"
"Gaudinia fragilis","Gaudinia fragilis (L.) P.Beauv.","species"
"Gelasia villosa","Gelasia villosa (Scop.) Cass.","species"
"Gemmabryum dichotomum","Gemmabryum dichotomum (Hedw.) J.R.Spence & H.P.Ramsay","species"
"Genista","Genista L.","genus"
"Genista scorpius","Genista scorpius (L.) DC.","species"
"Geraniaceae","Geraniaceae Juss.","family"
"Geranium","Geranium L.","genus"
"Geranium berteroanum","Geranium berteroanum Colla","species"
"Geranium columbinum","Geranium columbinum L.","species"
"Geranium dissectum","Geranium dissectum L.","species"
"Geranium molle","Geranium molle L.","species"
"Geranium palustre","Geranium palustre L.","species"
"Geranium phaeum","Geranium phaeum L.","species"
"Geranium pratense","Geranium pratense L.","species"
"Geranium purpureum","Geranium purpureum Vill.","species"
"Geranium pusillum","Geranium pusillum L.","species"
"Geranium pyrenaicum","Geranium pyrenaicum Burm.f.","species"
"Geranium robertianum","Geranium robertianum L.","species"
"Geranium rotundifolium","Geranium rotundifolium L.","species"
"Geranium sanguineum","Geranium sanguineum L.","species"
"Geropogon hybridus","Geropogon hybridus (L.) Sch.Bip.","species"
"Geum","Geum L.","genus"
"Geum rivale","Geum rivale L.","species"
"Geum urbanum","Geum urbanum L.","species"
"Gladiolus","Gladiolus Tourn. ex L.","genus"
"Gladiolus illyricus","Gladiolus illyricus W.D.J.Koch","species"
"Gladiolus italicus","Gladiolus italicus Mill.","species"
"Glaucium corniculatum","Glaucium corniculatum (L.) Curtis","species"
"Glebionis coronaria","Glebionis coronaria (L.) Cass. ex Spach","species"
"Glebionis segetum","Glebionis segetum Fourr.","species"
"Glechoma hederacea","Glechoma hederacea L.","species"
"Glechoma hirsuta","Glechoma hirsuta Waldst. & Kit.","species"
"Gleditsia triacanthos","Gleditsia triacanthos L.","species"
"Globularia bisnagarica","Globularia bisnagarica L.","species"
"Glyceria","Glyceria R.Br.","genus"
"Glyceria declinata","Glyceria declinata Bréb.","species"
"Glyceria fluitans","Glyceria fluitans (L.) R.Br.","species"
"Glyceria maxima","Glyceria maxima (Hartm.) Holmb.","species"
"Glycine","Glycine Willd.","genus"
"Glycine max","Glycine max (L.) Merr.","species"
"Glycyrrhiza glabra","Glycyrrhiza glabra L.","species"
"Gnaphalium","Gnaphalium L.","genus"
"Gnaphalium sylvaticum","Gnaphalium sylvaticum L.","species"
"Gnaphalium uliginosum","Gnaphalium uliginosum L.","species"
"Guizotia abyssinica","Guizotia abyssinica (L.f.) Cass.","species"
"Gypsophila repens","Gypsophila repens L.","species"
"Gypsophila vaccaria","Gypsophila vaccaria (L.) Sm.","species"
"Hedera","Hedera L.","genus"
"Hedera helix","Hedera helix L.","species"
"Hedypnois rhagadioloides","Hedypnois rhagadioloides (L.) F.W.Schmidt","species"
"Helianthemum apenninum","Helianthemum apenninum (L.) Mill.","species"
"Helianthemum hirtum","Helianthemum hirtum (L.) Mill.","species"
"Helianthemum salicifolium","Helianthemum salicifolium (L.) Mill.","species"
"Helianthus","Helianthus L.","genus"
"Helianthus annuus","Helianthus annuus L.","species"
"Helianthus petiolaris","Helianthus petiolaris Nutt.","species"
"Helianthus tuberosus","Helianthus tuberosus L.","species"
"Helichrysum arenarium","Helichrysum arenarium (L.) Moench","species"
"Helichrysum italicum","Helichrysum italicum (Roth) G.Don","species"
"Helictochloa","Helictochloa Romero Zarco","genus"
"Helictochloa bromoides","Helictochloa bromoides (Gouan) Romero Zarco","species"
"Helictochloa pratensis","Helictochloa pratensis (L.) Romero Zarco","species"
"Heliophila","Heliophila Burm.f.","genus"
"Heliotropium europaeum","Heliotropium europaeum L.","species"
"Helleborus foetidus","Helleborus foetidus L.","species"
"Helleborus purpurascens","Helleborus purpurascens Waldst. & Kit.","species"
"Helminthotheca","Helminthotheca Zinn","genus"
"Helminthotheca comosa","Helminthotheca comosa (Boiss.) Holub","species"
"Helminthotheca echioides","Helminthotheca echioides (L.) Holub","species"
"Helosciadium nodiflorum","Helosciadium nodiflorum (L.) W.D.J.Koch","species"
"Heracleum","Heracleum L.","genus"
"Heracleum mantegazzianum","Heracleum mantegazzianum Sommier & Levier","species"
"Heracleum sibiricum","Heracleum sibiricum L.","species"
"Heracleum sphondylium","Heracleum sphondylium L.","species"
"Herniaria","Herniaria Tourn. ex L.","genus"
"Herniaria glabra","Herniaria glabra L.","species"
"Herniaria hirsuta","Herniaria hirsuta L.","species"
"Herniaria hirsuta cinerea","Herniaria hirsuta subsp. cinerea (DC.) Cout.","subspecies"
"Herniaria lusitanica","Herniaria lusitanica Chaudhri","species"
