"accepted_taxa","full_name","wfo_rank"
"Alyssum simplex","Alyssum simplex Rudolphi","species"
"Amaranthaceae","Amaranthaceae Juss.","family"
"Amaranthus","Amaranthus L.","genus"
"Amaranthus albus","Amaranthus albus L.","species"
"Amaranthus blitoides","Amaranthus blitoides S.Watson","species"
"Amaranthus blitum","Amaranthus blitum L.","species"
"Amaranthus caudatus","Amaranthus caudatus L.","species"
"Amaranthus crispus","Amaranthus crispus (Lesp. & Thévenau) A.Braun ex J.M.Coult. & S.Watson","species"
"Amaranthus deflexus","Amaranthus deflexus L.","species"
"Amaranthus graecizans","Amaranthus graecizans L.","species"
"Amaranthus hybridus","Amaranthus hybridus L.","species"
"Amaranthus powellii","Amaranthus powellii S.Watson","species"
"Amaranthus powellii bouchonii","Amaranthus powellii subsp. bouchonii (Thell.) Costea & Carretero","subspecies"
"Amaranthus retroflexus","Amaranthus retroflexus L.","species"
"Amaranthus spinosus","Amaranthus spinosus L.","species"
"Amaranthus tricolor","Amaranthus tricolor L.","species"
"Amaranthus viridis","Amaranthus viridis L.","species"
"Ambrosia artemisiifolia","Ambrosia artemisiifolia L.","species"
"Ambrosia psilostachya","Ambrosia psilostachya DC.","species"
"Ambrosia trifida","Ambrosia trifida L.","species"
"Ammi","Ammi L.","genus"
"Ammi majus","Ammi majus L.","species"
"Ammoides pusilla","Ammoides pusilla (Brot.) Breistr.","species"
"Anacamptis morio","Anacamptis morio (L.) R.M.Bateman, Pridgeon & M.W.Chase","species"
"Anacamptis pyramidalis","Anacamptis pyramidalis (L.) Rich.","species"
"Anacyclus clavatus","Anacyclus clavatus (Desf.) Pers.","species"
"Anagyris","Anagyris L.","genus"
"Anaphalis margaritacea","Anaphalis margaritacea (L.) Benth. & Hook.f.","species"
"Anchusa","Anchusa L.","genus"
"Anchusa arvensis","Anchusa arvensis (L.) M.Bieb.","species"
"Anchusa azurea","Anchusa azurea Mill.","species"
"Anchusa hybrida","Anchusa hybrida Ten.","species"
"Anchusa officinalis","Anchusa officinalis L.","species"
"Anchusa puechii","Anchusa puechii Valdés","species"
"Anchusa undulata","Anchusa undulata L.","species"
"Andrachne telephioides","Andrachne telephioides L.","species"
"Androsace elongata","Androsace elongata L.","species"
"Androsace maxima","Androsace maxima L.","species"
"Andryala","Andryala L.","genus"
"Andryala integrifolia","Andryala integrifolia L.","species"
"Andryala rothia","Andryala rothia Pers.","species"
"Anemone altaica","Anemone altaica Fisch. ex Ledeb.","species"
"Anemone coronaria","Anemone coronaria L.","species"
"Anemone hortensis","Anemone hortensis L.","species"
"Anethum graveolens","Anethum graveolens L.","species"
"Angelica archangelica","Angelica archangelica L.","species"
"Angelica sylvestris","Angelica sylvestris L.","species"
"Antennaria dioica","Antennaria dioica (L.) Gaertn.","species"
"Anthemis","Anthemis L.","genus"
"Anthemis arvensis","Anthemis arvensis L.","species"
"Anthemis cotula","Anthemis cotula L.","species"
"Anthemis maritima","Anthemis maritima L.","species"
"Anthemis ruthenica","Anthemis ruthenica M.Bieb.","species"
"Anthoxanthum","Anthoxanthum L.","genus"
"Anthoxanthum aristatum","Anthoxanthum aristatum Boiss.","species"
"Anthoxanthum odoratum","Anthoxanthum odoratum L.","species"
