"accepted_taxa","original_taxa_CLOPLA","Clonal.index_CLOPLA","offspring_CLOPLA","offspring.wsmall_CLOPLA","lateral.spread_cm_CLOPLA"
"Linaria chalepensis",NA,NA,NA,NA,NA
"Linaria hirta",NA,NA,NA,NA,NA
"Linaria latifolia",NA,NA,NA,NA,NA
"Linaria micrantha",NA,NA,NA,NA,NA
"Linaria pelisseriana",NA,NA,NA,NA,NA
"Linaria purpurea",NA,NA,NA,NA,NA
"Linaria reflexa",NA,NA,NA,NA,NA
"Linaria repens",NA,NA,NA,NA,NA
"Linaria simplex",NA,NA,NA,NA,NA
"Linaria supina",NA,NA,NA,NA,NA
"Linaria vulgaris",NA,NA,NA,NA,NA
"Lindernia dubia",NA,NA,NA,NA,NA
"Linum","""linum catharticum l.""_""linum perenne l.""_""linum tenuifolium l.""_""linum usitatissimum l.""","",NA,NA,NA
"Linum bienne",NA,NA,NA,NA,NA
"Linum catharticum","""linum catharticum l.""","",NA,NA,NA
"Linum leonii",NA,NA,NA,NA,NA
"Linum narbonense",NA,NA,NA,NA,NA
"Linum perenne","""linum perenne l.""","",NA,NA,NA
"Linum strictum",NA,NA,NA,NA,NA
"Linum tenuifolium","""linum tenuifolium l.""","",NA,NA,NA
"Linum usitatissimum","""linum usitatissimum l.""","",NA,NA,NA
"Lipandra polysperma","""chenopodium polyspermum l.""","",NA,NA,NA
"Lithospermum arvense",NA,NA,NA,NA,NA
"Lobularia maritima",NA,NA,NA,NA,NA
"Logfia gallica",NA,NA,NA,NA,NA
"Lolium","""lolium perenne l.""_""lolium temulentum l.""","4",4.3,4.3,4.1
"Lolium arundinaceum",NA,NA,NA,NA,NA
"Lolium arundinaceum arundinaceum",NA,NA,NA,NA,NA
"Lolium boucheanum",NA,NA,NA,NA,NA
"Lolium giganteum",NA,NA,NA,NA,NA
"Lolium multiflorum",NA,NA,NA,NA,NA
"Lolium perenne","""lolium perenne l.""","4",4.3,4.3,4.1
"Lolium pratense",NA,NA,NA,NA,NA
"Lolium remotum",NA,NA,NA,NA,NA
"Lolium rigidum",NA,NA,NA,NA,NA
"Lolium temulentum","""lolium temulentum l.""","",NA,NA,NA
"Loncomelos narbonense",NA,NA,NA,NA,NA
"Loncomelos pyrenaicum","""ornithogalum pyrenaicum l.""","3",1,1,0.5
"Lonicera","""lonicera periclymenum l.""_""lonicera xylosteum l.""","",NA,NA,NA
"Lonicera japonica",NA,NA,NA,NA,NA
"Lonicera periclymenum","""lonicera periclymenum l.""","",NA,NA,NA
"Lonicera xylosteum","""lonicera xylosteum l.""","",NA,NA,NA
"Lotus","""lotus corniculatus l.""_""lotus maritimus l.""_""trifolium lupinaster l.""","",NA,NA,NA
"Lotus angustissimus",NA,NA,NA,NA,NA
"Lotus castellanus",NA,NA,NA,NA,NA
"Lotus corniculatus","""lotus corniculatus l.""","",NA,NA,NA
"Lotus corniculatus corniculatus","""lotus corniculatus l.""","",NA,NA,NA
"Lotus dorycnium","""trifolium lupinaster l.""","",NA,NA,NA
"Lotus edulis",NA,NA,NA,NA,NA
"Lotus hirsutus",NA,NA,NA,NA,NA
"Lotus hispidus",NA,NA,NA,NA,NA
"Lotus maritimus","""lotus maritimus l.""","",NA,NA,NA
"Lotus ornithopodioides",NA,NA,NA,NA,NA
"Lotus parviflorus",NA,NA,NA,NA,NA
"Lotus pedunculatus",NA,NA,NA,NA,NA
"Lotus rectus",NA,NA,NA,NA,NA
"Lotus tenuis",NA,NA,NA,NA,NA
"Lunaria","""lunaria annua l.""","",NA,NA,NA
"Lunaria annua","""lunaria annua l.""","",NA,NA,NA
"Lupinus","""lupinus angustifolius l.""_""lupinus luteus l.""","",NA,NA,NA
"Lupinus albus",NA,NA,NA,NA,NA
"Lupinus angustifolius","""lupinus angustifolius l.""","",NA,NA,NA
"Lupinus angustifolius reticulatus","""lupinus angustifolius l.""","",NA,NA,NA
"Lupinus luteus","""lupinus luteus l.""","",NA,NA,NA
"Luzula",NA,NA,NA,NA,NA
"Luzula campestris",NA,NA,NA,NA,NA
"Luzula multiflora",NA,NA,NA,NA,NA
"Luzula multiflora multiflora",NA,NA,NA,NA,NA
"Lycopus europaeus","""lycopus europaeus l.""","5",6,6,18.4
"Lysimachia","""anagallis arvensis l.""_""lysimachia nummularia l.""_""lysimachia punctata l.""_""lysimachia vulgaris l.""","5",5.06666666666667,5.06666666666667,14.8
"Lysimachia arvensis","""anagallis arvensis l.""","",NA,NA,NA
"Lysimachia foemina",NA,NA,NA,NA,NA
"Lysimachia loeflingii",NA,NA,NA,NA,NA
"Lysimachia nummularia","""lysimachia nummularia l.""","5",3.9,3.9,14.5
"Lysimachia punctata","""lysimachia punctata l.""","5",6,6,13
"Lysimachia vulgaris","""lysimachia vulgaris l.""","5",5.3,5.3,16.9
"Lythrum","""lythrum hyssopifolia l.""_""lythrum salicaria l.""_""lythrum virgatum l.""","5",3.5,3.5,6.8
"Lythrum acutangulum",NA,NA,NA,NA,NA
"Lythrum borysthenicum",NA,NA,NA,NA,NA
"Lythrum hyssopifolia","""lythrum hyssopifolia l.""","",NA,NA,NA
"Lythrum salicaria","""lythrum salicaria l.""","",NA,NA,NA
"Lythrum virgatum","""lythrum virgatum l.""","5",3.5,3.5,6.8
"Malus",NA,NA,NA,NA,NA
"Malus domestica",NA,NA,NA,NA,NA
"Malus sylvestris",NA,NA,NA,NA,NA
"Malva","""althaea hirsuta l.""_""lavatera thuringiaca l.""_""malva alcea l.""_""malva moschata l.""_""malva sylvestris l.""","",NA,NA,NA
"Malva alcea","""malva alcea l.""","",NA,NA,NA
"Malva arborea",NA,NA,NA,NA,NA
"Malva cretica",NA,NA,NA,NA,NA
"Malva moschata","""malva moschata l.""","",NA,NA,NA
"Malva multiflora",NA,NA,NA,NA,NA
"Malva neglecta",NA,NA,NA,NA,NA
"Malva nicaeensis",NA,NA,NA,NA,NA
"Malva olbia",NA,NA,NA,NA,NA
"Malva parviflora",NA,NA,NA,NA,NA
"Malva punctata",NA,NA,NA,NA,NA
"Malva pusilla",NA,NA,NA,NA,NA
"Malva setigera","""althaea hirsuta l.""","",NA,NA,NA
"Malva sylvestris","""malva sylvestris l.""","",NA,NA,NA
"Malva thuringiaca","""lavatera thuringiaca l.""","",NA,NA,NA
"Mantisalca salmantica",NA,NA,NA,NA,NA
"Marchantia polymorpha ruderalis",NA,NA,NA,NA,NA
"Marcus-kochia littorea",NA,NA,NA,NA,NA
"Marrubium","""marrubium vulgare l.""","",NA,NA,NA
"Marrubium vulgare","""marrubium vulgare l.""","",NA,NA,NA
"Matricaria","""matricaria chamomilla l.""","",NA,NA,NA
"Matricaria chamomilla","""matricaria chamomilla l.""","",NA,NA,NA
"Matricaria discoidea",NA,NA,NA,NA,NA
"Matricaria matricarioides",NA,NA,NA,NA,NA
"Matricaria recutita",NA,NA,NA,NA,NA
"Matricaria recutita recutita",NA,NA,NA,NA,NA
"Matthiola",NA,NA,NA,NA,NA
"Medicago","""medicago falcata l.""_""medicago lupulina l.""_""medicago minima (l.) l.""_""medicago polymorpha l.""_""medicago sativa agg. ""","",NA,NA,NA
"Medicago arabica",NA,NA,NA,NA,NA
"Medicago ciliaris",NA,NA,NA,NA,NA
"Medicago disciformis",NA,NA,NA,NA,NA
"Medicago doliata",NA,NA,NA,NA,NA
"Medicago falcata","""medicago falcata l.""","",NA,NA,NA
"Medicago laciniata",NA,NA,NA,NA,NA
"Medicago littoralis",NA,NA,NA,NA,NA
"Medicago lupulina","""medicago lupulina l.""","",NA,NA,NA
"Medicago minima","""medicago minima (l.) l.""","",NA,NA,NA
"Medicago monspeliaca",NA,NA,NA,NA,NA
"Medicago murex",NA,NA,NA,NA,NA
"Medicago orbicularis",NA,NA,NA,NA,NA
"Medicago polyceratia",NA,NA,NA,NA,NA
"Medicago polymorpha","""medicago polymorpha l.""","",NA,NA,NA
"Medicago praecox",NA,NA,NA,NA,NA
"Medicago rigidula",NA,NA,NA,NA,NA
"Medicago rugosa",NA,NA,NA,NA,NA
"Medicago sativa","""medicago sativa agg. ""","",NA,NA,NA
"Medicago sativa sativa","""medicago sativa agg. ""","",NA,NA,NA
"Medicago scutellata",NA,NA,NA,NA,NA
"Medicago truncatula",NA,NA,NA,NA,NA
"Medicago turbinata",NA,NA,NA,NA,NA
"Medicago x varia",NA,NA,NA,NA,NA
"Melampyrum","""melampyrum arvense l.""","",NA,NA,NA
"Melampyrum arvense","""melampyrum arvense l.""","",NA,NA,NA
"Melia azedarach",NA,NA,NA,NA,NA
"Melica ciliata",NA,NA,NA,NA,NA
"Melica nutans","""melica nutans l.""","4",2.3,2.3,9.9
"Melica transsilvanica",NA,NA,NA,NA,NA
"Melica uniflora",NA,NA,NA,NA,NA
"Melilotus",NA,NA,NA,NA,NA
"Melilotus alba",NA,NA,NA,NA,NA
"Melilotus albus",NA,NA,NA,NA,NA
"Melilotus altissimus",NA,NA,NA,NA,NA
"Melilotus indicus",NA,NA,NA,NA,NA
"Melilotus neapolitanus",NA,NA,NA,NA,NA
"Melilotus officinalis",NA,NA,NA,NA,NA
"Melilotus officinalis",NA,NA,NA,NA,NA
"Melilotus sulcatus",NA,NA,NA,NA,NA
"Melissa officinalis","""melissa officinalis l.""","",NA,NA,NA
"Melissa officinalis officinalis","""melissa officinalis l.""","",NA,NA,NA
"Melissa officinalis officinalis","""melissa officinalis l.""","",NA,NA,NA
"Melittis melissophyllum","""melittis melissophyllum l.""","3",1,1,0.5
"Melomphis arabica",NA,NA,NA,NA,NA
"Mentha","""mentha aquatica l.""_""mentha arvensis l.""_""mentha pulegium l.""_""mentha spicata l.""_""mentha x piperita l.""","5",6,6,13
"Mentha aquatica","""mentha aquatica l.""","5",6,6,13
"Mentha arvensis","""mentha arvensis l.""","5",6,6,13
"Mentha longifolia",NA,NA,NA,NA,NA
"Mentha pulegium","""mentha pulegium l.""","5",6,6,13
"Mentha spicata","""mentha spicata l.""","5",6,6,13
"Mentha suaveolens",NA,NA,NA,NA,NA
"Mentha suaveolens suaveolens",NA,NA,NA,NA,NA
"Mentha x piperita","""mentha x piperita l.""","5",6,6,13
"Mentha x villosa",NA,NA,NA,NA,NA
"Mercurialis","""mercurialis annua l.""_""mercurialis perennis l.""","4",2.4,2.4,16.6
"Mercurialis annua","""mercurialis annua l.""","",NA,NA,NA
"Mercurialis perennis","""mercurialis perennis l.""","4",2.4,2.4,16.6
"Meum athamanticum",NA,NA,NA,NA,NA
"Mibora minima",NA,NA,NA,NA,NA
"Micromeria graeca",NA,NA,NA,NA,NA
"Microthlaspi perfoliatum",NA,NA,NA,NA,NA
"Milium",NA,NA,NA,NA,NA
"Minuartia",NA,NA,NA,NA,NA
"Minuartia campestris",NA,NA,NA,NA,NA
"Minuartia mediterranea",NA,NA,NA,NA,NA
"Miscanthus sinensis",NA,NA,NA,NA,NA
"Misopates orontium",NA,NA,NA,NA,NA
"Moehringia",NA,NA,NA,NA,NA
"Molinia caerulea",NA,NA,NA,NA,NA
"Montia fontana","""montia fontana agg. ""","",NA,NA,NA
"Montia fontana chondrosperma","""montia fontana agg. ""","",NA,NA,NA
"Moorochloa eruciformis",NA,NA,NA,NA,NA
"Morus","""morus alba l.""_""morus nigra l.""","",NA,NA,NA
"Morus alba","""morus alba l.""","",NA,NA,NA
"Morus nigra","""morus nigra l.""","",NA,NA,NA
"Muhlenbergia",NA,NA,NA,NA,NA
"Mummenhoffia alliacea","""thlaspi alliaceum l.""","",NA,NA,NA
"Muscari",NA,NA,NA,NA,NA
"Muscari botryoides",NA,NA,NA,NA,NA
"Muscari botryoides lelievrei",NA,NA,NA,NA,NA
"Muscari comosum",NA,NA,NA,NA,NA
"Muscari neglectum",NA,NA,NA,NA,NA
"Muscari racemosum",NA,NA,NA,NA,NA
"Mutarda arvensis","""sinapis arvensis l.""","",NA,NA,NA
"Mutarda carinata",NA,NA,NA,NA,NA
"Mutarda nigra",NA,NA,NA,NA,NA
"Myagrum perfoliatum","""myagrum perfoliatum l.""","",NA,NA,NA
"Myosotis","""myosotis palustris (l.) l.""","5",3.5,3.5,6.8
"Myosotis arvensis",NA,NA,NA,NA,NA
"Myosotis corsicana",NA,NA,NA,NA,NA
"Myosotis discolor",NA,NA,NA,NA,NA
"Myosotis minutiflora",NA,NA,NA,NA,NA
"Myosotis palustris",NA,NA,NA,NA,NA
"Myosotis ramosissima",NA,NA,NA,NA,NA
"Myosotis scorpioides","""myosotis palustris (l.) l.""","5",3.5,3.5,6.8
"Myosotis stricta",NA,NA,NA,NA,NA
"Myosotis sylvatica",NA,NA,NA,NA,NA
"Myrrhis odorata",NA,NA,NA,NA,NA
"Nardus stricta","""nardus stricta l.""","4",3.5,3.5,2.8
"Nasturtium officinale","""nasturtium officinale agg. ""","5",4.3,4.3,13
"Nelumbo nucifera",NA,NA,NA,NA,NA
"Neottia ovata",NA,NA,NA,NA,NA
"Nepeta cataria","""nepeta cataria l.""","",NA,NA,NA
"Nepeta nepetella",NA,NA,NA,NA,NA
"Neslia apiculata",NA,NA,NA,NA,NA
"Neslia paniculata",NA,NA,NA,NA,NA
"Nicandra physalodes",NA,NA,NA,NA,NA
"Nigella arvensis","""nigella arvensis l.""","",NA,NA,NA
"Nigella damascena","""nigella damascena l.""","",NA,NA,NA
"Nigella gallica",NA,NA,NA,NA,NA
"Nigella hispanica",NA,NA,NA,NA,NA
"Nigella nigellastrum",NA,NA,NA,NA,NA
"Noccaea caerulescens",NA,NA,NA,NA,NA
"Nonea lutea",NA,NA,NA,NA,NA
"Nonea pallens",NA,NA,NA,NA,NA
"Nonea pulla",NA,NA,NA,NA,NA
"Odontites",NA,NA,NA,NA,NA
"Odontites jaubertianus chrysanthus",NA,NA,NA,NA,NA
"Odontites lanceolatus",NA,NA,NA,NA,NA
"Odontites vernus",NA,NA,NA,NA,NA
"Odontites vernus vernus",NA,NA,NA,NA,NA
"Odontites vulgaris",NA,NA,NA,NA,NA
"Odontites vulgaris vulgaris",NA,NA,NA,NA,NA
"Oenanthe crocata",NA,NA,NA,NA,NA
"Oenanthe fistulosa","""oenanthe fistulosa l.""","6",6,6,26.5
"Oenanthe lachenalii",NA,NA,NA,NA,NA
"Oenanthe pimpinelloides",NA,NA,NA,NA,NA
"Oenothera","""oenothera biennis l.""","",NA,NA,NA
"Oenothera biennis","""oenothera biennis l.""","",NA,NA,NA
"Oenothera glazioviana",NA,NA,NA,NA,NA
"Olea europaea",NA,NA,NA,NA,NA
"Oloptum miliaceum",NA,NA,NA,NA,NA
"Omalotheca sylvatica",NA,NA,NA,NA,NA
"Onobrychis alba",NA,NA,NA,NA,NA
"Onobrychis arenaria",NA,NA,NA,NA,NA
"Onobrychis caput-galli",NA,NA,NA,NA,NA
"Onobrychis viciifolia",NA,NA,NA,NA,NA
"Ononis","""ononis natrix l.""_""ononis repens l.""_""ononis rotundifolia l.""","",NA,NA,NA
"Ononis minutissima",NA,NA,NA,NA,NA
"Ononis natrix","""ononis natrix l.""","",NA,NA,NA
"Ononis reclinata",NA,NA,NA,NA,NA
"Ononis rotundifolia","""ononis rotundifolia l.""","",NA,NA,NA
"Ononis spinosa",NA,NA,NA,NA,NA
"Ononis spinosa procurrens","""ononis repens l.""","",NA,NA,NA
"Ononis spinosa procurrens","""ononis repens l.""","",NA,NA,NA
"Ononis viscosa viscosa",NA,NA,NA,NA,NA
"Onopordum","""onopordum acanthium l.""","",NA,NA,NA
"Onopordum acanthium","""onopordum acanthium l.""","",NA,NA,NA
"Onopordum acaulon",NA,NA,NA,NA,NA
"Onopordum corymbosum",NA,NA,NA,NA,NA
"Onopordum illyricum",NA,NA,NA,NA,NA
"Onopordum nervosum",NA,NA,NA,NA,NA
"Ophioglossum vulgatum","""ophioglossum vulgatum l.""","3",1,1,8.3
"Ophrys apifera",NA,NA,NA,NA,NA
"Ophrys insectifera","""ophrys insectifera l.""","3",1,1,0.5
"Ophrys sphegodes sphegodes","""ophrys sphegodes agg.""","3",2.7,2.7,0.5
"Orchidaceae",NA,NA,NA,NA,NA
"Orchis",NA,NA,NA,NA,NA
"Origanum","""origanum vulgare l.""","",NA,NA,NA
"Origanum majorana",NA,NA,NA,NA,NA
"Origanum vulgare","""origanum vulgare l.""","",NA,NA,NA
"Origanum vulgare vulgare","""origanum vulgare l.""","",NA,NA,NA
"Orlaya",NA,NA,NA,NA,NA
"Orlaya daucoides",NA,NA,NA,NA,NA
"Orlaya grandiflora",NA,NA,NA,NA,NA
"Ornithogalum","""ornithogalum umbellatum agg. ""","3",1,3.5,0.5
"Ornithogalum boucheanum",NA,NA,NA,NA,NA
"Ornithogalum divergens",NA,NA,NA,NA,NA
"Ornithogalum pyramidale",NA,NA,NA,NA,NA
"Ornithogalum umbellatum","""ornithogalum umbellatum agg. ""","3",1,3.5,0.5
"Ornithopus","""ornithopus perpusillus l.""","",NA,NA,NA
"Ornithopus compressus",NA,NA,NA,NA,NA
"Ornithopus perpusillus","""ornithopus perpusillus l.""","",NA,NA,NA
"Ornithopus sativus",NA,NA,NA,NA,NA
"Orobanche",NA,NA,NA,NA,NA
"Orobanche amethystea",NA,NA,NA,NA,NA
"Orobanche caryophyllacea",NA,NA,NA,NA,NA
"Orobanche cernua",NA,NA,NA,NA,NA
"Orobanche crenata",NA,NA,NA,NA,NA
"Orobanche cumana",NA,NA,NA,NA,NA
"Orobanche minor",NA,NA,NA,NA,NA
"Orobanche nana",NA,NA,NA,NA,NA
"Orobanche picridis",NA,NA,NA,NA,NA
"Orobanche picridis-hieracioidis",NA,NA,NA,NA,NA
"Orobanche purpurea",NA,NA,NA,NA,NA
"Orobanche ramosa",NA,NA,NA,NA,NA
"Oryza",NA,NA,NA,NA,NA
"Oryza sativa",NA,NA,NA,NA,NA
"Osyris alba",NA,NA,NA,NA,NA
"Oxalis","""oxalis acetosella l.""_""oxalis corniculata l.""_""oxalis stricta l.""","5",5.4,5.4,12.05
"Oxalis acetosella","""oxalis acetosella l.""","5",4.8,4.8,11.1
"Oxalis corniculata","""oxalis corniculata l.""","",NA,NA,NA
"Oxalis dillenii",NA,NA,NA,NA,NA
"Oxalis latifolia",NA,NA,NA,NA,NA
"Oxalis pes-caprae",NA,NA,NA,NA,NA
"Oxalis stricta","""oxalis stricta l.""","5",6,6,13
"Oxybasis glauca","""chenopodium glaucum l.""","",NA,NA,NA
"Oxybasis urbica","""chenopodium urbicum l.""","",NA,NA,NA
"Pallenis spinosa",NA,NA,NA,NA,NA
"Pancratium maritimum",NA,NA,NA,NA,NA
"Panicum","""panicum miliaceum l.""","",NA,NA,NA
"Panicum capillare",NA,NA,NA,NA,NA
"Panicum dichotomiflorum",NA,NA,NA,NA,NA
"Panicum hillmanii",NA,NA,NA,NA,NA
"Panicum miliaceum","""panicum miliaceum l.""","",NA,NA,NA
"Panicum virgatum",NA,NA,NA,NA,NA
"Papaver","""papaver dubium agg. ""_""papaver rhoeas l.""_""papaver somniferum l.""","",NA,NA,NA
"Papaver dubium","""papaver dubium agg. ""","",NA,NA,NA
"Papaver dubium dubium","""papaver dubium agg. ""","",NA,NA,NA
"Papaver rhoeas","""papaver rhoeas l.""","",NA,NA,NA
"Papaver rhoeas rhoeas","""papaver rhoeas l.""","",NA,NA,NA
"Papaver somniferum","""papaver somniferum l.""","",NA,NA,NA
"Papaver x strigosum",NA,NA,NA,NA,NA
"Parameconopsis cambrica",NA,NA,NA,NA,NA
"Parapholis cylindrica",NA,NA,NA,NA,NA
"Pardoglossum cheirifolium",NA,NA,NA,NA,NA
"Parentucellia",NA,NA,NA,NA,NA
"Parentucellia latifolia",NA,NA,NA,NA,NA
"Parentucellia viscosa",NA,NA,NA,NA,NA
"Parietaria judaica","""parietaria judaica l.""","3",1,1,0.5
"Paronychia",NA,NA,NA,NA,NA
"Parthenocissus",NA,NA,NA,NA,NA
"Parthenocissus quinquefolia",NA,NA,NA,NA,NA
"Paspalum",NA,NA,NA,NA,NA
"Paspalum dilatatum",NA,NA,NA,NA,NA
"Paspalum distichum",NA,NA,NA,NA,NA
"Pastinaca","""pastinaca sativa l.""","",NA,NA,NA
"Pastinaca sativa","""pastinaca sativa l.""","",NA,NA,NA
"Pastinaca sativa sativa","""pastinaca sativa l.""","",NA,NA,NA
"Pastinaca sativa urens","""pastinaca sativa l.""","",NA,NA,NA
"Pelargonium",NA,NA,NA,NA,NA
"Persicaria",NA,NA,NA,NA,NA
"Persicaria acuminata",NA,NA,NA,NA,NA
"Persicaria amphibia",NA,NA,NA,NA,NA
"Persicaria bistorta",NA,NA,NA,NA,NA
"Persicaria dubia",NA,NA,NA,NA,NA
"Persicaria hydropiper",NA,NA,NA,NA,NA
"Persicaria lapathifolia",NA,NA,NA,NA,NA
"Persicaria lapathifolia lapathifolia",NA,NA,NA,NA,NA
"Persicaria maculosa",NA,NA,NA,NA,NA
"Persicaria minor",NA,NA,NA,NA,NA
"Persicaria mitis",NA,NA,NA,NA,NA
"Petasites hybridus",NA,NA,NA,NA,NA
"Petrorhagia prolifera",NA,NA,NA,NA,NA
"Petrorhagia saxifraga",NA,NA,NA,NA,NA
"Petrosedum sediforme",NA,NA,NA,NA,NA
"Petroselinum",NA,NA,NA,NA,NA
"Petroselinum crispum",NA,NA,NA,NA,NA
"Peucedanum cervaria",NA,NA,NA,NA,NA
"Peucedanum oreoselinum",NA,NA,NA,NA,NA
"Peucedanum palustre",NA,NA,NA,NA,NA
"Phacelia tanacetifolia",NA,NA,NA,NA,NA
"Phalaris","""phalaris arundinacea l.""_""phalaris canariensis l.""","5",4.8,4.8,23.7
"Phalaris aquatica",NA,NA,NA,NA,NA
"Phalaris arundinacea","""phalaris arundinacea l.""","5",4.8,4.8,23.7
"Phalaris brachystachys",NA,NA,NA,NA,NA
"Phalaris canariensis","""phalaris canariensis l.""","",NA,NA,NA
"Phalaris coerulescens",NA,NA,NA,NA,NA
"Phalaris minor",NA,NA,NA,NA,NA
"Phalaris paradoxa",NA,NA,NA,NA,NA
"Phedimus spurius",NA,NA,NA,NA,NA
"Phillyrea latifolia",NA,NA,NA,NA,NA
"Phleum","""phleum arenarium l.""_""phleum pratense l.""","3",1,1,0.5
"Phleum arenarium","""phleum arenarium l.""","",NA,NA,NA
"Phleum bertolonii",NA,NA,NA,NA,NA
"Phleum exaratum",NA,NA,NA,NA,NA
"Phleum hirsutum",NA,NA,NA,NA,NA
"Phleum paniculatum",NA,NA,NA,NA,NA
"Phleum phleoides",NA,NA,NA,NA,NA
"Phleum pratense","""phleum pratense l.""","3",1,1,0.5
"Phleum subulatum",NA,NA,NA,NA,NA
"Phragmites",NA,NA,NA,NA,NA
"Phragmites australis",NA,NA,NA,NA,NA
"Physalis peruviana",NA,NA,NA,NA,NA
"Physalis viscosa",NA,NA,NA,NA,NA
"Physocarpus opulifolius",NA,NA,NA,NA,NA
"Phytolacca","""phytolacca americana l.""","",NA,NA,NA
"Phytolacca americana","""phytolacca americana l.""","",NA,NA,NA
"Phytolacca dodecandra",NA,NA,NA,NA,NA
"Picea abies",NA,NA,NA,NA,NA
"Picnomon acarna",NA,NA,NA,NA,NA
"Picris","""picris hieracioides l.""","",NA,NA,NA
"Picris angustifolia",NA,NA,NA,NA,NA
"Picris hieracioides","""picris hieracioides l.""","",NA,NA,NA
"Picris hieracioides hieracioides","""picris hieracioides l.""","",NA,NA,NA
"Pilosella","""pilosella piloselloides agg. ""","5",3.5,3.5,9.9
"Pilosella aurantiaca",NA,NA,NA,NA,NA
"Pilosella officinarum",NA,NA,NA,NA,NA
"Pilosella officinarum",NA,NA,NA,NA,NA
"Pilosella piloselloides","""pilosella piloselloides agg. ""","5",3.5,3.5,9.9
"Pimpinella","""pimpinella saxifraga l.""","",NA,NA,NA
"Pimpinella major",NA,NA,NA,NA,NA
"Pimpinella saxifraga","""pimpinella saxifraga l.""","",NA,NA,NA
"Pimpinella saxifraga saxifraga","""pimpinella saxifraga l.""","",NA,NA,NA
"Pinus halepensis",NA,NA,NA,NA,NA
"Pinus nigra",NA,NA,NA,NA,NA
"Pinus sylvestris","""pinus sylvestris l.""","",NA,NA,NA
"Piptatherum",NA,NA,NA,NA,NA
"Piptatherum miliaceum",NA,NA,NA,NA,NA
"Pistacia lentiscus",NA,NA,NA,NA,NA
"Pistacia terebinthus",NA,NA,NA,NA,NA
"Pistacia vera",NA,NA,NA,NA,NA
"Pisum sativum sativum",NA,NA,NA,NA,NA
"Plantago","""plantago coronopus l.""_""plantago lanceolata l.""_""plantago media l.""","",NA,NA,NA
"Plantago afra",NA,NA,NA,NA,NA
"Plantago albicans",NA,NA,NA,NA,NA
"Plantago altissima",NA,NA,NA,NA,NA
"Plantago argentea",NA,NA,NA,NA,NA
"Plantago barbata barbata",NA,NA,NA,NA,NA
"Plantago bellardii",NA,NA,NA,NA,NA
"Plantago coronopus","""plantago coronopus l.""","",NA,NA,NA
"Plantago gentianoides",NA,NA,NA,NA,NA
"Plantago indica",NA,NA,NA,NA,NA
"Plantago lagopus",NA,NA,NA,NA,NA
"Plantago lanceolata","""plantago lanceolata l.""","",NA,NA,NA
"Plantago major",NA,NA,NA,NA,NA
"Plantago major intermedia",NA,NA,NA,NA,NA
"Plantago major major",NA,NA,NA,NA,NA
"Plantago media","""plantago media l.""","",NA,NA,NA
"Plantago monanthos",NA,NA,NA,NA,NA
"Plantago monosperma",NA,NA,NA,NA,NA
"Plantago weldenii",NA,NA,NA,NA,NA
"Platycapnos spicata",NA,NA,NA,NA,NA
"Platycapnos spicatus",NA,NA,NA,NA,NA
"Poa","""poa angustifolia l.""_""poa annua l.""_""poa bulbosa l.""_""poa compressa l.""_""poa nemoralis l.""_""poa palustris l.""_""poa pratensis agg. ""_""poa trivialis l.""","4_5",3.5,4.11428571428571,9.02857142857143
"Poa angustifolia","""poa angustifolia l.""","4",6,6,4.7
"Poa annua","""poa annua l.""","",NA,NA,NA
"Poa bulbosa","""poa bulbosa l.""","4",4.3,8.6,16.3
"Poa chaixii",NA,NA,NA,NA,NA
"Poa compressa","""poa compressa l.""","4",2.7,2.7,8.8
"Poa infirma",NA,NA,NA,NA,NA
"Poa nemoralis","""poa nemoralis l.""","5",6,6,6.8
"Poa palustris","""poa palustris l.""","4",1,1,13
"Poa pratensis","""poa pratensis agg. ""","5",3.5,3.5,6.8
"Poa pratensis pratensis","""poa pratensis agg. ""","5",3.5,3.5,6.8
"Poa trivialis","""poa trivialis l.""","4",1,1,6.8
"Poaceae",NA,NA,NA,NA,NA
"Polycarpon tetraphyllum","""polycarpon tetraphyllum (l.) l.""","",NA,NA,NA
"Polycnemum","""polycnemum arvense l.""","",NA,NA,NA
"Polycnemum arvense","""polycnemum arvense l.""","",NA,NA,NA
"Polycnemum majus",NA,NA,NA,NA,NA
"Polygala calcarea",NA,NA,NA,NA,NA
"Polygala comosa",NA,NA,NA,NA,NA
"Polygala monspeliaca",NA,NA,NA,NA,NA
"Polygala vulgaris","""polygala vulgaris l.""","",NA,NA,NA
"Polygonatum",NA,NA,NA,NA,NA
"Polygonatum multiflorum",NA,NA,NA,NA,NA
"Polygonum","""polygonum aviculare agg. ""","",NA,NA,NA
"Polygonum aviculare","""polygonum aviculare agg. ""","",NA,NA,NA
"Polygonum aviculare depressum","""polygonum aviculare agg. ""","",NA,NA,NA
"Polygonum bellardii",NA,NA,NA,NA,NA
"Polygonum rurivagum",NA,NA,NA,NA,NA
"Polypogon monspeliensis",NA,NA,NA,NA,NA
"Polypogon viridis",NA,NA,NA,NA,NA
"Populus","""populus alba l.""_""populus nigra l.""_""populus tremula l.""","",NA,NA,NA
"Populus alba","""populus alba l.""","",NA,NA,NA
"Populus deltoides",NA,NA,NA,NA,NA
"Populus nigra","""populus nigra l.""","",NA,NA,NA
"Populus tremula","""populus tremula l.""","",NA,NA,NA
"Populus x canadensis",NA,NA,NA,NA,NA
