"synonym_taxa","synonym_full_name","accepted_taxa"
"Abortopetalum","Abortopetalum O.Deg.","Abutilon"
"Abutilaea","Abutilaea F.Muell.","Abutilon"
"Abutilothamnus","Abutilothamnus Ulbr.","Abutilon"
"Bastardia","Bastardia Kunth","Abutilon"
"Beloere","Beloere Shuttlew.","Abutilon"
"Abutilon abutilon","Abutilon abutilon (L.) Huth","Abutilon theophrasti"
"Abutilon avicennae","Abutilon avicennae Gaertn.","Abutilon theophrasti"
"Abutilon avicennae genuina","Abutilon avicennae f. genuina Skvortsov","Abutilon theophrasti"
"Abutilon avicennae nigrum","Abutilon avicennae f. nigrum Skvortsov","Abutilon theophrasti"
"Abutilon avicennae parviflorum","Abutilon avicennae f. parviflorum Regel","Abutilon theophrasti"
"Abutilon avicennae tiliifolium","Abutilon avicennae f. tiliifolium (Willd.) Regel","Abutilon theophrasti"
"Abutilon avicennae aureum","Abutilon avicennae var. aureum Berliand","Abutilon theophrasti"
"Abutilon avicennae chinense","Abutilon avicennae var. chinense Skvortsov","Abutilon theophrasti"
"Abutilon avicennae cordatum","Abutilon avicennae var. cordatum Berliand","Abutilon theophrasti"
"Abutilon avicennae rotundifolium","Abutilon avicennae var. rotundifolium Berliand","Abutilon theophrasti"
"Abutilon avicennae violaceum","Abutilon avicennae var. violaceum Berliand","Abutilon theophrasti"
"Abutilon behrianum","Abutilon behrianum F.Muell.","Abutilon theophrasti"
"Abutilon commune","Abutilon commune Oken","Abutilon theophrasti"
"Abutilon pubescens","Abutilon pubescens Moench","Abutilon theophrasti"
"Abutilon theophrasti chinense","Abutilon theophrasti var. chinense (Skvortsov) S.Y.Hu","Abutilon theophrasti"
"Abutilon theophrasti nigrum","Abutilon theophrasti var. nigrum (Skvortsov) S.Y.Hu","Abutilon theophrasti"
"Abutilon tiliifolium","Abutilon tiliifolium (Willd.) Sweet","Abutilon theophrasti"
"Malva abutilon","Malva abutilon (L.) E.H.L.Krause","Abutilon theophrasti"
"Sida abutilifolia","Sida abutilifolia Moench","Abutilon theophrasti"
"Sida abutilon","Sida abutilon L.","Abutilon theophrasti"
"Sida tenax","Sida tenax Salisb.","Abutilon theophrasti"
"Sida tiliifolia","Sida tiliifolia Fisch.","Abutilon theophrasti"
"Side abutila","Side abutila St.-Lag.","Abutilon theophrasti"
"Adianthum","Adianthum Burm.f.","Acacia"
"Chithonanthus","Chithonanthus Lehm.","Acacia"
"Cuparilla","Cuparilla Raf.","Acacia"
"Drepaphyla","Drepaphyla Raf.","Acacia"
"Farnesiana","Farnesiana","Acacia"
"Hecatandra","Hecatandra Raf.","Acacia"
"Nygae","Nygae","Acacia"
"Phyllodoce","Phyllodoce Link","Acacia"
"Popanax","Popanax","Acacia"
"Racosperma","Racosperma Mart.","Acacia"
"Racospermum","Racospermum","Acacia"
"Tetracheilos","Tetracheilos Lehm.","Acacia"
"Zigmaloba","Zigmaloba Raf.","Acacia"
"Acalyphes","Acalyphes Hassk.","Acalypha"
"Acalyphopsis","Acalyphopsis Pax & K.Hoffm.","Acalypha"
"Calyptrospatha","Calyptrospatha Klotzsch ex Baill.","Acalypha"
"Caturus","Caturus L.","Acalypha"
"Corythea","Corythea S.Watson","Acalypha"
"Cupameni","Cupameni Adans.","Acalypha"
"Cupamenis","Cupamenis Raf.","Acalypha"
"Gymnalypha","Gymnalypha Griseb.","Acalypha"
"Linostachys","Linostachys Klotzsch ex Schltdl.","Acalypha"
"Mercuriastrum","Mercuriastrum Heist. ex Fabr.","Acalypha"
"Odonteilema","Odonteilema Turcz.","Acalypha"
"Paracelsea","Paracelsea Zoll.","Acalypha"
"Ricinocarpus","Ricinocarpus Burm. ex Kuntze","Acalypha"
"Schizogyne","Schizogyne Ehrenb. ex Pax","Acalypha"
"Usteria","Usteria Dennst.","Acalypha"
"Acalypha brevipes","Acalypha brevipes Raf.","Acalypha virginica"
"Acalypha caroliniana","Acalypha caroliniana Walter","Acalypha virginica"
"Acalypha crenulata","Acalypha crenulata Raf.","Acalypha virginica"
"Acalypha digyneia","Acalypha digyneia Raf.","Acalypha virginica"
"Acalypha echinata","Acalypha echinata Raf.","Acalypha virginica"
"Acalypha urticifolia","Acalypha urticifolia Raf.","Acalypha virginica"
"Acalypha virginea","Acalypha virginea Dragend.","Acalypha virginica"
"Acalypha virginica intermedia","Acalypha virginica f. intermedia Millsp.","Acalypha virginica"
"Acalypha virginica purpurea","Acalypha virginica f. purpurea Farw.","Acalypha virginica"
"Acalypha virginica angustifolia","Acalypha virginica var. angustifolia Torr.","Acalypha virginica"
"Acalypha virginica genuina","Acalypha virginica var. genuina Müll.Arg.","Acalypha virginica"
"Acalypha virginica virginica","Acalypha virginica var. virginica","Acalypha virginica"
"Ricinocarpus digyneius","Ricinocarpus digyneius (Raf.) Kuntze","Acalypha virginica"
"Ricinocarpus urticifolius","Ricinocarpus urticifolius (Raf.) Kuntze","Acalypha virginica"
"Ricinocarpus virginicus","Ricinocarpus virginicus (L.) Kuntze","Acalypha virginica"
"Acer completum","Acer completum Chaney, 1920","Acer"
"Acer dimorphum","Acer dimorphum Lesquereux, 1888","Acer"
"Acer gigas","Acer gigas Knowlton, 1902","Acer"
"Acer grahamensis","Acer grahamensis Knowlton & Cockerell, 1919","Acer"
"Acer macropterum","Acer macropterum Heer, 1868","Acer"
"Acer minor","Acer minor Knowlton, 1902","Acer"
"Argentacer","Argentacer Small","Acer"
"Crula","Crula Nieuwl.","Acer"
"Euacer","Euacer Opiz","Acer"
"Negundium","Negundium Raf.","Acer"
"Negundo","Negundo Boehm.","Acer"
"Rufacer","Rufacer Small","Acer"
"Rulac","Rulac Adans.","Acer"
"Saccharodendron","Saccharodendron Nieuwl.","Acer"
"Sacchrosphendamnus","Sacchrosphendamnus Nieuwl.","Acer"
"Acer campestre deflexum","Acer campestre f. deflexum Beck","Acer campestre"
"Acer campestre leiophyllum","Acer campestre f. leiophyllum Pax","Acer campestre"
"Acer campestre pseudomonspessulanum","Acer campestre f. pseudomonspessulanum Bornm. & Pax","Acer campestre"
"Acer campestre leiocarpum","Acer campestre subsp. leiocarpum P.Fourn., 1936","Acer campestre"
"Acer campestre campestre","Acer campestre var. campestre","Acer campestre"
"Acer campestre hebecarpum","Acer campestre var. hebecarpum DC. ex Cariot & St.-Lag., 1889","Acer campestre"
"Acer campestre hebercarpum","Acer campestre var. hebercarpum DC.","Acer campestre"
"Acer campestre serotinum","Acer campestre var. serotinum Kit.","Acer campestre"
"Acer campestre suberosum","Acer campestre var. suberosum Dumort.","Acer campestre"
"Acer campestre variegatum","Acer campestre var. variegatum Pax","Acer campestre"
"Acer nanum","Acer nanum Steud.","Acer campestre"
"Acer palmatisectum","Acer palmatisectum Ortmann ex Celak.","Acer campestre"
"Acer pulverulentum","Acer pulverulentum K.Koch","Acer campestre"
"Acer trattinickii","Acer trattinickii Pohl, 1814","Acer campestre"
"Acer interius","Acer interius Britton","Acer negundo"
"Acer negundo negundo","Acer negundo f. negundo","Acer negundo"
"Acer negundo typicum","Acer negundo subsp. typicum Wesm.","Acer negundo"
"Acer negundo interius","Acer negundo var. interius (Britton) Sarg.","Acer negundo"
"Acer negundo normalis","Acer negundo var. normalis Kuntze","Acer negundo"
"Acer negundo poseudocalifornicum","Acer negundo var. poseudocalifornicum Schwer.","Acer negundo"
"Acer negundo vulgare","Acer negundo var. vulgare Pax","Acer negundo"
"Negundium americanum","Negundium americanum DC. ex Loudon","Acer negundo"
"Negundo aceroides","Negundo aceroides Torr.","Acer negundo"
"Negundo aceroides interius","Negundo aceroides subsp. interius (Britton) Á.Löve & D.Löve","Acer negundo"
"Negundo interius","Negundo interius (Britton) Rydb.","Acer negundo"
"Negundo interius texana","Negundo interius subsp. texana (Pax) Holub","Acer negundo"
"Negundo trifoliatum","Negundo trifoliatum Raf., 1833","Acer negundo"
"Acer acutifolium","Acer acutifolium St.-Lag., 1889","Acer platanoides"
"Acer dasyphyllum","Acer dasyphyllum Nicholson","Acer platanoides"
"Acer dobrudschae","Acer dobrudschae Pax, 1886","Acer platanoides"
"Acer dobrudschii","Acer dobrudschii Pax","Acer platanoides"
"Acer lobatum","Acer lobatum Steud.","Acer platanoides"
"Acer platanoides meyeraengii","Acer platanoides f. meyeraengii Geerinck","Acer platanoides"
"Acer platanoides platanoides","Acer platanoides f. platanoides","Acer platanoides"
"Acer platanoides globosum","Acer platanoides var. globosum G.Nicholson","Acer platanoides"
"Acer platanoides schwedleri","Acer platanoides var. schwedleri G.Nicholson","Acer platanoides"
"Acer platanoides stollii","Acer platanoides var. stollii Schwer.","Acer platanoides"
"Acer platanoides variegatum","Acer platanoides var. variegatum Loudon","Acer platanoides"
"Acer abchasicum","Acer abchasicum Rupr.","Acer pseudoplatanus"
"Acer atropurpureum","Acer atropurpureum Dippel","Acer pseudoplatanus"
"Acer bohemicum","Acer bohemicum C.Presl","Acer pseudoplatanus"
"Acer dittrichii","Acer dittrichii Ortmann","Acer pseudoplatanus"
"Acer euchlorum","Acer euchlorum Dippel","Acer pseudoplatanus"
"Acer fieberi","Acer fieberi Opiz","Acer pseudoplatanus"
"Acer latifolium","Acer latifolium Bubani, 1901","Acer pseudoplatanus"
"Acer leopoldii","Acer leopoldii (Van Geert) Van Geert","Acer pseudoplatanus"
"Acer majus","Acer majus Ray","Acer pseudoplatanus"
"Acer majus glaucum","Acer majus var. glaucum Gray","Acer pseudoplatanus"
"Acer melliodorum","Acer melliodorum Opiz","Acer pseudoplatanus"
"Acer montanum","Acer montanum Garsault","Acer pseudoplatanus"
"Acer nebrodense","Acer nebrodense Tineo","Acer pseudoplatanus"
"Acer opalus villosum","Acer opalus var. villosum (C.Presl) Steud.","Acer pseudoplatanus"
"Acer opizii","Acer opizii Ortmann","Acer pseudoplatanus"
"Acer opulifolium","Acer opulifolium Thuill.","Acer pseudoplatanus"
"Acer procerum","Acer procerum Salisb.","Acer pseudoplatanus"
"Acer pseudoplatanus albertsii","Acer pseudoplatanus f. albertsii Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus albomarmoratum","Acer pseudoplatanus f. albomarmoratum Pax","Acer pseudoplatanus"
"Acer pseudoplatanus albovariegatum","Acer pseudoplatanus f. albovariegatum (Hayne) Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus annae","Acer pseudoplatanus f. annae Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus argutum","Acer pseudoplatanus f. argutum Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus atropurpureum","Acer pseudoplatanus f. atropurpureum (Späth) Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus aucubifolium","Acer pseudoplatanus f. aucubifolium Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus aureovariegatum","Acer pseudoplatanus f. aureovariegatum (Jacques) Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus bicolor","Acer pseudoplatanus f. bicolor Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus brevialatum","Acer pseudoplatanus f. brevialatum Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus clausum","Acer pseudoplatanus f. clausum Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus complicatum","Acer pseudoplatanus f. complicatum (H.Mort.) Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus concavum","Acer pseudoplatanus f. concavum Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus corstorphinense","Acer pseudoplatanus f. corstorphinense Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus costorphinense","Acer pseudoplatanus f. costorphinense Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus cruciatum","Acer pseudoplatanus f. cruciatum Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus cupreum","Acer pseudoplatanus f. cupreum Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus discolor","Acer pseudoplatanus f. discolor Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus distans","Acer pseudoplatanus f. distans Rikli","Acer pseudoplatanus"
"Acer pseudoplatanus dittrichii","Acer pseudoplatanus f. dittrichii (Ortmann) Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus erythrocarpum","Acer pseudoplatanus f. erythrocarpum (Carrière) Pax","Acer pseudoplatanus"
"Acer pseudoplatanus euchlorum","Acer pseudoplatanus f. euchlorum (Späth) Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus flavescens","Acer pseudoplatanus f. flavescens Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus flavovariegatum","Acer pseudoplatanus f. flavovariegatum (Hayne) Rehder","Acer pseudoplatanus"
"Acer pseudoplatanus grandicorne","Acer pseudoplatanus f. grandicorne Borbás","Acer pseudoplatanus"
"Acer pseudoplatanus handjeryi","Acer pseudoplatanus f. handjeryi (Späth ex Rehder) Geerinck","Acer pseudoplatanus"
"Acer pseudoplatanus heterophyllum","Acer pseudoplatanus f. heterophyllum Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus insigne","Acer pseudoplatanus f. insigne (Späth) Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus jaspideum","Acer pseudoplatanus f. jaspideum Lavallée","Acer pseudoplatanus"
"Acer pseudoplatanus laetum","Acer pseudoplatanus f. laetum Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus latialatum","Acer pseudoplatanus f. latialatum (Pax) Pax","Acer pseudoplatanus"
"Acer pseudoplatanus latifolium","Acer pseudoplatanus f. latifolium Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus laxum","Acer pseudoplatanus f. laxum Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus leopoldii","Acer pseudoplatanus f. leopoldii (Van Geert) Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus luteoconcavum","Acer pseudoplatanus f. luteoconcavum Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus luteovirescens","Acer pseudoplatanus f. luteovirescens Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus lutescens","Acer pseudoplatanus f. lutescens Pax","Acer pseudoplatanus"
"Acer pseudoplatanus metallicum","Acer pseudoplatanus f. metallicum Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus neglectum","Acer pseudoplatanus f. neglectum Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus nervosum","Acer pseudoplatanus f. nervosum Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus nizetii","Acer pseudoplatanus f. nizetii Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus obtusangulatum","Acer pseudoplatanus f. obtusangulatum Borbás","Acer pseudoplatanus"
"Acer pseudoplatanus opizii","Acer pseudoplatanus f. opizii (Ortmann) Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus opulifolium","Acer pseudoplatanus f. opulifolium R.Lauche","Acer pseudoplatanus"
"Acer pseudoplatanus palmatifidum","Acer pseudoplatanus f. palmatifidum Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus pseudonizetii","Acer pseudoplatanus f. pseudonizetii Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus pseudoplatanus","Acer pseudoplatanus f. pseudoplatanus","Acer pseudoplatanus"
"Acer pseudoplatanus pulverulentum","Acer pseudoplatanus f. pulverulentum Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus purpurascens","Acer pseudoplatanus f. purpurascens (Jacob-Makoy) Pax","Acer pseudoplatanus"
"Acer pseudoplatanus purpureum","Acer pseudoplatanus f. purpureum (Loudon) Rehder","Acer pseudoplatanus"
"Acer pseudoplatanus pyramidale","Acer pseudoplatanus f. pyramidale G.Nicholson","Acer pseudoplatanus"
"Acer pseudoplatanus quadricolor","Acer pseudoplatanus f. quadricolor Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus rubromaculatum","Acer pseudoplatanus f. rubromaculatum Pax","Acer pseudoplatanus"
"Acer pseudoplatanus sanguineum","Acer pseudoplatanus f. sanguineum Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus serotinum","Acer pseudoplatanus f. serotinum Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus serratum","Acer pseudoplatanus f. serratum Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus siculum","Acer pseudoplatanus f. siculum (Guss.) Borbás","Acer pseudoplatanus"
"Acer pseudoplatanus spaethii","Acer pseudoplatanus f. spaethii Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus subparallelum","Acer pseudoplatanus f. subparallelum Borbás","Acer pseudoplatanus"
"Acer pseudoplatanus tricolor","Acer pseudoplatanus f. tricolor Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus trilobatum","Acer pseudoplatanus f. trilobatum Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus variegatum","Acer pseudoplatanus f. variegatum (Weston) Rehder","Acer pseudoplatanus"
"Acer pseudoplatanus vitifolium","Acer pseudoplatanus f. vitifolium (Tausch) Schwer.","Acer pseudoplatanus"
"Acer pseudoplatanus worleei","Acer pseudoplatanus f. worleei Rosenthal","Acer pseudoplatanus"
"Acer pseudoplatanus villosum","Acer pseudoplatanus subsp. villosum (C.Presl) Pax","Acer pseudoplatanus"
"Acer pseudoplatanus acuminatum","Acer pseudoplatanus var. acuminatum Tausch","Acer pseudoplatanus"
"Achillios","Achillios St.-Lag.","Achillea"
"Alitubus","Alitubus Dulac","Achillea"
"Arthrolepis","Arthrolepis Boiss.","Achillea"
"Chrysopelta","Chrysopelta Tausch","Achillea"
"Conforata","Conforata Caesalp. ex Fourr.","Achillea"
"Diotis","Diotis Desf.","Achillea"
"Leucocyclus","Leucocyclus Boiss.","Achillea"
"Millefolium","Millefolium Mill.","Achillea"
"Neesia","Neesia Spreng.","Achillea"
"Otanthus","Otanthus Hoffmanns. & Link","Achillea"
"Ptarmica","Ptarmica Hill","Achillea"
"Achillea borealis arenicola","Achillea borealis subsp. arenicola J.T.Howell","Achillea millefolium"
"Achillea ceretanica","Achillea ceretanica Sennen, 1916","Achillea millefolium"
"Achillea intermedia","Achillea intermedia Schleich., 1821","Achillea millefolium"
"Achillea lanulosa alpicola","Achillea lanulosa subsp. alpicola (Rydb.) Rydb.","Achillea millefolium"
"Achillea lanulosa arachnoidea","Achillea lanulosa subsp. arachnoidea Lunell","Achillea millefolium"
"Achillea lanulosa eradiata","Achillea lanulosa subsp. eradiata (Piper) M.Peck","Achillea millefolium"
"Achillea lanulosa peroutkyi","Achillea lanulosa subsp. peroutkyi F.Seym.","Achillea millefolium"
"Achillea lanulosa rubicunda","Achillea lanulosa subsp. rubicunda Farw.","Achillea millefolium"
"Achillea laxiflora","Achillea laxiflora A.Nelson, 1902","Achillea millefolium"
"Achillea millefolium millefolium","Achillea millefolium f. millefolium","Achillea millefolium"
"Achillea millefolium albiflora","Achillea millefolium subsp. albiflora Dabrowska","Achillea millefolium"
"Achillea millefolium alpicola","Achillea millefolium subsp. alpicola (Rydb.) Garrett","Achillea millefolium"
"Achillea millefolium asplenifolia","Achillea millefolium subsp. asplenifolia (Vent.) Farw.","Achillea millefolium"
"Achillea millefolium borealis","Achillea millefolium subsp. borealis (Bong.) Farw.","Achillea millefolium"
"Achillea millefolium colliniformis","Achillea millefolium subsp. colliniformis Dabrowska","Achillea millefolium"
"Achillea millefolium dipetala","Achillea millefolium subsp. dipetala Dabrowska","Achillea millefolium"
"Achillea millefolium discolor","Achillea millefolium subsp. discolor B.Boivin","Achillea millefolium"
"Achillea millefolium dissecta","Achillea millefolium subsp. dissecta Dabrowska","Achillea millefolium"
"Achillea millefolium fulva","Achillea millefolium subsp. fulva","Achillea millefolium"
"Achillea millefolium iserana","Achillea millefolium subsp. iserana Podp.","Achillea millefolium"
"Achillea millefolium litoralis","Achillea millefolium subsp. litoralis Ehrenb.","Achillea millefolium"
"Achillea millefolium lobata","Achillea millefolium subsp. lobata Dabrowska","Achillea millefolium"
"Achillea millefolium maritima","Achillea millefolium subsp. maritima Jeps.","Achillea millefolium"
"Achillea millefolium megacephala","Achillea millefolium subsp. megacephala (Raup) B.Boivin","Achillea millefolium"
"Achillea millefolium nigrescens","Achillea millefolium subsp. nigrescens E.Mey.","Achillea millefolium"
"Achillea millefolium pacifica","Achillea millefolium subsp. pacifica (Rydb.) G.N.Jones","Achillea millefolium"
"Achillea millefolium parviligula","Achillea millefolium subsp. parviligula","Achillea millefolium"
"Achillea millefolium parvula","Achillea millefolium subsp. parvula","Achillea millefolium"
"Achillea millefolium puberula","Achillea millefolium subsp. puberula (Rydb.) Ferris","Achillea millefolium"
"Achillea millefolium rhodantha","Achillea millefolium subsp. rhodantha Lepage","Achillea millefolium"
"Achillea millefolium rosea","Achillea millefolium subsp. rosea (Desf.) E.L.Rand & Redfield","Achillea millefolium"
"Achillea millefolium roseiflora","Achillea millefolium subsp. roseiflora B.Boivin","Achillea millefolium"
"Achillea millefolium roseoides","Achillea millefolium subsp. roseoides Breitung","Achillea millefolium"
"Achillea millefolium rubicunda","Achillea millefolium subsp. rubicunda (Farw.) Farw.","Achillea millefolium"
"Achillea millefolium russeolata","Achillea millefolium subsp. russeolata","Achillea millefolium"
"Achillea millefolium sordida","Achillea millefolium subsp. sordida W.D.J.Koch","Achillea millefolium"
"Achillea millefolium spathulata","Achillea millefolium subsp. spathulata Dabrowska","Achillea millefolium"
"Achillea millefolium occidentale","Achillea millefolium var. occidentale DC.","Achillea millefolium"
"Achillea nabalekii","Achillea nabalekii Heimerl, 1925","Achillea millefolium"
"Achillea pseudotanitifolia","Achillea pseudotanitifolia Wierzb.","Achillea millefolium"
"Achillea rosea","Achillea rosea Desf. ex Poir., 1810","Achillea millefolium"
"Achillea serpentini","Achillea serpentini H.J.Coste & Soulié, 1897","Achillea millefolium"
"Achillea setacea setacea","Achillea setacea var. setacea","Achillea millefolium"
"Achillea stricta","Achillea stricta Schleich. ex Heimerl","Achillea millefolium"
"Anthemis millefolium","Anthemis millefolium (L.) Schrank, 1789","Achillea millefolium"
"Achillea grata","Achillea grata Boiss., 1860","Achillea odorata"
"Achillea microphylla","Achillea microphylla Willd.","Achillea odorata"
"Achillea odorata pectinata","Achillea odorata subsp. pectinata (Lam.) Briq. & Cavill.","Achillea odorata"
"Achillea odorata masclansii","Achillea odorata var. masclansii P.Monts.","Achillea odorata"
"Achillea odorata microphylla","Achillea odorata var. microphylla (Willd.) Willk.","Achillea odorata"
"Achillea pectinata","Achillea pectinata Lam.","Achillea odorata"
"Achillea pubescens","Achillea pubescens Willd.","Achillea odorata"
"Achillea punctata","Achillea punctata Ten.","Achillea odorata"
"Millefolium odoratum","Millefolium odoratum (L.) Fourr.","Achillea odorata"
"Achillea ptarmica ptarmica","Achillea ptarmica f. ptarmica","Achillea ptarmica"
"Achillea ptarmica euptarmica","Achillea ptarmica subsp. euptarmica Heimerl","Achillea ptarmica"
"Acinos acinos","Acinos acinos (L.) Huth","Ziziphora acinos"
"Acinos acuminatus","Acinos acuminatus Friv.","Ziziphora acinos"
"Acinos arvensis","Acinos arvensis (Lam.) Dandy","Ziziphora acinos"
"Acinos arvensis arvensis","Acinos arvensis subsp. arvensis","Ziziphora acinos"
"Acinos arvensis eglandulosus","Acinos arvensis subsp. eglandulosus (Klokov) Tzvelev","Ziziphora acinos"
"Acinos arvensis villosus","Acinos arvensis subsp. villosus (Pers.) Soják","Ziziphora acinos"
"Acinos arvensis acuminatus","Acinos arvensis var. acuminatus (Friv.) Šilic","Ziziphora acinos"
"Acinos arvensis argutus","Acinos arvensis var. argutus (Rchb.) Šilic","Ziziphora acinos"
"Acinos arvensis lancifolius","Acinos arvensis var. lancifolius (Murb.) Šilic","Ziziphora acinos"
"Acinos arvensis perennans","Acinos arvensis var. perennans (Vis.) Šilic","Ziziphora acinos"
"Acinos clinopodiifacie","Acinos clinopodiifacie Gilib.","Ziziphora acinos"
"Acinos eglandulosus","Acinos eglandulosus Klokov","Ziziphora acinos"
"Acinos infectus","Acinos infectus Klokov","Ziziphora acinos"
"Acinos inflectus","Acinos inflectus Klokov","Ziziphora acinos"
"Acinos schizodontus","Acinos schizodontus Klokov","Ziziphora acinos"
"Acinos subcrispus","Acinos subcrispus Klokov","Ziziphora acinos"
"Acinos thymoides","Acinos thymoides Moench","Ziziphora acinos"
"Acinos thymoides perennans","Acinos thymoides var. perennans Vis.","Ziziphora acinos"
"Acinos thymoides villosus","Acinos thymoides var. villosus (Pers.) Vis.","Ziziphora acinos"
"Acinos villosus","Acinos villosus Pers.","Ziziphora acinos"
"Acinos villosus argutus","Acinos villosus var. argutus Rchb.","Ziziphora acinos"
"Acinos vulgaris villosus","Acinos vulgaris var. villosus (Pers.) Boenn.","Ziziphora acinos"
"Acinos ymoides","Acinos ymoides Moench","Ziziphora acinos"
"Calamintha acinos","Calamintha acinos (L.) Clairv.","Ziziphora acinos"
"Calamintha acinos lancifolia","Calamintha acinos f. lancifolia (Murb.) Bolzon","Ziziphora acinos"
"Calamintha acinos villosa","Calamintha acinos f. villosa (Pers.) Bolzon","Ziziphora acinos"
"Calamintha heterophylla","Calamintha heterophylla (Poir.) Heynh.","Ziziphora acinos"
"Calamintha villosa","Calamintha villosa (Pers.) A.Terracc.","Ziziphora acinos"
"Clinopodium acinos acinos","Clinopodium acinos subsp. acinos","Ziziphora acinos"
"Clinopodium acinos villosum","Clinopodium acinos subsp. villosum (Pers.) Peruzzi & F.Conti","Ziziphora acinos"
"Faucibarba acinos","Faucibarba acinos (L.) Dulac","Ziziphora acinos"
"Melissa acinos","Melissa acinos (L.) Benth.","Ziziphora acinos"
"Melissa arvensis","Melissa arvensis (Lam.) Bubani","Ziziphora acinos"
"Satureja acinos","Satureja acinos (L.) Scheele","Ziziphora acinos"
"Satureja acinos albiflora","Satureja acinos f. albiflora H.Lindb.","Ziziphora acinos"
"Satureja acinos canescens","Satureja acinos var. canescens (Dumort.) T.Durand","Ziziphora acinos"
"Satureja acinos ellpitica","Satureja acinos var. ellpitica Briq.","Ziziphora acinos"
"Satureja acinos lancifolia","Satureja acinos var. lancifolia (Murb.) Briq.","Ziziphora acinos"
"Satureja villosa","Satureja villosa (Pers.) Dörfl.","Ziziphora acinos"
"Thymus acinoides","Thymus acinoides Schleich.","Ziziphora acinos"
"Thymus acinos","Thymus acinos L.","Ziziphora acinos"
"Thymus acinos alpinus","Thymus acinos var. alpinus Mérat","Ziziphora acinos"
"Thymus acinos incanotomentosus","Thymus acinos var. incanotomentosus Lej. & Courtois","Ziziphora acinos"
"Thymus acinos subglabra","Thymus acinos var. subglabra Lej.","Ziziphora acinos"
"Thymus acinos villosus","Thymus acinos var. villosus (Pers.) Lej.","Ziziphora acinos"
"Thymus acinos vulgaris","Thymus acinos var. vulgaris Lej. & Courtois","Ziziphora acinos"
"Thymus arvensis","Thymus arvensis (Lam.) Schur","Ziziphora acinos"
"Thymus canescens","Thymus canescens Dumort.","Ziziphora acinos"
"Thymus concinnus","Thymus concinnus Salisb.","Ziziphora acinos"
"Thymus diffusus","Thymus diffusus Bluff & Fingerh.","Ziziphora acinos"
"Thymus gibbosus","Thymus gibbosus Stokes","Ziziphora acinos"
"Thymus heterophyllus","Thymus heterophyllus Poir.","Ziziphora acinos"
"Ziziphora acuminata","Ziziphora acuminata (Friv.) Melnikov","Ziziphora acinos"
"Ziziphora eglandulosa","Ziziphora eglandulosa (Klokov) Melnikov","Ziziphora acinos"
"Ziziphora infecta","Ziziphora infecta (Klokov) Melnikov","Ziziphora acinos"
"Ziziphora schizodonta","Ziziphora schizodonta (Klokov) Melnikov","Ziziphora acinos"
"Ziziphora subcrispa","Ziziphora subcrispa (Klokov) Melnikov","Ziziphora acinos"
"Ziziphora villosa","Ziziphora villosa (Pers.) Melnikov","Ziziphora acinos"
"Adonanthe","Adonanthe Spach","Adonis"
"Adoniastrum","Adoniastrum Schur","Adonis"
