"spec.name","spec.name.ORIG","Squished","Brackets.detected","Number.detected","Unique","Matched","Fuzzy","Fuzzy.toomany","Fuzzy.two","Fuzzy.one","Fuzzy.dist","OriSeq","Subseq","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","references","source","majorGroup","tplID","Hybrid","New.accepted","Old.status","Old.ID","Old.name"
"Acalypha virginica","Acalypha virginica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,8,2,"wfo-0000960215","urn:lsid:ipni.org:names:77167464-1","779","Acalypha lanceolata var. lanceolata","variety","wfo-0000959997","","Euphorbiaceae","","","","Acalypha","","lanceolata","lanceolata","variety","Valid","Unknown","Accepted","","",NA,"Source in seed data: wcs Updated taxonomicStatus from Synonym to Accepted, information provided by Alan E. on email Jun. 03 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-779 >The Plant List v.1.1.</a> Originall","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77167464-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-779","",TRUE,"Synonym","wfo-0000252165","Acalypha virginica"
"Acalypha virginica","Acalypha virginica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,8,3,"wfo-0000252267","urn:lsid:ipni.org:names:1586-2","1359","Acalypha virginica","species","wfo-4000000080","L.","Euphorbiaceae","","","","Acalypha","","virginica","","species","Valid","Sp. Pl. : 1003 (1753)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 2: 1003. 1753 [1 May 1753] to Sp. Pl. : 1003 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-1","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1586-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-1359","",FALSE,"","",""
"Acalypha virginica","Acalypha virginica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,8,4,"wfo-0000960215","urn:lsid:ipni.org:names:77167464-1","779","Acalypha lanceolata var. lanceolata","variety","wfo-0000959997","","Euphorbiaceae","","","","Acalypha","","lanceolata","lanceolata","variety","Valid","Unknown","Accepted","","",NA,"Source in seed data: wcs Updated taxonomicStatus from Synonym to Accepted, information provided by Alan E. on email Jun. 03 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-779 >The Plant List v.1.1.</a> Originall","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77167464-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-779","",TRUE,"Synonym","wfo-1000038355","Acalypha virginica"
"Acer","Acer",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,9,1,"wfo-4000000188","urn:lsid:ipni.org:names:328248-2","40030257","Acer","genus","wfo-4100000016","L.","Sapindaceae","Hippocastanoideae","","","Acer","","","","genus","Valid","Sp. Pl. [Linnaeus] 2: 1054 (1753)","Accepted","","",NA,"Source in seed data: TPL1.1 Update namepublishedIn from Sp. Pl. 2: 1054. 1753. (1 May 1753) to Sp. Pl. : 1054 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/1.1/browse/A/Sa","","The Sapindaceae TEN","A","","",FALSE,"","",""
"Acer campestre","Acer campestre",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,10,1,"wfo-0000514040","urn:lsid:ipni.org:names:781250-1","747851","Acer campestre","species","wfo-4000000188","L.","Sapindaceae","Hippocastanoideae","","","Acer","","campestre","","species","Valid","Sp. Pl. : 1055 (1753)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 1055 1753 to Sp. Pl. : 1055 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2615447 >The Plant","","The Sapindaceae TEN","A","kew-2615447","",FALSE,"","",""
"Acer negundo","Acer negundo",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,11,1,"wfo-0000514643","urn:lsid:ipni.org:names:781412-1","748414","Acer negundo","species","wfo-4000000188","L.","Sapindaceae","Hippocastanoideae","","","Acer","","negundo","","species","Valid","Sp. Pl. : 1056 (1753)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 1056 1753 to Sp. Pl. : 1056 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2616024 >The Plant","","The Sapindaceae TEN","A","kew-2616024","",FALSE,"","",""
"Acer platanoides","Acer platanoides",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,12,1,"wfo-0000514884","urn:lsid:ipni.org:names:781455-1","748642","Acer platanoides","species","wfo-4000000188","L.","Sapindaceae","Hippocastanoideae","","","Acer","","platanoides","","species","Valid","Sp. Pl. : 1055 (1753)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 1055 1753 to Sp. Pl. : 1055 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2616254 >The Plant","","The Sapindaceae TEN","A","kew-2616254","",FALSE,"","",""
"Acer pseudoplatanus","Acer pseudoplatanus",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,13,1,"wfo-0000514908","urn:lsid:ipni.org:names:781462-1","748664","Acer pseudoplatanus","species","wfo-4000000188","L.","Sapindaceae","Hippocastanoideae","","","Acer","","pseudoplatanus","","species","Valid","Sp. Pl. : 1054 (1753)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 1054 1753 to Sp. Pl. : 1054 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2616276 >The Plant","","The Sapindaceae TEN","A","kew-2616276","",FALSE,"","",""
"Acer rubrum","Acer rubrum",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,14,1,"wfo-0000514966","urn:lsid:ipni.org:names:1867-2","748717","Acer rubrum","species","wfo-4000000188","L.","Sapindaceae","Hippocastanoideae","","","Acer","","rubrum","","species","Valid","Sp. Pl. : 1055 (1753)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 1055 1753 to Sp. Pl. : 1055 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2616329 >The Plant","","The Sapindaceae TEN","A","kew-2616329","",FALSE,"","",""
"Achillea","Achillea",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,15,1,"wfo-4000000214","urn:lsid:ipni.org:names:60436826-2","urn:lsid:marinespecies.org:taxname:993722","Achillea","genus","wfo-4100000064","L.","Asteraceae","Asteroideae","Anthemideae","","Achillea","","","","genus","Valid","Sp. Pl. : 896 (1753)","Accepted","","",NA,"Source in seed data: TPL1.1 More details could be found in <a href=http://www.theplantlist.org/1.1/browse/A/Compositae/Achillea/ >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/browse/A/Compositae/Achillea/ >The Plant List v.","https://www.compositae.org/gcd/aphia.php?p=taxdetails&id=993722","The Asteraceaae TEN","A","","",FALSE,"","",""
