"spec.name","spec.name.ORIG","Squished","Brackets.detected","Number.detected","Unique","Matched","Fuzzy","Fuzzy.toomany","Fuzzy.two","Fuzzy.one","Fuzzy.dist","OriSeq","Subseq","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","references","source","majorGroup","tplID","Hybrid","New.accepted","Old.status","Old.ID","Old.name"
"Cyperus rotundus","Cyperus rotundus",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,803,1,"wfo-0000381487","urn:lsid:ipni.org:names:305797-1","238342","Cyperus rotundus","species","wfo-4000010449","L.","Cyperaceae","","Cypereae","Cyperinae","Cyperus","","rotundus","","species","Valid","Sp. Pl. : 45 (1753)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 45 1753 to Sp. Pl. : 45 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-238342 >The Plant List","https://www.cyperaceae.org/aphia.php?p=taxdetails&id=1491857","The Cyperaceae TEN","A","kew-238342","",FALSE,"","",""
"Cytisus scoparius","Cytisus scoparius",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,804,1,"wfo-0000213711","urn:lsid:ipni.org:names:489963-1","8778","Cytisus scoparius","species","wfo-4000010595","(L.) Link","Fabaceae","Papilionoideae","","","Cytisus","","scoparius","","species","Valid","Enum. Hort. Berol. Alt. 2: 241 (1822)","Accepted","","wfo-0000192893",NA,"Source in seed data: ildis Update namepublishedIn from to Enum. Hort. Berol. Alt. 2: 241 (1822), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-8778 >The Plant Li","https://www.legumedata.org/taxonomy/taxon/2754907","The Fabaceae TEN - Legume Taxonomy Working Group","A","ild-8778","",FALSE,"","",""
"Dactylis","Dactylis",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,805,1,"wfo-4000010628","urn:lsid:ipni.org:names:30077575-2","40021189","Dactylis","genus","wfo-7000000483","L.","Poaceae","","","","Dactylis","","","","genus","Valid","Sp. Pl. [Linnaeus] 1: 71 (1753)","Accepted","","",NA,"Source in seed data: TPL1.1 Update namepublishedIn from Sp. Pl. 1: 71. 1753. (1 May 1753) to Sp. Pl. : 71 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/1.1/browse/A/Poacea","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30077575-2","The Poaceae TEN","A","","",FALSE,"","",""
"Dactylis glomerata","Dactylis glomerata",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,806,1,"wfo-0000861498","urn:lsid:ipni.org:names:397309-1","406640","Dactylis glomerata","species","wfo-4000010628","L.","Poaceae","","","","Dactylis","","glomerata","","species","Valid","Sp. Pl. : 71 (1753)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 71 1753 to Sp. Pl. : 71 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-406640 >The Plant List","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397309-1","The Poaceae TEN","A","kew-406640","",FALSE,"","",""
"Dactylis glomerata glomerata","Dactylis glomerata glomerata",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,10,807,1,"wfo-0000861498","urn:lsid:ipni.org:names:397309-1","406640","Dactylis glomerata","species","wfo-4000010628","L.","Poaceae","","","","Dactylis","","glomerata","","species","Valid","Sp. Pl. : 71 (1753)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 71 1753 to Sp. Pl. : 71 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-406640 >The Plant List","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397309-1","The Poaceae TEN","A","kew-406640","",FALSE,"","",""
"Dactylis glomerata glomerata ×glomerata lobata","Dactylis glomerata glomerata x glomerata lobata",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,28,808,1,"wfo-0000861498","urn:lsid:ipni.org:names:397309-1","406640","Dactylis glomerata","species","wfo-4000010628","L.","Poaceae","","","","Dactylis","","glomerata","","species","Valid","Sp. Pl. : 71 (1753)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 71 1753 to Sp. Pl. : 71 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-406640 >The Plant List","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397309-1","The Poaceae TEN","A","kew-406640","",FALSE,"","",""
"Dactylis glomerata lobata","Dactylis glomerata lobata",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,7,809,1,"wfo-0000861498","urn:lsid:ipni.org:names:397309-1","406640","Dactylis glomerata","species","wfo-4000010628","L.","Poaceae","","","","Dactylis","","glomerata","","species","Valid","Sp. Pl. : 71 (1753)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 71 1753 to Sp. Pl. : 71 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-406640 >The Plant List","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397309-1","The Poaceae TEN","A","kew-406640","",FALSE,"","",""
"Dactylis glomerata oceanica","Dactylis glomerata oceanica",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,9,810,1,"wfo-0000861498","urn:lsid:ipni.org:names:397309-1","406640","Dactylis glomerata","species","wfo-4000010628","L.","Poaceae","","","","Dactylis","","glomerata","","species","Valid","Sp. Pl. : 71 (1753)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 71 1753 to Sp. Pl. : 71 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-406640 >The Plant List","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397309-1","The Poaceae TEN","A","kew-406640","",FALSE,"","",""
"Dasypyrum villosum","Dasypyrum villosum",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,811,1,"wfo-0000862262","urn:lsid:ipni.org:names:77209934-1","407383","Dasypyrum villosum","species","wfo-4000010839","(L.) Borbás","Poaceae","","","","Dasypyrum","","villosum","","species","Valid","Term. Közl. 28: 332 (1896)","Accepted","","wfo-0000898595",NA,"Source in seed data: wcs More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-407383 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/kew-407383 >The Plant List v.1.0</a>","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397836-1","The Poaceae TEN","A","kew-407383","",FALSE,"","",""
"Dasypyrum villosum","Dasypyrum villosum",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,811,2,"wfo-0001096087","urn:lsid:ipni.org:names:397836-1","25510904","Dasypyrum villosum","species","wfo-4000010839","(L.) P.Candargy","Poaceae","","","","Dasypyrum","","villosum","","species","Valid","Arch. Biol. Vég. Pure Appl. 1: 35, 62 (1901)","Accepted","","wfo-0000898595",NA,"Source in seed data: tro Updated scientificnameAuthorship from (L.) Borbás to (L.) P.Candargy, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-25510904 >The Plant","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397836-1","The Poaceae TEN","A","tro-25510904","",FALSE,"","",""
"Datura stramonium","Datura stramonium",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,812,1,"wfo-0001021374","urn:lsid:ipni.org:names:314738-2","13935","Datura stramonium","species","wfo-4000010849","L.","Solanaceae","Solanoideae","Datureae","","Datura","","stramonium","","species","Valid","Sp. Pl. 1: 179. 1753.","Accepted","","",NA,"Source in seed data: SolanaceaeSource.org Update name from Solanaceae, information provided by Alan E. on email Jun. 07 2021","http://solanaceaesource.org/solanaceae/datura-stramonium","The Solanaceae TEN","A","sol-02224","",TRUE,"Synonym","wfo-0001021373","Datura stramonium"
"Datura stramonium","Datura stramonium",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,812,2,"wfo-0001021374","urn:lsid:ipni.org:names:314738-2","13935","Datura stramonium","species","wfo-4000010849","L.","Solanaceae","Solanoideae","Datureae","","Datura","","stramonium","","species","Valid","Sp. Pl. 1: 179. 1753.","Accepted","","",NA,"Source in seed data: SolanaceaeSource.org Update name from Solanaceae, information provided by Alan E. on email Jun. 07 2021","http://solanaceaesource.org/solanaceae/datura-stramonium","The Solanaceae TEN","A","sol-02224","",FALSE,"","",""
"Datura stramonium","Datura stramonium",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,812,3,"wfo-0001021374","urn:lsid:ipni.org:names:314738-2","13935","Datura stramonium","species","wfo-4000010849","L.","Solanaceae","Solanoideae","Datureae","","Datura","","stramonium","","species","Valid","Sp. Pl. 1: 179. 1753.","Accepted","","",NA,"Source in seed data: SolanaceaeSource.org Update name from Solanaceae, information provided by Alan E. on email Jun. 07 2021","http://solanaceaesource.org/solanaceae/datura-stramonium","The Solanaceae TEN","A","sol-02224","",TRUE,"Synonym","wfo-0001021375","Datura stramonium"
"Datura stramonium","Datura stramonium",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,812,4,"wfo-0001021374","urn:lsid:ipni.org:names:314738-2","13935","Datura stramonium","species","wfo-4000010849","L.","Solanaceae","Solanoideae","Datureae","","Datura","","stramonium","","species","Valid","Sp. Pl. 1: 179. 1753.","Accepted","","",NA,"Source in seed data: SolanaceaeSource.org Update name from Solanaceae, information provided by Alan E. on email Jun. 07 2021","http://solanaceaesource.org/solanaceae/datura-stramonium","The Solanaceae TEN","A","sol-02224","",TRUE,"Synonym","wfo-0001429763","Datura stramonium"
"Daucus","Daucus",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,813,1,"wfo-4000010858","urn:lsid:ipni.org:names:39902-1","40022362","Daucus","genus","wfo-7000000036","L.","Apiaceae","","","","Daucus","","","","genus","Valid","Sp. Pl. : 242 (1753)","Accepted","","",NA,"Source in seed data: TPL1.1 Update namepublishedIn from Sp. Pl. 1: 242. 1753. (1 May 1753) to Sp. Pl. : 242 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/1.1/browse/A/Apia","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:39902-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","","",FALSE,"","",""
"Daucus carota","Daucus carota",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,814,1,"wfo-0000638442","urn:lsid:ipni.org:names:841063-1","887588","Daucus carota","species","wfo-4000010858","L.","Apiaceae","","","","Daucus","","carota","","species","Valid","Sp. Pl. : 242 (1753)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 242 1753 to Sp. Pl. : 242 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2757936 >The Plant L","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:841063-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2757936","",FALSE,"","",""
"Daucus carota carota","Daucus carota carota",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,7,815,1,"wfo-0000638442","urn:lsid:ipni.org:names:841063-1","887588","Daucus carota","species","wfo-4000010858","L.","Apiaceae","","","","Daucus","","carota","","species","Valid","Sp. Pl. : 242 (1753)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 242 1753 to Sp. Pl. : 242 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2757936 >The Plant L","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:841063-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2757936","",FALSE,"","",""
"Daucus carotta","Daucus carotta",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,1,816,1,"wfo-0000638442","urn:lsid:ipni.org:names:841063-1","887588","Daucus carota","species","wfo-4000010858","L.","Apiaceae","","","","Daucus","","carota","","species","Valid","Sp. Pl. : 242 (1753)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 242 1753 to Sp. Pl. : 242 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2757936 >The Plant L","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:841063-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2757936","",FALSE,"","",""
"Daucus crinitus","Daucus crinitus",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,817,1,"wfo-0000638478","urn:lsid:ipni.org:names:841073-1","887628","Daucus crinitus","species","wfo-4000010858","Desf.","Apiaceae","","","","Daucus","","crinitus","","species","Valid","Fl. Atlant. 1: 242 (1798)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Fl. Atlant. 1: 242, t. 62. 1798 to Fl. Atlant. 1: 242 (1798), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:841073-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2757976","",FALSE,"","",""
"Daucus crinitus","Daucus crinitus",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,817,2,"wfo-1200100523","","wcvp-3257991","Psammogeton canescens subsp. canescens","subspecies","wfo-0001068747","","Apiaceae","","","","Psammogeton","","canescens","canescens","subspecies","Valid","Unknown","Accepted","","",NA,"","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77223915-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","","",TRUE,"Synonym","wfo-0000638479","Daucus crinitus"
"Delphinium","Delphinium",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,818,1,"wfo-4000011022","urn:lsid:ipni.org:names:328251-2","40023242","Delphinium","genus","wfo-7000000514","L.","Ranunculaceae","","","","Delphinium","","","","genus","Valid","Sp. Pl. : 530 (1753)","Accepted","","",NA,"Source in seed data: TPL1.1 More details could be found in <a href=http://www.theplantlist.org/1.1/browse/A/Ranunculaceae/Delphinium/ >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/browse/A/Ranunculaceae/Delphinium/ >The Pla","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","","",FALSE,"","",""
"Delphinium ajacis","Delphinium ajacis",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,819,1,"wfo-0000639671","urn:lsid:ipni.org:names:77254-2","889017","Delphinium ajacis","species","wfo-4000011022","L.","Ranunculaceae","","","","Delphinium","","ajacis","","species","Valid","Sp. Pl. : 531 (1753)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 531 1753 to Sp. Pl. : 531 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2759384 >The Plant L","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77254-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2759384","",FALSE,"","",""
"Delphinium consolida","Delphinium consolida",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,820,1,"wfo-0000639920","urn:lsid:ipni.org:names:306669-2","889254","Delphinium consolida","species","wfo-4000011022","L.","Ranunculaceae","","","","Delphinium","","consolida","","species","Valid","Sp. Pl. : 530 (1753)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 530 1753 to Sp. Pl. : 530 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2759622 >The Plant L","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:306669-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2759622","",FALSE,"","",""
"Delphinium consolida consolida","Delphinium consolida consolida",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,10,821,1,"wfo-0000639920","urn:lsid:ipni.org:names:306669-2","889254","Delphinium consolida","species","wfo-4000011022","L.","Ranunculaceae","","","","Delphinium","","consolida","","species","Valid","Sp. Pl. : 530 (1753)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 530 1753 to Sp. Pl. : 530 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2759622 >The Plant L","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:306669-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2759622","",FALSE,"","",""
"Delphinium halteratum","Delphinium halteratum",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,822,1,"wfo-0000640165","urn:lsid:ipni.org:names:710658-1","889489","Delphinium halteratum","species","wfo-4000011022","Sm.","Ranunculaceae","","","","Delphinium","","halteratum","","species","Valid","Fl. Graec. Prodr. 1: 371 (1809)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Fl. Graec. Prodr. 1(2): 371. 1809 [May-Nov 1809] ; Fl. Graec. (Sibthorp). 6(1): t. 507. 1825. to Fl. Graec. Prodr. 1: 371 (1809), information provided by Alan E. on email Jun. 07 2021 More details coul","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2759858","",FALSE,"","",""
"Delphinium orientale","Delphinium orientale",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,823,1,"wfo-0000639671","urn:lsid:ipni.org:names:77254-2","889017","Delphinium ajacis","species","wfo-4000011022","L.","Ranunculaceae","","","","Delphinium","","ajacis","","species","Valid","Sp. Pl. : 531 (1753)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 531 1753 to Sp. Pl. : 531 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2759384 >The Plant L","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77254-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2759384","",TRUE,"Synonym","wfo-0000640488","Delphinium orientale"
"Delphinium orientale","Delphinium orientale",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,823,2,"wfo-0000640612","urn:lsid:ipni.org:names:710934-1","889910","Delphinium pubescens","species","wfo-4000011022","DC.","Ranunculaceae","","","","Delphinium","","pubescens","","species","Valid","Fl. Franç., ed. 3, 4: 641 (1805)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Fl. Franc. [de Candolle & Lamarck], ed. 3. 5: 641. 1805 to Fl. Franç. , ed. 3, 4: 641 (1805), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.th","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:710934-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2760280","",TRUE,"Synonym","wfo-0000640489","Delphinium orientale"
"Delphinium pubescens","Delphinium pubescens",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,824,1,"wfo-0000640612","urn:lsid:ipni.org:names:710934-1","889910","Delphinium pubescens","species","wfo-4000011022","DC.","Ranunculaceae","","","","Delphinium","","pubescens","","species","Valid","Fl. Franç., ed. 3, 4: 641 (1805)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Fl. Franc. [de Candolle & Lamarck], ed. 3. 5: 641. 1805 to Fl. Franç. , ed. 3, 4: 641 (1805), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.th","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:710934-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2760280","",FALSE,"","",""
"Delphinium pubescens","Delphinium pubescens",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,824,2,"wfo-0000496548","urn:lsid:ipni.org:names:77249686-1","721194","Delphinium consolida subsp. divaricatum","subspecies","wfo-0000639920","(Ledeb.) A.Nyár.","Ranunculaceae","","","","Delphinium","","consolida","divaricatum","subspecies","Valid","Fl. Republ. Popul. Român. 2: 452 (1953)","Accepted","","wfo-0000639992",NA,"Source in seed data: cmp More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2587657 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/kew-2587657 >The Plant List v.1.0</a>","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2587657","",TRUE,"Synonym","wfo-0000640613","Delphinium pubescens"
"Delphinium pubescens","Delphinium pubescens",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,824,3,"wfo-0000640612","urn:lsid:ipni.org:names:710934-1","889910","Delphinium pubescens","species","wfo-4000011022","DC.","Ranunculaceae","","","","Delphinium","","pubescens","","species","Valid","Fl. Franç., ed. 3, 4: 641 (1805)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Fl. Franc. [de Candolle & Lamarck], ed. 3. 5: 641. 1805 to Fl. Franç. , ed. 3, 4: 641 (1805), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.th","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:710934-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2760280","",TRUE,"Synonym","wfo-0000640614","Delphinium pubescens"
"Delphinium pubescens","Delphinium pubescens",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,824,4,"wfo-1200029811","urn:lsid:ipni.org:names:77318142-1","","Delphinium pubescens","species","","(W.T.Wang) W.T.Wang","Ranunculaceae","","","","Delphinium","","pubescens","","species","Illegitimate","Guihaia 40(Suppl.): 137. 2020 [epublished]","Unchecked","","",NA,"","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","","",FALSE,"","",""
"Delphinium verdunense","Delphinium verdunense",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,825,1,"wfo-0000640893","urn:lsid:ipni.org:names:711123-1","890177","Delphinium verdunense","species","wfo-4000011022","Balb.","Ranunculaceae","","","","Delphinium","","verdunense","","species","Valid","Cat. Pl. (Balbis) 1813: 31 (1813)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Cat. Hort. Taur. 31. to Cat. Pl. : 31 (1804), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2760547 >The Pla","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2760547","",FALSE,"","",""
"Deschampsia cespitosa","Deschampsia cespitosa",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,826,1,"wfo-0000862467","urn:lsid:ipni.org:names:397953-1","407579","Deschampsia cespitosa","species","wfo-4000011182","(L.) P.Beauv.","Poaceae","","","","Deschampsia","","cespitosa","","species","Valid","Ess. Agrostogr. : 91 (1812)","Accepted","","wfo-0000844941",NA,"Source in seed data: wcs Update namepublishedIn from Ess. Agrostogr. 91 1812 to Ess. Agrostogr. : 91 (1812), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-407579","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397953-1","The Poaceae TEN","A","kew-407579","",FALSE,"","",""
"Deschampsia cespitosa cespitosa","Deschampsia cespitosa cespitosa",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,10,827,1,"wfo-0000862467","urn:lsid:ipni.org:names:397953-1","407579","Deschampsia cespitosa","species","wfo-4000011182","(L.) P.Beauv.","Poaceae","","","","Deschampsia","","cespitosa","","species","Valid","Ess. Agrostogr. : 91 (1812)","Accepted","","wfo-0000844941",NA,"Source in seed data: wcs Update namepublishedIn from Ess. Agrostogr. 91 1812 to Ess. Agrostogr. : 91 (1812), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-407579","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397953-1","The Poaceae TEN","A","kew-407579","",FALSE,"","",""
"Descurainia sophia","Descurainia sophia",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,828,1,"wfo-0000641996","urn:lsid:ipni.org:names:282077-1","891459","Descurainia sophia","species","wfo-4000011184","(L.) Webb ex Prantl","Brassicaceae","Brassicoideae","Descurainieae","","Descurainia","","sophia","","species","Valid","Nat. Pflanzenfam. [Engler & Prantl] iii. 2. 192. 1891 [Mar 1891]","Accepted","","wfo-0000431922",NA,"Source in seed data: cmp Updated namepublishedIn from Nat. Pflanzenfam. 3(2): 192 1892 to Nat. Pflanzenfam. [Engler & Prantl] iii. 2. 192. 1891 [Mar 1891] , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http","https://brassibase.cos.uni-heidelberg.de/bb2/names/get/id/bb-spc-24952","The Brassicaceae TEN - Brassibase","A","kew-2761851","",FALSE,"","",""
"Dianthus","Dianthus",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,829,1,"wfo-4000011319","urn:lsid:ipni.org:names:6245-1","40029210","Dianthus","genus","wfo-4100005187","L.","Caryophyllaceae","","Caryophylleae","","Dianthus","","","","genus","Valid","Sp. Pl.: 409. 1753.","Accepted","","",NA,"Source in seed data: TPL1.1 Update namepublishedIn from Sp. Pl. 1: 409. 1753. (1 May 1753) to Sp. Pl. : 409 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/1.1/browse/A/Cary","https://caryophyllales.org/caryophyllales/?q=cdm_dataportal/name/1e2866fd-1f07-4fe1-a14a-0826878ab15e","The Caryophyllales TEN -The Caryophyllales Network","A","","",FALSE,"","",""
