"accepted_taxa","original_taxa_Midolo2023","Disturbance.Frequency_Midolo2023","Disturbance.Frequency.herblayer_Midolo2023","Disturbance.Severity_Midolo2023","Disturbance.Severity.herblayer_Midolo2023","Grazing.Pressure_Midolo2023","Mowing.Frequency_Midolo2023","Soil.Disturbance_Midolo2023","original_taxa_Tichy2022","Ellenberg.Light_Tichy2022","Ellenberg.Moisture_Tichy2022","Ellenberg.Nutrients_Tichy2022","Ellenberg.Reaction_Tichy2022","Ellenberg.Salinity_Tichy2022","Ellenberg.Temperature_Tichy2022","original_taxa_Lososova2023","Dispersal.distance_class_Lososova2023","Dispersal.mode_Lososova2023","Plant.height_m_Lososova2023","Seed.mass_mg_Lososova2023","original_taxa_Baseflor","Chorology_Baseflor","Flower.color_Baseflor","Dispersal.mode_Baseflor","Flowering_Baseflor","Inflorescence_Baseflor","Pollination_Baseflor","original_taxa_YvozValPol","Flower.color_YvozValPol","Flower.class_YvozValPol","Flower.type_YvozValPol","PV.Bees_YvozValPol","PV.Bumblebees_YvozValPol","PV.butterflies_YvozValPol","PV.Hoverflies_YvozValPol","Nectar.quantity_YvozValPol","Pollen.quantity_YvozValPol","Floral.symmetry_YvozValPol","Flower.UV.reflectance.centre_YvozValPol","Flower.UV.reflectance.periphery_YvozValPol","original_taxa_SPVignes","Flowering.onset_SPVignes","Plant.height_cm_SPVignes","Strategy_Grime_SPVignes","Lifeform_Raunkier_SPVignes","original_taxa_ATVinedivers","Growth.form_ATVinedivers","Strategy.Grime_ATVinedivers","Plant.lifespan_ATVinedivers","original_taxa_Hodgson2023","Lifecycle_Hodgson2023","SLA_mm2.mg-1_Hodgson2023","Vegetative.propagation_Hodgson2023","original_taxa_GIFT","Dispersal.mode_1_GIFT","Dispersal.mode_2_GIFT","Flower.color_GIFT","Flower.length_max_cm_GIFT","Flower.length_min_cm_GIFT","Flower.width_max_cm_GIFT","Flower.width_min_cm_GIFT","Inflorescence_GIFT","Leaf.area_cm2_GIFT","Lifecycle_GIFT","Photosynthetic.pathway_GIFT","Plant.height_max_m_GIFT","Plant.height_mean_m_GIFT","Pollination.syndrome_1_GIFT","Pollination.syndrome_2_GIFT","Pollination.syndrome_3_GIFT","Seed.mass_g_GIFT","SLA_cm2.g-1_GIFT","original_taxa_FlorealData","Flower.color_FlorealData","Lifeform_FlorealData","Plant.height_cm_FlorealData","original_taxa_Ecoflora","Plant.height_m_Ecoflora","Seed.mass_mg_Ecoflora","original_taxa_Biolflor","Flower.UV.reflectance_Biolflor","Seed.mass_mg_Biolflor","original_taxa_CLOPLA","Clonal.index_CLOPLA","offspring_CLOPLA","offspring.wsmall_CLOPLA","lateral.spread_cm_CLOPLA","original_taxa_Ladouceur2019","Clonal.index_Ladouceur2019","Clonal.presence_Ladouceur2019","Flowering.duration_month_Ladouceur2019","Flowering.onset_month_Ladouceur2019","Plant.height_cm_Ladouceur2019","Radial.growth_mm.year-1_Ladouceur2019","Seed.dormancy_Ladouceur2019","Seed.mass_mg_Ladouceur2019","Seeding.onset_month_Ladouceur2019","Seeding.season_Ladouceur2019","SLA_cm2.g-1_Ladouceur2019"
"Dittrichia viscosa","Dittrichia viscosa",0.96724,1.42455,0.60787,0.53671,0.23008,0.35903,0.24443,"Dittrichia viscosa",8.3,6,7.3,7.3,0.7,9,"Dittrichia viscosa","5","Anemochory",0.6208425,0.5144,"Dittrichia viscosa","Méditerranéen","Jaune","Anémochore","9-10","Racème de capitules","Entomogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dittrichia viscosa","Herb.perenn",28.91645833,"0","Dittrichia viscosa","Anemochorous","Anemochorous",NA,1.2,0.65,1.5,NA,NA,NA,"Perennial","C3",1.5,NA,"Biotic","Insect",NA,0.000341666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Draba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Draba verna","1","Local non-specific dispersal",0.0841666666666667,0.0343361111111111,"Draba verna_Draba verna var. verna","Eurasiatique","Blanc","Anémochore","2-6","Racème simple","Autogame","Draba verna","White","Flowers with partly hidden nectar","Disk flowers with nectar hidden nectaries at base of stamens",4.740319208,4.122164685,6.430627674,5.142854027,"Little","Plenty","Actinomorphe",3.5,11.5,"Erophila verna","2",15,"S-r","Thérophytes vernaux","Erophila verna","H","Sr","A","Erophila verna","Ann",34.62,NA,"Draba verna",NA,NA,NA,NA,NA,NA,NA,NA,1.185,"Annual","C3",0.27,0.03825,"Biotic","Insect","Insect",0.0009069,348.41,"Draba","Blanc","Autre",NA,"Draba verna",0.105,3.59,"Draba verna",7.5,0.022,"""erophila verna agg.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Draba verna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Draba verna","1","Local non-specific dispersal",0.0841666666666667,0.0343361111111111,"Draba verna","Eurasiatique","Blanc","Anémochore","2-6","Racème simple","Autogame","Draba verna","White","Flowers with partly hidden nectar","Disk flowers with nectar hidden nectaries at base of stamens",4.740319208,4.122164685,6.430627674,5.142854027,"Little","Plenty","Actinomorphe",3.5,11.5,"Erophila verna","2",15,"S-r","Thérophytes vernaux","Erophila verna","H","Sr","A","Erophila verna","Ann",34.62,NA,"Draba verna",NA,NA,NA,NA,NA,NA,NA,NA,1.185,"Annual","C3",0.27,0.03825,"Biotic","Insect","Insect",0.0009069,348.41,NA,NA,NA,NA,"Draba verna",0.105,3.59,"Draba verna",7.5,0.022,"""erophila verna agg.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Draba verna verna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Draba verna","1","Local non-specific dispersal",0.0841666666666667,0.0343361111111111,"Draba verna var. verna","Eurasiatique","Blanc","Anémochore","2-6","Racème simple","Autogame","Draba verna","White","Flowers with partly hidden nectar","Disk flowers with nectar hidden nectaries at base of stamens",4.740319208,4.122164685,6.430627674,5.142854027,"Little","Plenty","Actinomorphe",3.5,11.5,"Erophila verna","2",15,"S-r","Thérophytes vernaux","Erophila verna","H","Sr","A","Erophila verna","Ann",34.62,NA,"Draba verna",NA,NA,NA,NA,NA,NA,NA,NA,1.185,"Annual","C3",0.27,0.03825,"Biotic","Insect","Insect",0.0009069,348.41,NA,NA,NA,NA,"Draba verna",0.105,3.59,"Draba verna",7.5,0.022,"""erophila verna agg.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dryopteris","Dryopteris filix-mas",0.05448,1.29054,0.68588,0.14725,0.18612,0.01205,0.10546,"Dryopteris filix-mas",NA,NA,5.6,5.3,0,NA,"Dryopteris filix-mas","3","Anemochory",0.6875,NA,"Dryopteris filix-mas","Holarctique",NA,"Autochore","6-10",NA,"Hydrogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dryopteris filix-mas","Anemochorous","Anemochorous",NA,NA,NA,NA,NA,NA,956.17,"Perennial","C3",1.3,0.75,"Abiotic","Wind","Wind",NA,242,"Dryopteris filix-mas","Vert","Autre",60,"Dryopteris filix-mas",1.05,NA,"Dryopteris filix-mas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dryopteris filix-mas","Dryopteris filix-mas",0.05448,1.29054,0.68588,0.14725,0.18612,0.01205,0.10546,"Dryopteris filix-mas",NA,NA,5.6,5.3,0,NA,"Dryopteris filix-mas","3","Anemochory",0.6875,NA,"Dryopteris filix-mas","Holarctique",NA,"Autochore","6-10",NA,"Hydrogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dryopteris filix-mas","Anemochorous","Anemochorous",NA,NA,NA,NA,NA,NA,956.17,"Perennial","C3",1.3,0.75,"Abiotic","Wind","Wind",NA,242,"Dryopteris filix-mas","Vert","Autre",60,"Dryopteris filix-mas",1.05,NA,"Dryopteris filix-mas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duchesnea indica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dysphania ambrosioides","Dysphania ambrosioides",1.48715,1.8231,0.79843,0.77722,0.17302,0.31136,0.46107,"Dysphania ambrosioides",8,5.8,6,6.5,0,NA,"Dysphania ambrosioides","2","Local non-specific dispersal",0.6025,0.229366666666666,"Dysphania ambrosioides","Introduit (amér. tropicale)","Vert","Barochore","7-11","Épi de cymes triflores","Anémogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dysphania ambrosioides","Unspecialized",NA,NA,NA,NA,NA,NA,NA,12.0125,NA,"C3",1.8,0.774,"Abiotic","Wind","Wind",0.000530375,277.9,NA,NA,NA,NA,NA,NA,NA,"Dysphania ambrosioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ecballium elaterium","Ecballium elaterium",1.65825,1.82609,0.84919,0.84068,0.16942,0.8189,0.5575,"Ecballium elaterium",7.7,4.6,7.3,7.6,0.3,8.8,"Ecballium elaterium","6","Endozoochory",0.475,15.5133335,"Ecballium elaterium","Méditerranéen(eury)","Jaune","Autochore","5-9","Cyme unipare hélicoïde","Entomogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ecballium elaterium","H","S","P",NA,NA,NA,NA,"Ecballium elaterium","Autochorous","Autochorous","Yellow",NA,NA,NA,NA,NA,NA,"Perennial","C3",0.8,NA,"Biotic","Insect",NA,0.01088,NA,NA,NA,NA,NA,"Ecballium elaterium",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinaria capitata","Echinaria capitata",0.81934,1.88691,0.76696,0.61966,0.33362,0.1898,0.33478,"Echinaria capitata",8.5,3,4,7.5,0,10,"Echinaria capitata","6","Epizoochory",0.1375,1.1,"Echinaria capitata","Méditerranéen-atlantique","Vert","Épizoochore","5-7","Racème capituliforme","Anémogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echinaria capitata","Ann",25.12,NA,"Echinaria capitata","Zoochorous",NA,NA,NA,NA,NA,NA,NA,NA,"Annual",NA,0.25,NA,NA,NA,NA,0.0011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinochloa","Echinochloa colonum_Echinochloa crus-galli",1.998165,2.061325,0.829965,0.82769,0.13633,0.619555,0.64124,"Echinochloa colonum_Echinochloa crus-galli",7.05,5.7,7.85,7.3,0.15,8.8,"Echinochloa colona_Echinochloa crus-galli","6","Epizoochory",0.7,1.77723076923077,"Echinochloa colona_Echinochloa crus-galli","Cosmopolite(thermo)","Vert, rose","Barochore_Épizoochore","7-10","Panicule d'épillets","Anémogame","Echinochloa colona_Echinochloa crus-galli","Green","Wind flowers","Not applicable",1,1,1.8769708375,1,"None","Plenty","Actinomorphe_Zygomorphe",3.5,3.5,NA,NA,NA,NA,NA,"Echinochloa crus-galli","G","Cr","A","Echinochloa crus-galli","Ann",29.812,NA,"Echinochloa colona_Echinochloa crus-galli","Unspecialized","Anthropochorous",NA,NA,NA,NA,NA,NA,22.64625,"Annual","C4",1.05,0.76875,"Abiotic","Wind","Wind",0.00126742416666666,280.87,NA,NA,NA,NA,NA,NA,NA,"Echinochloa crus-galli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinochloa colona","Echinochloa colonum",2.2777,2.2777,0.875,0.875,0.11429,0.82007,0.66333,"Echinochloa colonum",7,5.7,8,7.3,0,8.8,"Echinochloa colona","6","Epizoochory",NA,NA,"Echinochloa colona","Cosmopolite(thermo)","Vert, rose","Barochore","7-10","Panicule d'épillets","Anémogame","Echinochloa colona","Green","Wind flowers","Not applicable",1,1,2.653941675,1,"None","Plenty","Zygomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echinochloa colona","Unspecialized","Anthropochorous",NA,NA,NA,NA,NA,NA,NA,"Annual","C4",0.6,NA,"Abiotic","Wind",NA,8e-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinochloa crus-galli","Echinochloa crus-galli",1.71863,1.84495,0.78493,0.78038,0.15837,0.41904,0.61915,"Echinochloa crus-galli",7.1,NA,7.7,7.3,0.3,NA,"Echinochloa crus-galli","6","Epizoochory",0.7,1.77723076923077,"Echinochloa crus-galli","Cosmopolite(thermo)","Vert, rose","Épizoochore","7-10","Panicule d'épillets","Anémogame","Echinochloa crus-galli","Green","Wind flowers","Not applicable",1,1,1.1,1,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,"Echinochloa crus-galli","G","Cr","A","Echinochloa crus-galli","Ann",29.812,NA,"Echinochloa crus-galli",NA,NA,NA,NA,NA,NA,NA,NA,22.64625,"Annual","C4",1.5,0.76875,"Abiotic","Wind","Wind",0.00173484833333333,280.87,NA,NA,NA,NA,NA,NA,NA,"Echinochloa crus-galli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echinops ritro","Echinops ritro",0.53281,1.61451,0.58131,0.36409,0.32835,0.2793,0.19102,"Echinops ritro",8.7,2.9,NA,7.5,0,NA,"Echinops ritro","6","Epizoochory",0.5035,16.0608,"Echinops ritro","Européen méridional","Bleu","Anémochore","7-9","Racème de capitules","Entomogame, autogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echinops ritro","Herb.perenn",9.387323091,"1","Echinops ritro",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Perennial","C3",0.7,NA,NA,NA,NA,0.025035,103.78,"Echinops ritro","Bleu","Autre",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echium","Echium arenarium_Echium italicum_Echium plantagineum_Echium vulgare",1.3753225,1.81212,0.6935475,0.662135,0.2715975,0.5540575,0.366905,"Echium arenarium_Echium asperrimum_Echium italicum_Echium plantagineum_Echium vulgare",8.6,3.08,6.1,6.5,0.14,9.1,"Echium arenarium_Echium asperrimum_Echium italicum_Echium plantagineum_Echium vulgare","1_2","Local non-specific dispersal",0.491483333333333,4.08612715,"Echium arenarium_Echium asperrimum_Echium italicum_Echium plantagineum_Echium vulgare","Européen_Européen méridional_Méditerranéen_Méditerranéen(eury)","Bleu_Rose","Barochore","4-5_5-7","Racème de cymes unipares scorpioïdes","Entomogame","Echium vulgare","Pink","Hymenoptere flowers","Lip flowers",5.88,6.87,9.6,1,"Plenty","Plenty","Zygomorphe",53,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echium italicum_Echium plantagineum_Echium vulgare","Ann_Bienn",23.27125992,NA,"Echium arenarium_Echium asperrimum_Echium italicum_Echium plantagineum_Echium vulgare","Anemochorous",NA,NA,3,2,NA,NA,NA,45.23,"Biennial","C3",1.13333333333333,0.39375,"Biotic","Insect",NA,0.00437602383333333,236.5,"Echium vulgare","Bleu","Autre",90,"Echium plantagineum_Echium vulgare",0.475,3.25,"Echium vulgare",53,NA,"""echium vulgare l.""",NA,NA,NA,NA,"Echium vulgare",NA,"0",6,"5",38,NA,"Pd",2.980979167,"11","Autumn",NA
"Echium arenarium","Echium arenarium",1.33127,1.59506,0.67941,0.63125,0.32857,0.22321,0.42222,"Echium arenarium",9,2.5,7,6.5,0.5,10.5,"Echium arenarium","1","Local non-specific dispersal",0.17,NA,"Echium arenarium","Méditerranéen","Bleu","Barochore","4-5","Racème de cymes unipares scorpioïdes","Entomogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echium arenarium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echium asperrimum",NA,NA,NA,NA,NA,NA,NA,NA,"Echium asperrimum",8.5,2,6.5,6,0,8,"Echium asperrimum","2","Local non-specific dispersal",0.75,NA,"Echium asperrimum","Méditerranéen(eury)","Bleu","Barochore",NA,"Racème de cymes unipares scorpioïdes","Entomogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echium asperrimum",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Biennial","C3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echium italicum","Echium italicum",1.54545,1.9057,0.7053,0.68897,0.26749,0.82516,0.33164,"Echium italicum",8.4,4.2,NA,7.3,0,NA,"Echium italicum","2","Local non-specific dispersal",0.665,5.81253333333333,"Echium italicum","Méditerranéen(eury)","Rose","Barochore",NA,"Racème de cymes unipares scorpioïdes","Entomogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echium italicum","Bienn",21.96,NA,"Echium italicum",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Biennial","C3",1,NA,NA,NA,NA,0.0063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echium plantagineum","Echium plantagineum",1.17968,1.93336,0.81315,0.77333,0.23417,0.58886,0.43719,"Echium plantagineum",8.6,3.2,6.8,6.4,0,8.8,"Echium plantagineum","1","Local non-specific dispersal",0.27975,3.68391,"Echium plantagineum","Européen méridional","Bleu","Barochore","5-7","Racème de cymes unipares scorpioïdes","Entomogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echium plantagineum","Ann",28.14044643,NA,"Echium plantagineum",NA,NA,NA,3,2,NA,NA,NA,NA,NA,"C3",1.2,0.35,"Biotic","Insect",NA,0.003786,328.5,NA,NA,NA,NA,"Echium plantagineum",0.4,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echium vulgare","Echium vulgare",1.44489,1.81436,0.57633,0.55499,0.25616,0.579,0.27657,"Echium vulgare",8.5,3.5,4.1,6.3,0.2,NA,"Echium vulgare","2","Local non-specific dispersal",0.592666666666667,2.76193811666666,"Echium vulgare","Européen","Bleu","Barochore",NA,"Racème de cymes unipares scorpioïdes","Entomogame","Echium vulgare","Pink","Hymenoptere flowers","Lip flowers",5.88,6.87,9.6,1,"Plenty","Plenty","Zygomorphe",53,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Echium vulgare","Bienn",19.71333333,NA,"Echium vulgare","Anemochorous",NA,NA,NA,NA,NA,NA,NA,45.23,"Biennial","C3",1.2,0.4375,"Biotic","Insect",NA,0.0030420715,144.5,"Echium vulgare","Bleu","Autre",90,"Echium vulgare",0.55,2.7,"Echium vulgare",53,NA,"""echium vulgare l.""",NA,NA,NA,NA,"Echium vulgare",NA,"0",6,"5",38,NA,"Pd",2.980979167,"11","Autumn",NA
"Elaeagnus angustifolia","Elaeagnus angustifolia",0.84382,1.7537,0.62132,0.50071,0.23239,0.29005,0.36087,"Elaeagnus angustifolia",8.1,4.6,4.7,5.7,0.3,6.6,"Elaeagnus angustifolia","6","Endozoochory",6.94166666666667,137.0555,"Elaeagnus angustifolia","Méditerranéen","Jaune","Endozoochore","5-7","Glomérules","Entomogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elaeagnus angustifolia","Zoochorous","Zoochorous",NA,NA,NA,NA,NA,NA,NA,"Perennial","C3",10,7.325,"Biotic","Insect","Insect",0.124082151666667,NA,NA,NA,NA,NA,NA,NA,NA,"Elaeagnus angustifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eleocharis palustris","Eleocharis palustris",1.7858,1.82936,0.37118,0.3692,0.25604,0.33049,0.12829,"Eleocharis palustris",8.2,9.9,NA,5.7,0.7,5.3,"Eleocharis palustris","6","Epizoochory",0.45,0.817822222222223,"Eleocharis palustris","Cosmopolite","Marron","Épizoochore","5-9","Épi simple","Anémogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eleocharis palustris","Herb.perenn",12.02833333,"1","Eleocharis palustris","Zoochorous",NA,NA,0.5,0.3,NA,NA,NA,NA,"Perennial","C3",1.2,0.4625,"Abiotic","Wind",NA,0.00099495825,103.1,"Eleocharis palustris","Marron","Cyperaceae",60,"Eleocharis palustris",0.45,0.96,"Eleocharis palustris",NA,NA,"""eleocharis palustris agg. ""","5",5,5,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eleusine indica","Eleusine indica",2.62976,2.62976,0.88,0.88,0.11818,1.33043,0.52182,"Eleusine indica",8.5,4.8,6.5,6.5,0,9,"Eleusine indica","1","Local non-specific dispersal",0.296666666666667,0.428,"Eleusine indica","Introduit (asie)","Blanc","Barochore","7-10","Racème d'épis","Anémogame","Eleusine indica","White","Flowers with totally hidden nectar","Disk flowers with nectar hidden nectaries at base of stamens",4.694830953,3.982892705,6.321117437,5.223615619,"Present","Plenty","Actinomorphe",3.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eleusine indica",NA,NA,"Violet",0.35,0.3,NA,NA,"Spike",2.8825,"Annual","C4",0.9,0.35,"Abiotic","Wind","Wind",0.000416354333333333,242,NA,NA,NA,NA,NA,NA,NA,"Eleusine indica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elymus","Elymus caninus_Elytrigia campestris_Elytrigia pungens",0.797596666666667,1.35008666666667,0.543496666666667,0.419483333333333,0.196616666666667,0.27732,0.203823333333333,"Elymus caninus_Elytrigia campestris",9,4.55,7.1,6.9,0,5.95,"Elymus caninus_Elytrigia campestris_Elytrigia pungens_Elytrigia repens","2","Local non-specific dispersal",0.801111111111111,4.62738981481481,"Elymus caninus_Elytrigia campestris_Elytrigia repens","Holarctique_Méditerranéen(eury)-atlantique(eury)","Vert","Épizoochore","5-8_6-9","Épi d'épillets","Anémogame","Elytrigia campestris_Elytrigia repens","Green","Wind flowers","Not applicable",1,1,1.856359295,1,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,"Elymus repens","G","C","P","Elymus caninus_Elytrigia repens","Herb.perenn",26.172833335,"0_1","Elymus caninus_Elymus pungens_Elymus repens",NA,NA,NA,1.2,0.8,NA,NA,"Spike",17.590835,"Perennial","C3",1.43333333333333,0.7275,"Abiotic","Wind","Wind",0.00392445238095238,257.345,NA,NA,NA,NA,"Elymus caninus_Elymus repens",0.7,3.03,"Elymus caninus_Elymus repens",NA,NA,"""elymus caninus (l.) l.""","4",4.3,4.3,0.5,"Elymus repens","6","1",3,"5",20,NA,"Pd",2.683875,"8","Late summer",268.3857143
"Elymus caninus","Elymus caninus",0.27205,1.36548,0.64576,0.32426,0.18347,0.10235,0.12682,"Elymus caninus",NA,6.3,7.1,7.1,0,5.1,"Elymus caninus","2","Local non-specific dispersal",0.83,4.24314444444444,"Elymus caninus","Holarctique","Vert","Épizoochore","5-8","Épi d'épillets","Anémogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elymus caninus","Herb.perenn",27.845,"0","Elymus caninus",NA,NA,NA,NA,NA,NA,NA,NA,11.565,"Perennial","C3",2,0.675,"Abiotic","Wind","Wind",0.0037995,278.5,NA,NA,NA,NA,"Elymus caninus",0.65,4.04,"Elymus caninus",NA,NA,"""elymus caninus (l.) l.""","4",4.3,4.3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elymus pungens","Elytrigia pungens",0.82091,0.90491,0.40682,0.38966,0.15172,0.205,0.20323,NA,NA,NA,NA,NA,NA,NA,"Elytrigia pungens",NA,"Local non-specific dispersal",NA,4.8364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elymus pungens",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Perennial","C3",0.8,NA,NA,NA,NA,0.0048355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elymus pungens campestris","Elytrigia campestris",1.29983,1.77987,0.57791,0.54453,0.25466,0.52461,0.28142,"Elytrigia campestris",9,2.8,NA,6.7,NA,6.8,"Elytrigia campestris","2","Local non-specific dispersal",0.7,NA,"Elytrigia campestris","Méditerranéen(eury)-atlantique(eury)","Vert","Épizoochore","5-8","Épi d'épillets","Anémogame","Elytrigia campestris","Green","Wind flowers","Not applicable",1,1,2.45271859,1,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elymus pungens",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Perennial","C3",0.8,NA,NA,NA,NA,0.0048355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
