"accepted_taxa","original_taxa_Baseflor","Chorology_Baseflor","Flower.color_Baseflor","Dispersal.mode_Baseflor","Flowering_Baseflor","Inflorescence_Baseflor","Pollination_Baseflor"
"Cerastium fontanum vulgare","Cerastium fontanum subsp. vulgare","Cosmopolite","Blanc","Anémochore","3-10","Cyme bipare","Entomogame, autogame"
"Cerastium glomeratum","Cerastium glomeratum","Cosmopolite","Blanc","Anémochore","4-6","Cyme bipare","Autogame"
"Cerastium gracile","Cerastium ramosissimum","Méditerranéen","Blanc","Anémochore","5-6","Cyme bipare","Entomogame"
"Cerastium perfoliatum",NA,NA,NA,NA,NA,NA,NA
"Cerastium pumilum","Cerastium pumilum","Méditerranéen(eury)","Blanc","Anémochore","4-6","Cyme bipare","Entomogame"
"Cerastium semidecandrum","Cerastium semidecandrum","Méditerranéen(eury)-atlantique(eury)","Blanc","Anémochore","4-6","Cyme bipare","Autogame"
"Cercis siliquastrum","Cercis siliquastrum","Méditerranéen","Rose","Barochore","3-5","Racème simple","Entomogame"
"Cerinthe minor","Cerinthe minor","Européen central","Bleu, jaune, rose","Barochore","5-8","Racème de cymes unipares scorpioïdes","Entomogame"
"Chaenomeles x superba",NA,NA,NA,NA,NA,NA,NA
"Chaenorhinum minus","Chaenorrhinum minus_Chaenorrhinum minus subsp. minus","Eurasiatique méridional","Bleu","Anémochore","5-10","Racème simple","Entomogame"
"Chaenorhinum origanifolium",NA,NA,NA,NA,NA,NA,NA
"Chaenorhinum rubrifolium",NA,NA,NA,NA,NA,NA,NA
"Chaerophyllum","Chaerophyllum aureum_Chaerophyllum bulbosum_Chaerophyllum hirsutum_Chaerophyllum temulum","Eurasiatique_Européen central_Orophyte méridional","Blanc","Épizoochore","6-7_6-8","Ombelle d'ombellules","Entomogame"
"Chaerophyllum aureum","Chaerophyllum aureum","Orophyte méridional","Blanc","Épizoochore","6-8","Ombelle d'ombellules","Entomogame"
"Chaerophyllum bulbosum","Chaerophyllum bulbosum","Européen central","Blanc","Épizoochore","6-7","Ombelle d'ombellules","Entomogame"
"Chaerophyllum hirsutum","Chaerophyllum hirsutum","Orophyte méridional","Blanc","Épizoochore","6-8","Ombelle d'ombellules","Entomogame"
"Chaerophyllum temulum","Chaerophyllum temulum","Eurasiatique","Blanc","Épizoochore","6-7","Ombelle d'ombellules","Entomogame"
"Chamaemelum","Chamaemelum nobile","Atlantique","Blanc, jaune","Barochore","7-9","Corymbe de capitules","Entomogame, autogame"
"Chamaemelum nobile","Chamaemelum nobile","Atlantique","Blanc, jaune","Barochore","7-9","Corymbe de capitules","Entomogame, autogame"
"Chamomilla recutita",NA,NA,NA,NA,NA,NA,NA
"Chelidonium","Chelidonium majus","Circumboréal","Jaune","Myrmécochore","5-9","Racème simple","Entomogame, autogame"
"Chelidonium majus","Chelidonium majus","Circumboréal","Jaune","Myrmécochore","5-9","Racème simple","Entomogame, autogame"
"Chenopodiaceae",NA,NA,NA,NA,NA,NA,NA
"Chenopodiastrum hybridum","Chenopodiastrum hybridum","Holarctique","Vert","Barochore","7-9","Épi de cymes triflores","Anémogame"
"Chenopodiastrum murale","Chenopodiastrum murale","Cosmopolite","Vert","Barochore","6-11","Épi de cymes triflores","Anémogame"
"Chenopodium","Chenopodium album_Chenopodium album subsp. album_Chenopodium album subsp. opulifolium_Chenopodium berlandieri_Chenopodium ficifolium_Chenopodium pratericola_Chenopodium vulvaria_Oxybasis rubra","Cosmopolite_Eurasiatique_Eurasiatique méridional_Introduit (amér. du nord occ.)_Introduit (amér. du nord)_Méditerranéen(eury)","Blanc_Rose","Barochore","6-10_7-10_7-9","Épi de cymes triflores","Anémogame"
"Chenopodium album","Chenopodium album","Cosmopolite","Blanc","Barochore","6-10","Épi de cymes triflores","Anémogame"
"Chenopodium album album","Chenopodium album subsp. album","Cosmopolite","Blanc","Barochore","6-10","Épi de cymes triflores","Anémogame"
"Chenopodium berlandieri","Chenopodium berlandieri","Introduit (amér. du nord)","","Barochore","","Épi de cymes triflores","Anémogame"
"Chenopodium betaceum",NA,NA,NA,NA,NA,NA,NA
"Chenopodium desiccatum leptophylloides","Chenopodium pratericola","Introduit (amér. du nord occ.)","","Barochore","","","Anémogame"
"Chenopodium ficifolium","Chenopodium ficifolium","Eurasiatique méridional","Blanc","Barochore","7-9","Épi de cymes triflores","Anémogame"
"Chenopodium hybridum",NA,NA,NA,NA,NA,NA,NA
"Chenopodium murale",NA,NA,NA,NA,NA,NA,NA
"Chenopodium opulifolium","Chenopodium album subsp. opulifolium","Eurasiatique méridional","Blanc","Barochore","6-10","Épi de cymes triflores","Anémogame"
"Chenopodium rubrum","Oxybasis rubra","Eurasiatique","Rose","Barochore","7-10","Épi de cymes triflores","Anémogame"
"Chenopodium vulvaria","Chenopodium vulvaria","Méditerranéen(eury)","Blanc","Barochore","7-9","Épi de cymes triflores","Anémogame"
"Cherleria laricifolia","Minuartia laricifolia","Orophyte méridional","Blanc","Barochore","","Cyme bipare","Entomogame"
"Chondrilla juncea","Chondrilla juncea","Méditerranéen","Jaune","Anémochore","7-9","Corymbe de capitules","Entomogame, autogame"
"Chrozophora tinctoria","Chrozophora tinctoria","Méditerranéen","Jaune","Barochore","6-10","Cyathe","Entomogame"
"Chrysanthemum",NA,NA,NA,NA,NA,NA,NA
"Chrysanthemum segetum",NA,NA,NA,NA,NA,NA,NA
"Chrysojasminum fruticans","Jasminum fruticans","Méditerranéen","Jaune","Endozoochore","5-6","Corymbe","Entomogame"
"Cicer arietinum","Cicer arietinum","Méditerranéen oriental","Bleu, blanc","Barochore","6-7","Racème capituliforme","Entomogame"
"Cichorium","Cichorium endivia_Cichorium intybus","Eurasiatique méridional_Méditerranéen","Bleu","Barochore","7-9","Racème de capitules","Entomogame, autogame"
"Cichorium calvum",NA,NA,NA,NA,NA,NA,NA
"Cichorium endivia","Cichorium endivia","Méditerranéen","Bleu","Barochore","","Racème de capitules","Entomogame, autogame"
"Cichorium intybus","Cichorium intybus","Eurasiatique méridional","Bleu","Barochore","7-9","Racème de capitules","Entomogame, autogame"
"Cichorium intybus intybus","Cichorium intybus","Eurasiatique méridional","Bleu","Barochore","7-9","Racème de capitules","Entomogame, autogame"
"Cicuta virosa","Cicuta virosa","Eurasiatique","Blanc","Hydrochore","7-8","Ombelle d'ombellules","Entomogame"
"Circaea",NA,NA,NA,NA,NA,NA,NA
"Cirsium","Cirsium arvense_Cirsium dissectum_Cirsium eriophorum_Cirsium erisithales_Cirsium ferox_Cirsium oleraceum_Cirsium palustre_Cirsium spinosissimum_Cirsium tuberosum_Cirsium vulgare_Cirsium vulgare subsp. crinitum_Cirsium vulgare subsp. vulgare","Atlantique(eury)_Eurasiatique_Eurasiatique septentrional_Européen_Européen occidental_Méditerranéen occidental_Orophyte alpien","Blanc_Jaune_Rose","Anémochore","5-7_6-8_6-9_7-8_7-9_8-9","Capitule simple_Racème de capitules","Entomogame, autogame"
"Cirsium arvense","Cirsium arvense","Eurasiatique","Rose","Anémochore","7-9","Racème de capitules","Entomogame, autogame"
"Cirsium arvense alpestre","Cirsium arvense","Eurasiatique","Rose","Anémochore","7-9","Racème de capitules","Entomogame, autogame"
"Cirsium arvense arvense","Cirsium arvense","Eurasiatique","Rose","Anémochore","7-9","Racème de capitules","Entomogame, autogame"
"Cirsium dissectum","Cirsium dissectum","Atlantique(eury)","Rose","Anémochore","5-7","Capitule simple","Entomogame, autogame"
"Cirsium eriophorum","Cirsium eriophorum","Européen","Rose","Anémochore","7-8","Capitule simple","Entomogame, autogame"
"Cirsium erisithales","Cirsium erisithales","Orophyte alpien","Jaune","Anémochore","7-8","Racème de capitules","Entomogame, autogame"
"Cirsium ferox","Cirsium ferox","Méditerranéen occidental","Blanc","Anémochore","8-9","Racème de capitules","Entomogame, autogame"
"Cirsium helenioides",NA,NA,NA,NA,NA,NA,NA
"Cirsium lanceolatum",NA,NA,NA,NA,NA,NA,NA
"Cirsium oleraceum","Cirsium oleraceum","Eurasiatique septentrional","Jaune","Anémochore","7-8","Racème de capitules","Entomogame, autogame"
"Cirsium palustre","Cirsium palustre","Eurasiatique septentrional","Rose","Anémochore","7-9","Racème de capitules","Entomogame, autogame"
"Cirsium spinosissimum","Cirsium spinosissimum","Orophyte alpien","Blanc","Anémochore","7-8","Racème de capitules","Entomogame, autogame"
"Cirsium tuberosum","Cirsium tuberosum","Européen occidental","Rose","Anémochore","6-8","Racème de capitules","Entomogame, autogame"
"Cirsium vulgare","Cirsium vulgare","Eurasiatique","Rose","Anémochore","6-9","Racème de capitules","Entomogame, autogame"
"Cirsium vulgare crinitum","Cirsium vulgare subsp. crinitum","Méditerranéen occidental","Rose","Anémochore","6-9","Racème de capitules","Entomogame, autogame"
"Cirsium vulgare vulgare","Cirsium vulgare subsp. vulgare","Eurasiatique","Rose","Anémochore","6-9","Racème de capitules","Entomogame, autogame"
"Cistus albidus","Cistus albidus","Méditerranéen occidental","Rose","Épizoochore","5-6","Cyme unipare hélicoïde","Entomogame"
"Cistus monspeliensis","Cistus monspeliensis","Méditerranéen occidental","Blanc","Épizoochore","5-6","Cyme unipare hélicoïde","Entomogame"
"Cistus salviifolius","Cistus salviifolius","Méditerranéen(eury)","Blanc","Épizoochore","5-6","Cyme unipare hélicoïde","Entomogame"
"Cladanthus mixtus","Cladanthus mixtus","Méditerranéen","Blanc, jaune","Barochore","6-9","Corymbe de capitules","Entomogame, autogame"
"Clematis","Clematis cirrhosa_Clematis flammula_Clematis vitalba_Clematis viticella","Holarctique_Méditerranéen_Méditerranéen(eury)","Blanc","Anémochore","3-12_6-8","Cyme bipare_Fleur solitaire latérale","Entomogame"
"Clematis cirrhosa","Clematis cirrhosa","Méditerranéen","Blanc","Anémochore","3-12","Fleur solitaire latérale","Entomogame"
"Clematis flammula","Clematis flammula","Méditerranéen","Blanc","Anémochore","6-8","Cyme bipare","Entomogame"
"Clematis vitalba","Clematis vitalba","Holarctique","Blanc","Anémochore","6-8","Cyme bipare","Entomogame"
"Clematis viticella","Clematis viticella","Méditerranéen(eury)","Blanc","Anémochore","","Cyme bipare","Entomogame"
"Clinopodium","Clinopodium acinos_Clinopodium nepeta_Clinopodium nepeta subsp. ascendens_Clinopodium nepeta subsp. sylvaticum_Clinopodium vulgare","Européen_Européen méridional_Holarctique_Méditerranéen(eury)-atlantique(eury)","Blanc, rose_Rose","Épizoochore","5-8_7-10_7-9","Glomérules","Entomogame"
"Clinopodium acinos","Clinopodium acinos","Européen","Blanc, rose","Épizoochore","5-8","Glomérules","Entomogame"
"Clinopodium menthifolium menthifolium","Clinopodium nepeta subsp. sylvaticum","Méditerranéen(eury)-atlantique(eury)","Rose","Épizoochore","7-10","Glomérules","Entomogame"
"Clinopodium nepeta","Clinopodium nepeta","Européen méridional","Rose","Épizoochore","7-10","Glomérules","Entomogame"
"Clinopodium nepeta ascendens","Clinopodium nepeta subsp. ascendens","Méditerranéen(eury)-atlantique(eury)","Rose","Épizoochore","7-9","Glomérules","Entomogame"
"Clinopodium vulgare","Clinopodium vulgare","Holarctique","Rose","Épizoochore","7-9","Glomérules","Entomogame"
"Cochlearia",NA,NA,NA,NA,NA,NA,NA
"Coincya monensis cheiranthos","Coincya monensis subsp. cheiranthos","Européen occidental","Jaune","Barochore","5-8","Racème simple","Entomogame, autogame"
"Coincya monensis cheiranthos","Coincya monensis subsp. cheiranthos","Européen occidental","Jaune","Barochore","5-8","Racème simple","Entomogame, autogame"
"Colchicum autumnale","Colchicum autumnale","Européen tempéré","Rose","Barochore","8-10","Fleur solitaire terminale","Entomogame, autogame"
"Coleostephus myconis","Coleostephus myconis","Méditerranéen","Jaune","Anémochore","5-6","Racème de capitules","Entomogame"
"Commelina","Commelina communis","Subtropical","Bleu, blanc","Barochore","","Fleur solitaire latérale","Entomogame"
"Commelina communis","Commelina communis","Subtropical","Bleu, blanc","Barochore","","Fleur solitaire latérale","Entomogame"
"Conium","Conium maculatum","Cosmopolite","Blanc","Barochore","","Ombelle d'ombellules","Entomogame"
"Conium maculatum","Conium maculatum","Cosmopolite","Blanc","Barochore","","Ombelle d'ombellules","Entomogame"
"Conopodium majus","Conopodium majus","Atlantique","Blanc","Barochore","6-7","Ombelle d'ombellules","Entomogame"
"Conringia orientalis","Conringia orientalis","Méditerranéen","Blanc","Barochore","5-7","Racème simple","Entomogame"
"Convolvulus","Convolvulus althaeoides_Convolvulus arvensis_Convolvulus cantabrica_Convolvulus soldanella","Cosmopolite_Méditerranéen_Méditerranéen(eury)","Blanc, rose_Rose","Barochore_Épizoochore","4-6_5-10_5-7","Racème simple","Entomogame_Entomogame, autogame"
"Convolvulus althaeoides","Convolvulus althaeoides","Méditerranéen","Rose","Épizoochore","4-6","Racème simple","Entomogame"
"Convolvulus arvensis","Convolvulus arvensis","Cosmopolite","Blanc, rose","Barochore","5-10","Racème simple","Entomogame, autogame"
"Convolvulus cantabrica","Convolvulus cantabrica","Méditerranéen(eury)","Rose","Épizoochore","5-7","Racème simple","Entomogame"
"Convolvulus soldanella","Convolvulus soldanella","Cosmopolite","Rose","Barochore","5-10","Racème simple","Entomogame"
"Conyza",NA,NA,NA,NA,NA,NA,NA
"Conyza sumatrensis",NA,NA,NA,NA,NA,NA,NA
"Conyzigeron",NA,NA,NA,NA,NA,NA,NA
"Coriandrum sativum","Coriandrum sativum","Cosmopolite(thermo)","Blanc","Barochore","6-8","Ombelle d'ombellules","Entomogame"
"Coris monspeliensis","Coris monspeliensis","Méditerranéen","Rose","Barochore","4-7","Racème capituliforme","Entomogame"
"Corispermum nitidum",NA,NA,NA,NA,NA,NA,NA
"Cornus","Cornus alba_Cornus mas_Cornus sanguinea_Cornus sanguinea subsp. sanguinea","Eurasiatique_Européen méridional_Introduit (asie)","Blanc_Jaune","Endozoochore","3_5-6","Corymbe","Entomogame"
"Cornus alba","Cornus alba","Introduit (asie)","","Endozoochore","","Corymbe","Entomogame"
"Cornus mas","Cornus mas","Européen méridional","Jaune","Endozoochore","3","Corymbe","Entomogame"
"Cornus sanguinea","Cornus sanguinea","Eurasiatique","Blanc","Endozoochore","5-6","Corymbe","Entomogame"
"Cornus sanguinea sanguinea","Cornus sanguinea subsp. sanguinea","Eurasiatique","Blanc","Endozoochore","5-6","Corymbe","Entomogame"
"Coronilla","Coronilla scorpioides_Coronilla vaginalis_Coronilla varia","Européen méridional","Bleu, blanc, rose_Jaune","Épizoochore","4-6_6-8","Ombelle simple","Entomogame"
"Coronilla scorpioides","Coronilla scorpioides","Européen méridional","Jaune","Épizoochore","4-6","Ombelle simple","Entomogame"
"Coronilla vaginalis","Coronilla vaginalis","Européen méridional","Jaune","Épizoochore","6-8","Ombelle simple","Entomogame"
"Coronilla varia","Coronilla varia","Européen méridional","Bleu, blanc, rose","Épizoochore","","Ombelle simple","Entomogame"
"Corrigiola litoralis","Corrigiola littoralis","Cosmopolite","Blanc","Barochore","6-9","Cyme capituliforme","Entomogame"
"Corylus","Corylus avellana","Eurasiatique","Jaune","Dyszoochore","1-3","Épi de cymes triflores","Anémogame"
"Corylus avellana","Corylus avellana","Eurasiatique","Jaune","Dyszoochore","1-3","Épi de cymes triflores","Anémogame"
"Cosmos","Cosmos bipinnatus","Introduit (amér. centrale)","","","","","Entomogame"
"Cosmos bipinnatus","Cosmos bipinnatus","Introduit (amér. centrale)","","","","","Entomogame"
"Cota altissima","Cota altissima","Méditerranéen","Blanc, jaune","Barochore","5-7","Corymbe de capitules","Entomogame, autogame"
"Cota austriaca",NA,NA,NA,NA,NA,NA,NA
"Cota segetalis",NA,NA,NA,NA,NA,NA,NA
"Cota tinctoria","Cota tinctoria","Eurasiatique méridional","Blanc, jaune","Barochore","6-8","Corymbe de capitules","Entomogame, autogame"
"Cota tinctoria australis","Cota tinctoria","Eurasiatique méridional","Blanc, jaune","Barochore","6-8","Corymbe de capitules","Entomogame, autogame"
"Crambe hispanica abyssinica","Crambe hispanica","Méditerranéen","Blanc","Barochore","","Racème simple","Entomogame"
"Crambe hispanica abyssinica","Crambe hispanica","Méditerranéen","Blanc","Barochore","","Racème simple","Entomogame"
"Crassula tillaea","Crassula tillaea","Méditerranéen(eury)-atlantique(eury)","Blanc","Barochore","4-6","Glomérules","Entomogame"
"Crataegus","Crataegus laevigata_Crataegus monogyna","Eurasiatique_Eurasiatique méridional","Blanc","Endozoochore","","Corymbe","Entomogame"
"Crataegus kyrtostyla domicensis",NA,NA,NA,NA,NA,NA,NA
"Crataegus laevigata","Crataegus laevigata","Eurasiatique","Blanc","Endozoochore","","Corymbe","Entomogame"
"Crataegus monogyna","Crataegus monogyna","Eurasiatique méridional","Blanc","Endozoochore","","Corymbe","Entomogame"
"Crepis","Crepis bellidifolia_Crepis biennis_Crepis bursifolia_Crepis capillaris_Crepis foetida_Crepis foetida subsp. foetida_Crepis foetida subsp. rhoeadifolia_Crepis leontodontoides_Crepis micrantha_Crepis mollis_Crepis pulchra_Crepis pygmaea_Crepis sancta_Crepis sancta subsp. nemausensis_Crepis setosa f._Crepis tectorum_Crepis vesicaria_Crepis vesicaria subsp. taraxacifolia","Eurasiatique septentrional_Européen_Européen méridional_Méditerranéen central_Méditerranéen occidental_Méditerranéen oriental_Méditerranéen(eury)_Méditerranéen(eury)-atlantique(eury)_Orophyte méditerranéen occ._Orophyte méridional","Jaune","Anémochore","3-5_5-6_5-7_5-8_6-7_6-8_6-9_7-8","Racème de capitules","Entomogame, apogame_Entomogame, autogame"
"Crepis bellidifolia","Crepis bellidifolia","Orophyte méditerranéen occ.","Jaune","Anémochore","5-7","Racème de capitules","Entomogame, autogame"
"Crepis biennis","Crepis biennis","Européen","Jaune","Anémochore","5-7","Racème de capitules","Entomogame, apogame"
"Crepis bursifolia","Crepis bursifolia","Méditerranéen occidental","Jaune","Anémochore","5-6","Racème de capitules","Entomogame, autogame"
"Crepis capillaris","Crepis capillaris","Européen","Jaune","Anémochore","6-9","Racème de capitules","Entomogame, autogame"
"Crepis foetida","Crepis foetida","Européen","Jaune","Anémochore","5-8","Racème de capitules","Entomogame, autogame"
"Crepis foetida foetida","Crepis foetida subsp. foetida","Européen","Jaune","Anémochore","5-8","Racème de capitules","Entomogame, autogame"
"Crepis foetida rhoeadifolia","Crepis foetida subsp. rhoeadifolia","Européen","Jaune","Anémochore","","Racème de capitules","Entomogame, autogame"
"Crepis leontodontoides","Crepis leontodontoides","Méditerranéen central","Jaune","Anémochore","5-6","Racème de capitules","Entomogame, autogame"
"Crepis micrantha","Crepis micrantha","Méditerranéen oriental","Jaune","Anémochore","","Racème de capitules","Entomogame, autogame"
"Crepis mollis","Crepis mollis","Orophyte méridional","Jaune","Anémochore","6-7","Racème de capitules","Entomogame, autogame"
"Crepis neglecta",NA,NA,NA,NA,NA,NA,NA
"Crepis neglecta corymbosa",NA,NA,NA,NA,NA,NA,NA
"Crepis pulchra","Crepis pulchra","Méditerranéen(eury)","Jaune","Anémochore","5-6","Racème de capitules","Entomogame, autogame"
"Crepis pygmaea","Crepis pygmaea","Orophyte méridional","Jaune","Anémochore","7-8","Racème de capitules","Entomogame, autogame"
"Crepis rhoeadifolia",NA,NA,NA,NA,NA,NA,NA
"Crepis rubra",NA,NA,NA,NA,NA,NA,NA
"Crepis sancta","Crepis sancta","Méditerranéen(eury)","Jaune","Anémochore","3-5","Racème de capitules","Entomogame, autogame"
"Crepis sancta nemausensis","Crepis sancta subsp. nemausensis","Méditerranéen occidental","Jaune","Anémochore","3-5","Racème de capitules","Entomogame, autogame"
"Crepis setosa","Crepis setosa f.","Européen méridional","Jaune","Anémochore","6-8","Racème de capitules","Entomogame, autogame"
"Crepis tectorum","Crepis tectorum","Eurasiatique septentrional","Jaune","Anémochore","5-6","Racème de capitules","Entomogame, autogame"
"Crepis vesicaria","Crepis vesicaria","Méditerranéen(eury)-atlantique(eury)","Jaune","Anémochore","5-6","Racème de capitules","Entomogame, autogame"
"Crepis vesicaria taraxacifolia","Crepis vesicaria subsp. taraxacifolia","Méditerranéen(eury)-atlantique(eury)","Jaune","Anémochore","5-6","Racème de capitules","Entomogame, autogame"
"Cruciata","Cruciata glabra_Cruciata laevipes","Européen méridional","Jaune","Endozoochore","4-6_5-7","Glomérules","Entomogame"
"Cruciata glabra","Cruciata glabra","Européen méridional","Jaune","Endozoochore","5-7","Glomérules","Entomogame"
"Cruciata laevipes","Cruciata laevipes","Européen méridional","Jaune","Endozoochore","4-6","Glomérules","Entomogame"
"Cucurbita","Cucurbita pepo","Introduit (amér.)","","","","","Entomogame"
"Cucurbita pepo","Cucurbita pepo","Introduit (amér.)","","","","","Entomogame"
"Cullen americanum",NA,NA,NA,NA,NA,NA,NA
"Cupressus",NA,NA,NA,NA,NA,NA,NA
"Cuscuta","Cuscuta campestris_Cuscuta epilinum_Cuscuta monogyna","Européen oriental_Introduit (amér. du nord)_Méditerranéen","Blanc","Barochore","6-8","Glomérules","Entomogame, autogame"
"Cuscuta campestris","Cuscuta campestris","Introduit (amér. du nord)","Blanc","Barochore","","Glomérules","Entomogame, autogame"
"Cuscuta epilinum","Cuscuta epilinum","Européen oriental","Blanc","Barochore","6-8","Glomérules","Entomogame, autogame"
"Cuscuta monogyna","Cuscuta monogyna","Méditerranéen","","Barochore","","Glomérules","Entomogame, autogame"
"Cydonia oblonga","Cydonia oblonga","Introduit (asie occ.)","Blanc","Endozoochore","5","Fleur solitaire latérale","Entomogame"
"Cymbalaria muralis","Cymbalaria muralis","Européen méridional","Bleu","Autochore","5-10","Fleur solitaire latérale","Entomogame, autogame"
"Cynanchica aristata","Asperula aristata","Européen méridional","Rose","Barochore","","Cyme d'ombelles","Entomogame"
"Cynanchica pyrenaica cynanchica","Asperula capillacea_Asperula cynanchica","Atlantique (basque)_Européen méridional","Rose","Barochore","6-9","Cyme d'ombelles","Entomogame_Entomogame, autogame"
"Cynanchum acutum","Cynanchum acutum","Méditerranéen","Blanc","Barochore","6-9","Ombelle simple","Entomogame"
"Cynara","Cynara cardunculus_Cynara scolymus","Méditerranéen_Méditerranéen occidental","Bleu","Anémochore","6-7","Racème de capitules","Entomogame"
"Cynara cardunculus","Cynara cardunculus","Méditerranéen occidental","Bleu","Anémochore","6-7","Racème de capitules","Entomogame"
"Cynara scolymus","Cynara scolymus","Méditerranéen","","Anémochore","","Racème de capitules","Entomogame"
"Cynodon","Cynodon dactylon","Cosmopolite(thermo)","Rose","Barochore","7-9","Ombelle simple d'épis","Anémogame"
"Cynodon dactylon","Cynodon dactylon","Cosmopolite(thermo)","Rose","Barochore","7-9","Ombelle simple d'épis","Anémogame"
"Cynoglossum cheirifolium",NA,NA,NA,NA,NA,NA,NA
"Cynoglossum creticum","Cynoglossum creticum","Méditerranéen","Bleu","Épizoochore","4-7","Racème de cymes unipares scorpioïdes","Entomogame"
"Cynoglossum officinale","Cynoglossum officinale","Circumboréal","Rose","Épizoochore","5-7","Racème de cymes unipares scorpioïdes","Entomogame"
"Cynosurus cristatus","Cynosurus cristatus","Européen","Vert","Épizoochore","5-7","Épi d'épillets","Anémogame"
"Cynosurus echinatus","Cynosurus echinatus","Méditerranéen","Vert","Épizoochore","4-7","Panicule d'épillets","Anémogame"
"Cyperus","Cyperus difformis_Cyperus eragrostis_Cyperus esculentus_Cyperus flavidus_Cyperus fuscus_Cyperus longus_Cyperus rotundus","Eurasiatique méridional_Introduit (amér. du sud)_Subtropical_Subtropical(paléo)","Marron_Rose_Vert","Barochore","6-9_7-10_7-9_8-11","Cyme d'épis_Racème capituliforme","Anémogame"
"Cyperus difformis","Cyperus difformis","Subtropical(paléo)","","Barochore","","Racème capituliforme","Anémogame"
"Cyperus eragrostis","Cyperus eragrostis","Introduit (amér. du sud)","Vert","Barochore","7-10","Cyme d'épis","Anémogame"
"Cyperus esculentus","Cyperus esculentus","Subtropical","Rose","Barochore","8-11","Cyme d'épis","Anémogame"
"Cyperus flavidus","Cyperus flavidus","Subtropical","Marron","Barochore","7-10","Cyme d'épis","Anémogame"
"Cyperus fuscus","Cyperus fuscus","Eurasiatique méridional","Marron","Barochore","7-9","Cyme d'épis","Anémogame"
"Cyperus longus","Cyperus longus","Subtropical(paléo)","Marron","Barochore","6-9","Cyme d'épis","Anémogame"
"Cyperus rotundus","Cyperus rotundus","Subtropical","Marron","Barochore","8-11","Cyme d'épis","Anémogame"
"Cytisus scoparius","Cytisus scoparius","Européen occidental","Jaune","Autochore","4-7","Racème simple","Entomogame"
"Dactylis","Dactylis glomerata_Dactylis glomerata subsp. glomerata_Dactylis glomerata subsp. lobata_Dactylis glomerata subsp. oceanica","Atlantique_Eurasiatique méridional_Européen central","Vert","Épizoochore","4-9","Panicule d'épillets","Anémogame"
"Dactylis glomerata","Dactylis glomerata","Eurasiatique méridional","Vert","Épizoochore","4-9","Panicule d'épillets","Anémogame"
"Dactylis glomerata glomerata","Dactylis glomerata subsp. glomerata","Eurasiatique méridional","Vert","Épizoochore","4-9","Panicule d'épillets","Anémogame"
"Dactylis glomerata lobata","Dactylis glomerata subsp. lobata","Européen central","Vert","Épizoochore","","Panicule d'épillets","Anémogame"
"Dactylis glomerata oceanica","Dactylis glomerata subsp. oceanica","Atlantique","Vert","Épizoochore","","Panicule d'épillets","Anémogame"
"Dasypyrum villosum","Dasypyrum villosum","Méditerranéen","Vert","Épizoochore","5-7","Panicule d'épillets","Anémogame"
"Datura stramonium","Datura stramonium","Cosmopolite","Blanc","Épizoochore","7-10","Fleur solitaire terminale","Entomogame"
"Daucus","Daucus carota_Daucus carota subsp. carota","Européen","Blanc","Épizoochore","5-10","Ombelle d'ombellules","Entomogame"
"Daucus carota","Daucus carota","Européen","Blanc","Épizoochore","5-10","Ombelle d'ombellules","Entomogame"
"Daucus carota carota","Daucus carota subsp. carota","Européen","Blanc","Épizoochore","5-10","Ombelle d'ombellules","Entomogame"
"Daucus crinitus",NA,NA,NA,NA,NA,NA,NA
"Delphinium","Delphinium ajacis_Delphinium consolida_Delphinium consolida subsp. consolida_Delphinium halteratum_Delphinium pubescens_Delphinium verdunense","Eurasiatique_Méditerranéen_Méditerranéen occidental_Méditerranéen-atlantique","Bleu_Bleu, blanc, rose","Barochore_Épizoochore","6-7_6-8_7-8","Racème de racèmes","Entomogame"
"Delphinium ajacis","Delphinium ajacis","Méditerranéen-atlantique","Bleu, blanc, rose","Épizoochore","6-7","Racème de racèmes","Entomogame"
"Delphinium consolida","Delphinium consolida","Eurasiatique","Bleu","Barochore","6-8","Racème de racèmes","Entomogame"
"Delphinium consolida consolida","Delphinium consolida subsp. consolida","Eurasiatique","Bleu","Barochore","6-8","Racème de racèmes","Entomogame"
"Delphinium halteratum","Delphinium halteratum","Méditerranéen-atlantique","Bleu","Épizoochore","","Racème de racèmes","Entomogame"
"Delphinium pubescens","Delphinium pubescens","Méditerranéen occidental","Bleu","Épizoochore","6-7","Racème de racèmes","Entomogame"
"Delphinium verdunense","Delphinium verdunense","Méditerranéen","Bleu","Épizoochore","7-8","Racème de racèmes","Entomogame"
"Deschampsia cespitosa","Deschampsia cespitosa","Cosmopolite","Vert, bleu","Épizoochore","6-8","Panicule d'épillets","Anémogame"
"Deschampsia cespitosa cespitosa","Deschampsia cespitosa subsp. cespitosa","Cosmopolite","Vert, bleu","Épizoochore","6-8","Panicule d'épillets","Anémogame"
"Descurainia sophia","Descurainia sophia","Cosmopolite","Jaune","Barochore","4-9","Racème simple","Entomogame"
"Dianthus","Dianthus armeria_Dianthus carthusianorum_Dianthus carthusianorum subsp. carthusianorum_Dianthus caryophyllus_Dianthus deltoides","Eurasiatique_Européen_Européen méridional","Rose","Épizoochore","6-8_6-9","Cyme bipare","Entomogame"
"Dianthus armeria","Dianthus armeria","Européen","Rose","Épizoochore","6-8","Cyme bipare","Entomogame"
