"accepted_taxa","original_taxa_Baseflor","Chorology_Baseflor","Flower.color_Baseflor","Dispersal.mode_Baseflor","Flowering_Baseflor","Inflorescence_Baseflor","Pollination_Baseflor"
"Agrostemma githago","Agrostemma githago","Cosmopolite","Rose","Barochore","6-7","Cyme bipare","Entomogame"
"Agrostis","Agrostis canina_Agrostis capillaris_Agrostis gigantea_Agrostis stolonifera","Holarctique","Rose_Vert, rose","Anémochore_Barochore","5-9_6-8_6-9","Panicule d'épillets","Anémogame"
"Agrostis canina","Agrostis canina","Holarctique","Rose","Anémochore","6-8","Panicule d'épillets","Anémogame"
"Agrostis capillaris","Agrostis capillaris","Holarctique","Vert, rose","Barochore","6-9","Panicule d'épillets","Anémogame"
"Agrostis gigantea","Agrostis gigantea","Holarctique","Vert, rose","Barochore","","Panicule d'épillets","Anémogame"
"Agrostis stolonifera","Agrostis stolonifera","Holarctique","Vert, rose","Barochore","5-9","Panicule d'épillets","Anémogame"
"Ailanthus altissima","Ailanthus altissima","Introduit (asie orient.)","","Anémochore","","Racème de racèmes","Entomogame"
"Aira caryophyllea","Aira caryophyllea","Européen méridional","Vert","Épizoochore","5-7","Panicule d'épillets","Anémogame"
"Aira cupaniana","Aira cupaniana","Méditerranéen occidental","Vert","Épizoochore","4-5","Panicule d'épillets","Anémogame"
"Ajuga chamaepitys","Ajuga chamaepitys","Européen méridional","Jaune","Épizoochore","4-10","Glomérules spiciformes","Entomogame"
"Ajuga genevensis","Ajuga genevensis","Eurasiatique","Bleu","Épizoochore","5-8","Glomérules spiciformes","Entomogame"
"Ajuga iva","Ajuga iva","Méditerranéen","Rose","Épizoochore","5-10","Glomérules spiciformes","Entomogame"
"Ajuga reptans","Ajuga reptans","Eurasiatique","Bleu","Myrmécochore","4-7","Glomérules spiciformes","Entomogame, autogame"
"Alcea rosea","Alcea rosea","Introduit (asie)","Rose","Barochore","","Racème de cymes unipares scorpioïdes","Entomogame"
"Alchemilla","Alchemilla acutiloba_Alchemilla monticola_Alchemilla reniformis_Alchemilla xanthochlora_Aphanes australis","Atlantique(eury)_Eurasiatique septentrional_Européen_Orophyte alpien","Vert","Barochore_Épizoochore","4-7_5-9","Glomérules","Apogame_Autogame"
"Alchemilla australis","Aphanes australis","Européen","Vert","Barochore","4-7","Glomérules","Autogame"
"Alchemilla monticola","Alchemilla monticola","Eurasiatique septentrional","Vert","Épizoochore","","Glomérules","Apogame"
"Alchemilla reniformis","Alchemilla reniformis","Orophyte alpien","Vert","Épizoochore","","Glomérules","Apogame"
"Alchemilla vulgaris","Alchemilla acutiloba","Eurasiatique septentrional","Vert","Épizoochore","","Glomérules","Apogame"
"Alchemilla xanthochlora","Alchemilla xanthochlora","Atlantique(eury)","Vert","Épizoochore","5-9","Glomérules","Apogame"
"Alisma lanceolatum","Alisma lanceolatum","Eurasiatique méridional","Blanc, rose","Hydrochore","5-9","Racème d'ombelles","Entomogame"
"Alisma plantago-aquatica","Alisma plantago-aquatica","Holarctique","Blanc, rose","Hydrochore","5-9","Racème d'ombelles","Entomogame"
"Alkanna tinctoria",NA,NA,NA,NA,NA,NA,NA
"Alkekengi officinarum","Physalis alkekengi_Physalis alkekengi var. alkekengi","Eurasiatique","Blanc","Endozoochore","5-10","Cyme unipare hélicoïde","Entomogame"
"Alliaria","Alliaria petiolata","Eurasiatique","Blanc","Barochore","4-6","Racème simple","Entomogame, autogame"
"Alliaria petiolata","Alliaria petiolata","Eurasiatique","Blanc","Barochore","4-6","Racème simple","Entomogame, autogame"
"Allium","Allium ampeloprasum_Allium cepa_Allium cyrilli_Allium flavum_Allium neapolitanum_Allium nigrum_Allium oleraceum_Allium paniculatum_Allium polyanthum_Allium porrum_Allium roseum_Allium rotundum_Allium sativum_Allium scaberrimum_Allium scorodoprasum_Allium sphaerocephalon_Allium subhirsutum_Allium triquetrum_Allium ursinum_Allium vineale","Eurasiatique_Eurasiatique tempéré_Européen_Européen méridional_Introduit (asie centr.)_Introduit (asie occ.)_Ligure_Méditerranéen_Méditerranéen occidental_Méditerranéen oriental","Blanc_Blanc, rose_Bleu_Jaune_Rose","Barochore","3-5_4-6_5-7_6-7_6-8_7-8_7-9","Ombelle simple","Entomogame_Entomogame, autogame"
"Allium ampeloprasum","Allium ampeloprasum","Méditerranéen","Rose","Barochore","6-7","Ombelle simple","Entomogame"
"Allium cepa","Allium cepa","Introduit (asie occ.)","Blanc","Barochore","7-9","Ombelle simple","Entomogame"
"Allium cyrilli","Allium cyrilli","Européen méridional","","Barochore","","Ombelle simple","Entomogame"
"Allium flavum","Allium flavum","Méditerranéen","Jaune","Barochore","7-8","Ombelle simple","Entomogame"
"Allium neapolitanum","Allium neapolitanum","Méditerranéen","Blanc","Barochore","3-5","Ombelle simple","Entomogame"
"Allium nigrum","Allium nigrum","Méditerranéen","Bleu","Barochore","4-6","Ombelle simple","Entomogame"
"Allium oleraceum","Allium oleraceum","Eurasiatique tempéré","Rose","Barochore","7-8","Ombelle simple","Entomogame, autogame"
"Allium paniculatum","Allium paniculatum","Européen méridional","Blanc, rose","Barochore","7-8","Ombelle simple","Entomogame"
"Allium polyanthum","Allium polyanthum","Méditerranéen","Rose","Barochore","6-7","Ombelle simple","Entomogame"
"Allium porrum","Allium porrum","Méditerranéen oriental","Blanc, rose","Barochore","6-8","Ombelle simple","Entomogame"
"Allium roseum","Allium roseum","Méditerranéen","Rose","Barochore","4-6","Ombelle simple","Entomogame"
"Allium rotundum","Allium rotundum","Européen méridional","Rose","Barochore","5-7","Ombelle simple","Entomogame, autogame"
"Allium sativum","Allium sativum","Introduit (asie centr.)","Blanc, rose","Barochore","6-8","Ombelle simple","Entomogame"
"Allium scaberrimum","Allium scaberrimum","Ligure","Blanc","Barochore","6-7","Ombelle simple","Entomogame"
"Allium scorodoprasum","Allium scorodoprasum","Européen méridional","Rose","Barochore","6-7","Ombelle simple","Entomogame, autogame"
"Allium sphaerocephalon","Allium sphaerocephalon","Eurasiatique tempéré","Rose","Barochore","6-8","Ombelle simple","Entomogame"
"Allium subhirsutum","Allium subhirsutum","Méditerranéen","Blanc","Barochore","4-6","Ombelle simple","Entomogame"
"Allium triquetrum","Allium triquetrum","Méditerranéen occidental","Blanc","Barochore","3-5","Ombelle simple","Entomogame"
"Allium ursinum","Allium ursinum","Eurasiatique","","Barochore","","Ombelle simple","Entomogame"
"Allium vineale","Allium vineale","Européen","Blanc, rose","Barochore","6-7","Ombelle simple","Entomogame, autogame"
"Alnus glutinosa","Alnus glutinosa","Européen","Vert","Anémochore","2-4","Épi de cymes triflores","Anémogame"
"Alopecurus","Alopecurus aequalis_Alopecurus geniculatus_Alopecurus myosuroides_Alopecurus pratensis_Alopecurus pratensis subsp. pratensis_Alopecurus rendlei_Alopecurus utriculatus","Circumboréal_Cosmopolite_Eurasiatique_Eurasiatique septentrional_Méditerranéen-atlantique","Vert_Vert, bleu","Barochore","4-7_5-6_5-7_5-8_5-9","Épi d'épillets","Anémogame"
"Alopecurus aequalis","Alopecurus aequalis","Eurasiatique septentrional","Vert, bleu","Barochore","5-9","Épi d'épillets","Anémogame"
"Alopecurus geniculatus","Alopecurus geniculatus","Cosmopolite","Vert, bleu","Barochore","5-8","Épi d'épillets","Anémogame"
"Alopecurus myosuroides","Alopecurus myosuroides","Circumboréal","Vert, bleu","Barochore","4-7","Épi d'épillets","Anémogame"
"Alopecurus pratensis","Alopecurus pratensis","Eurasiatique","Vert","Barochore","5-7","Épi d'épillets","Anémogame"
"Alopecurus pratensis pratensis","Alopecurus pratensis subsp. pratensis","Eurasiatique","Vert","Barochore","5-7","Épi d'épillets","Anémogame"
"Alopecurus rendlei","Alopecurus rendlei","Méditerranéen-atlantique","Vert, bleu","Barochore","5-6","Épi d'épillets","Anémogame"
"Alopecurus utriculatus","Alopecurus utriculatus","Méditerranéen-atlantique","","Barochore","","Épi d'épillets","Anémogame"
"Alpagrostis setacea","Agrostis curtisii","Atlantique","Bleu, jaune","Anémochore","6-8","Panicule d'épillets","Anémogame"
"Althaea cannabina","Althaea cannabina","Européen méridional","Rose","Barochore","6-9","Racème de cymes bipares","Entomogame"
"Althaea officinalis","Althaea officinalis","Eurasiatique méridional","Blanc","Épizoochore","6-9","Racème de cymes bipares","Entomogame, autogame"
"Alyssum","Alyssum alyssoides_Alyssum montanum_Alyssum simplex","Eurasiatique_Européen méridional","Jaune","Anémochore","4-6_5-7","Racème simple","Entomogame"
"Alyssum alyssoides","Alyssum alyssoides","Eurasiatique","Jaune","Anémochore","4-6","Racème simple","Entomogame"
"Alyssum granatense",NA,NA,NA,NA,NA,NA,NA
"Alyssum minutum",NA,NA,NA,NA,NA,NA,NA
"Alyssum montanum","Alyssum montanum","Européen méridional","Jaune","Anémochore","5-7","Racème simple","Entomogame"
"Alyssum simplex","Alyssum simplex","Européen méridional","","Anémochore","","Racème simple","Entomogame"
"Amaranthaceae",NA,NA,NA,NA,NA,NA,NA
"Amaranthus","Amaranthus albus_Amaranthus blitoides_Amaranthus blitum_Amaranthus blitum subsp. emarginatus_Amaranthus caudatus_Amaranthus crispus_Amaranthus deflexus_Amaranthus graecizans_Amaranthus hybridus_Amaranthus hybridus subsp. bouchonii_Amaranthus hybridus subsp. cruentus_Amaranthus retroflexus_Amaranthus spinosus_Amaranthus tricolor_Amaranthus viridis","Cosmopolite_Européen méridional_Introduit (amér. du nord)_Introduit (amér. du sud)_Introduit (amér. tropicale)_Introduit (amér.)_Subtropical_Subtropical(paléo)","Rose_Vert_Vert, rose","Barochore_Épizoochore","6-10_7-10","Panicule spiciforme","Anémogame"
"Amaranthus albus","Amaranthus albus","Introduit (amér. du nord)","Vert","Épizoochore","7-10","Panicule spiciforme","Anémogame"
"Amaranthus blitoides","Amaranthus blitoides","Introduit (amér. du nord)","","Épizoochore","","Panicule spiciforme","Anémogame"
"Amaranthus blitum","Amaranthus blitum","Cosmopolite","","","","Panicule spiciforme","Anémogame"
"Amaranthus blitum emarginatus","Amaranthus blitum subsp. emarginatus","Cosmopolite","","","","Panicule spiciforme","Anémogame"
"Amaranthus caudatus","Amaranthus caudatus","Subtropical","Vert","Épizoochore","","Panicule spiciforme","Anémogame"
"Amaranthus crispus","Amaranthus crispus","Introduit (amér.)","","","","Panicule spiciforme","Anémogame"
"Amaranthus cruentus","Amaranthus hybridus subsp. cruentus","Introduit (amér. tropicale)","Rose","Épizoochore","7-10","Panicule spiciforme","Anémogame"
"Amaranthus deflexus","Amaranthus deflexus","Cosmopolite","Vert, rose","Barochore","6-10","Panicule spiciforme","Anémogame"
"Amaranthus graecizans","Amaranthus graecizans","Européen méridional","","","","Panicule spiciforme","Anémogame"
"Amaranthus hybridus","Amaranthus hybridus","Cosmopolite","","","","Panicule spiciforme","Anémogame"
"Amaranthus powellii",NA,NA,NA,NA,NA,NA,NA
"Amaranthus powellii bouchonii","Amaranthus hybridus subsp. bouchonii","Cosmopolite","","Épizoochore","","Panicule spiciforme","Anémogame"
"Amaranthus retroflexus","Amaranthus retroflexus","Cosmopolite","Vert","Épizoochore","7-10","Panicule spiciforme","Anémogame"
"Amaranthus spinosus","Amaranthus spinosus","Subtropical(paléo)","","","","Panicule spiciforme","Anémogame"
"Amaranthus tricolor","Amaranthus tricolor","Introduit (amér. du sud)","","","","Panicule spiciforme","Anémogame"
"Amaranthus viridis","Amaranthus viridis","Cosmopolite","","","","Panicule spiciforme","Anémogame"
"Ambrosia artemisiifolia","Ambrosia artemisiifolia","Introduit (amér. du nord)","Vert","Épizoochore","8-9","Épi de capitules","Anémogame"
"Ambrosia psilostachya","Ambrosia psilostachya","Introduit (amér. du nord)","","Épizoochore","","Épi de capitules","Entomogame"
"Ambrosia trifida","Ambrosia trifida","Introduit (amér. du nord)","","Épizoochore","","Épi de capitules","Entomogame"
"Ammi","Ammi majus","Méditerranéen","Blanc","Barochore","7-9","Ombelle d'ombellules","Entomogame"
"Ammi majus","Ammi majus","Méditerranéen","Blanc","Barochore","7-9","Ombelle d'ombellules","Entomogame"
"Ammi majus majus","Ammi majus","Méditerranéen","Blanc","Barochore","7-9","Ombelle d'ombellules","Entomogame"
"Ammoides pusilla","Ammoides pusilla","Méditerranéen","Blanc","Barochore","5-7","Ombelle d'ombellules","Entomogame"
"Anacamptis morio","Anacamptis morio","Européen","Rose","Anémochore","4-6","Épi simple","Entomogame"
"Anacamptis pyramidalis","Anacamptis pyramidalis","Européen méridional","Rose","Anémochore","5-7","Épi simple","Entomogame"
"Anacyclus clavatus","Anacyclus clavatus","Méditerranéen occidental","Blanc, jaune","Anémochore","5-6","Capitule simple","Entomogame"
"Anagallis arvensis caerulea",NA,NA,NA,NA,NA,NA,NA
"Anagyris",NA,NA,NA,NA,NA,NA,NA
"Anchusa","Anchusa italica_Anchusa officinalis_Anchusa undulata subsp. hybrida_Lycopsis arvensis","Eurasiatique_Européen méridional_Méditerranéen","Bleu_Bleu, rose","Épizoochore","5-7_5-8_5-9","Racème de cymes unipares scorpioïdes","Entomogame"
"Anchusa arvensis","Lycopsis arvensis","Eurasiatique","Bleu","Épizoochore","5-9","Racème de cymes unipares scorpioïdes","Entomogame"
"Anchusa azurea","Anchusa italica","Méditerranéen","Bleu, rose","Épizoochore","5-8","Racème de cymes unipares scorpioïdes","Entomogame"
"Anchusa hybrida",NA,NA,NA,NA,NA,NA,NA
"Anchusa officinalis","Anchusa officinalis","Européen méridional","Bleu, rose","Épizoochore","","Racème de cymes unipares scorpioïdes","Entomogame"
"Anchusa puechii",NA,NA,NA,NA,NA,NA,NA
"Anchusa undulata hybrida","Anchusa undulata subsp. hybrida","Méditerranéen","Bleu, rose","Épizoochore","5-7","Racème de cymes unipares scorpioïdes","Entomogame"
"Andrachne telephioides","Andrachne telephioides","Méditerranéen","Jaune","Barochore","","Cyathe","Entomogame"
"Androsace elongata","Androsace elongata","Eurasiatique","Blanc, rose","Barochore","4-5","Ombelle simple","Entomogame"
"Androsace maxima","Androsace maxima","Eurasiatique","Blanc, rose","Barochore","4-6","Ombelle simple","Entomogame"
"Andryala","Andryala integrifolia","Méditerranéen(eury)-atlantique(eury)","Jaune","Épizoochore","7-9","Épi de capitules","Entomogame"
"Andryala integrifolia","Andryala integrifolia","Méditerranéen(eury)-atlantique(eury)","Jaune","Épizoochore","7-9","Épi de capitules","Entomogame"
"Andryala rothia",NA,NA,NA,NA,NA,NA,NA
"Anemone coronaria","Anemone coronaria","Méditerranéen","Bleu, blanc, rose","Épizoochore","2-4","Fleur solitaire terminale","Entomogame"
"Anemone hortensis","Anemone hortensis","Méditerranéen","Bleu, blanc, rose","Épizoochore","3-4","Fleur solitaire terminale","Entomogame"
"Anemonoides nemorosa","Anemone nemorosa","Holarctique","Blanc","Myrmécochore","3-5","Fleur solitaire terminale","Entomogame, autogame"
"Anethum graveolens","Anethum graveolens","Eurasiatique méridional","Jaune","Anémochore","4-7","Ombelle d'ombellules","Entomogame"
"Angelica archangelica","Angelica archangelica","Circumboréal","Blanc","Hydrochore","","Ombelle d'ombellules","Entomogame"
"Angelica sylvestris","Angelica sylvestris","Eurasiatique","Blanc","Hydrochore","7-9","Ombelle d'ombellules","Entomogame"
"Antennaria dioica","Antennaria dioica","Circumboréal","Blanc, rose","Anémochore","5-6","Épi de capitules","Apogame"
