"accepted_taxa","original_taxa_FlorealData","Flower.color_FlorealData","Lifeform_FlorealData","Plant.height_cm_FlorealData"
"Chenopodiastrum hybridum",NA,NA,NA,NA
"Chenopodiastrum murale",NA,NA,NA,NA
"Chenopodium","Chenopodium","","Autre",NA
"Chenopodium album","Chenopodium album","Blanc","Autre",82.5
"Chenopodium album album","Chenopodium album","Blanc","Autre",82.5
"Chenopodium berlandieri",NA,NA,NA,NA
"Chenopodium betaceum",NA,NA,NA,NA
"Chenopodium desiccatum leptophylloides",NA,NA,NA,NA
"Chenopodium ficifolium",NA,NA,NA,NA
"Chenopodium hybridum",NA,NA,NA,NA
"Chenopodium murale",NA,NA,NA,NA
"Chenopodium opulifolium",NA,NA,NA,NA
"Chenopodium rubrum",NA,NA,NA,NA
"Chenopodium vulvaria",NA,NA,NA,NA
"Cherleria laricifolia",NA,NA,NA,NA
"Chondrilla juncea",NA,NA,NA,NA
"Chrozophora tinctoria",NA,NA,NA,NA
"Chrysanthemum",NA,NA,NA,NA
"Chrysanthemum segetum",NA,NA,NA,NA
"Chrysojasminum fruticans",NA,NA,NA,NA
"Cicer arietinum",NA,NA,NA,NA
"Cichorium","Cichorium intybus","Violet","Autre",70
"Cichorium calvum",NA,NA,NA,NA
"Cichorium endivia",NA,NA,NA,NA
"Cichorium intybus","Cichorium intybus","Violet","Autre",70
"Cichorium intybus intybus","Cichorium intybus","Violet","Autre",70
"Cicuta virosa",NA,NA,NA,NA
"Circaea",NA,NA,NA,NA
"Cirsium","Cirsium","","Autre",NA
"Cirsium arvense","Cirsium arvense","Rose","Autre",90
"Cirsium arvense alpestre","Cirsium arvense","Rose","Autre",90
"Cirsium arvense arvense","Cirsium arvense","Rose","Autre",90
"Cirsium dissectum","Cirsium dissectum","Rose","Autre",80
"Cirsium eriophorum","Cirsium eriophorum","Rose","Autre",100
"Cirsium erisithales",NA,NA,NA,NA
"Cirsium ferox",NA,NA,NA,NA
"Cirsium helenioides",NA,NA,NA,NA
"Cirsium lanceolatum",NA,NA,NA,NA
"Cirsium oleraceum",NA,NA,NA,NA
"Cirsium palustre","Cirsium palustre","Rose","Autre",100
"Cirsium spinosissimum",NA,NA,NA,NA
"Cirsium tuberosum","Cirsium tuberosum","Rose","Autre",60
"Cirsium vulgare","Cirsium vulgare","Rose","Autre",50
"Cirsium vulgare crinitum","Cirsium vulgare","Rose","Autre",50
"Cirsium vulgare vulgare","Cirsium vulgare","Rose","Autre",50
"Cistus albidus",NA,NA,NA,NA
"Cistus monspeliensis",NA,NA,NA,NA
"Cistus salviifolius",NA,NA,NA,NA
"Cladanthus mixtus",NA,NA,NA,NA
"Clematis","Clematis vitalba","Blanc","Ligneux",100
"Clematis cirrhosa",NA,NA,NA,NA
"Clematis flammula",NA,NA,NA,NA
"Clematis vitalba","Clematis vitalba","Blanc","Ligneux",100
"Clematis viticella",NA,NA,NA,NA
"Clinopodium","Clinopodium acinos_Clinopodium nepeta ascendens_Clinopodium vulgare","Blanc_Rose","Autre",35.8333333333333
"Clinopodium acinos","Clinopodium acinos","Blanc","Autre",12.5
"Clinopodium menthifolium menthifolium",NA,NA,NA,NA
"Clinopodium nepeta",NA,NA,NA,NA
"Clinopodium nepeta ascendens","Clinopodium nepeta ascendens","Rose","Autre",50
"Clinopodium vulgare","Clinopodium vulgare","Rose","Autre",45
"Cochlearia",NA,NA,NA,NA
"Coincya monensis cheiranthos",NA,NA,NA,NA
"Coincya monensis cheiranthos",NA,NA,NA,NA
"Colchicum autumnale","Colchicum autumnale","Rose","Autre",20
"Coleostephus myconis",NA,NA,NA,NA
"Commelina",NA,NA,NA,NA
"Commelina communis",NA,NA,NA,NA
"Conium",NA,NA,NA,NA
"Conium maculatum",NA,NA,NA,NA
"Conopodium majus","Conopodium majus","Blanc","Autre",50
"Conringia orientalis",NA,NA,NA,NA
"Convolvulus","Convolvulus arvensis","Blanc","Autre",60
"Convolvulus althaeoides",NA,NA,NA,NA
"Convolvulus arvensis","Convolvulus arvensis","Blanc","Autre",60
"Convolvulus cantabrica",NA,NA,NA,NA
"Convolvulus soldanella",NA,NA,NA,NA
"Conyza",NA,NA,NA,NA
"Conyza sumatrensis",NA,NA,NA,NA
"Conyzigeron",NA,NA,NA,NA
"Coriandrum sativum",NA,NA,NA,NA
"Coris monspeliensis",NA,NA,NA,NA
"Corispermum nitidum",NA,NA,NA,NA
"Cornus","Cornus sanguinea","Blanc","Autre",100
"Cornus alba",NA,NA,NA,NA
"Cornus mas",NA,NA,NA,NA
"Cornus sanguinea","Cornus sanguinea","Blanc","Autre",100
"Cornus sanguinea sanguinea","Cornus sanguinea","Blanc","Autre",100
"Coronilla",NA,NA,NA,NA
"Coronilla scorpioides",NA,NA,NA,NA
"Coronilla vaginalis",NA,NA,NA,NA
"Coronilla varia",NA,NA,NA,NA
"Corrigiola litoralis",NA,NA,NA,NA
"Corylus","Corylus avellana","Jaune","Autre",100
"Corylus avellana","Corylus avellana","Jaune","Autre",100
"Cosmos",NA,NA,NA,NA
"Cosmos bipinnatus",NA,NA,NA,NA
"Cota altissima",NA,NA,NA,NA
"Cota austriaca",NA,NA,NA,NA
"Cota segetalis",NA,NA,NA,NA
"Cota tinctoria",NA,NA,NA,NA
"Cota tinctoria australis",NA,NA,NA,NA
"Crambe hispanica abyssinica",NA,NA,NA,NA
"Crambe hispanica abyssinica",NA,NA,NA,NA
"Crassula tillaea",NA,NA,NA,NA
"Crataegus","Crataegus laevigata_Crataegus monogyna","Blanc","Autre_Ligneux",100
"Crataegus kyrtostyla domicensis",NA,NA,NA,NA
"Crataegus laevigata","Crataegus laevigata","Blanc","Autre",100
"Crataegus monogyna","Crataegus monogyna","Blanc","Ligneux",100
"Crepis","Crepis","","Autre",NA
"Crepis bellidifolia",NA,NA,NA,NA
"Crepis biennis","Crepis biennis","Jaune","Autre",90
"Crepis bursifolia",NA,NA,NA,NA
"Crepis capillaris","Crepis capillaris","Jaune","Autre",55
"Crepis foetida",NA,NA,NA,NA
"Crepis foetida foetida",NA,NA,NA,NA
"Crepis foetida rhoeadifolia","Crepis foetida rhoeadifolia","","Autre",45
"Crepis leontodontoides",NA,NA,NA,NA
"Crepis micrantha",NA,NA,NA,NA
"Crepis mollis",NA,NA,NA,NA
"Crepis neglecta",NA,NA,NA,NA
"Crepis neglecta corymbosa",NA,NA,NA,NA
"Crepis pulchra",NA,NA,NA,NA
"Crepis pygmaea",NA,NA,NA,NA
"Crepis rhoeadifolia",NA,NA,NA,NA
"Crepis rubra",NA,NA,NA,NA
"Crepis sancta",NA,NA,NA,NA
"Crepis sancta nemausensis","Crepis sancta nemausensis","Jaune","Autre",22.5
"Crepis setosa",NA,NA,NA,NA
"Crepis tectorum",NA,NA,NA,NA
"Crepis vesicaria",NA,NA,NA,NA
"Crepis vesicaria taraxacifolia","Crepis vesicaria taraxacifolia","Jaune","Autre",45
"Cruciata","Cruciata glabra_Cruciata laevipes","Jaune","Autre",28.75
"Cruciata glabra","Cruciata glabra","Jaune","Autre",20
"Cruciata laevipes","Cruciata laevipes","Jaune","Autre",37.5
"Cucurbita",NA,NA,NA,NA
"Cucurbita pepo",NA,NA,NA,NA
"Cullen americanum",NA,NA,NA,NA
"Cupressus",NA,NA,NA,NA
"Cuscuta","Cuscuta","","Autre",NA
"Cuscuta campestris",NA,NA,NA,NA
"Cuscuta epilinum",NA,NA,NA,NA
"Cuscuta monogyna",NA,NA,NA,NA
"Cydonia oblonga",NA,NA,NA,NA
"Cymbalaria muralis",NA,NA,NA,NA
"Cynanchica aristata",NA,NA,NA,NA
"Cynanchica pyrenaica cynanchica","Asperula cynanchica","Rose","Autre",35
"Cynanchum acutum",NA,NA,NA,NA
"Cynara",NA,NA,NA,NA
"Cynara cardunculus",NA,NA,NA,NA
"Cynara scolymus",NA,NA,NA,NA
"Cynodon","Cynodon dactylon","Vert","Graminées",NA
"Cynodon dactylon","Cynodon dactylon","Vert","Graminées",NA
"Cynoglossum cheirifolium",NA,NA,NA,NA
"Cynoglossum creticum",NA,NA,NA,NA
"Cynoglossum officinale",NA,NA,NA,NA
"Cynosurus cristatus","Cynosurus cristatus","Vert","Graminées",NA
"Cynosurus echinatus",NA,NA,NA,NA
"Cyperus","Cyperus longus","Marron","Cyperaceae",100
"Cyperus difformis",NA,NA,NA,NA
"Cyperus eragrostis",NA,NA,NA,NA
"Cyperus esculentus",NA,NA,NA,NA
"Cyperus flavidus",NA,NA,NA,NA
"Cyperus fuscus",NA,NA,NA,NA
"Cyperus longus","Cyperus longus","Marron","Cyperaceae",100
"Cyperus rotundus",NA,NA,NA,NA
"Cytisus scoparius","Cytisus scoparius","Jaune","Légumineuses",12.5
"Dactylis","Dactylis glomerata glomerata","Vert","Graminées",NA
"Dactylis glomerata",NA,NA,NA,NA
"Dactylis glomerata glomerata","Dactylis glomerata glomerata","Vert","Graminées",NA
"Dactylis glomerata lobata",NA,NA,NA,NA
"Dactylis glomerata oceanica",NA,NA,NA,NA
"Dasypyrum villosum",NA,NA,NA,NA
"Datura stramonium",NA,NA,NA,NA
"Daucus","Daucus carota carota","Blanc","Autre",90
"Daucus carota",NA,NA,NA,NA
"Daucus carota carota","Daucus carota carota","Blanc","Autre",90
"Daucus crinitus",NA,NA,NA,NA
"Delphinium",NA,NA,NA,NA
"Delphinium ajacis",NA,NA,NA,NA
"Delphinium consolida",NA,NA,NA,NA
"Delphinium consolida consolida",NA,NA,NA,NA
"Delphinium halteratum",NA,NA,NA,NA
"Delphinium pubescens",NA,NA,NA,NA
"Delphinium verdunense",NA,NA,NA,NA
"Deschampsia cespitosa","Deschampsia cespitosa","Vert","Graminées",NA
"Deschampsia cespitosa cespitosa","Deschampsia cespitosa","Vert","Graminées",NA
"Descurainia sophia",NA,NA,NA,NA
"Dianthus","Dianthus armeria armeria_Dianthus carthusianorum","Rose","Autre",35
"Dianthus armeria","Dianthus armeria armeria","Rose","Autre",35
"Dianthus carthusianorum","Dianthus carthusianorum","Rose","Autre",35
"Dianthus carthusianorum carthusianorum","Dianthus carthusianorum","Rose","Autre",35
"Dianthus caryophyllus",NA,NA,NA,NA
"Dianthus deltoides",NA,NA,NA,NA
"Digitalis","Digitalis purpurea","Pourpre","Autre",100
"Digitalis grandiflora",NA,NA,NA,NA
"Digitalis purpurea","Digitalis purpurea","Pourpre","Autre",100
"Digitaria",NA,NA,NA,NA
"Digitaria ischaemum",NA,NA,NA,NA
"Digitaria sanguinalis",NA,NA,NA,NA
"Dimorphotheca sinuata",NA,NA,NA,NA
"Dioscorea communis","Dioscorea communis","Vert","Autre",100
"Diplotaxis",NA,NA,NA,NA
"Diplotaxis erucoides",NA,NA,NA,NA
"Diplotaxis muralis",NA,NA,NA,NA
"Diplotaxis tenuifolia",NA,NA,NA,NA
"Diplotaxis viminea",NA,NA,NA,NA
"Diplotaxis virgata",NA,NA,NA,NA
"Dipsacus","Dipsacus","","Autre",NA
"Dipsacus fullonum","Dipsacus fullonum","Rose","Autre",100
"Dipsacus sativus",NA,NA,NA,NA
"Dittrichia graveolens",NA,NA,NA,NA
"Dittrichia viscosa",NA,NA,NA,NA
"Draba","Draba","Blanc","Autre",NA
"Draba verna",NA,NA,NA,NA
"Draba verna verna",NA,NA,NA,NA
"Dryopteris","Dryopteris filix-mas","Vert","Autre",60
"Dryopteris filix-mas","Dryopteris filix-mas","Vert","Autre",60
"Duchesnea indica",NA,NA,NA,NA
"Dysphania ambrosioides",NA,NA,NA,NA
"Ecballium elaterium",NA,NA,NA,NA
"Echinaria capitata",NA,NA,NA,NA
"Echinochloa",NA,NA,NA,NA
"Echinochloa colona",NA,NA,NA,NA
"Echinochloa crus-galli",NA,NA,NA,NA
"Echinops ritro","Echinops ritro","Bleu","Autre",25
"Echium","Echium vulgare","Bleu","Autre",90
"Echium arenarium",NA,NA,NA,NA
"Echium asperrimum",NA,NA,NA,NA
"Echium italicum",NA,NA,NA,NA
"Echium plantagineum",NA,NA,NA,NA
"Echium vulgare","Echium vulgare","Bleu","Autre",90
"Elaeagnus angustifolia",NA,NA,NA,NA
"Eleocharis palustris","Eleocharis palustris","Marron","Cyperaceae",60
"Eleusine indica",NA,NA,NA,NA
"Elymus",NA,NA,NA,NA
"Elymus caninus",NA,NA,NA,NA
"Elymus pungens",NA,NA,NA,NA
"Elymus pungens campestris",NA,NA,NA,NA
"Elymus pungens campestris",NA,NA,NA,NA
"Elymus repens",NA,NA,NA,NA
"Elymus trachycaulus",NA,NA,NA,NA
"Elytrigia intermedia intermedia",NA,NA,NA,NA
"Elytrigia intermedia trichophora",NA,NA,NA,NA
"Elytrigia repens repens","Elytrigia repens repens","Vert","Graminées",NA
"Epilobium","Epilobium","Rose","Autre",NA
"Epilobium angustifolium",NA,NA,NA,NA
"Epilobium ciliatum",NA,NA,NA,NA
"Epilobium collinum",NA,NA,NA,NA
"Epilobium fleischeri",NA,NA,NA,NA
"Epilobium hirsutum","Epilobium hirsutum","Rose","Autre",100
"Epilobium lanceolatum",NA,NA,NA,NA
"Epilobium montanum",NA,NA,NA,NA
"Epilobium obscurum",NA,NA,NA,NA
"Epilobium palustre",NA,NA,NA,NA
"Epilobium parviflorum","Epilobium parviflorum","Rose","Autre",85
"Epilobium roseum",NA,NA,NA,NA
"Epilobium tetragonum","Epilobium tetragonum","Rose","Autre",80
"Epilobium tetragonum lamyi","Epilobium tetragonum","Rose","Autre",80
"Epilobium tetragonum tetragonum","Epilobium tetragonum","Rose","Autre",80
"Epilobium x intersitum",NA,NA,NA,NA
"Epipactis",NA,NA,NA,NA
"Epipactis helleborine",NA,NA,NA,NA
"Equisetum","Equisetum arvense_Equisetum palustre_Equisetum telmateia","Blanc_Marron","Autre",45.8333333333333
"Equisetum arvense","Equisetum arvense","Marron","Autre",60
"Equisetum palustre","Equisetum palustre","Marron","Autre",50
"Equisetum pratense",NA,NA,NA,NA
"Equisetum ramosissimum",NA,NA,NA,NA
"Equisetum ramosissimum ramosissimum",NA,NA,NA,NA
"Equisetum sylvaticum",NA,NA,NA,NA
"Equisetum telmateia","Equisetum telmateia","Blanc","Autre",27.5
"Eragrostis barrelieri",NA,NA,NA,NA
"Eragrostis cilianensis",NA,NA,NA,NA
"Eragrostis minor",NA,NA,NA,NA
"Eragrostis pilosa",NA,NA,NA,NA
"Erigeron","Erigeron annuus_Erigeron canadensis","Blanc","Autre",90
"Erigeron acer",NA,NA,NA,NA
"Erigeron acris",NA,NA,NA,NA
"Erigeron annuus","Erigeron annuus","Blanc","Autre",100
"Erigeron annuus annuus","Erigeron annuus","Blanc","Autre",100
"Erigeron bonariensis",NA,NA,NA,NA
"Erigeron canadensis","Erigeron canadensis","","Autre",80
"Erigeron floribundus",NA,NA,NA,NA
"Erigeron glabellus",NA,NA,NA,NA
"Erigeron strigosus",NA,NA,NA,NA
"Erigeron sumatrensis",NA,NA,NA,NA
"Erodium","Erodium","","Autre",NA
"Erodium chium",NA,NA,NA,NA
"Erodium ciconium",NA,NA,NA,NA
"Erodium cicutarium","Erodium cicutarium","Rose","Autre",32.5
"Erodium malacoides",NA,NA,NA,NA
"Erodium moschatum",NA,NA,NA,NA
"Eruca vesicaria",NA,NA,NA,NA
"Eruca vesicaria sativa","Eruca sativa","Blanc","Autre",45
"Erucastrum gallicum",NA,NA,NA,NA
"Erucastrum nasturtiifolium",NA,NA,NA,NA
"Eryngium","Eryngium campestre","Blanc","Autre",32.5
"Eryngium campestre","Eryngium campestre","Blanc","Autre",32.5
"Eryngium maritimum",NA,NA,NA,NA
"Erysimum",NA,NA,NA,NA
"Erysimum aurigeranum",NA,NA,NA,NA
"Erysimum cheiranthoides",NA,NA,NA,NA
"Erysimum repandum",NA,NA,NA,NA
"Erysimum virgatum",NA,NA,NA,NA
"Erysimum x cheiri",NA,NA,NA,NA
"Erythranthe moschata",NA,NA,NA,NA
"Eschscholzia californica",NA,NA,NA,NA
"Euonymus",NA,NA,NA,NA
"Euonymus europaeus",NA,NA,NA,NA
"Eupatorium cannabinum","Eupatorium cannabinum","Rose","Autre",100
"Euphorbia","Euphorbia","","Autre",NA
"Euphorbia amygdaloides","Euphorbia amygdaloides","Jaune","Autre",55
"Euphorbia chamaesyce",NA,NA,NA,NA
"Euphorbia characias",NA,NA,NA,NA
"Euphorbia cyparissias","Euphorbia cyparissias","Jaune","Autre",40
"Euphorbia esula",NA,NA,NA,NA
"Euphorbia esula esula",NA,NA,NA,NA
"Euphorbia exigua","Euphorbia exigua","Jaune","Autre",12.5
"Euphorbia falcata",NA,NA,NA,NA
"Euphorbia flavicoma","Euphorbia flavicoma","Jaune","Autre",10
"Euphorbia helioscopia","Euphorbia helioscopia","","Autre",27.5
"Euphorbia helioscopia helioscopia","Euphorbia helioscopia","","Autre",27.5
"Euphorbia hirsuta",NA,NA,NA,NA
"Euphorbia humifusa",NA,NA,NA,NA
"Euphorbia lathyris",NA,NA,NA,NA
"Euphorbia maculata",NA,NA,NA,NA
"Euphorbia nicaeensis",NA,NA,NA,NA
"Euphorbia nutans",NA,NA,NA,NA
"Euphorbia paralias",NA,NA,NA,NA
"Euphorbia peplis",NA,NA,NA,NA
"Euphorbia peplus",NA,NA,NA,NA
"Euphorbia platyphyllos",NA,NA,NA,NA
"Euphorbia prostrata",NA,NA,NA,NA
"Euphorbia segetalis",NA,NA,NA,NA
"Euphorbia serrata",NA,NA,NA,NA
"Euphorbia stricta","Euphorbia stricta","Vert","Autre",17.5
"Euphorbia sulcata",NA,NA,NA,NA
"Euphorbia taurinensis",NA,NA,NA,NA
"Euphorbia terracina",NA,NA,NA,NA
"Euphorbia tommasiniana",NA,NA,NA,NA
"Euphorbia verrucosa",NA,NA,NA,NA
"Euphrasia","Euphrasia","Blanc","Autre",NA
"Euphrasia nemorosa",NA,NA,NA,NA
"Euphrasia officinalis","Euphrasia officinalis","Blanc","Autre",17.5
"Fabaceae",NA,NA,NA,NA
"Fagopyrum esculentum",NA,NA,NA,NA
"Fagopyrum tataricum",NA,NA,NA,NA
"Fagus",NA,NA,NA,NA
"Fagus sylvatica",NA,NA,NA,NA
"Falcaria vulgaris",NA,NA,NA,NA
"Fallopia",NA,NA,NA,NA
"Fallopia baldschuanica",NA,NA,NA,NA
"Fallopia convolvulus",NA,NA,NA,NA
"Fallopia dumetorum",NA,NA,NA,NA
"Fatsia japonica",NA,NA,NA,NA
"Festuca","Festuca","","Graminées",NA
"Festuca ambigua",NA,NA,NA,NA
"Festuca arundinacea arundinacea",NA,NA,NA,NA
"Festuca bromoides","Vulpia bromoides","Vert","Graminées",NA
"Festuca cinerea",NA,NA,NA,NA
"Festuca fasciculata",NA,NA,NA,NA
"Festuca filiformis",NA,NA,NA,NA
"Festuca geniculata",NA,NA,NA,NA
"Festuca guestfalica",NA,NA,NA,NA
"Festuca heterophylla",NA,NA,NA,NA
"Festuca incurva",NA,NA,NA,NA
"Festuca lachenalii",NA,NA,NA,NA
"Festuca lemanii",NA,NA,NA,NA
"Festuca ligustica",NA,NA,NA,NA
"Festuca maritima",NA,NA,NA,NA
"Festuca muralis",NA,NA,NA,NA
"Festuca myuros","Vulpia myuros","Vert","Graminées",NA
"Festuca ovina","Festuca ovina","Vert","Graminées",NA
"Festuca rubra","Festuca rubra rubra","Vert","Graminées",NA
"Festuca rupicola",NA,NA,NA,NA
"Festuca valesiaca",NA,NA,NA,NA
"Ficaria verna ficariiformis",NA,NA,NA,NA
"Ficus carica",NA,NA,NA,NA
"Filago",NA,NA,NA,NA
"Filago arvensis",NA,NA,NA,NA
"Filago eriocephala",NA,NA,NA,NA
"Filago gallica",NA,NA,NA,NA
"Filago germanica",NA,NA,NA,NA
"Filago lutescens",NA,NA,NA,NA
"Filago minima",NA,NA,NA,NA
"Filago pyramidata",NA,NA,NA,NA
"Filipendula","Filipendula ulmaria_Filipendula vulgaris","Blanc","Autre",80
"Filipendula ulmaria","Filipendula ulmaria","Blanc","Autre",100
"Filipendula vulgaris","Filipendula vulgaris","Blanc","Autre",60
"Foeniculum vulgare",NA,NA,NA,NA
"Fragaria","Fragaria vesca","Blanc","Autre",17.5
"Fragaria vesca","Fragaria vesca","Blanc","Autre",17.5
"Fragaria x ananassa",NA,NA,NA,NA
"Frangula alnus","Frangula alnus","Vert","Ligneux",100
"Fraxinus","Fraxinus excelsior","Marron","Ligneux",100
"Fraxinus angustifolia",NA,NA,NA,NA
"Fraxinus excelsior","Fraxinus excelsior","Marron","Ligneux",100
"Fraxinus ornus",NA,NA,NA,NA
"Fraxinus ornus ornus",NA,NA,NA,NA
"Fumana",NA,NA,NA,NA
"Fumana ericoides montana",NA,NA,NA,NA
"Fumaria",NA,NA,NA,NA
"Fumaria agraria",NA,NA,NA,NA
"Fumaria bastardii",NA,NA,NA,NA
"Fumaria capreolata",NA,NA,NA,NA
"Fumaria densiflora",NA,NA,NA,NA
"Fumaria gaillardotii",NA,NA,NA,NA
"Fumaria muralis",NA,NA,NA,NA
"Fumaria officinalis",NA,NA,NA,NA
"Fumaria officinalis wirtgenii",NA,NA,NA,NA
"Fumaria parviflora",NA,NA,NA,NA
"Fumaria rostellata",NA,NA,NA,NA
"Fumaria schleicheri",NA,NA,NA,NA
"Fumaria vaillantii",NA,NA,NA,NA
"Gagea minima",NA,NA,NA,NA
"Gagea pratensis",NA,NA,NA,NA
"Gagea villosa",NA,NA,NA,NA
"Galactites",NA,NA,NA,NA
"Galactites elegans",NA,NA,NA,NA
"Galactites tomentosa",NA,NA,NA,NA
"Galactites tomentosus",NA,NA,NA,NA
"Galatella sedifolia",NA,NA,NA,NA
"Galega officinalis","Galega officinalis","Violet","Autre",70
"Galega orientalis",NA,NA,NA,NA
"Galeopsis","Galeopsis tetrahit","Blanc","Autre",60
"Galeopsis angustifolia",NA,NA,NA,NA
"Galeopsis bifida",NA,NA,NA,NA
"Galeopsis ladanum",NA,NA,NA,NA
"Galeopsis ladanum angustifolia",NA,NA,NA,NA
"Galeopsis pubescens",NA,NA,NA,NA
"Galeopsis segetum",NA,NA,NA,NA
"Galeopsis speciosa",NA,NA,NA,NA
"Galeopsis tetrahit","Galeopsis tetrahit","Blanc","Autre",60
"Galinsoga",NA,NA,NA,NA
"Galinsoga parviflora",NA,NA,NA,NA
"Galinsoga quadriradiata",NA,NA,NA,NA
"Galium","Galium","","Autre",NA
"Galium album","Galium album","Blanc","Autre",57.5
"Galium aparine","Galium aparine","Blanc","Autre",100
"Galium aparine aparine","Galium aparine","Blanc","Autre",100
"Galium cinereum",NA,NA,NA,NA
"Galium elongatum",NA,NA,NA,NA
"Galium lucidum",NA,NA,NA,NA
"Galium lucidum corrudifolium","Galium corrudifolium","Blanc","Autre",37.5
"Galium mollugo","Galium mollugo","Blanc","Autre",100
"Galium murale",NA,NA,NA,NA
"Galium odoratum",NA,NA,NA,NA
"Galium palustre","Galium palustre","Blanc","Autre",37.5
"Galium parisiense","Galium parisiense","Vert","Autre",22.5
"Galium pumilum","Galium pumilum","Blanc","Autre",22.5
"Galium rotundifolium",NA,NA,NA,NA
"Galium saxatile",NA,NA,NA,NA
"Galium spurium",NA,NA,NA,NA
"Galium spurium spurium",NA,NA,NA,NA
"Galium tricornutum",NA,NA,NA,NA
"Galium triflorum",NA,NA,NA,NA
"Galium uliginosum","Galium uliginosum","Blanc","Autre",55
"Galium verrucosum",NA,NA,NA,NA
"Galium verum",NA,NA,NA,NA
"Galium verum verum","Galium verum verum","Jaune","Autre",65
"Gamochaeta americana",NA,NA,NA,NA
"Gamochaeta antillana",NA,NA,NA,NA
"Gastridium ventricosum",NA,NA,NA,NA
"Gaudinia fragilis","Gaudinia fragilis","Vert","Graminées",NA
"Gemmabryum dichotomum",NA,NA,NA,NA
"Genista",NA,NA,NA,NA
"Genista scorpius",NA,NA,NA,NA
"Geraniaceae",NA,NA,NA,NA
"Geranium","Geranium","","Autre",NA
"Geranium berteroanum",NA,NA,NA,NA
"Geranium columbinum","Geranium columbinum","Rose","Autre",35
"Geranium dissectum","Geranium dissectum","Rose","Autre",35
"Geranium molle","Geranium molle","Rose","Autre",35
"Geranium palustre",NA,NA,NA,NA
"Geranium phaeum","Geranium phaeum","Bleu","Autre",50
"Geranium pratense",NA,NA,NA,NA
"Geranium purpureum",NA,NA,NA,NA
"Geranium pusillum",NA,NA,NA,NA
"Geranium pyrenaicum","Geranium pyrenaicum","Bleu","Autre",25
"Geranium robertianum","Geranium robertianum","Rose","Autre",35
"Geranium rotundifolium","Geranium rotundifolium","Rose","Autre",35
"Geranium sanguineum","Geranium sanguineum","Rouge","Autre",55
"Geropogon hybridus",NA,NA,NA,NA
"Geum","Geum urbanum","Jaune","Autre",60
"Geum rivale",NA,NA,NA,NA
"Geum urbanum","Geum urbanum","Jaune","Autre",60
"Gladiolus",NA,NA,NA,NA
"Gladiolus illyricus",NA,NA,NA,NA
"Gladiolus italicus",NA,NA,NA,NA
"Glaucium corniculatum",NA,NA,NA,NA
"Glebionis coronaria",NA,NA,NA,NA
"Glebionis segetum",NA,NA,NA,NA
"Glechoma hederacea","Glechoma hederacea","Bleu","Autre",20
"Glechoma hirsuta",NA,NA,NA,NA
"Gleditsia triacanthos",NA,NA,NA,NA
"Globularia bisnagarica",NA,NA,NA,NA
"Glyceria","Glyceria fluitans","Vert","Graminées",NA
"Glyceria declinata",NA,NA,NA,NA
"Glyceria fluitans","Glyceria fluitans","Vert","Graminées",NA
"Glyceria maxima",NA,NA,NA,NA
"Glycine",NA,NA,NA,NA
"Glycine max",NA,NA,NA,NA
"Glycyrrhiza glabra",NA,NA,NA,NA
"Gnaphalium",NA,NA,NA,NA
"Gnaphalium sylvaticum",NA,NA,NA,NA
"Gnaphalium uliginosum",NA,NA,NA,NA
"Guizotia abyssinica",NA,NA,NA,NA
"Gypsophila repens",NA,NA,NA,NA
"Gypsophila vaccaria",NA,NA,NA,NA
"Hedera","Hedera helix","","Autre",100
"Hedera helix","Hedera helix","","Autre",100
"Hedypnois rhagadioloides",NA,NA,NA,NA
"Helianthemum apenninum","Helianthemum apenninum","Blanc","Autre",27.5
"Helianthemum hirtum",NA,NA,NA,NA
"Helianthemum salicifolium",NA,NA,NA,NA
"Helianthus",NA,NA,NA,NA
"Helianthus annuus",NA,NA,NA,NA
"Helianthus niveus canescens",NA,NA,NA,NA
"Helianthus tuberosus",NA,NA,NA,NA
"Helichrysum arenarium",NA,NA,NA,NA
"Helichrysum italicum",NA,NA,NA,NA
"Helictochloa","Helictochloa pratensis","Vert","Graminées",NA
"Helictochloa bromoides",NA,NA,NA,NA
"Helictochloa pratensis","Helictochloa pratensis","Vert","Graminées",NA
"Heliotropium europaeum","Heliotropium europaeum","Blanc","Autre",45
"Helleborus foetidus","Helleborus foetidus","Vert","Autre",55
"Helleborus purpurascens",NA,NA,NA,NA
"Helminthotheca",NA,NA,NA,NA
"Helminthotheca comosa",NA,NA,NA,NA
"Helminthotheca echioides",NA,NA,NA,NA
"Helosciadium nodiflorum",NA,NA,NA,NA
"Heracleum","Heracleum","Blanc","Autre",NA
"Heracleum mantegazzianum",NA,NA,NA,NA
"Heracleum sibiricum","Heracleum sibiricum","Jaune","Autre",100
"Heracleum sphondylium","Heracleum sphondylium","Blanc","Autre",100
"Heracleum sphondylium sphondylium","Heracleum sphondylium","Blanc","Autre",100
"Herniaria",NA,NA,NA,NA
"Herniaria glabra",NA,NA,NA,NA
"Herniaria hirsuta",NA,NA,NA,NA
"Herniaria hirsuta cinerea",NA,NA,NA,NA
"Herniaria hirsuta cinerea",NA,NA,NA,NA
"Herniaria lusitanica",NA,NA,NA,NA
"Hibiscus trionum",NA,NA,NA,NA
"Hieracium","Hieracium","Jaune","Autre",NA
"Hieracium amplexicaule",NA,NA,NA,NA
"Hieracium cymosum",NA,NA,NA,NA
"Hieracium lachenalii",NA,NA,NA,NA
