"accepted_taxa","original_taxa_FlorealData","Flower.color_FlorealData","Lifeform_FlorealData","Plant.height_cm_FlorealData"
"Amaranthus powellii bouchonii",NA,NA,NA,NA
"Amaranthus retroflexus",NA,NA,NA,NA
"Amaranthus spinosus",NA,NA,NA,NA
"Amaranthus tricolor",NA,NA,NA,NA
"Amaranthus viridis",NA,NA,NA,NA
"Ambrosia artemisiifolia",NA,NA,NA,NA
"Ambrosia psilostachya",NA,NA,NA,NA
"Ambrosia trifida",NA,NA,NA,NA
"Ammi",NA,NA,NA,NA
"Ammi majus",NA,NA,NA,NA
"Ammi majus majus",NA,NA,NA,NA
"Ammoides pusilla",NA,NA,NA,NA
"Anacamptis morio","Anacamptis morio","Rose","Autre",25
"Anacamptis pyramidalis","Anacamptis pyramidalis","Rose","Autre",40
"Anacyclus clavatus",NA,NA,NA,NA
"Anagallis arvensis caerulea",NA,NA,NA,NA
"Anagyris",NA,NA,NA,NA
"Anchusa",NA,NA,NA,NA
"Anchusa arvensis",NA,NA,NA,NA
"Anchusa azurea",NA,NA,NA,NA
"Anchusa hybrida",NA,NA,NA,NA
"Anchusa officinalis",NA,NA,NA,NA
"Anchusa puechii",NA,NA,NA,NA
"Anchusa undulata hybrida",NA,NA,NA,NA
"Andrachne telephioides",NA,NA,NA,NA
"Androsace elongata",NA,NA,NA,NA
"Androsace maxima",NA,NA,NA,NA
"Andryala",NA,NA,NA,NA
"Andryala integrifolia",NA,NA,NA,NA
"Andryala rothia",NA,NA,NA,NA
"Anemone coronaria",NA,NA,NA,NA
"Anemone hortensis",NA,NA,NA,NA
"Anemonoides nemorosa","Anemone nemorosa","Blanc","Autre",15
"Anethum graveolens",NA,NA,NA,NA
"Angelica archangelica",NA,NA,NA,NA
"Angelica sylvestris","Angelica sylvestris","Blanc","Autre",100
"Antennaria dioica",NA,NA,NA,NA
"Anthemis","Anthemis","Blanc","Autre",NA
"Anthemis arvensis","Anthemis arvensis","Blanc","Autre",30
"Anthemis arvensis arvensis","Anthemis arvensis","Blanc","Autre",30
"Anthemis arvensis incrassata","Anthemis arvensis","Blanc","Autre",30
"Anthemis cotula",NA,NA,NA,NA
"Anthemis maritima",NA,NA,NA,NA
"Anthemis ruthenica",NA,NA,NA,NA
"Anthoxanthum","Anthoxanthum odoratum","Vert","Graminées",NA
"Anthoxanthum aristatum",NA,NA,NA,NA
"Anthoxanthum odoratum","Anthoxanthum odoratum","Vert","Graminées",NA
"Anthriscus","Anthriscus sylvestris","Blanc","Autre",100
"Anthriscus caucalis",NA,NA,NA,NA
"Anthriscus cerefolium",NA,NA,NA,NA
"Anthriscus sylvestris","Anthriscus sylvestris","Blanc","Autre",100
"Anthriscus sylvestris sylvestris","Anthriscus sylvestris","Blanc","Autre",100
"Anthyllis circinnata",NA,NA,NA,NA
"Anthyllis vulneraria","Anthyllis vulneraria","Blanc","Légumineuses",27.5
"Anthyllis vulneraria vulneraria","Anthyllis vulneraria","Blanc","Légumineuses",27.5
"Antirrhinum majus",NA,NA,NA,NA
"Apera interrupta",NA,NA,NA,NA
"Apera spica-venti",NA,NA,NA,NA
"Apera spica-venti spica-venti",NA,NA,NA,NA
"Aphanes arvensis","Aphanes arvensis","Vert","Autre",11
"Aphyllanthes",NA,NA,NA,NA
"Aphyllanthes monspeliensis",NA,NA,NA,NA
"Apiaceae",NA,NA,NA,NA
"Apium",NA,NA,NA,NA
"Apium graveolens",NA,NA,NA,NA
"Aquilegia","Aquilegia vulgaris","","Autre",50
"Aquilegia vulgaris","Aquilegia vulgaris","","Autre",50
"Arabidopsis",NA,NA,NA,NA
"Arabidopsis arenosa",NA,NA,NA,NA
"Arabidopsis arenosa arenosa",NA,NA,NA,NA
"Arabidopsis halleri",NA,NA,NA,NA
"Arabidopsis thaliana",NA,NA,NA,NA
"Arabis","Arabis hirsuta","Blanc","Autre",45
"Arabis hirsuta","Arabis hirsuta","Blanc","Autre",45
"Arabis sagittata",NA,NA,NA,NA
"Arctium","Arctium lappa_Arctium minus","Rose","Autre",100
"Arctium lappa","Arctium lappa","Rose","Autre",100
"Arctium minus","Arctium minus","Rose","Autre",100
"Arctium tomentosum",NA,NA,NA,NA
"Aremonia agrimonoides",NA,NA,NA,NA
"Arenaria","Arenaria serpyllifolia","Blanc","Autre",21.5
"Arenaria hispanica",NA,NA,NA,NA
"Arenaria serpyllifolia","Arenaria serpyllifolia","Blanc","Autre",21.5
"Arenaria serpyllifolia leptoclados","Arenaria serpyllifolia","Blanc","Autre",21.5
"Argentina anserina",NA,NA,NA,NA
"Argentina anserina anserina",NA,NA,NA,NA
"Aria edulis","Sorbus aria","Blanc","Ligneux",100
"Arisarum simorrhinum",NA,NA,NA,NA
"Arisarum vulgare",NA,NA,NA,NA
"Aristolochia clematitis",NA,NA,NA,NA
"Armoracia rusticana",NA,NA,NA,NA
"Arnoseris minima",NA,NA,NA,NA
"Arrhenatherum","Arrhenatherum elatius","Vert","Graminées",NA
"Arrhenatherum elatius","Arrhenatherum elatius","Vert","Graminées",NA
"Arrhenatherum elatius bulbosum","Arrhenatherum elatius","Vert","Graminées",NA
"Arrhenatherum elatius elatius","Arrhenatherum elatius","Vert","Graminées",NA
"Artemisia","Artemisia vulgaris","Blanc","Autre",100
"Artemisia abrotanum",NA,NA,NA,NA
"Artemisia absinthium",NA,NA,NA,NA
"Artemisia annua",NA,NA,NA,NA
"Artemisia herba-alba",NA,NA,NA,NA
"Artemisia verlotiorum",NA,NA,NA,NA
"Artemisia vulgaris","Artemisia vulgaris","Blanc","Autre",100
"Arum","Arum maculatum","Vert","Autre",35
"Arum italicum",NA,NA,NA,NA
"Arum maculatum","Arum maculatum","Vert","Autre",35
"Arundo",NA,NA,NA,NA
"Arundo donax",NA,NA,NA,NA
"Arundo plinii",NA,NA,NA,NA
"Asclepias syriaca",NA,NA,NA,NA
"Asparagaceae",NA,NA,NA,NA
"Asparagus",NA,NA,NA,NA
"Asparagus acutifolius",NA,NA,NA,NA
"Asparagus officinalis",NA,NA,NA,NA
"Asparagus tenuifolius",NA,NA,NA,NA
"Asperugo procumbens",NA,NA,NA,NA
"Asperula",NA,NA,NA,NA
"Asperula arvensis",NA,NA,NA,NA
"Asphodelus","Asphodelus albus","Blanc","Autre",100
"Asphodelus ramosus","Asphodelus albus","Blanc","Autre",100
"Aster",NA,NA,NA,NA
"Aster squamatus",NA,NA,NA,NA
"Aster subulatus",NA,NA,NA,NA
"Asteraceae",NA,NA,NA,NA
"Astragalus","Astragalus glycyphyllos","Jaune","Légumineuses",75
"Astragalus alopecurus",NA,NA,NA,NA
"Astragalus boeticus",NA,NA,NA,NA
"Astragalus cicer",NA,NA,NA,NA
"Astragalus glycyphyllos","Astragalus glycyphyllos","Jaune","Légumineuses",75
"Astragalus hamosus",NA,NA,NA,NA
"Astragalus sesameus",NA,NA,NA,NA
"Atocion armeria",NA,NA,NA,NA
"Atriplex",NA,NA,NA,NA
"Atriplex glabriuscula",NA,NA,NA,NA
"Atriplex halimus",NA,NA,NA,NA
"Atriplex hortensis",NA,NA,NA,NA
"Atriplex littoralis",NA,NA,NA,NA
"Atriplex oblongifolia",NA,NA,NA,NA
"Atriplex patula",NA,NA,NA,NA
"Atriplex prostrata",NA,NA,NA,NA
"Atriplex prostrata calotheca",NA,NA,NA,NA
"Atriplex prostrata calotheca",NA,NA,NA,NA
"Atriplex sagittata",NA,NA,NA,NA
"Atriplex tatarica",NA,NA,NA,NA
"Avena","Avena","Vert","Graminées",NA
"Avena barbata","Avena barbata","Vert","Graminées",NA
"Avena fatua","Avena fatua","Vert","Graminées",NA
"Avena sativa",NA,NA,NA,NA
"Avena sativa sativa",NA,NA,NA,NA
"Avena sterilis",NA,NA,NA,NA
"Avena sterilis ludoviciana",NA,NA,NA,NA
"Avena strigosa",NA,NA,NA,NA
"Avenella flexuosa","Avenella flexuosa","Vert","Graminées",NA
"Avenula pubescens","Avenula pubescens","Blanc","Graminées",NA
"Ballota nigra",NA,NA,NA,NA
"Barbarea",NA,NA,NA,NA
"Barbarea intermedia",NA,NA,NA,NA
"Barbarea stricta",NA,NA,NA,NA
"Barbarea verna",NA,NA,NA,NA
"Barbarea vulgaris",NA,NA,NA,NA
"Bassia",NA,NA,NA,NA
"Bassia scoparia",NA,NA,NA,NA
"Bellardia trixago",NA,NA,NA,NA
"Bellevalia trifoliata",NA,NA,NA,NA
"Bellis","Bellis perennis","Blanc","Autre",12
"Bellis annua",NA,NA,NA,NA
"Bellis pappulosa",NA,NA,NA,NA
"Bellis perennis","Bellis perennis","Blanc","Autre",12
"Bellis sylvestris",NA,NA,NA,NA
"Berberis vulgaris",NA,NA,NA,NA
"Berteroa incana",NA,NA,NA,NA
"Berula erecta",NA,NA,NA,NA
"Beta",NA,NA,NA,NA
"Beta vulgaris",NA,NA,NA,NA
"Betonica alopecuros",NA,NA,NA,NA
"Betula","Betula pendula","","Ligneux",100
"Betula pendula","Betula pendula","","Ligneux",100
"Betula pubescens",NA,NA,NA,NA
"Bidens","Bidens frondosa","Jaune","Autre",90
"Bidens bipinnata",NA,NA,NA,NA
"Bidens frondosa","Bidens frondosa","Jaune","Autre",90
"Bidens subalternans",NA,NA,NA,NA
"Bidens tripartita",NA,NA,NA,NA
"Bifora radians",NA,NA,NA,NA
"Bifora testiculata",NA,NA,NA,NA
"Biscutella auriculata",NA,NA,NA,NA
"Biserrula pelecinus",NA,NA,NA,NA
"Bituminaria bituminosa",NA,NA,NA,NA
"Blackstonia perfoliata",NA,NA,NA,NA
"Blackstonia perfoliata perfoliata",NA,NA,NA,NA
"Bolboschoenus maritimus",NA,NA,NA,NA
"Bombycilaena erecta","Bombycilaena erecta","Blanc","Autre",20
"Boraginaceae",NA,NA,NA,NA
"Borago officinalis",NA,NA,NA,NA
"Bothriochloa barbinodis",NA,NA,NA,NA
"Bothriochloa ischaemum",NA,NA,NA,NA
"Brachypodium","Brachypodium rupestre","Vert","Graminées",NA
"Brachypodium distachyon",NA,NA,NA,NA
"Brachypodium phoenicoides",NA,NA,NA,NA
"Brachypodium pinnatum","Brachypodium rupestre","Vert","Graminées",NA
"Brachypodium retusum",NA,NA,NA,NA
"Brachypodium sylvaticum",NA,NA,NA,NA
"Brachythecium rutabulum",NA,NA,NA,NA
"Brassica","Brassica","","Autre",NA
"Brassica barrelieri",NA,NA,NA,NA
"Brassica juncea",NA,NA,NA,NA
"Brassica napus",NA,NA,NA,NA
"Brassica napus napus",NA,NA,NA,NA
"Brassica oleracea",NA,NA,NA,NA
"Brassica rapa",NA,NA,NA,NA
"Brassica tournefortii",NA,NA,NA,NA
"Brassicaceae",NA,NA,NA,NA
"Briza","Briza media_Briza minor","Rose_Vert","Graminées",NA
"Briza maxima",NA,NA,NA,NA
"Briza media","Briza media","Rose","Graminées",NA
"Briza minor","Briza minor","Vert","Graminées",NA
"Bromeliaceae",NA,NA,NA,NA
"Bromus","Bromus","Vert","Graminées",NA
"Bromus arvensis",NA,NA,NA,NA
"Bromus arvensis arvensis",NA,NA,NA,NA
"Bromus benekenii",NA,NA,NA,NA
"Bromus catharticus",NA,NA,NA,NA
"Bromus commutatus","Bromus commutatus commutatus","Vert","Graminées",NA
"Bromus commutatus decipiens","Bromus commutatus commutatus","Vert","Graminées",NA
"Bromus diandrus",NA,NA,NA,NA
