"original_taxa","accepted_taxref","taxref_key","taxref_rank","taxref_full_name","taxref_class","taxref_order","taxref_family","taxref_status","G1_INPN","G2_INPN","G3_INPN","habitat","accepted_gbif","gbif_key","gbif_rank","gbif_full_name","gbif_phylum","gbif_order","gbif_family","gbif_status","accepted_taxa","full_name","accepted_rank","in_AT_VIN_SECBIVIT","in_AT_VINEDIVERS","in_BE_ANN_EXPLORE","in_DE_VIN_SECBIVIT","in_EU_HMETCALF","in_FR_ABY","in_FR_ALL_500_ENI","in_FR_ALL_LANGUEDOC","in_FR_ANN_37","in_FR_ANN_45","in_FR_ANN_BARR","in_FR_ANN_BIOVIGILANCE","in_FR_ANN_BOURGOGNE","in_FR_ANN_CASDAR","in_FR_ANN_DEEPIMPACT","in_FR_ANN_FENAY_GFPHD","in_FR_ANN_MP","in_FR_CASYS","in_FR_CBN","in_FR_OLI_GENTY","in_FR_SECBIVIT","in_FR_SUN_ENIVTH","in_FR_VIN_ALPES","in_FR_VIN_BIOVIGILANCE","in_FR_VIN_FLAVI","in_FR_VIN_GIGNAC","in_FR_VIN_HERAULT","in_FR_VIN_SAVM","in_FR_VINE_BDX","in_FR_VINE_CA33","in_RO_VIN_SECBIVIT","in_UK_ANN_Boundary_Margin_Verge"
"Aegilops","Aegilops",188834,"GN","Aegilops L., 1753","Equisetopsida","Poales","Poaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Aegilops",2703501,"GENUS","Aegilops L.","Tracheophyta","Poales","Poaceae","HIGHERRANK_ACCEPTED","Aegilops","Aegilops L., 1753","GENUS",0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Aegilops biuncialis","Aegilops biuncialis",80263,"ES","Aegilops biuncialis Vis., 1842","Equisetopsida","Poales","Poaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Aegilops biuncialis",5289796,"SPECIES","Aegilops biuncialis Vis.","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","Aegilops biuncialis","Aegilops biuncialis Vis., 1842","SPECIES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Aegilops cylindrica","Aegilops cylindrica",80270,"ES","Aegilops cylindrica Host, 1802","Equisetopsida","Poales","Poaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Aegilops cylindrica",5289783,"SPECIES","Aegilops cylindrica Host","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","Aegilops cylindrica","Aegilops cylindrica Host, 1802","SPECIES",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Aegilops geniculata","Aegilops geniculata",80278,"ES","Aegilops geniculata Roth, 1797","Equisetopsida","Poales","Poaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Aegilops geniculata",5289781,"SPECIES","Aegilops geniculata Roth","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","Aegilops geniculata","Aegilops geniculata Roth, 1797","SPECIES",0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0
"Aegilops neglecta","Aegilops neglecta",80288,"ES","Aegilops neglecta Req. ex Bertol., 1835","Equisetopsida","Poales","Poaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Aegilops neglecta",4138080,"SPECIES","Aegilops neglecta Req. ex Bertol.","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","Aegilops neglecta","Aegilops neglecta Req. ex Bertol., 1835","SPECIES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"Aegilops ovata","Aegilops geniculata",80278,"ES","Aegilops geniculata Roth, 1797","Equisetopsida","Poales","Poaceae","EXACT_SYNONYM","Trachéophytes","Angiospermes","Autres",3,"Aegilops geniculata",5289781,"SPECIES","Aegilops geniculata Roth","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","Aegilops geniculata","Aegilops geniculata Roth, 1797","SPECIES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aegilops triuncialis","Aegilops triuncialis",80302,"ES","Aegilops triuncialis L., 1753","Equisetopsida","Poales","Poaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Aegilops triuncialis",5289793,"SPECIES","Aegilops triuncialis L.","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","Aegilops triuncialis","Aegilops triuncialis L., 1753","SPECIES",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"Aegopodium podagraria","Aegopodium podagraria",80322,"ES","Aegopodium podagraria L., 1753","Equisetopsida","Apiales","Apiaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Aegopodium podagraria",3034620,"SPECIES","Aegopodium podagraria L.","Tracheophyta","Apiales","Apiaceae","EXACT_ACCEPTED","Aegopodium podagraria","Aegopodium podagraria L., 1753","SPECIES",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Aesculus hippocastanum","Aesculus hippocastanum",80334,"ES","Aesculus hippocastanum L., 1753","Equisetopsida","Sapindales","Sapindaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Aesculus hippocastanum",3189815,"SPECIES","Aesculus hippocastanum L.","Tracheophyta","Sapindales","Sapindaceae","EXACT_ACCEPTED","Aesculus hippocastanum","Aesculus hippocastanum L., 1753","SPECIES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Aethusa cynapium","Aethusa cynapium",80358,"ES","Aethusa cynapium L., 1753","Equisetopsida","Apiales","Apiaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Aethusa cynapium",5371825,"SPECIES","Aethusa cynapium L.","Tracheophyta","Apiales","Apiaceae","EXACT_ACCEPTED","Aethusa cynapium","Aethusa cynapium L., 1753","SPECIES",0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1
"Aethusa cynapium agrestis","Aethusa cynapium subsp. cynapium",130873,"SSES","Aethusa cynapium subsp. cynapium L., 1753","Equisetopsida","Apiales","Apiaceae","EXACT_SYNONYM","Trachéophytes","Angiospermes","Autres",3,"Aethusa cynapium cynapium",7224084,"SUBSPECIES","Aethusa cynapium subsp. cynapium","Tracheophyta","Apiales","Apiaceae","EXACT_ACCEPTED","Aethusa cynapium subsp. cynapium","Aethusa cynapium subsp. cynapium L., 1753","SUBSPECIES",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aethusa cynapium cynapium","Aethusa cynapium subsp. cynapium",130873,"SSES","Aethusa cynapium subsp. cynapium L., 1753","Equisetopsida","Apiales","Apiaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Aethusa cynapium cynapium",7224084,"SUBSPECIES","Aethusa cynapium subsp. cynapium","Tracheophyta","Apiales","Apiaceae","EXACT_ACCEPTED","Aethusa cynapium subsp. cynapium","Aethusa cynapium subsp. cynapium L., 1753","SUBSPECIES",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aethusa cynapium segetalis","Aethusa cynapium subsp. cynapium",130873,"SSES","Aethusa cynapium subsp. cynapium L., 1753","Equisetopsida","Apiales","Apiaceae","EXACT_SYNONYM","Trachéophytes","Angiospermes","Autres",3,"Aethusa cynapium cynapium",7224084,"SUBSPECIES","Aethusa cynapium subsp. cynapium","Tracheophyta","Apiales","Apiaceae","EXACT_ACCEPTED","Aethusa cynapium subsp. cynapium","Aethusa cynapium subsp. cynapium L., 1753","SUBSPECIES",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agrimonia agrimonoides",NA,NA,NA,NA,NA,NA,NA,"NOT FOUND",NA,NA,NA,NA,"Aremonia agrimonoides agrimonoides",7220751,"SUBSPECIES","Aremonia agrimonoides subsp. agrimonoides","Tracheophyta","Rosales","Rosaceae","EXACT_SYNONYM","Aremonia agrimonoides agrimonoides","Aremonia agrimonoides subsp. agrimonoides","SUBSPECIES",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agrimonia eupatoria","Agrimonia eupatoria",80410,"ES","Agrimonia eupatoria L., 1753","Equisetopsida","Rosales","Rosaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Agrimonia eupatoria",3001956,"SPECIES","Agrimonia eupatoria L.","Tracheophyta","Rosales","Rosaceae","EXACT_ACCEPTED","Agrimonia eupatoria","Agrimonia eupatoria L., 1753","SPECIES",0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1
"Agropyron","Agropyron",188907,"GN","Agropyron Gaertn., 1770","Equisetopsida","Poales","Poaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Agropyron",2705193,"GENUS","Agropyron Gaertn.","Tracheophyta","Poales","Poaceae","HIGHERRANK_ACCEPTED","Agropyron","Agropyron Gaertn., 1770","GENUS",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agrostemma githago","Agrostemma githago",80546,"ES","Agrostemma githago L., 1753","Equisetopsida","Caryophyllales","Caryophyllaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Agrostemma githago",3085368,"SPECIES","Agrostemma githago L.","Tracheophyta","Caryophyllales","Caryophyllaceae","EXACT_ACCEPTED","Agrostemma githago","Agrostemma githago L., 1753","SPECIES",1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agrostis","Agrostis",188909,"GN","Agrostis L., 1753","Equisetopsida","Poales","Poaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",7,"Agrostis",2706434,"GENUS","Agrostis L.","Tracheophyta","Poales","Poaceae","HIGHERRANK_ACCEPTED","Agrostis","Agrostis L., 1753","GENUS",0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Agrostis canina","Agrostis canina",80590,"ES","Agrostis canina L., 1753","Equisetopsida","Poales","Poaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Agrostis canina",2706465,"SPECIES","Agrostis canina L.","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","Agrostis canina","Agrostis canina L., 1753","SPECIES",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Agrostis capillaris","Agrostis capillaris",80591,"ES","Agrostis capillaris L., 1753","Equisetopsida","Poales","Poaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Agrostis capillaris",2706490,"SPECIES","Agrostis capillaris L.","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","Agrostis capillaris","Agrostis capillaris L., 1753","SPECIES",0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1
