original_taxa,accepted_wfo,GF,Match,Remark
Phleum ambiguum,Phleum hirsutum,,Synonym,or Phleum montanum?
Pisum sativum arvense,Lathyrus oleraceus,ok,Synonym,
Plantago major pleiosperma,Plantago major intermedia,,Synonym,"Plantago major cf. subsp. pleiosperma Pilg., 1937"
Plantago pauciflora,Plantago barbata barbata,,Synonym,"or Plantago maritima subsp. maritima, or Plantago major subsp. major?"
Plantago uliginosa,Plantago gentianoides,,Synonym,or Plantago major subsp. intermedia?
Poa latifolia,Poa chaixii,?,Synonym,Centotheca lappacea or Nicoraepoa chonotica or Poa humilis or Poa chaixii
Podospermum picroides,Urospermum picroides,ok,Synonym,
Populus canescens,Populus × canescens,ok,Fuzzy,
Portulaca oleraceae,Portulaca oleracea,ok,Fuzzy,
Potentilla erecta x reptans,Potentilla erecta,,Binomial,
Poterium sanguisorba,Sanguisorba minor,,Synonym,or Sanguisorba minor subsp. minor?
Rorippa armoracioides,Rorippa × armoracioides,ok,Fuzzy,
Scandix pecten veneris,Scandix pecten-veneris,ok,Fuzzy,
Schedonorus arundinaceus,Lolium arundinaceum,,Synonym,
Schoedonorus arundinaceus,Lolium arundinaceum,ok,Synonym,
Schoedonorus pratensis,Lolium pratense,ok,Synonym,
Scirpus silvaticus,Scirpus sylvaticus,ok,Fuzzy,
Selinum carvifolia,Selinum carvifolium,ok,Fuzzy,
Senecio jacobea,Jacobaea vulgaris,ok,Synonym,
Sheradia arvensis,Sherardia arvensis,ok,Fuzzy,
Silena gallica,Silene gallica,ok,Fuzzy,
Silene alba,Silene latifolia alba,ok,Synonym,
Silene niceensis,Silene nicaeensis,ok,Fuzzy,
Sinapis arvensis arvensis,Mutarda arvensis,ok,Synonym,
Sixalix atropurpurea maritima,Scabiosa atropurpurea,ok,Synonym,
Solanum nigrum nigrum,Solanum nigrum,ok,Binomial,
Solanum nigrum villosum,Solanum villosum,ok,Synonym,
Sonchus arvenses,Sonchus arvensis,ok,Fuzzy,
Sporobulus,Sporobolus,ok,Fuzzy,
Stipa capensis,Stipellula capensis,,Synonym,or Stipa dregeana?
Sylibum marianum,Silybum marianum,ok,Fuzzy,
Sysimbrium irio,Sisymbrium irio,ok,Fuzzy,
Taraxacum fhwigg,Taraxacum,ok,Synonym,
Thlapsi arvense,Thlaspi arvense,ok,Fuzzy,
Trifolium campestris,Trifolium campestre,ok,Fuzzy,
Trifolium vesiculosum,Trifolium vessiculosum,ok,Fuzzy,
Tyrmnus leucographus,Tyrimnus leucographus,ok,Fuzzy,
Urtica dioïca,Urtica dioica,ok,Fuzzy,
Valerianella coronata pumila,Valeriana pumila,ok,Synonym,
Valerianella dentata rimosa,Valeriana rimosa,ok,Synonym,
Valerianella locusta carinata,Valeriana carinata,ok,Synonym,
Veronica anagallis acuatica,Veronica anagallis-aquatica,ok,Fuzzy,
Vicia angustifolia,Vicia sativa subsp. nigra,,Synonym,or Vicia lathyroides or Vicia monantha subsp. biflora or Vicia setifolia var. setifolia?
Vicia ciliata,Vicia ciliatula,,Synonym,or Vicia lutea subsp. lutea?
Vicia fabia,Vicia faba,ok,Fuzzy,
Viola kaitaibeliana,Viola kitaibeliana,ok,Fuzzy,
Vulpia ciliata,Festuca ambigua,,Synonym,Festuca ambigua or Festuca myuros?
Vulpia myuros longiaristata,Festuca muralis,ok,Synonym,
Vulpia myuros sciuroides,Festuca bromoides,ok,Synonym,
x Conyzerigeron,Conyzigeron ,,Fuzzy,
x Hesperotropsis leylandii,× Hesperotropsis × leylandii,ok,Fuzzy,
x Rimpaui,Triticale × rimpaui,,Synonym,
x Triticosecale,Triticosecale,,Fuzzy,
x Triticosecale rimpaui,Triticosecale rimpaui,,Fuzzy,
Xanthium echinatum italicum,Xanthium orientale,ok,Synonym,
Xanthium orientale orientale,Xanthium orientale,ok,Synonym
