"accepted_taxa","original_taxa_Dcube","Diaspore.exposure_Dcube","Diaspore.height_mm_Dcube","Diaspore.mass_mg_Dcube","Diaspore.type_Dcube","Fruit.type_Dcube","Anemochory_rank_Dcube","Epizoochory_rank_Dcube","Hydrochory_rank_Dcube"
"Myosotis stricta","Myosotis stricta link ex roem. & schult.","Exposed",0.4,0.1598,"Fruit","Non-fleshy fruit",0.42,NA,NA
"Myosurus minimus","Myosurus minimus l.","Exposed",0.5,0.06,"Fruit segment","Non-fleshy fruit",0.74,0.84,0.89
"Myrrhis odorata","Myrrhis odorata (l.) scop.","Exposed",5,43.985,"Fruit segment","Non-fleshy fruit",0.17,0.09,NA
"Nardus stricta","Nardus stricta l.","Exposed",0.48,0.7,"Fruit","Non-fleshy fruit",0.58,0.74,0
"Nasturtium officinale","Nasturtium officinale agg.","Covered partly",0.5,0.2,"Seed","Fruit with lateral aperture",0.39,0.61,0.08
"Nelumbo nucifera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neottia ovata","Listera ovata (l.) r. br.","Enclosed",NA,NA,"Seed","Fruit with lateral aperture",NA,NA,NA
"Nepeta cataria","Nepeta cataria l.","Covered partly",NA,0.5,"Fruit segment","Non-fleshy fruit",NA,0.53,NA
"Nepeta nepetella",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neslia paniculata","Neslia paniculata s.l. (l.) desv.","Exposed",NA,NA,"Fruit","Non-fleshy fruit",0.1,0.37,NA
"Neslia paniculata subsp. thracica","Neslia paniculata s.l. (l.) desv.","Exposed",NA,NA,"Fruit","Non-fleshy fruit",0.1,0.37,NA
"Nicandra physalodes","Nicandra physalodes (l.) p. gaertn.","Exposed",12,NA,"Fruit","Fleshy fruit",NA,NA,NA
"Nigella arvensis","Nigella arvensis l.","Covered partly",NA,1.0996,"Seed","Fruit with upright aperture",0.26,0.46,0.29
"Nigella damascena",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nigella hispanica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nigella hispanica var. hispanica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nigella hispanica var. intermedia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nigella nigellastrum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nonea lutea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nonea pallens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nonea pulla","Nonea pulla (l.) dc.","Covered partly",2,NA,"Fruit segment","Non-fleshy fruit",NA,NA,NA
"Ochlopoa annua",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Odontites","Odontites luteus (l.) clairv.","Enclosed",NA,0.21,"Seed","Fruit with lateral aperture",NA,0.31,NA
"Odontites jaubertianus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Odontites luteus subsp. lanceolatus","Odontites luteus (l.) clairv.","Enclosed",NA,0.21,"Seed","Fruit with lateral aperture",NA,0.31,NA
"Odontites vernus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Odontites vernus salinus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Odontites vernus subsp. serotinus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Odontites vernus subsp. vernus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oenanthe crocata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oenanthe fistulosa","Oenanthe fistulosa l.","Exposed",NA,NA,"Fruit segment","Non-fleshy fruit",0.3,0.81,0.38
"Oenanthe pimpinelloides",NA,NA,NA,NA,NA,NA,NA,NA,NA
