"accepted_taxa","original_taxa_Dcube","Diaspore.exposure_Dcube","Diaspore.height_mm_Dcube","Diaspore.mass_mg_Dcube","Diaspore.type_Dcube","Fruit.type_Dcube","Anemochory_rank_Dcube","Epizoochory_rank_Dcube","Hydrochory_rank_Dcube"
"Abies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abutilon",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abutilon theophrasti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acacia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha ostryifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha virginica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acer","Acer campestre l._Acer negundo l._Acer platanoides l._Acer pseudoplatanus l.","Exposed",1,103.076,"Fruit segment","Non-fleshy fruit",0.8575,0,0.235
"Acer campestre","Acer campestre l.","Exposed",NA,87.48,"Fruit segment","Non-fleshy fruit",0.82,0,0
"Acer negundo","Acer negundo l.","Exposed",1,37.5,"Fruit segment","Non-fleshy fruit",0.89,NA,NA
"Acer platanoides","Acer platanoides l.","Exposed",1,148.05,"Fruit segment","Non-fleshy fruit",0.86,NA,NA
"Acer pseudoplatanus","Acer pseudoplatanus l.","Exposed",NA,139.274,"Fruit segment","Non-fleshy fruit",0.86,NA,0.47
"Achillea","Achillea collina becker ex rchb._Achillea millefolium agg._Achillea ptarmica agg.","Covered partly",0.5,0.1357285,"Fruit","Non-fleshy fruit",0.786666666666667,0.653333333333333,0.635
"Achillea collina","Achillea collina becker ex rchb.","Covered partly",NA,0.1408,"Fruit","Non-fleshy fruit",0.73,0.61,NA
"Achillea ligustica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Achillea millefolium","Achillea millefolium agg.","Covered partly",0.5,0.130657,"Fruit","Non-fleshy fruit",0.8,0.62,0.54
"Achillea odorata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Achillea ptarmica","Achillea ptarmica agg.","Covered partly",0.5,NA,"Fruit","Non-fleshy fruit",0.83,0.73,0.73
"Achnatherum calamagrostis","Stipa calamagrostis (l.) wahlenb.","Covered partly",NA,0.5,"Fruit","Non-fleshy fruit",0.86,0.88,NA
"Adonis","Adonis aestivalis l._Adonis flammea jacq.","Exposed",NA,12,"Fruit segment","Non-fleshy fruit",0.09,0.57,NA
"Adonis aestivalis","Adonis aestivalis l.","Exposed",NA,12,"Fruit segment","Non-fleshy fruit",0.1,0.5,NA
"Adonis annua",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adonis flammea","Adonis flammea jacq.","Exposed",NA,NA,"Fruit segment","Non-fleshy fruit",0.08,0.64,NA
"Adoxa moschatellina","Adoxa moschatellina l.","Covered partly",NA,75,"Fruit","Fleshy fruit",NA,0.37,NA
"Aegilops",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops biuncialis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops cylindrica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops geniculata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops neglecta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops triuncialis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegonychon purpurocaeruleum","Lithospermum purpurocaeruleum l.","Covered partly",NA,16.32,"Fruit segment","Non-fleshy fruit",0.02,0.11,NA
"Aegopodium podagraria","Aegopodium podagraria l.","Exposed",1.63,2.485,"Fruit segment","Non-fleshy fruit",0.28,0.45,NA
"Aesculus hippocastanum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aethusa cynapium","Aethusa cynapium l.","Exposed",NA,1.199467,"Fruit segment","Non-fleshy fruit",0.42,0.54,NA
"Aethusa cynapium subsp. cynapium","Aethusa cynapium ssp. cynapium","Exposed",NA,1.2884,"Fruit segment","Non-fleshy fruit",0.37,0.52,NA
"Agrimonia agrimonoides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrimonia eupatoria","Agrimonia eupatoria l.","Exposed",3.68,17.527,"Fruit","Non-fleshy fruit",0.43,0.86,0.16
"Agropyron",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostemma githago","Agrostemma githago l.","Enclosed",NA,11.545,"Seed","Fruit with upright aperture",0.05,0.09,NA
"Agrostis","Agrostis canina l._Agrostis capillaris l._Agrostis gigantea roth_Agrostis stolonifera agg._Agrostis stolonifera ssp. stolonifera","Covered partly",0.39,NA,"Fruit","Non-fleshy fruit",0.834,0.635,0.71
"Agrostis canina","Agrostis canina l.","Covered partly",0.4,NA,"Fruit","Non-fleshy fruit",0.94,NA,NA
"Agrostis capillaris","Agrostis capillaris l.","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",0.81,NA,0.6
"Agrostis curtisii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis gigantea","Agrostis gigantea roth","Covered partly",0.39,NA,"Fruit","Non-fleshy fruit",0.84,0.71,0.74
"Agrostis stolonifera","Agrostis stolonifera agg.","Covered partly",0.39,NA,"Fruit","Non-fleshy fruit",0.83,0.56,0.79
"Agrostis stolonifera var. stolonifera","Agrostis stolonifera agg._Agrostis stolonifera ssp. stolonifera","Covered partly",0.385,NA,"Fruit","Non-fleshy fruit",0.79,0.56,0.79
"Ailanthus altissima","Ailanthus altissima (mill.) swingle","Exposed",0.5,24.876667,"Fruit segment","Non-fleshy fruit",0.89,NA,NA
"Aira armoricana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aira caryophyllea","Aira caryophyllea l.","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",0.74,0.81,0.38
"Aira cupaniana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aira multiculmis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ajuga chamaepitys","Ajuga chamaepitys (l.) schreb.","Exposed",NA,1.7,"Fruit","Non-fleshy fruit",0.24,0.69,NA
"Ajuga genevensis","Ajuga genevensis l.","Exposed",NA,1.35,"Fruit","Non-fleshy fruit",0.19,0.78,NA
"Ajuga iva",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ajuga reptans","Ajuga reptans l.","Exposed",NA,1.15,"Fruit","Non-fleshy fruit",0.25,0.76,NA
"Alcea rosea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alchemilla","Alchemilla xanthochlora rothm.","Exposed",NA,0.6032,"Fruit","Non-fleshy fruit",0.37,NA,0.64
"Alchemilla acutiloba",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alchemilla xanthochlora","Alchemilla xanthochlora rothm.","Exposed",NA,0.6032,"Fruit","Non-fleshy fruit",0.37,NA,0.64
"Alisma lanceolatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alisma plantago-aquatica","Alisma plantago-aquatica l. s.str.","Exposed",NA,0.2912,"Fruit segment","Non-fleshy fruit",0.65,0.85,NA
"Alkanna matthioli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alkekengi officinarum","Physalis alkekengi l.","Exposed",9.84,NA,"Fruit","Fleshy fruit",NA,NA,NA
"Alliaria petiolata","Alliaria petiolata (m. bieb.) cavara & grande","Covered partly",NA,2.362857,"Seed","Fruit with lateral aperture",0.11,0.36,NA
"Allium","Allium schoenoprasum l.","Enclosed",NA,0.765,"Seed","Fruit with upright aperture",0.41,0.23,0.46
"Allium ampeloprasum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium cepa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium cyrilli",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium neapolitanum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium nigrum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium oleraceum","Allium oleraceum l.","Enclosed",NA,7.04,"Seed","Fruit with upright aperture",0.26,0.12,0.31
"Allium pallens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium paniculatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium polyanthum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium porrum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium roseum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium rotundum","Allium scorodoprasum ssp. rotundum (l.) stearn","Enclosed",0.6,NA,"Seed","Fruit with upright aperture",0.24,0.18,NA
"Allium sativum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium scaberrimum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium scorodoprasum","Allium scorodoprasum l. s.str.","Enclosed",NA,1.3004,"Seed","Fruit with upright aperture",0.12,0.2,NA
"Allium sphaerocephalon","Allium sphaerocephalon l.","Enclosed",NA,1.85,"Seed","Fruit with upright aperture",0.21,0.18,NA
"Allium subhirsutum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium triquetrum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium vineale","Allium vineale agg.","Enclosed",NA,1.124667,"Seed","Fruit with upright aperture",0.42,NA,NA
"Alnus glutinosa","Alnus glutinosa (l.) p. gaertn.","Covered partly",NA,1.218,"Fruit","Non-fleshy fruit",0.5,0.18,NA
"Alopecurus","Alopecurus geniculatus l._Alopecurus myosuroides huds._Alopecurus pratensis l._Alopecurus rendlei eig","Exposed",0.82,2.102,"Fruit","Non-fleshy fruit",0.503333333333333,0.883333333333333,0.25
"Alopecurus geniculatus","Alopecurus geniculatus l.","Exposed",0.48,NA,"Fruit","Non-fleshy fruit",0.75,0.91,0.4
"Alopecurus myosuroides","Alopecurus myosuroides huds.","Exposed",0.9,2.102,"Fruit","Non-fleshy fruit",0.36,0.81,0.12
"Alopecurus pratensis","Alopecurus pratensis l.","Exposed",1.08,NA,"Fruit","Non-fleshy fruit",0.4,0.93,0.23
"Alopecurus rendlei","Alopecurus rendlei eig","Exposed",NA,NA,"Fruit","Non-fleshy fruit",NA,NA,NA
"Alopecurus utriculatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Althaea cannabina",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Althaea officinalis","Althaea officinalis l.","Covered partly",NA,NA,"Fruit segment","Non-fleshy fruit",0.15,0.29,0.34
"Alyssum","Alyssum alyssoides (l.) l._Alyssum montanum l.","Covered partly",0.495,0.56,"Seed","Fruit with lateral aperture",0.405,0.305,NA
"Alyssum alyssoides","Alyssum alyssoides (l.) l.","Covered partly",0.59,0.52,"Seed","Fruit with lateral aperture",0.6,0.32,NA
"Alyssum granatense",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alyssum minutum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alyssum montanum","Alyssum montanum l.","Covered partly",0.4,0.6,"Seed","Fruit with lateral aperture",0.21,0.29,NA
"Alyssum simplex",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus","Amaranthus albus l._Amaranthus blitoides s. watson_Amaranthus blitum l. s.l._Amaranthus deflexus l._Amaranthus graecizans l._Amaranthus hybridus agg._Amaranthus powellii s. watson_Amaranthus retroflexus l.","Enclosed_Exposed",1,0.5859135,"Fruit_Seed","Fruit with upright aperture_Non-fleshy fruit",0.29125,0.248571428571429,0.37
"Amaranthus albus","Amaranthus albus l.","Enclosed",1,NA,"Seed","Fruit with upright aperture",0.19,0.28,NA
"Amaranthus blitoides","Amaranthus blitoides s. watson","Enclosed",NA,1.1088,"Seed","Fruit with upright aperture",0.17,0.19,NA
"Amaranthus blitum","Amaranthus blitum l. s.l.","Enclosed",NA,0.4486,"Seed","Fruit with upright aperture",0.28,0.25,NA
"Amaranthus blitum subsp. emarginatus","Amaranthus blitum l. s.l.","Enclosed",NA,0.4486,"Seed","Fruit with upright aperture",0.28,0.25,NA
"Amaranthus caudatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus deflexus","Amaranthus deflexus l.","Exposed",NA,NA,"Fruit","Non-fleshy fruit",0.67,NA,NA
"Amaranthus graecizans","Amaranthus graecizans l.","Enclosed",NA,0.801,"Seed","Fruit with upright aperture",0.23,0.22,NA
"Amaranthus hybridus","Amaranthus hybridus agg.","Enclosed",1,0.487081,"Seed","Fruit with upright aperture",0.22,0.27,NA
"Amaranthus powellii","Amaranthus powellii s. watson","Enclosed",NA,0.37,"Seed","Fruit with upright aperture",0.27,0.27,NA
"Amaranthus powellii subsp. bouchonii","Amaranthus powellii s. watson","Enclosed",NA,0.37,"Seed","Fruit with upright aperture",0.27,0.27,NA
"Amaranthus retroflexus","Amaranthus retroflexus l.","Enclosed",NA,0.3,"Seed","Fruit with upright aperture",0.3,0.26,0.37
"Amaranthus tricolor",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus viridis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ambrosia artemisiifolia","Ambrosia artemisiifolia l.","Covered partly",2,4.796,"Fruit","Non-fleshy fruit",0.13,0.61,NA
"Ambrosia psilostachya","Ambrosia coronopifolia torr. & a. gray","Covered partly",2,NA,"Fruit","Non-fleshy fruit",NA,NA,NA
"Ammi majus","Ammi majus l.","Exposed",0.96,NA,"Fruit segment","Non-fleshy fruit",0.37,0.78,0.17
"Ammoides pusilla",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anacamptis morio","Orchis morio l.","Enclosed",NA,NA,"Seed","Fruit with lateral aperture",NA,NA,NA
"Anacamptis pyramidalis","Anacamptis pyramidalis (l.) rich.","Enclosed",NA,NA,"Seed","Fruit with lateral aperture",NA,NA,NA
"Anacyclus clavatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anacyclus radiatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anaphalis margaritacea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anchusa","Anchusa officinalis l.","Covered partly",NA,5,"Fruit segment","Non-fleshy fruit",0.1,0.3,NA
"Anchusa azurea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anchusa hybrida",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anchusa officinalis","Anchusa officinalis l.","Covered partly",NA,5,"Fruit segment","Non-fleshy fruit",0.1,0.3,NA
"Anchusa puechii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrachne telephioides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Androsace elongata","Androsace elongata l.","Enclosed",0.7,0.5762,"Seed","Fruit with upright aperture",0.29,0.26,NA
"Androsace maxima","Androsace maxima l.","Enclosed",NA,1.056,"Seed","Fruit with upright aperture",0.23,0.18,NA
"Andryala integrifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andryala laxiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anemone coronaria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anemone hortensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anethum graveolens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angelica sylvestris","Angelica sylvestris l.","Exposed",NA,1.715,"Fruit segment","Non-fleshy fruit",0.69,0.36,0.65
"Anisantha diandra",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anisantha madritensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anisantha rigida",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anisantha rubens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anisantha sterilis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anisantha tectorum","Bromus tectorum l.","Covered partly",0.93,NA,"Fruit","Non-fleshy fruit",0.58,0.63,NA
"Antennaria dioica","Antennaria dioica (l.) p. gaertn.","Exposed",NA,0.05,"Fruit","Non-fleshy fruit",0.99,0.98,NA
"Anthemis","Anthemis arvensis l._Anthemis austriaca jacq._Anthemis cotula l._Anthemis ruthenica m. bieb.","Covered partly",0.7,0.564577666666667,"Fruit","Non-fleshy fruit",0.52,0.5425,NA
"Anthemis arvensis","Anthemis arvensis l.","Covered partly",NA,0.883333,"Fruit","Non-fleshy fruit",0.45,0.48,NA
"Anthemis arvensis subsp. arvensis","Anthemis arvensis l.","Covered partly",NA,0.883333,"Fruit","Non-fleshy fruit",0.45,0.48,NA
"Anthemis arvensis subsp. incrassata","Anthemis arvensis l.","Covered partly",NA,0.883333,"Fruit","Non-fleshy fruit",0.45,0.48,NA
"Anthemis austriaca","Anthemis austriaca jacq.","Covered partly",NA,0.5912,"Fruit","Non-fleshy fruit",0.49,0.53,NA
"Anthemis cotula","Anthemis cotula l.","Covered partly",0.7,NA,"Fruit","Non-fleshy fruit",0.35,0.57,NA
"Anthemis maritima",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthemis ruthenica","Anthemis ruthenica m. bieb.","Covered partly",0.7,0.2192,"Fruit","Non-fleshy fruit",0.79,0.59,NA
"Anthoxanthum aristatum","Anthoxanthum aristatum boiss.","Covered partly",0.79,NA,"Fruit","Non-fleshy fruit",0.61,0.84,NA
"Anthoxanthum odoratum","Anthoxanthum odoratum l.","Covered partly",0.74,0.6554,"Fruit","Non-fleshy fruit",0.66,0.85,0.64
"Anthriscus","Anthriscus caucalis m. bieb._Anthriscus cerefolium (l.) hoffm._Anthriscus sylvestris (l.) hoffm.","Exposed",1.65,2.80420766666667,"Fruit segment","Non-fleshy fruit",0.26,0.683333333333333,0
"Anthriscus caucalis","Anthriscus caucalis m. bieb.","Exposed",1.65,2.4,"Fruit segment","Non-fleshy fruit",0.26,0.9,NA
"Anthriscus cerefolium","Anthriscus cerefolium (l.) hoffm.","Exposed",NA,2.4,"Fruit segment","Non-fleshy fruit",0.27,0.64,0
"Anthriscus sylvestris","Anthriscus sylvestris (l.) hoffm.","Exposed",NA,3.612623,"Fruit segment","Non-fleshy fruit",0.25,0.51,NA
"Anthyllis circinnata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthyllis vulneraria","Anthyllis vulneraria l. s.l.","Exposed",2.88,3.9598,"Fruit","Non-fleshy fruit",0.68,0.88,0.55
"Anthyllis vulneraria subsp. vulneraria","Anthyllis vulneraria l. s.l._Anthyllis vulneraria ssp. alpestris (kit. ex schult.) asch. & graebn.","Exposed",2.88,5.4621,"Fruit","Non-fleshy fruit",0.715,0.89,0.66
"Antirrhinum majus","Antirrhinum majus l.","Enclosed",NA,0.1048,"Seed","Fruit with upright aperture",0.67,0.43,NA
"Apera interrupta","Apera interrupta (l.) p. beauv.","Covered partly",NA,0.1396,"Fruit","Non-fleshy fruit",0.6,0.74,0.1
"Apera spica-venti","Apera spica-venti (l.) p. beauv.","Covered partly",NA,0.12,"Fruit","Non-fleshy fruit",0.8,0.73,0
"Aphanes arvensis","Aphanes arvensis l.","Exposed",NA,0.4214,"Fruit","Non-fleshy fruit",0.62,0.88,NA
"Aphanes australis","Aphanes inexspectata w. lippert","Exposed",NA,NA,"Fruit","Non-fleshy fruit",0.65,NA,NA
"Aphyllanthes monspeliensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apium","Apium graveolens l.","Exposed",1,0.45,"Fruit segment","Non-fleshy fruit",0.28,0.63,0.67
"Apium graveolens","Apium graveolens l.","Exposed",1,0.45,"Fruit segment","Non-fleshy fruit",0.28,0.63,0.67
"Aquilegia vulgaris","Aquilegia vulgaris l. s.l.","Covered partly",NA,1.40895,"Seed","Fruit with upright aperture",0.28,0.38,0.4
"Arabidopsis","Arabidopsis thaliana (l.) heynh._Cardaminopsis arenosa (l.) hayek","Covered partly",0.35,0.0619665,"Seed","Fruit with lateral aperture",0.815,0.705,NA
"Arabidopsis arenosa","Cardaminopsis arenosa (l.) hayek","Covered partly",0.5,0.0996,"Seed","Fruit with lateral aperture",0.77,0.63,NA
"Arabidopsis arenosa subsp. arenosa","Cardaminopsis arenosa (l.) hayek","Covered partly",0.5,0.0996,"Seed","Fruit with lateral aperture",0.77,0.63,NA
"Arabidopsis thaliana","Arabidopsis thaliana (l.) heynh.","Covered partly",0.2,0.024333,"Seed","Fruit with lateral aperture",0.86,0.78,NA
"Arabis","Arabis hirsuta (l.) scop._Arabis hirsuta agg.","Covered partly",0.2,0.109216,"Seed","Fruit with lateral aperture",0.78,0.5,0.86
"Arabis hirsuta","Arabis hirsuta (l.) scop._Arabis hirsuta agg.","Covered partly",0.2,0.109216,"Seed","Fruit with lateral aperture",0.78,0.5,0.86
"Arctium","Arctium lappa l._Arctium minus (hill) bernh. s.str._Arctium tomentosum mill.","Covered partly",NA,10.68,"Fruit","Non-fleshy fruit",0.18,0.15,0.35
"Arctium lappa","Arctium lappa l.","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",NA,NA,0.35
"Arctium minus","Arctium minus (hill) bernh. s.str.","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",0.25,NA,NA
"Arctium tomentosum","Arctium tomentosum mill.","Covered partly",NA,10.68,"Fruit","Non-fleshy fruit",0.11,0.15,NA
"Arenaria hispanica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arenaria leptoclados",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arenaria serpyllifolia","Arenaria serpyllifolia agg.","Enclosed",NA,0.063,"Seed","Fruit with upright aperture",0.7,NA,0.19
"Argentina anserina","Argentina anserina (l.) rydb.","Covered partly",NA,NA,"Fruit segment","Non-fleshy fruit",0.54,NA,NA
"Argentina anserina subsp. anserina","Argentina anserina (l.) rydb.","Covered partly",NA,NA,"Fruit segment","Non-fleshy fruit",0.54,NA,NA
"Aria edulis","Sorbus aria agg.","Exposed",NA,705.825,"Fruit","Fleshy fruit",NA,NA,0.41
"Arisarum simorrhinum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arisarum vulgare",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristolochia clematitis","Aristolochia clematitis l.","Enclosed",NA,NA,"Seed","Fruit with lateral aperture",0.46,0.21,0.89
"Armoracia rusticana","Armoracia rusticana p. gaertn., b. mey. & scherb.","Covered partly",1,NA,"Seed","Fruit with lateral aperture",0.3,NA,NA
"Arnoseris minima","Arnoseris minima (l.) schweigg. & koerte","Covered partly",0.6,NA,"Fruit","Non-fleshy fruit",0.34,0.55,NA
"Arrhenatherum elatius","Arrhenatherum elatius (l.) p. beauv. ex j. presl & c. presl","Covered partly",2.02,3.2878,"Fruit","Non-fleshy fruit",0.56,0.82,0
"Arrhenatherum elatius subsp. bulbosum","Arrhenatherum elatius (l.) p. beauv. ex j. presl & c. presl","Covered partly",2.02,3.2878,"Fruit","Non-fleshy fruit",0.56,0.82,0
"Arrhenatherum elatius subsp. elatius","Arrhenatherum elatius (l.) p. beauv. ex j. presl & c. presl","Covered partly",2.02,3.2878,"Fruit","Non-fleshy fruit",0.56,0.82,0
"Artemisia abrotanum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Artemisia absinthium","Artemisia absinthium l.","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",0.9,0.63,NA
"Artemisia annua","Artemisia annua l.","Covered partly",NA,0.0645,"Fruit","Non-fleshy fruit",0.71,0.74,NA
"Artemisia herba-alba",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Artemisia verlotiorum","Artemisia verlotiorum lamotte","Covered partly",0.4,0.114667,"Fruit","Non-fleshy fruit",0.64,0.65,NA
"Artemisia vulgaris","Artemisia vulgaris l.","Covered partly",NA,0.1712,"Fruit","Non-fleshy fruit",0.66,0.62,NA
"Arum","Arum maculatum agg.","Exposed",4.45,600,"Fruit","Fleshy fruit",NA,0.01,NA
"Arum italicum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arum maculatum","Arum maculatum agg.","Exposed",4.45,600,"Fruit","Fleshy fruit",NA,0.01,NA
"Arundo plinii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asclepias syriaca",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asparagaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asparagus","Asparagus officinalis l.","Exposed",NA,220,"Fruit","Fleshy fruit",0.03,0.02,NA
"Asparagus acutifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asparagus officinalis","Asparagus officinalis l.","Exposed",NA,220,"Fruit","Fleshy fruit",0.03,0.02,NA
"Asparagus tenuifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asperugo procumbens","Asperugo procumbens l.","Covered partly",1,NA,"Fruit segment","Non-fleshy fruit",0.24,NA,NA
"Asperula aristata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asperula arvensis","Asperula arvensis l.","Exposed",1,NA,"Fruit segment","Non-fleshy fruit",0.11,0.28,NA
"Asperula cynanchica","Asperula cynanchica l.","Exposed",NA,1.0115,"Fruit segment","Non-fleshy fruit",0.59,0.5,0.06
"Asphodelus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asphodelus ramosus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aster",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asteraceae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Astragalus","Astragalus cicer l._Astragalus glycyphyllos l.","Enclosed",NA,2.6,"Seed","Fruit with lateral aperture",0.09,0.135,0
"Astragalus boeticus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Astragalus cicer","Astragalus cicer l.","Enclosed",NA,2.6,"Seed","Fruit with lateral aperture",0.1,0.15,NA
"Astragalus glycyphyllos","Astragalus glycyphyllos l.","Enclosed",NA,NA,"Seed","Fruit with lateral aperture",0.08,0.12,0
"Astragalus hamosus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atocion armeria","Silene armeria l.","Enclosed",NA,NA,"Seed","Fruit with upright aperture",0.6,0.35,NA
"Atriplex","Atriplex hortensis l._Atriplex littoralis l._Atriplex oblongifolia waldst. & kit._Atriplex patula l._Atriplex prostrata boucher ex dc._Atriplex sagittata borkh._Atriplex tatarica l.","Exposed",NA,1.7928,"Fruit","Non-fleshy fruit",0.474285714285714,0.542,0.146666666666667
"Atriplex halimus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atriplex hortensis","Atriplex hortensis l.","Exposed",NA,NA,"Fruit","Non-fleshy fruit",0.75,NA,NA
"Atriplex littoralis","Atriplex littoralis l.","Exposed",NA,2.2936,"Fruit","Non-fleshy fruit",0.37,0.79,NA
"Atriplex oblongifolia","Atriplex oblongifolia waldst. & kit.","Exposed",NA,NA,"Fruit","Non-fleshy fruit",0.4,0.14,0.31
"Atriplex patula","Atriplex patula l.","Exposed",NA,0.8336,"Fruit","Non-fleshy fruit",0.34,0.81,NA
"Atriplex prostrata","Atriplex prostrata boucher ex dc.","Exposed",NA,1.258,"Fruit","Non-fleshy fruit",0.55,0.8,NA
"Atriplex prostrata calotheca","Atriplex prostrata boucher ex dc.","Exposed",NA,1.258,"Fruit","Non-fleshy fruit",0.55,0.8,NA
"Atriplex sagittata","Atriplex sagittata borkh.","Exposed",NA,NA,"Fruit","Non-fleshy fruit",0.49,NA,0.13
"Atriplex tatarica","Atriplex tatarica l.","Exposed",NA,2.786,"Fruit","Non-fleshy fruit",0.42,0.17,0
"Avena","Avena fatua l._Avena strigosa schreb.","Covered partly",3,12,"Fruit_Infructescence","Non-fleshy fruit",0.22,0.75,0.08
"Avena barbata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Avena fatua","Avena fatua l.","Covered partly",3,12,"Fruit","Non-fleshy fruit",0.22,0.78,0.08
"Avena fatua subsp. fatua","Avena fatua l.","Covered partly",3,12,"Fruit","Non-fleshy fruit",0.22,0.78,0.08
"Avena sativa",NA,NA,NA,NA,NA,NA,NA,NA,NA
