"accepted_taxa","original_taxa_BIEN","Flower.color_BIEN","Leaf.area_mm2_BIEN","SLA_m2.kg-1_BIEN","Leaf.carbon.to.nitrogen.content_mg.g-1_BIEN","Leaf.dry.mass_g_BIEN","Leaf.dry.mass.content_mg.g-1_BIEN","Leaf.nitrogen.content_mg.g-1_BIEN","Flowering_begin.month_BIEN","Seed.mass_mg_BIEN","Growth.form_BIEN","Plant.height_m_BIEN"
"Ageratum conyzoides","Ageratum conyzoides","Violet_violet_blue",NA,NA,NA,NA,NA,NA,"",0.14,"Herb_neophyte",NA
"Ageratum houstonianum","Ageratum houstonianum","",NA,NA,NA,NA,NA,NA,"",0.12,"Herb",NA
"Agrostis capillaris","Agrostis capillaris","Yellow",335.666666666667,32.7332496245946,NA,0.00934288145454545,277.218521061538,NA,"6",0.0651619047619048,"Grass_herb",0.281833333333333
"Agrostis salaziensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alafia barteri","Alafia barteri","",NA,NA,NA,NA,NA,NA,"",NA,"Liana",NA
"Albertisia cordifolia","Albertisia cordifolia","",NA,NA,NA,NA,NA,NA,"",NA,"Woody climber",NA
"Albertisia scandens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albizia adianthifolia","Albizia adianthifolia","",NA,NA,NA,NA,NA,NA,"8",NA,"Tree",3.57142857142857
"Albizia chinensis","Albizia chinensis","",NA,NA,NA,NA,NA,19,"4",32.78875,"Tree",NA
"Albizia dinklagei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albizia lebbeck","Albizia lebbeck","",NA,NA,NA,NA,NA,NA,"11_9",99.9695729411765,"Tree",9.43956363636364
"Albizia zygia","Albizia zygia","",NA,7.58266666666667,NA,NA,NA,NA,"",62,"Tree",3
"Alchornea cordifolia","Alchornea cordifolia","",NA,NA,NA,NA,NA,NA,"",NA,"Shrub_tree",2.5
"Alectra linearis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium chinense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium neapolitanum","Allium neapolitanum","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Allophylus africanus","Allophylus africanus","",NA,NA,NA,NA,NA,NA,"11",NA,"Shrub",NA
"Allophylus spicatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alloteropsis paniculata","Alloteropsis paniculata","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Alstonia boonei","Alstonia boonei","",NA,NA,NA,NA,NA,NA,"",NA,"Tree",NA
"Alternanthera","Alternanthera littoralis_Alternanthera pungens_Alternanthera sessilis","",NA,NA,NA,NA,NA,NA,"",0.325102625,"4_herb_Herb",NA
"Alternanthera littoralis","Alternanthera littoralis","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Alternanthera pungens","Alternanthera pungens","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Alternanthera sessilis","Alternanthera sessilis","",NA,NA,NA,NA,NA,NA,"",0.325102625,"4_herb",NA
"Alysicarpus monilifer","Alysicarpus monilifer","",NA,NA,NA,NA,NA,NA,"",2.79,"Forb_herb",NA
"Alysicarpus ovalifolius","Alysicarpus ovalifolius","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Alysicarpus rugosus","Alysicarpus rugosus","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Alysicarpus vaginalis","Alysicarpus vaginalis","",NA,NA,NA,NA,NA,NA,"",1.67188888888889,"Herb",NA
"Amaranthus","Amaranthus blitum_Amaranthus dubius_Amaranthus graecizans_Amaranthus hybridus_Amaranthus spinosus_Amaranthus viridis","",NA,NA,NA,NA,NA,NA,"6_7",0.46569375,"Herb_Herb_subshrub",0.49375
"Amaranthus blitum","Amaranthus blitum","",NA,NA,NA,NA,NA,NA,"6_7",NA,"Herb",NA
"Amaranthus blitum emarginatus","Amaranthus blitum","",NA,NA,NA,NA,NA,NA,"6_7",NA,"Herb",NA
"Amaranthus dubius","Amaranthus dubius","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Amaranthus graecizans","Amaranthus graecizans","",NA,NA,NA,NA,NA,NA,"6_7",0.23,"Herb",0.425
"Amaranthus hybridus","Amaranthus hybridus","",NA,NA,NA,NA,NA,NA,"6_7",0.427775,"Herb",0.5625
"Amaranthus spinosus","Amaranthus spinosus","",NA,NA,NA,NA,NA,NA,"",0.18,"Herb_subshrub",NA
"Amaranthus viridis","Amaranthus viridis","",NA,NA,NA,NA,NA,NA,"",1.025,"Herb",NA
"Ammannia","Ammannia auriculata_Ammannia baccifera","",NA,NA,NA,NA,NA,NA,"",0.01,"Herb",NA
"Ammannia auriculata","Ammannia auriculata","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Ammannia baccifera","Ammannia baccifera","",NA,NA,NA,NA,NA,NA,"",0.01,"Herb",NA
"Ammannia gracilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ammannia prieureana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amorphophallus","Amorphophallus paeoniifolius","",NA,NA,NA,NA,NA,NA,"",NA,"Forb_herb",NA
"Amorphophallus johnsonii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amorphophallus paeoniifolius","Amorphophallus paeoniifolius","",NA,NA,NA,NA,NA,NA,"",NA,"Forb_herb",NA
"Ampelocissus leonensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ampelocissus multistriata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anadelphia afzeliana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ananas comosus","Ananas comosus","Green",NA,NA,NA,NA,NA,NA,"",NA,"Herb_shrub_shrub*",NA
"Anchomanes difformis","Anchomanes difformis","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Ancylobothrys petersiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andropogon gayanus","Andropogon gayanus","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Andropogon gayanus bisquamulatus","Andropogon gayanus","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Andropogon leucostachyus","Andropogon leucostachyus","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Andropogon tectorum","Andropogon tectorum","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Aneilema","Aneilema beniniense_Aneilema umbrosum","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Aneilema beniniense","Aneilema beniniense","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Aneilema lanceolatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aneilema paludosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aneilema umbrosum","Aneilema umbrosum","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Angylocalyx oligophyllus","Angylocalyx oligophyllus","",NA,NA,NA,NA,NA,NA,"",NA,"Shrub_tree",NA
"Aniseia martinicensis","Aniseia martinicensis","",NA,NA,NA,NA,NA,NA,"",NA,"Aquatic*_hemiepiphyte_vine",NA
"Annona","Annona senegalensis","",NA,NA,NA,NA,NA,NA,"10",40,"Shrub*_tree",NA
"Annona senegalensis","Annona senegalensis","",NA,NA,NA,NA,NA,NA,"10",40,"Shrub*_tree",NA
"Anopyxis klaineana","Anopyxis klaineana","",NA,NA,NA,NA,NA,NA,"",NA,"Tree",4
"Anredera cordifolia","Anredera cordifolia","",NA,NA,NA,NA,NA,NA,"",NA,"Vine",NA
"Anthephora cristata","Anthephora cristata","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Anthocleista djalonensis","Anthocleista djalonensis","",NA,NA,NA,NA,NA,NA,"",NA,"Shrub",NA
"Anthocleista nobilis","Anthocleista nobilis","",NA,NA,NA,NA,NA,NA,"",NA,"Tree",NA
"Anthocleista procera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthocleista vogelii","Anthocleista vogelii","",NA,NA,NA,NA,NA,NA,"",NA,"Shrub",2.5
"Anthoxanthum odoratum","Anthoxanthum odoratum","",528.919762162162,34.1511530956164,NA,0.0153396202531646,295.325324716667,21.50307,"5",0.558760862068965,"Graminoid_grass_herb",0.2286494375
"Antiaris toxicaria","Antiaris toxicaria","",NA,NA,NA,NA,NA,NA,"",NA,"Tree",NA
"Antigonon leptopus","Antigonon leptopus","",NA,NA,NA,NA,NA,NA,"",70.5,"Twiner_vine",NA
"Antrocaryon micraster","Antrocaryon micraster","",NA,NA,NA,NA,NA,NA,"",NA,"Tree",3
"Aponogeton vallisnerioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arachis","Arachis hypogaea_Arachis pintoi","",NA,NA,NA,NA,NA,31.25,"",637.2,"Herb",NA
"Arachis hypogaea","Arachis hypogaea","",NA,NA,NA,NA,NA,31.25,"",637.2,"Herb",NA
"Arachis pintoi","Arachis pintoi","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Aralia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argemone mexicana","Argemone mexicana","",NA,NA,NA,NA,NA,NA,"",1.8,"Herb",NA
"Argomuellera macrophylla","Argomuellera macrophylla","",NA,NA,NA,NA,NA,NA,"10",NA,"Shrub",NA
"Arillastrum gummiferum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristida","Aristida adscensionis_Aristida barbicollis_Aristida hordeacea_Aristida kerstingii","",462.446587301587,NA,NA,0.0234544920634921,NA,NA,"",1.46,"Grass_herb_Herb",0.263042857142857
"Aristida adscensionis","Aristida adscensionis","",821.73,NA,NA,0.046253,NA,NA,"",1.46,"Grass_herb",NA
"Aristida barbicollis","Aristida barbicollis","",444.881428571429,NA,NA,0.0184671428571429,NA,NA,"",NA,"Herb",0.263042857142857
"Aristida hordeacea","Aristida hordeacea","",120.728333333333,NA,NA,0.00564333333333333,NA,NA,"",NA,"Herb",NA
"Aristida kerstingii","Aristida kerstingii","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Aristolochia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristolochia acuminata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristolochia littoralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arivela viscosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Artemisia verlotiorum","Artemisia verlotiorum","",NA,NA,NA,NA,NA,NA,"9",NA,"Herb",1.6
"Artemisia vulgaris","Artemisia vulgaris","",3914.42633333333,24.122352942,NA,0.2552913635,258,NA,"7",0.1665,"Forb_herb_shrub*",1.35
"Asclepias mellodora","Asclepias mellodora","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Asparagus","Asparagus africanus","",NA,NA,NA,NA,NA,NA,"",NA,"Climber*_herb_shrub*_woody climber*",NA
"Asparagus africanus","Asparagus africanus","",NA,NA,NA,NA,NA,NA,"",NA,"Climber*_herb_shrub*_woody climber*",NA
"Aspilia africana","Aspilia africana","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Aspilia bussei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aspilia helianthoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aspilia helianthoides prieureana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aspilia kotschyi","Aspilia kotschyi","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Asplenium aethiopicum","Asplenium aethiopicum","",NA,NA,NA,NA,NA,NA,"",NA,"Epiphyte_fern_herb",NA
"Asplenium africanum","Asplenium africanum","",NA,NA,NA,NA,NA,NA,"",NA,"Epiphyte",NA
"Astraea lobata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asystasia buettneri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Asystasia gangetica","Asystasia gangetica","",NA,39.9803818181818,NA,NA,NA,NA,"",8.714,"Herb_vine*",NA
"Asystasia vogeliana","Asystasia vogeliana","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Axonopus compressus","Axonopus compressus","White",NA,NA,NA,NA,NA,NA,"",0.3855,"Grass_herb",NA
"Axonopus purpusii","Axonopus purpusii","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Azadirachta indica","Azadirachta indica","",NA,NA,NA,NA,NA,NA,"3",158.7,"Tree",NA
"Azolla","Azolla pinnata","",NA,NA,NA,NA,NA,NA,"",NA,"Aquatic*_herb",NA
"Azolla pinnata","Azolla pinnata","",NA,NA,NA,NA,NA,NA,"",NA,"Aquatic*_herb",NA
"Baccharoides guineensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bacopa","Bacopa crenata","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Bacopa crenata","Bacopa crenata","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Bacopa decumbens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baissea multiflora","Baissea multiflora","",NA,NA,NA,NA,NA,NA,"",NA,"Shrub_woody climber*",NA
"Baissea zygodioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Balanites aegyptiaca","Balanites aegyptiaca","",NA,NA,NA,NA,NA,NA,"11",NA,"Shrub_tree",NA
"Balanites wilsoniana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baphia nitida","Baphia nitida","",NA,NA,NA,NA,NA,NA,"",NA,"Liana_shrub_tree",NA
"Baphia pubescens","Baphia pubescens","",NA,NA,NA,NA,NA,NA,"",NA,"Tree",NA
"Barbarea verna","Barbarea verna","",NA,NA,NA,NA,NA,NA,"4",0.86,"Herb",0.35
"Basella alba","Basella alba","",NA,NA,NA,NA,NA,NA,"",40,"Climber_climber*_herb_liana*_vine_vine*",NA
"Basilicum polystachyon","Basilicum polystachyon","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Bergia suffruticosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bidens cynapiifolia","Bidens cynapiifolia","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Bidens pilosa","Bidens pilosa","",NA,NA,NA,NA,NA,NA,"",1.9128,"Herb",NA
"Biophytum umbraculum","Biophytum umbraculum","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Blainvillea acmella","Blainvillea acmella","",NA,NA,NA,NA,NA,NA,"",NA,"Herb_shrub",NA
"Blighia sapida","Blighia sapida","",NA,NA,NA,NA,NA,NA,"",2940,"Tree",5.48275862068965
"Blighia unijugata","Blighia unijugata","",NA,NA,NA,NA,NA,NA,"9",NA,"Tree",NA
"Blighia welwitschii","Blighia welwitschii","",NA,NA,NA,NA,NA,NA,"",NA,"Tree",6.5
"Blumea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boehmeria penduliflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boerhavia coccinea","Boerhavia coccinea","",NA,NA,NA,NA,NA,NA,"",1.53625,"4_herb",NA
"Boerhavia diffusa","Boerhavia diffusa","",NA,NA,NA,NA,NA,NA,"",2.660241,"Herb_shrub",NA
"Boerhavia erecta","Boerhavia erecta","",NA,NA,NA,NA,NA,NA,"",1.39,"Herb",NA
"Boerhavia repens","Boerhavia repens","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Bolboschoenus maritimus","Bolboschoenus maritimus","",1705.1365,12.4066533333333,NA,0.15101,279.15,NA,"6_7",2.28132742857143,"Aquatic_herb_marsh_sedge",1.03652941176471
"Bombax buonopozense","Bombax buonopozense","",NA,NA,NA,NA,NA,NA,"",NA,"Tree",NA
"Bonnaya antipoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Borassus flabellifer","Borassus flabellifer","",NA,NA,NA,NA,NA,NA,"3",20000,"Tree",NA
"Boswellia dalzielii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bothriospermum zeylanicum","Bothriospermum zeylanicum","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Bouffordia dichotoma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brachiaria nana","Brachiaria nana","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Brachiaria umbellata","Brachiaria umbellata","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Brassica juncea","Brassica juncea","Yellow",NA,NA,NA,NA,NA,NA,"6",2.517,"Herb",0.65
"Brassica rapa","Brassica rapa","",3298.79225,25.8631994117647,NA,0.141524804272727,139.745,NA,"4",1.98618023076923,"Herb",0.5585
"Breynia fruticosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
