"accepted_taxa","original_taxa_BIEN","Flower.color_BIEN","Leaf.area_mm2_BIEN","SLA_m2.kg-1_BIEN","Leaf.carbon.to.nitrogen.content_mg.g-1_BIEN","Leaf.dry.mass_g_BIEN","Leaf.dry.mass.content_mg.g-1_BIEN","Leaf.nitrogen.content_mg.g-1_BIEN","Flowering_begin.month_BIEN","Seed.mass_mg_BIEN","Growth.form_BIEN","Plant.height_m_BIEN"
"Cardiospermum halicacabum","Cardiospermum halicacabum","",NA,NA,NA,NA,NA,NA,"",53.9185714285714,"Vine",NA
"Cardiospermum microcarpum","Cardiospermum microcarpum","",NA,NA,NA,NA,NA,NA,"",44,"",NA
"Carex boryana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carex wahlenbergiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carica papaya","Carica papaya","White",NA,NA,NA,NA,242.8,NA,"",21.16375,"Herb_shrub_tree",4.6336
"Caroxylon imbricatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carpolobia lutea","Carpolobia lutea","",NA,NA,NA,NA,NA,NA,"",NA,"Shrub_tree",NA
"Cassia sieberiana","Cassia sieberiana","",NA,NA,NA,NA,NA,NA,"",193.855,"Shrub*_tree",NA
"Catharanthus","Catharanthus roseus","",NA,25.6604875,NA,NA,NA,NA,"",1.6802380952381,"Herb_shrub",NA
"Catharanthus roseus","Catharanthus roseus","",NA,25.6604875,NA,NA,NA,NA,"",1.6802380952381,"Herb_shrub",NA
"Cecropia obtusa","Cecropia obtusa","",NA,NA,NA,NA,NA,NA,"",0.125814166666667,"Tree",NA
"Cecropia peltata","Cecropia peltata","",NA,NA,NA,NA,335.8,32.482,"",0.72,"Tree",16.5
"Ceiba pentandra","Ceiba pentandra","Green_pale_green_white",5772,20.4978361111111,11.488,NA,445.45,18.775,"",52.1852049032258,"Giant tree_tree",18.1830933333333
"Celosia","Celosia argentea_Celosia isertii_Celosia trigyna","",NA,NA,NA,NA,NA,NA,"7",0.544,"Herb",0.4
"Celosia argentea","Celosia argentea","",NA,NA,NA,NA,NA,NA,"7",0.544,"Herb",0.4
"Celosia isertii","Celosia isertii","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Celosia trigyna","Celosia trigyna","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Celtis mildbraedii","Celtis mildbraedii","",NA,NA,NA,NA,NA,NA,"9",49,"Tree",10.4
"Celtis zenkeri","Celtis zenkeri","",NA,NA,NA,NA,NA,NA,"",NA,"Tree",5.93103448275862
"Cenchrus biflorus","Cenchrus biflorus","",NA,NA,NA,NA,NA,NA,"",2.463,"Grass_herb",NA
"Cenchrus cafer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus ciliaris","Cenchrus ciliaris","Yellow",NA,NA,NA,NA,NA,NA,"",1.17175,"5_grass_herb",NA
"Cenchrus clandestinus","Cenchrus clandestinus","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Cenchrus echinatus","Cenchrus echinatus","",5076.349,NA,NA,0.186789,NA,NA,"",NA,"Herb",NA
"Cenchrus pedicellatus","Cenchrus pedicellatus","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Cenchrus purpureus","Cenchrus purpureus","Yellow",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Cenchrus ramosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus setosus setosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cenchrus violaceus","Cenchrus violaceus","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Centella asiatica","Centella asiatica","",NA,NA,NA,NA,NA,NA,"",1.55129766666667,"Aquatic*_herb",NA
"Centotheca lappacea","Centotheca lappacea","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Centrosema","Centrosema brasilianum_Centrosema plumieri_Centrosema pubescens_Centrosema virginianum","",NA,NA,NA,NA,NA,NA,"",30.085,"Creeper*_liana_Creeper*_vine_Herb_vine_Vine",NA
"Centrosema brasilianum","Centrosema brasilianum","",NA,NA,NA,NA,NA,NA,"",NA,"Creeper*_liana",NA
"Centrosema plumieri","Centrosema plumieri","",NA,NA,NA,NA,NA,NA,"",NA,"Creeper*_vine",NA
"Centrosema pubescens","Centrosema pubescens","",NA,NA,NA,NA,NA,NA,"",30.085,"Herb_vine",NA
"Centrosema virginianum","Centrosema virginianum","",NA,NA,NA,NA,NA,NA,"",NA,"Vine",NA
"Cephalanthus tetrandrus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cerastium glomeratum","Cerastium glomeratum","",181.5137,22.4277333333333,NA,0.005877368,163.448181818182,NA,"3_5",0.0539226666666667,"Herb",0.2185
"Ceratophyllum demersum","Ceratophyllum demersum","Blue",119.133333333333,27.0711111111111,NA,0.00453044311111111,135.48,NA,"6",NA,"Aquatic_herb",NA
"Ceratopteris cornuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ceratopteris thalictroides","Ceratopteris thalictroides","",NA,NA,NA,NA,NA,NA,"",NA,"Aquatic_fern_herb",NA
"Ceropegia fusiformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chamaecrista absus","Chamaecrista absus","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Chamaecrista diphylla","Chamaecrista diphylla","",NA,NA,NA,NA,NA,NA,"",NA,"Hemiepiphyte_herb",NA
"Chamaecrista kirkii","Chamaecrista kirkii","",NA,NA,NA,NA,NA,NA,"",NA,"Shrub",NA
"Chamaecrista mimosoides","Chamaecrista mimosoides","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Chamaecrista nigricans","Chamaecrista nigricans","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Chamaecrista rotundifolia","Chamaecrista rotundifolia","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Chasmanthera dependens","Chasmanthera dependens","",NA,NA,NA,NA,NA,NA,"",NA,"Herb_woody climber",NA
"Chassalia kolly","Chassalia kolly","",NA,NA,NA,NA,NA,NA,"",NA,"Shrub",NA
"Chenopodium album","Chenopodium album","",1029.24925818857,22.8641729198214,13.5166666666667,0.0561600591891892,164.333333333333,34.11943,"5_6_7_9",0.703453780487805,"Forb_herb",1.41235294117647
"Chloris","Chloris barbata_Chloris gayana_Chloris pilosa_Chloris pycnothrix_Chloris virgata","White",4351.832,1.7872,17.143,0.166479,NA,16.8333333333333,"",0.260638157894737,"Herb",0.67
"Chloris barbata","Chloris barbata","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Chloris gayana","Chloris gayana","White",4351.832,1.7872,NA,0.166479,NA,15.8,"",0.368526315789474,"Herb",0.67
"Chloris pilosa","Chloris pilosa","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Chloris pycnothrix","Chloris pycnothrix","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Chloris virgata","Chloris virgata","",NA,NA,17.143,NA,NA,17.8666666666667,"",0.15275,"Herb",NA
"Chlorophytum lancifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christella dentata","Christella dentata","",NA,NA,NA,NA,NA,NA,"",NA,"Fern_herb",NA
"Chromolaena odorata","Chromolaena odorata","",NA,NA,NA,NA,NA,26.61,"",0.393333333333333,"Forb_herb_shrub_treelet",NA
"Chrozophora brocchiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chrysanthellum americanum","Chrysanthellum americanum","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Chrysopogon aciculatus","Chrysopogon aciculatus","",NA,NA,NA,NA,NA,NA,"",NA,"Grass_herb",NA
"Chrysopogon zizanioides","Chrysopogon zizanioides","Purple",NA,NA,NA,NA,NA,NA,"",NA,"Grass_herb",NA
"Cinnamomum verum","Cinnamomum verum","",NA,NA,NA,NA,NA,NA,"",NA,"Tree",NA
"Cissampelos owariensis","Cissampelos owariensis","",NA,NA,NA,NA,NA,NA,"",NA,"Herbaceous climber",NA
"Cissampelos pareira","Cissampelos pareira","",NA,NA,NA,NA,NA,NA,"",5.99,"Climbing shrub_liana_vine",0
"Cissus","Cissus erosa_Cissus petiolata_Cissus populnea_Cissus quadrangularis_Cissus verticillata","",NA,NA,NA,NA,NA,NA,"",26.2575,"Climber_Climber_liana_shrub*_Herb_liana_Liana_vine",0
"Cissus arguta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissus erosa","Cissus erosa","",NA,NA,NA,NA,NA,NA,"",12.89,"Liana_vine",NA
"Cissus microdonta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cissus petiolata","Cissus petiolata","",NA,NA,NA,NA,NA,NA,"",NA,"Herb_liana",NA
"Cissus populnea","Cissus populnea","",NA,NA,NA,NA,NA,NA,"",NA,"Climber",NA
"Cissus quadrangularis","Cissus quadrangularis","",NA,NA,NA,NA,NA,NA,"",NA,"Climber_liana_shrub*",NA
"Cissus verticillata","Cissus verticillata","",NA,NA,NA,NA,NA,NA,"",39.625,"Liana_vine",0
"Citharexylum spinosum","Citharexylum spinosum","",NA,NA,NA,NA,NA,NA,"",NA,"Tree",6.33306666666667
"Citrullus colocynthis","Citrullus colocynthis","",NA,NA,NA,NA,NA,NA,"",30.5753333333333,"10_climber_creeper_forb_herb",NA
"Citrullus lanatus","Citrullus lanatus","",NA,NA,NA,NA,NA,NA,"",82.7718421052632,"10_climber_creeper_herb",NA
"Clausena anisata","Clausena anisata","",NA,NA,NA,NA,NA,NA,"8",NA,"Herbaceous climber_shrub_tree",NA
"Clematis mauritiana","Clematis mauritiana","",NA,NA,NA,NA,NA,NA,"",NA,"Liana",NA
"Cleome",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum","Clerodendrum capitatum_Clerodendrum speciosissimum_Clerodendrum splendens_Clerodendrum umbellatum","",NA,NA,NA,NA,NA,NA,"",NA,"Herb_Herb_shrub_woody climber_Vine_Woody climber",NA
"Clerodendrum capitatum","Clerodendrum capitatum","",NA,NA,NA,NA,NA,NA,"",NA,"Herb_shrub_woody climber",NA
"Clerodendrum formicarum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum polycephalum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum silvanum silvanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum speciosissimum","Clerodendrum speciosissimum","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Clerodendrum splendens","Clerodendrum splendens","",NA,NA,NA,NA,NA,NA,"",NA,"Vine",NA
"Clerodendrum splendidum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clerodendrum umbellatum","Clerodendrum umbellatum","",NA,NA,NA,NA,NA,NA,"",NA,"Woody climber",NA
"Clerodendrum volubile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clibadium surinamense","Clibadium surinamense","",NA,NA,NA,NA,287,NA,"",NA,"Shrub",NA
"Clitoria ternatea","Clitoria ternatea","",NA,NA,NA,NA,NA,NA,"",45.2454545454545,"Herb*_vine",NA
"Cnestis ferruginea","Cnestis ferruginea","",NA,NA,NA,NA,NA,NA,"",NA,"Shrub_woody climber*",NA
"Coccinia barteri","Coccinia barteri","",NA,NA,NA,NA,NA,NA,"",NA,"Herb_herbaceous climber*",NA
"Coccinia grandis","Coccinia grandis","",NA,NA,NA,NA,NA,NA,"",NA,"Climber_herb_herbaceous climber_vine",NA
"Cochlospermum planchonii","Cochlospermum planchonii","",NA,NA,NA,NA,NA,NA,"",NA,"Herb*_tree",NA
"Cochlospermum tinctorium","Cochlospermum tinctorium","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Cocos nucifera","Cocos nucifera","White_yellow_yellowish",NA,NA,NA,NA,NA,NA,"",576800,"Pam_tree",10.287
"Codiaeum variegatum","Codiaeum variegatum","",NA,NA,NA,NA,NA,NA,"",29,"Shrub",NA
"Coix lacryma-jobi","Coix lacryma-jobi","",11312.55625,NA,NA,0.3454375,NA,NA,"",74.94,"Grass_herb",NA
"Cola caricifolia","Cola caricifolia","",NA,NA,NA,NA,NA,NA,"",NA,"Shrub",NA
"Cola millenii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cola nitida","Cola nitida","",NA,NA,NA,NA,NA,NA,"",NA,"Tree",NA
"Coldenia procumbens","Coldenia procumbens","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Coleus amboinicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coleus graniticola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coleus monostachyus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colocasia esculenta","Colocasia esculenta","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Combretum comosum hispidum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Combretum glutinosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Combretum molle","Combretum molle","",2202,7.977,38.94737,NA,392.88,11.4,"9",NA,"Climber_shrub_tree",NA
"Combretum mucronatum","Combretum mucronatum","",NA,NA,NA,NA,NA,NA,"",NA,"Woody climber",NA
"Combretum paniculatum","Combretum paniculatum","",NA,NA,NA,NA,NA,NA,"8",NA,"Climber_liana_scrambler_woody climber",NA
"Combretum platypterum","Combretum platypterum","",NA,NA,NA,NA,NA,NA,"",NA,"Woody climber",NA
"Combretum racemosum","Combretum racemosum","",NA,NA,NA,NA,NA,NA,"",NA,"Liana_woody climber",NA
"Combretum zenkeri","Combretum zenkeri","",NA,NA,NA,NA,NA,NA,"",NA,"Woody climber",NA
"Commelina","Commelina africana_Commelina benghalensis_Commelina diffusa_Commelina erecta_Commelina forskaolii_Commelina gambiae","Blue",3.70892857142857,29.171,NA,0.0131804347826087,NA,25.93,"",NA,"Forb_herb_Herb_Herb_vine",NA
"Commelina acutispatha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina africana","Commelina africana","",NA,NA,NA,NA,NA,NA,"",NA,"Forb_herb",NA
"Commelina benghalensis","Commelina benghalensis","",3.70892857142857,29.171,NA,0.0131804347826087,NA,25.93,"",NA,"Herb",NA
"Commelina bracteosa lagosensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina congesta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina diffusa","Commelina diffusa","Blue",NA,NA,NA,NA,NA,NA,"",NA,"Herb_vine",NA
"Commelina erecta","Commelina erecta","Blue",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Commelina forskaolii","Commelina forskaolii","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Commelina gambiae","Commelina gambiae","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Commelina macrospatha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina nigritana nigritana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina schweinfurthii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commelina subulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Commiphora africana","Commiphora africana","",NA,NA,NA,NA,NA,NA,"10",NA,"Shrub*_tree",NA
"Commiphora pedunculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Connarus africanus","Connarus africanus","",NA,NA,NA,NA,NA,NA,"",NA,"Woody climber",NA
"Convolvulus prostratus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Conyza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corchorus","Corchorus aestuans_Corchorus fascicularis_Corchorus olitorius_Corchorus tridens_Corchorus trilocularis","",NA,NA,NA,NA,NA,NA,"",1.03325952380952,"Herb",NA
"Corchorus aestuans","Corchorus aestuans","",NA,NA,NA,NA,NA,NA,"",0.741428571428571,"Herb",NA
"Corchorus fascicularis","Corchorus fascicularis","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Corchorus olitorius","Corchorus olitorius","",NA,NA,NA,NA,NA,NA,"",1.87,"Herb",NA
"Corchorus tridens","Corchorus tridens","",NA,NA,NA,NA,NA,NA,"",0.48835,"Herb",NA
"Corchorus trilocularis","Corchorus trilocularis","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Coriandrum sativum","Coriandrum sativum","",1166.75,47.427,NA,0.023594,145.481,NA,"6",13.0428571428571,"Herb",0.468571428571429
"Cosmos sulphureus","Cosmos sulphureus","",NA,NA,NA,NA,NA,NA,"",6.8,"Herb",NA
"Costus afer","Costus afer","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",2
"Costus spectabilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crassocephalum","Crassocephalum crepidioides_Crassocephalum rubens","",NA,NA,NA,NA,NA,NA,"",NA,"Forb_herb_Herb",NA
"Crassocephalum crepidioides","Crassocephalum crepidioides","",NA,NA,NA,NA,NA,NA,"",NA,"Forb_herb",NA
"Crassocephalum rubens","Crassocephalum rubens","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Craterostigma nummulariifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cressa cretica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crinum","Crinum jagus","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Crinum jagus","Crinum jagus","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Crinum ornatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crocosmia crocosmiiflora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crotalaria","Crotalaria goreensis_Crotalaria juncea_Crotalaria pallida_Crotalaria retusa_Crotalaria senegalensis_Crotalaria spectabilis_Crotalaria uncinella","Yellow",NA,NA,NA,NA,NA,NA,"",19.8342948717949,"Herb_Herb_shrub_Herb_shrub*_Shrub",NA
"Crotalaria goreensis","Crotalaria goreensis","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Crotalaria grahamiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crotalaria juncea","Crotalaria juncea","",NA,NA,NA,NA,NA,NA,"",32.7,"Herb_shrub*",NA
"Crotalaria pallida","Crotalaria pallida","",NA,NA,NA,NA,NA,NA,"",10.6333333333333,"Herb_shrub",NA
"Crotalaria retusa","Crotalaria retusa","",NA,NA,NA,NA,NA,NA,"",19.25,"Herb",NA
"Crotalaria senegalensis","Crotalaria senegalensis","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Crotalaria spectabilis","Crotalaria spectabilis","Yellow",NA,NA,NA,NA,NA,NA,"",16.7538461538462,"Herb",NA
"Crotalaria uncinella","Crotalaria uncinella","",NA,NA,NA,NA,NA,NA,"",NA,"Shrub",NA
"Croton bonplandianus","Croton bonplandianus","",NA,NA,NA,NA,NA,NA,"",NA,"Forb_herb_shrub",NA
"Croton hirtus","Croton hirtus","",NA,NA,NA,NA,NA,NA,"",4.3,"Herb",NA
"Cryptolepis eburnea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cryptolepis nigrescens","Cryptolepis nigrescens","",NA,NA,NA,NA,NA,NA,"",NA,"Liana",NA
"Cryptolepis sanguinolenta","Cryptolepis sanguinolenta","",NA,NA,NA,NA,NA,NA,"",NA,"Woody climber",NA
"Cryptostegia grandiflora","Cryptostegia grandiflora","",NA,NA,NA,NA,NA,NA,"",NA,"Liana*_vine_woody climber*",NA
"Crystallopollen angustifolium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crystallopollen serratuloides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ctenium newtonii","Ctenium newtonii","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Cucumis maderaspatanus","Cucumis maderaspatanus","",NA,NA,NA,NA,NA,NA,"",NA,"Climber",NA
"Cucumis melo","Cucumis melo","",NA,NA,NA,NA,NA,NA,"",20.3756894,"Climber_herb",NA
"Cucumis sativus","Cucumis sativus","",NA,NA,NA,NA,NA,NA,"",17.59,"Herb",1.75
"Cucurbita","Cucurbita moschata","",NA,NA,NA,NA,NA,NA,"",88,"Herb",NA
"Cucurbita moschata","Cucurbita moschata","",NA,NA,NA,NA,NA,NA,"",88,"Herb",NA
"Culcasia angolensis","Culcasia angolensis","",NA,NA,NA,NA,NA,NA,"",NA,"Hemi-epiphyte_herb",NA
"Culcasia parviflora","Culcasia parviflora","",NA,NA,NA,NA,NA,NA,"",NA,"Hemi-epiphyte",NA
"Culcasia scandens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cuphea carthagenensis","Cuphea carthagenensis","",NA,NA,NA,NA,NA,NA,"",0.7,"Herb",NA
"Cuphea hyssopifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Curculigo pilosa","Curculigo pilosa","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Curcuma longa","Curcuma longa","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Cuscuta campestris","Cuscuta campestris","",NA,NA,NA,NA,NA,NA,"7",0.775,"Herb*_parasite_vine*",NA
"Cyanotis lanata","Cyanotis lanata","",NA,NA,NA,NA,NA,NA,"",NA,"Aquatic",NA
"Cyanthillium cinereum","Cyanthillium cinereum","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Cyathula prostrata","Cyathula prostrata","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Cyclosorus striatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyclospermum leptophyllum","Cyclospermum leptophyllum","",NA,NA,NA,NA,NA,NA,"",0.057,"Herb_neophyte",NA
"Cymbopogon citratus","Cymbopogon citratus","",840.274,NA,NA,0.026266,NA,NA,"",NA,"Herb",NA
"Cymbopogon giganteus","Cymbopogon giganteus","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Cynodon dactylon","Cynodon dactylon","Yellow",116.25,30.928,NA,0.00587533333333333,228.646,NA,"7",0.2333,"5_graminoid_herb",0.24613
"Cynodon nlemfuensis","Cynodon nlemfuensis","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Cyperus","Cyperus aggregatus_Cyperus alopecuroides_Cyperus alternifolius_Cyperus amabilis_Cyperus articulatus_Cyperus compressus_Cyperus cuspidatus_Cyperus cyperinus_Cyperus cyperoides_Cyperus denudatus_Cyperus difformis_Cyperus digitatus_Cyperus distans_Cyperus echinatus_Cyperus eragrostis_Cyperus esculentus_Cyperus exaltatus_Cyperus flavescens_Cyperus haspan_Cyperus iria_Cyperus laxus_Cyperus ligularis_Cyperus luzulae_Cyperus niveus_Cyperus odoratus_Cyperus papyrus_Cyperus polystachyos_Cyperus rotundus_Cyperus sphacelatus_Cyperus squarrosus_Cyperus surinamensis_Cyperus tenuiculmis_Cyperus tenuis","Brown_Green",141.5,30.526,NA,0.004318,145.906,NA,"6_7",0.0949333333333333,"Aquatic_herb_Aquatic*_herb_Cyperoid_Cyperoid*_herb_Graminoid_sedge*_shrub_Grass_herb_Herb_Herb_sedge",0.139285714285714
"Cyperus acuticarinatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus aggregatus","Cyperus aggregatus","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Cyperus albescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus alopecuroides","Cyperus alopecuroides","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Cyperus alternifolius","Cyperus alternifolius","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Cyperus amabilis","Cyperus amabilis","",NA,NA,NA,NA,NA,NA,"",0.03,"Herb",NA
"Cyperus aromaticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus articulatus","Cyperus articulatus","",NA,NA,NA,NA,NA,NA,"",NA,"Cyperoid*_herb",NA
"Cyperus buchholzii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus compressus","Cyperus compressus","Green",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Cyperus cuspidatus","Cyperus cuspidatus","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Cyperus cyperinus","Cyperus cyperinus","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Cyperus cyperoides","Cyperus cyperoides","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Cyperus denudatus","Cyperus denudatus","",NA,NA,NA,NA,NA,NA,"",NA,"Cyperoid",NA
"Cyperus difformis","Cyperus difformis","",NA,NA,NA,NA,NA,NA,"",NA,"Herb_sedge",NA
"Cyperus digitatus","Cyperus digitatus","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Cyperus dilatatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus distans","Cyperus distans","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Cyperus echinatus","Cyperus echinatus","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Cyperus eragrostis","Cyperus eragrostis","",NA,NA,NA,NA,NA,NA,"6",0.114,"Herb",NA
"Cyperus erectus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus esculentus","Cyperus esculentus","Green",NA,27.29,NA,NA,NA,NA,"7",0.16,"Herb",NA
"Cyperus exaltatus","Cyperus exaltatus","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Cyperus flavescens","Cyperus flavescens","",141.5,33.762,NA,0.004318,145.906,NA,"7",NA,"",0.139285714285714
"Cyperus haspan","Cyperus haspan","Brown",NA,NA,NA,NA,NA,NA,"",NA,"Grass_herb",NA
"Cyperus hortensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus iria","Cyperus iria","",NA,NA,NA,NA,NA,NA,"",NA,"Aquatic*_herb",NA
"Cyperus lanceolatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus laxus","Cyperus laxus","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Cyperus ligularis","Cyperus ligularis","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Cyperus luzulae","Cyperus luzulae","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Cyperus macrostachyos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus metzii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus mindorensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus niveus","Cyperus niveus","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Cyperus obtusatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyperus odoratus","Cyperus odoratus","Brown",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
