"original_taxa","accepted_gbif","gbif_key","gbif_rank","gbif_full_name","gbif_phylum","gbif_order","gbif_family","gbif_status","accepted_rank","accepted_taxa"
"Dalbergia oblongifolia","Dalbergia oblongifolia",2968836,"SPECIES","Dalbergia oblongifolia G.Don","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Dalbergia oblongifolia"
"Dalbergia saxatilis","Dalbergia saxatilis",2968529,"SPECIES","Dalbergia saxatilis Hook.f.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Dalbergia saxatilis"
"Dalbergiella welwitschii","Dalbergiella welwitschii",2943745,"SPECIES","Dalbergiella welwitschii (Baker) Baker f.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Dalbergiella welwitschii"
"Dalechampia","Dalechampia",3055556,"GENUS","Dalechampia Plum. ex L.","Tracheophyta","Malpighiales","Euphorbiaceae","HIGHERRANK_ACCEPTED","GENUS","Dalechampia"
"Dalechampia ipomoeifolia","Dalechampia ipomoeifolia",3055713,"SPECIES","Dalechampia ipomoeifolia Benth.","Tracheophyta","Malpighiales","Euphorbiaceae","EXACT_ACCEPTED","SPECIES","Dalechampia ipomoeifolia"
"Dalechampia scandens","Dalechampia scandens",3055569,"SPECIES","Dalechampia scandens L.","Tracheophyta","Malpighiales","Euphorbiaceae","EXACT_ACCEPTED","SPECIES","Dalechampia scandens"
"Daniellia oliveri","Daniellia oliveri",2948733,"SPECIES","Daniellia oliveri (Rolfe) Hutch. & Dalziel","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Daniellia oliveri"
"Danthonia decumbens","Danthonia decumbens",2703250,"SPECIES","Danthonia decumbens (L.) DC.","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Danthonia decumbens"
"Datura","Datura",2928734,"GENUS","Datura L.","Tracheophyta","Solanales","Solanaceae","HIGHERRANK_ACCEPTED","GENUS","Datura"
"Datura innoxia","Datura innoxia",2928755,"SPECIES","Datura innoxia Mill.","Tracheophyta","Solanales","Solanaceae","EXACT_ACCEPTED","SPECIES","Datura innoxia"
"Datura stramonium","Datura stramonium",2928751,"SPECIES","Datura stramonium L.","Tracheophyta","Solanales","Solanaceae","EXACT_ACCEPTED","SPECIES","Datura stramonium"
"Daucus carota","Daucus carota",3034742,"SPECIES","Daucus carota L.","Tracheophyta","Apiales","Apiaceae","EXACT_ACCEPTED","SPECIES","Daucus carota"
"Deinbollia pinnata","Deinbollia pinnata",3787801,"SPECIES","Deinbollia pinnata (Poir.) Schumach. & Thonn.","Tracheophyta","Sapindales","Sapindaceae","EXACT_ACCEPTED","SPECIES","Deinbollia pinnata"
"Delonix regia","Delonix regia",2956176,"SPECIES","Delonix regia (Bojer ex Hook.) Raf.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Delonix regia"
"Desmanthus virgatus","Desmanthus virgatus",5360097,"SPECIES","Desmanthus virgatus (L.) Willd.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Desmanthus virgatus"
"Desmodium","Desmodium",2967050,"GENUS","Desmodium Desv.","Tracheophyta","Fabales","Fabaceae","HIGHERRANK_ACCEPTED","GENUS","Desmodium"
"Desmodium distortum","Desmodium distortum",2967251,"SPECIES","Desmodium distortum (Aubl.) J.F.Macbr.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Desmodium distortum"
"Desmodium incanum","Desmodium incanum",2967060,"SPECIES","Desmodium incanum (Sw.) DC.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Desmodium incanum"
"Desmodium intortum","Desmodium intortum",2967846,"SPECIES","Desmodium intortum (Mill.) Urb.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Desmodium intortum"
"Desmodium scorpiurus","Desmodium scorpiurus",8224320,"SPECIES","Desmodium scorpiurus (Sw.) Desv. ex DC.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Desmodium scorpiurus"
"Desmodium tortuosum","Desmodium tortuosum",2967221,"SPECIES","Desmodium tortuosum (Sw.) DC.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Desmodium tortuosum"
"Desmodium uncinatum","Desmodium uncinatum",2967319,"SPECIES","Desmodium uncinatum (Jacq.) DC.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Desmodium uncinatum"
"Detarium microcarpum","Detarium microcarpum",2961176,"SPECIES","Detarium microcarpum Guill. & Perr.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Detarium microcarpum"
"Dialium guineense","Dialium guineense",2971007,"SPECIES","Dialium guineense Willd.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Dialium guineense"
"Dichanthium annulatum","Dichanthium annulatum",2702446,"SPECIES","Dichanthium annulatum (Forssk.) Stapf","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Dichanthium annulatum"
"Dichanthium caricosum","Dichanthium caricosum",2702450,"SPECIES","Dichanthium caricosum (L.) A.Camus","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Dichanthium caricosum"
"Dichapetalum filicaule","Dichapetalum filicaule",4195716,"SPECIES","Dichapetalum filicaule Breteler","Tracheophyta","Malpighiales","Dichapetalaceae","EXACT_ACCEPTED","SPECIES","Dichapetalum filicaule"
"Dichapetalum madagascariense","Dichapetalum madagascariense",7309902,"SPECIES","Dichapetalum madagascariense (Thouars) Poir.","Tracheophyta","Malpighiales","Dichapetalaceae","EXACT_ACCEPTED","SPECIES","Dichapetalum madagascariense"
"Dichrocephala integrifolia","Dichrocephala integrifolia",3115588,"SPECIES","Dichrocephala integrifolia (L.fil.) Kuntze","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","SPECIES","Dichrocephala integrifolia"
"Dichrostachys cinerea","Dichrostachys cinerea",2975891,"SPECIES","Dichrostachys cinerea (L.) Wight & Arn.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Dichrostachys cinerea"
"Dicliptera elliotii","Dicliptera elliotii",5575849,"SPECIES","Dicliptera elliotii C.B.Clarke","Tracheophyta","Lamiales","Acanthaceae","EXACT_ACCEPTED","SPECIES","Dicliptera elliotii"
"Dicliptera paniculata","Dicliptera paniculata",5575270,"SPECIES","Dicliptera paniculata (Forssk.) I.Darbysh.","Tracheophyta","Lamiales","Acanthaceae","EXACT_ACCEPTED","SPECIES","Dicliptera paniculata"
"Dicoma tomentosa","Dicoma tomentosa",3103375,"SPECIES","Dicoma tomentosa Cass.","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","SPECIES","Dicoma tomentosa"
"Digitalis purpurea","Digitalis purpurea",5414995,"SPECIES","Digitalis purpurea L.","Tracheophyta","Lamiales","Plantaginaceae","EXACT_ACCEPTED","SPECIES","Digitalis purpurea"
"Digitaria",NA,NA,NA,NA,NA,NA,NA,"NONE_NA","GENUS","Digitaria"
"Digitaria acuminatissima","Digitaria acuminatissima",4131963,"SPECIES","Digitaria acuminatissima Stapf","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Digitaria acuminatissima"
"Digitaria argillacea","Digitaria argillacea",5289943,"SPECIES","Digitaria argillacea (Hitchc. & Chase) Fernald","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Digitaria argillacea"
"Digitaria bicornis","Digitaria bicornis",5289968,"SPECIES","Digitaria bicornis (Lam.) Roem. & Schult.","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Digitaria bicornis"
"Digitaria ciliaris","Digitaria ciliaris",5289998,"SPECIES","Digitaria ciliaris (Retz.) Koeler","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Digitaria ciliaris"
"Digitaria delicatula","Digitaria delicatula",5676067,"SPECIES","Digitaria delicatula Stapf","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Digitaria delicatula"
"Digitaria diagonalis","Digitaria diagonalis",5289973,"SPECIES","Digitaria diagonalis (Nees) Stapf","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Digitaria diagonalis"
"Digitaria eriantha","Digitaria eriantha",5289987,"SPECIES","Digitaria eriantha Steud.","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Digitaria eriantha"
"Digitaria fuscescens","Digitaria fuscescens",5289932,"SPECIES","Digitaria fuscescens (J.Presl) Henrard","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Digitaria fuscescens"
"Digitaria gayana","Digitaria gayana",5675776,"SPECIES","Digitaria gayana (Kunth) A.Chev.","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Digitaria gayana"
"Digitaria horizontalis","Digitaria horizontalis",5289958,"SPECIES","Digitaria horizontalis Willd.","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Digitaria horizontalis"
"Digitaria humbertii","Digitaria humbertii",5675662,"SPECIES","Digitaria humbertii A.Camus","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Digitaria humbertii"
"Digitaria insularis","Digitaria insularis",5289938,"SPECIES","Digitaria insularis (L.) Mez ex Ekman","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Digitaria insularis"
"Digitaria longiflora","Digitaria longiflora",5289974,"SPECIES","Digitaria longiflora (Retz.) Pers.","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Digitaria longiflora"
"Digitaria radicosa","Digitaria radicosa",5289954,"SPECIES","Digitaria radicosa (J.Presl) Miq.","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Digitaria radicosa"
"Digitaria sanguinalis","Digitaria sanguinalis",5289972,"SPECIES","Digitaria sanguinalis (L.) Scop.","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Digitaria sanguinalis"
"Dimetia capitellata","Dimetia capitellata",9284073,"SPECIES","Dimetia capitellata (Wall. ex G.Don) Neupane & N.Wikstr.","Tracheophyta","Gentianales","Rubiaceae","EXACT_ACCEPTED","SPECIES","Dimetia capitellata"
"Dinebra perrieri","Dinebra perrieri",4123823,"SPECIES","Dinebra perrieri (A.Camus) Bosser","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Dinebra perrieri"
"Dinebra retroflexa","Dinebra retroflexa",2703240,"SPECIES","Dinebra retroflexa (Vahl) Panz.","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Dinebra retroflexa"
