"original_taxa","accepted_gbif","gbif_key","gbif_rank","gbif_full_name","gbif_phylum","gbif_order","gbif_family","gbif_status","accepted_rank","accepted_taxa"
"Abelmoschus esculentus","Abelmoschus esculentus",3152707,"SPECIES","Abelmoschus esculentus (L.) Moench","Tracheophyta","Malvales","Malvaceae","EXACT_ACCEPTED","SPECIES","Abelmoschus esculentus"
"Abelmoschus ficulneus","Abelmoschus ficulneus",3940858,"SPECIES","Abelmoschus ficulneus (L.) Wight & Arn. ex Wight","Tracheophyta","Malvales","Malvaceae","EXACT_ACCEPTED","SPECIES","Abelmoschus ficulneus"
"Abrus canescens","Abrus canescens",5348704,"SPECIES","Abrus canescens Welw. ex Baker","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Abrus canescens"
"Abrus precatorius","Abrus precatorius",5348711,"SPECIES","Abrus precatorius L.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Abrus precatorius"
"Abutilon","Abutilon",3152599,"GENUS","Abutilon Tourn. ex Mill.","Tracheophyta","Malvales","Malvaceae","HIGHERRANK_ACCEPTED","GENUS","Abutilon"
"Abutilon angulatum","Abutilon angulatum",7279613,"SPECIES","Abutilon angulatum (Guill. & Perr.) Mast.","Tracheophyta","Malvales","Malvaceae","EXACT_ACCEPTED","SPECIES","Abutilon angulatum"
"Abutilon indicum","Abutilon indicum",3152634,"SPECIES","Abutilon indicum (L.) Sweet","Tracheophyta","Malvales","Malvaceae","EXACT_ACCEPTED","SPECIES","Abutilon indicum"
"Abutilon mauritianum","Abutilon mauritianum",3937512,"SPECIES","Abutilon mauritianum (Jacq.) Medik.","Tracheophyta","Malvales","Malvaceae","EXACT_ACCEPTED","SPECIES","Abutilon mauritianum"
"Abutilon pseudocleistogamum","Abutilon pseudocleistogamum",7279055,"SPECIES","Abutilon pseudocleistogamum Hochr.","Tracheophyta","Malvales","Malvaceae","EXACT_ACCEPTED","SPECIES","Abutilon pseudocleistogamum"
"Acacia lunata","Acacia lunata",2979525,"SPECIES","Acacia lunata G.Lodd.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Acacia lunata"
"Acacia mangium","Acacia mangium",2979091,"SPECIES","Acacia mangium Willd.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Acacia mangium"
"Acacia mearnsii","Acacia mearnsii",2979775,"SPECIES","Acacia mearnsii De Wild.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Acacia mearnsii"
"Acacia spirorbis","Acacia spirorbis",2979347,"SPECIES","Acacia spirorbis Labill.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Acacia spirorbis"
"Acalypha","Acalypha",3055964,"GENUS","Acalypha L.","Tracheophyta","Malpighiales","Euphorbiaceae","HIGHERRANK_ACCEPTED","GENUS","Acalypha"
"Acalypha alopecuroides","Acalypha alopecuroides",3056763,"SPECIES","Acalypha alopecuroides Jacq.","Tracheophyta","Malpighiales","Euphorbiaceae","EXACT_ACCEPTED","SPECIES","Acalypha alopecuroides"
"Acalypha arvensis","Acalypha arvensis",3056742,"SPECIES","Acalypha arvensis Poepp.","Tracheophyta","Malpighiales","Euphorbiaceae","EXACT_ACCEPTED","SPECIES","Acalypha arvensis"
"Acalypha ciliata","Acalypha ciliata",3056276,"SPECIES","Acalypha ciliata Forssk.","Tracheophyta","Malpighiales","Euphorbiaceae","EXACT_ACCEPTED","SPECIES","Acalypha ciliata"
"Acalypha crenata","Acalypha crenata",3056479,"SPECIES","Acalypha crenata Hochst. ex A.Rich.","Tracheophyta","Malpighiales","Euphorbiaceae","EXACT_ACCEPTED","SPECIES","Acalypha crenata"
"Acalypha indica","Acalypha indica",3056259,"SPECIES","Acalypha indica L.","Tracheophyta","Malpighiales","Euphorbiaceae","EXACT_ACCEPTED","SPECIES","Acalypha indica"
"Acalypha paniculata","Acalypha paniculata",3057307,"SPECIES","Acalypha paniculata Miq.","Tracheophyta","Malpighiales","Euphorbiaceae","EXACT_ACCEPTED","SPECIES","Acalypha paniculata"
"Acalypha petiolaris","Acalypha petiolaris",8659209,"SPECIES","Acalypha petiolaris Hochst.","Tracheophyta","Malpighiales","Euphorbiaceae","EXACT_ACCEPTED","SPECIES","Acalypha petiolaris"
"Acalypha segetalis","Acalypha segetalis",3056915,"SPECIES","Acalypha segetalis Müll.Arg.","Tracheophyta","Malpighiales","Euphorbiaceae","EXACT_ACCEPTED","SPECIES","Acalypha segetalis"
"Acanthocereus tetragonus","Acanthocereus tetragonus",3084455,"SPECIES","Acanthocereus tetragonus (L.) Hummelinck","Tracheophyta","Caryophyllales","Cactaceae","EXACT_ACCEPTED","SPECIES","Acanthocereus tetragonus"
"Acanthospermum australe","Acanthospermum australe",3100364,"SPECIES","Acanthospermum australe (Loefl.) Kuntze","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","SPECIES","Acanthospermum australe"
"Acanthospermum hispidum","Acanthospermum hispidum",3100375,"SPECIES","Acanthospermum hispidum DC.","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","SPECIES","Acanthospermum hispidum"
"Achyranthes aspera","Achyranthes aspera",3085168,"SPECIES","Achyranthes aspera L.","Tracheophyta","Caryophyllales","Amaranthaceae","EXACT_ACCEPTED","SPECIES","Achyranthes aspera"
"Acmella caulirhiza","Acmella caulirhiza",5386755,"SPECIES","Acmella caulirhiza Delile","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","SPECIES","Acmella caulirhiza"
"Acmella uliginosa","Acmella uliginosa",5386720,"SPECIES","Acmella uliginosa (Sw.) Cass.","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","SPECIES","Acmella uliginosa"
"Acridocarpus smeathmanii","Acridocarpus smeathmannii",7888256,"SPECIES","Acridocarpus smeathmannii (DC.) Guill. & Perr.","Tracheophyta","Malpighiales","Malpighiaceae","FUZZY_ACCEPTED","SPECIES","Acridocarpus smeathmannii"
"Acroceras amplectens","Acroceras amplectens",2705723,"SPECIES","Acroceras amplectens Stapf","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Acroceras amplectens"
"Acroceras gabunense","Acroceras gabunense",4139836,"SPECIES","Acroceras gabunense (Hack.) Clayton","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Acroceras gabunense"
"Acroceras hubbardii","Acroceras hubbardii",4139826,"SPECIES","Acroceras hubbardii (A.Camus) Clayton","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Acroceras hubbardii"
"Acroceras zizanioides","Acroceras zizanioides",4139637,"SPECIES","Acroceras zizanioides (Kunth) Dandy","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Acroceras zizanioides"
"Adenia cissampeloides","Adenia cissampeloides",5527841,"SPECIES","Adenia cissampeloides (Planch. ex Hook.) Harms","Tracheophyta","Malpighiales","Passifloraceae","EXACT_ACCEPTED","SPECIES","Adenia cissampeloides"
"Adenia gracilis","Adenia cissampeloides",5527841,"SPECIES","Adenia cissampeloides (Planch. ex Hook.) Harms","Tracheophyta","Malpighiales","Passifloraceae","EXACT_SYNONYM","SPECIES","Adenia cissampeloides"
"Adenia lobata","Adenia lobata",7693710,"SPECIES","Adenia lobata (Jacq.) Engl.","Tracheophyta","Malpighiales","Passifloraceae","EXACT_ACCEPTED","SPECIES","Adenia lobata"
"Adenopodia scelerata","Adenopodia scelerata",2952363,"SPECIES","Adenopodia scelerata (A.Chev.) Brenan","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Adenopodia scelerata"
"Adenosma indiana","Adenosma indiana",7685146,"SPECIES","Adenosma indiana (Lour.) Merr.","Tracheophyta","Lamiales","Plantaginaceae","EXACT_ACCEPTED","SPECIES","Adenosma indiana"
"Adiantum vogelii","Adiantum vogelii",8423424,"SPECIES","Adiantum vogelii Mett. ex Keyserl.","Tracheophyta","Polypodiales","Pteridaceae","EXACT_ACCEPTED","SPECIES","Adiantum vogelii"
"Aerva javanica","Aerva javanica",7925519,"SPECIES","Aerva javanica (Burm.fil.) Juss.","Tracheophyta","Caryophyllales","Amaranthaceae","EXACT_ACCEPTED","SPECIES","Aerva javanica"
"Aeschynomene",NA,NA,NA,NA,NA,NA,NA,"NONE_NA","GENUS","Aeschynomene"
"Aeschynomene afraspera","Aeschynomene afraspera",2949307,"SPECIES","Aeschynomene afraspera J.Léonard","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Aeschynomene afraspera"
"Aeschynomene americana","Aeschynomene americana",2949235,"SPECIES","Aeschynomene americana L.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Aeschynomene americana"
"Aeschynomene indica","Aeschynomene indica",2949250,"SPECIES","Aeschynomene indica L.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Aeschynomene indica"
"Aeschynomene patula","Aeschynomene patula",2949035,"SPECIES","Aeschynomene patula Poir.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Aeschynomene patula"
"Aeschynomene sensitiva","Aeschynomene sensitiva",2949316,"SPECIES","Aeschynomene sensitiva Sw.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Aeschynomene sensitiva"
"Aframomum alboviolaceum","Aframomum alboviolaceum",2758911,"SPECIES","Aframomum alboviolaceum (Ridl.) K.Schum.","Tracheophyta","Zingiberales","Zingiberaceae","EXACT_ACCEPTED","SPECIES","Aframomum alboviolaceum"
"Afrocayratia gracilis","Afrocayratia gracilis",11568490,"SPECIES","Afrocayratia gracilis (Guill. & Perr.) J.Wen & Z.D.Chen","Tracheophyta","Vitales","Vitaceae","EXACT_ACCEPTED","SPECIES","Afrocayratia gracilis"
"Afrohybanthus enneaspermus","Pigea enneasperma",11446635,"SPECIES","Pigea enneasperma (L.) P.I.Forst.","Tracheophyta","Malpighiales","Violaceae","EXACT_SYNONYM","SPECIES","Pigea enneasperma"
"Aganope leucobotrya","Aganope leucobotrya",2976776,"SPECIES","Aganope leucobotrya (Dunn) Polhill","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Aganope leucobotrya"
"Agelaea pentagyna","Agelaea pentagyna",8048616,"SPECIES","Agelaea pentagyna (Lam.) Baill.","Tracheophyta","Oxalidales","Connaraceae","EXACT_ACCEPTED","SPECIES","Agelaea pentagyna"
"Ageratina riparia","Ageratina riparia",5400790,"SPECIES","Ageratina riparia (Regel) R.M.King & H.Rob.","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","SPECIES","Ageratina riparia"
"Ageratum conyzoides","Ageratum conyzoides",5401673,"SPECIES","Ageratum conyzoides L.","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","SPECIES","Ageratum conyzoides"
"Ageratum houstonianum","Ageratum houstonianum",5401760,"SPECIES","Ageratum houstonianum Mill.","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","SPECIES","Ageratum houstonianum"
"Agrostis capillaris","Agrostis capillaris",2706490,"SPECIES","Agrostis capillaris L.","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Agrostis capillaris"
"Agrostis salaziensis","Agrostis salaziensis",4117222,"SPECIES","Agrostis salaziensis C.Cordem.","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Agrostis salaziensis"
"Alafia barteri","Alafia barteri",5536003,"SPECIES","Alafia barteri Oliv.","Tracheophyta","Gentianales","Apocynaceae","EXACT_ACCEPTED","SPECIES","Alafia barteri"
"Albertisia cordifolia","Albertisia cordifolia",5592697,"SPECIES","Albertisia cordifolia (Mangenot & J.Miège) Forman","Tracheophyta","Ranunculales","Menispermaceae","EXACT_ACCEPTED","SPECIES","Albertisia cordifolia"
"Albertisia scandens","Albertisia scandens",5592681,"SPECIES","Albertisia scandens (Mangenot & J.Miège) Forman","Tracheophyta","Ranunculales","Menispermaceae","EXACT_ACCEPTED","SPECIES","Albertisia scandens"
"Albizia adianthifolia","Albizia adianthifolia",2972915,"SPECIES","Albizia adianthifolia (Schumach.) W.Wight","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Albizia adianthifolia"
"Albizia chinensis","Albizia chinensis",2973197,"SPECIES","Albizia chinensis (Osbeck) Merr.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Albizia chinensis"
"Albizia dinklagei","Albizia dinklagei",2971222,"SPECIES","Albizia dinklagei (Harms) Harms","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Albizia dinklagei"
"Albizia lebbeck","Albizia lebbeck",2973215,"SPECIES","Albizia lebbeck (L.) Benth.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Albizia lebbeck"
"Albizia zygia","Albizia zygia",2973160,"SPECIES","Albizia zygia (DC.) J.F.Macbr.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Albizia zygia"
"Alchornea cordifolia","Alchornea cordifolia",3055371,"SPECIES","Alchornea cordifolia (Schumach. & Thonn.) Müll.Arg.","Tracheophyta","Malpighiales","Euphorbiaceae","EXACT_ACCEPTED","SPECIES","Alchornea cordifolia"
"Alectra linearis","Alectra linearis",3724610,"SPECIES","Alectra linearis Hepper","Tracheophyta","Lamiales","Orobanchaceae","EXACT_ACCEPTED","SPECIES","Alectra linearis"
"Allium chinense","Allium chinense",2856307,"SPECIES","Allium chinense G.Don","Tracheophyta","Asparagales","Amaryllidaceae","EXACT_ACCEPTED","SPECIES","Allium chinense"
"Allium neapolitanum","Allium neapolitanum",2856348,"SPECIES","Allium neapolitanum Cirillo","Tracheophyta","Asparagales","Amaryllidaceae","EXACT_ACCEPTED","SPECIES","Allium neapolitanum"
"Allophylus africanus","Allophylus africanus",7265050,"SPECIES","Allophylus africanus P.Beauv.","Tracheophyta","Sapindales","Sapindaceae","EXACT_ACCEPTED","SPECIES","Allophylus africanus"
"Allophylus spicatus","Allophylus spicatus",7756505,"SPECIES","Allophylus spicatus (Poir.) Radlk.","Tracheophyta","Sapindales","Sapindaceae","EXACT_ACCEPTED","SPECIES","Allophylus spicatus"
"Alloteropsis paniculata","Alloteropsis paniculata",4109308,"SPECIES","Alloteropsis paniculata (Benth.) Stapf","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Alloteropsis paniculata"
"Alstonia boonei","Alstonia boonei",5535759,"SPECIES","Alstonia boonei De Wild.","Tracheophyta","Gentianales","Apocynaceae","EXACT_ACCEPTED","SPECIES","Alstonia boonei"
"Alternanthera","Alternanthera",3084921,"GENUS","Alternanthera Forssk.","Tracheophyta","Caryophyllales","Amaranthaceae","HIGHERRANK_ACCEPTED","GENUS","Alternanthera"
"Alternanthera littoralis","Alternanthera littoralis",8137643,"SPECIES","Alternanthera littoralis P.Beauv.","Tracheophyta","Caryophyllales","Amaranthaceae","EXACT_ACCEPTED","SPECIES","Alternanthera littoralis"
"Alternanthera nodiflora","Alternanthera sessilis",3084939,"SPECIES","Alternanthera sessilis (L.) R.Br. ex DC.","Tracheophyta","Caryophyllales","Amaranthaceae","EXACT_SYNONYM","SPECIES","Alternanthera sessilis"
"Alternanthera pungens","Alternanthera pungens",3084949,"SPECIES","Alternanthera pungens Kunth","Tracheophyta","Caryophyllales","Amaranthaceae","EXACT_ACCEPTED","SPECIES","Alternanthera pungens"
"Alternanthera sessilis","Alternanthera sessilis",3084939,"SPECIES","Alternanthera sessilis (L.) R.Br. ex DC.","Tracheophyta","Caryophyllales","Amaranthaceae","EXACT_ACCEPTED","SPECIES","Alternanthera sessilis"
"Alysicarpus monilifer","Alysicarpus monilifer",2948685,"SPECIES","Alysicarpus monilifer (L.) DC.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Alysicarpus monilifer"
"Alysicarpus ovalifolius","Alysicarpus ovalifolius",8230720,"SPECIES","Alysicarpus ovalifolius (Schumach.) J.Léonard","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Alysicarpus ovalifolius"
"Alysicarpus rugosus","Alysicarpus rugosus",2948646,"SPECIES","Alysicarpus rugosus (Willd.) DC.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Alysicarpus rugosus"
"Alysicarpus vaginalis","Alysicarpus vaginalis",2948605,"SPECIES","Alysicarpus vaginalis (L.) DC.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Alysicarpus vaginalis"
"Amaranthus",NA,NA,NA,NA,NA,NA,NA,"NONE_NA","GENUS","Amaranthus"
"Amaranthus blitum","Amaranthus blitum",8911082,"SPECIES","Amaranthus blitum L.","Tracheophyta","Caryophyllales","Amaranthaceae","EXACT_ACCEPTED","SPECIES","Amaranthus blitum"
"Amaranthus blitum emarginatus","Amaranthus blitum emarginatus",7366984,"VARIETY","Amaranthus blitum var. emarginatus (Moq. ex Uline & Bray) Costea","Tracheophyta","Caryophyllales","Amaranthaceae","EXACT_ACCEPTED","VARIETY","Amaranthus blitum emarginatus"
"Amaranthus dubius","Amaranthus dubius",8279930,"SPECIES","Amaranthus dubius Mart.","Tracheophyta","Caryophyllales","Amaranthaceae","EXACT_ACCEPTED","SPECIES","Amaranthus dubius"
"Amaranthus graecizans","Amaranthus graecizans",5384373,"SPECIES","Amaranthus graecizans L.","Tracheophyta","Caryophyllales","Amaranthaceae","EXACT_ACCEPTED","SPECIES","Amaranthus graecizans"
"Amaranthus hybridus","Amaranthus hybridus",5384364,"SPECIES","Amaranthus hybridus L.","Tracheophyta","Caryophyllales","Amaranthaceae","EXACT_ACCEPTED","SPECIES","Amaranthus hybridus"
"Amaranthus spinosus","Amaranthus spinosus",5384401,"SPECIES","Amaranthus spinosus L.","Tracheophyta","Caryophyllales","Amaranthaceae","EXACT_ACCEPTED","SPECIES","Amaranthus spinosus"
"Amaranthus viridis","Amaranthus viridis",5384334,"SPECIES","Amaranthus viridis L.","Tracheophyta","Caryophyllales","Amaranthaceae","EXACT_ACCEPTED","SPECIES","Amaranthus viridis"
"Ammannia","Ammannia",3188707,"GENUS","Ammannia L.","Tracheophyta","Myrtales","Lythraceae","HIGHERRANK_ACCEPTED","GENUS","Ammannia"
"Ammannia auriculata","Ammannia auriculata",3188714,"SPECIES","Ammannia auriculata Willd.","Tracheophyta","Myrtales","Lythraceae","EXACT_ACCEPTED","SPECIES","Ammannia auriculata"
"Ammannia baccifera","Ammannia baccifera",3188716,"SPECIES","Ammannia baccifera L.","Tracheophyta","Myrtales","Lythraceae","EXACT_ACCEPTED","SPECIES","Ammannia baccifera"
"Ammannia gracilis","Ammannia gracilis",3989689,"SPECIES","Ammannia gracilis Guill. & Perr.","Tracheophyta","Myrtales","Lythraceae","EXACT_ACCEPTED","SPECIES","Ammannia gracilis"
"Ammannia prieureana","Ammannia prieureana",7528593,"SPECIES","Ammannia prieureana Guill. & Per.","Tracheophyta","Myrtales","Lythraceae","EXACT_ACCEPTED","SPECIES","Ammannia prieureana"
"Amorphophallus","Amorphophallus",2871389,"GENUS","Amorphophallus Blume ex Decne.","Tracheophyta","Alismatales","Araceae","HIGHERRANK_ACCEPTED","GENUS","Amorphophallus"
"Amorphophallus johnsonii","Amorphophallus johnsonii",2871445,"SPECIES","Amorphophallus johnsonii N.E.Br.","Tracheophyta","Alismatales","Araceae","EXACT_ACCEPTED","SPECIES","Amorphophallus johnsonii"
"Amorphophallus paeoniifolius","Amorphophallus paeoniifolius",2871533,"SPECIES","Amorphophallus paeoniifolius (Dennst.) Nicolson","Tracheophyta","Alismatales","Araceae","EXACT_ACCEPTED","SPECIES","Amorphophallus paeoniifolius"
"Ampelocissus leonensis","Ampelocissus leonensis",4053726,"SPECIES","Ampelocissus leonensis (Hook.fil.) Planch.","Tracheophyta","Vitales","Vitaceae","EXACT_ACCEPTED","SPECIES","Ampelocissus leonensis"
"Ampelocissus multistriata","Ampelocissus multistriata",4053581,"SPECIES","Ampelocissus multistriata (Baker) Planch.","Tracheophyta","Vitales","Vitaceae","EXACT_ACCEPTED","SPECIES","Ampelocissus multistriata"
"Anadelphia afzeliana","Anadelphia afzeliana",4155196,"SPECIES","Anadelphia afzeliana (Rendle) Stapf","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Anadelphia afzeliana"
"Ananas comosus","Ananas comosus",5288819,"SPECIES","Ananas comosus (L.) Merr.","Tracheophyta","Poales","Bromeliaceae","EXACT_ACCEPTED","SPECIES","Ananas comosus"
"Anchomanes difformis","Anchomanes difformis",2870404,"SPECIES","Anchomanes difformis (Blume) Engl.","Tracheophyta","Alismatales","Araceae","EXACT_ACCEPTED","SPECIES","Anchomanes difformis"
"Ancylobothrys petersiana","Ancylobothrys petersiana",3618024,"SPECIES","Ancylobothrys petersiana (Klotzsch) Pierre","Tracheophyta","Gentianales","Apocynaceae","EXACT_ACCEPTED","SPECIES","Ancylobothrys petersiana"
"Andropogon gayanus","Andropogon gayanus",2706112,"SPECIES","Andropogon gayanus Kunth","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Andropogon gayanus"
"Andropogon gayanus bisquamulatus","Andropogon gayanus bisquamulatus",4932044,"VARIETY","Andropogon gayanus var. bisquamulatus (Hochst.) Hack.","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","VARIETY","Andropogon gayanus bisquamulatus"
"Andropogon leucostachyus","Andropogon leucostachyus",2706096,"SPECIES","Andropogon leucostachyus Kunth","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Andropogon leucostachyus"
"Andropogon tectorum","Andropogon tectorum",4138947,"SPECIES","Andropogon tectorum Schumach. & Thonn.","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Andropogon tectorum"
"Aneilema","Aneilema",2763207,"GENUS","Aneilema R.Br.","Tracheophyta","Commelinales","Commelinaceae","HIGHERRANK_ACCEPTED","GENUS","Aneilema"
"Aneilema beniniense","Aneilema beniniense",2763233,"SPECIES","Aneilema beniniense (P.Beauv.) Kunth","Tracheophyta","Commelinales","Commelinaceae","EXACT_ACCEPTED","SPECIES","Aneilema beniniense"
"Aneilema lanceolatum","Aneilema lanceolatum",2763219,"SPECIES","Aneilema lanceolatum Benth.","Tracheophyta","Commelinales","Commelinaceae","EXACT_ACCEPTED","SPECIES","Aneilema lanceolatum"
"Aneilema paludosum","Aneilema paludosum",2763334,"SPECIES","Aneilema paludosum A.Chev.","Tracheophyta","Commelinales","Commelinaceae","EXACT_ACCEPTED","SPECIES","Aneilema paludosum"
"Aneilema umbrosum","Aneilema umbrosum",2763283,"SPECIES","Aneilema umbrosum (Vahl) Kunth","Tracheophyta","Commelinales","Commelinaceae","EXACT_ACCEPTED","SPECIES","Aneilema umbrosum"
"Angylocalyx oligophyllus","Angylocalyx oligophyllus",2952349,"SPECIES","Angylocalyx oligophyllus (Baker) Baker f.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Angylocalyx oligophyllus"
"Aniseia martinicensis","Aniseia martinicensis",2928410,"SPECIES","Aniseia martinicensis (Jacq.) Choisy","Tracheophyta","Solanales","Convolvulaceae","EXACT_ACCEPTED","SPECIES","Aniseia martinicensis"
"Annona",NA,NA,NA,NA,NA,NA,NA,"NONE_NA","GENUS","Annona"
"Annona senegalensis","Annona senegalensis",5407251,"SPECIES","Annona senegalensis Pers.","Tracheophyta","Magnoliales","Annonaceae","EXACT_ACCEPTED","SPECIES","Annona senegalensis"
"Anopyxis klaineana","Anopyxis klaineana",8286259,"SPECIES","Anopyxis klaineana (Pierre) Engl.","Tracheophyta","Malpighiales","Rhizophoraceae","EXACT_ACCEPTED","SPECIES","Anopyxis klaineana"
"Anredera cordifolia","Anredera cordifolia",3083508,"SPECIES","Anredera cordifolia (Ten.) Steenis","Tracheophyta","Caryophyllales","Basellaceae","EXACT_ACCEPTED","SPECIES","Anredera cordifolia"
"Anthephora cristata","Anthephora cristata",4135512,"SPECIES","Anthephora cristata (Döll) Hack. ex De Wild. & T.Durand","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Anthephora cristata"
"Anthocleista djalonensis","Anthocleista djalonensis",4019367,"SPECIES","Anthocleista djalonensis A.Chev.","Tracheophyta","Gentianales","Gentianaceae","EXACT_ACCEPTED","SPECIES","Anthocleista djalonensis"
"Anthocleista nobilis","Anthocleista nobilis",4019114,"SPECIES","Anthocleista nobilis G.Don","Tracheophyta","Gentianales","Gentianaceae","EXACT_ACCEPTED","SPECIES","Anthocleista nobilis"
"Anthocleista procera","Anthocleista procera",4019060,"SPECIES","Anthocleista procera Lepr. ex Bureau","Tracheophyta","Gentianales","Gentianaceae","EXACT_ACCEPTED","SPECIES","Anthocleista procera"
"Anthocleista vogelii","Anthocleista vogelii",4018973,"SPECIES","Anthocleista vogelii Planch.","Tracheophyta","Gentianales","Gentianaceae","EXACT_ACCEPTED","SPECIES","Anthocleista vogelii"
"Anthoxanthum odoratum","Anthoxanthum odoratum",2705975,"SPECIES","Anthoxanthum odoratum L.","Tracheophyta","Poales","Poaceae","EXACT_ACCEPTED","SPECIES","Anthoxanthum odoratum"
"Antiaris toxicaria","Antiaris toxicaria",7262663,"SPECIES","Antiaris toxicaria (Pers.) Lesch.","Tracheophyta","Rosales","Moraceae","EXACT_ACCEPTED","SPECIES","Antiaris toxicaria"
"Antigonon leptopus","Antigonon leptopus",2889355,"SPECIES","Antigonon leptopus Hook. & Arn.","Tracheophyta","Caryophyllales","Polygonaceae","EXACT_ACCEPTED","SPECIES","Antigonon leptopus"
"Antrocaryon micraster","Antrocaryon micraster",3660638,"SPECIES","Antrocaryon micraster A.Chev. & Guillaumin","Tracheophyta","Sapindales","Anacardiaceae","EXACT_ACCEPTED","SPECIES","Antrocaryon micraster"
"Aponogeton vallisnerioides","Aponogeton vallisnerioides",5328592,"SPECIES","Aponogeton vallisnerioides Baker","Tracheophyta","Alismatales","Aponogetonaceae","EXACT_ACCEPTED","SPECIES","Aponogeton vallisnerioides"
"Arachis",NA,NA,NA,NA,NA,NA,NA,"NONE_NA","GENUS","Arachis"
"Arachis hypogaea","Arachis hypogaea",5353770,"SPECIES","Arachis hypogaea L.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Arachis hypogaea"
"Arachis pintoi","Arachis pintoi",5353826,"SPECIES","Arachis pintoi Krapov. & W.C.Greg.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Arachis pintoi"
"Aralia","Aralia",3036858,"GENUS","Aralia L.","Tracheophyta","Apiales","Araliaceae","HIGHERRANK_ACCEPTED","GENUS","Aralia"
"Argemone mexicana","Argemone mexicana",2888485,"SPECIES","Argemone mexicana L.","Tracheophyta","Ranunculales","Papaveraceae","EXACT_ACCEPTED","SPECIES","Argemone mexicana"
"Argomuellera macrophylla","Argomuellera macrophylla",3074876,"SPECIES","Argomuellera macrophylla Pax","Tracheophyta","Malpighiales","Euphorbiaceae","EXACT_ACCEPTED","SPECIES","Argomuellera macrophylla"
"Arillastrum gummiferum","Arillastrum gummiferum",3187987,"SPECIES","Arillastrum gummiferum (Brongn. & Gris) Pancher ex Baill.","Tracheophyta","Myrtales","Myrtaceae","EXACT_ACCEPTED","SPECIES","Arillastrum gummiferum"
"Aristida","Aristida",2706249,"GENUS","Aristida L.","Tracheophyta","Poales","Poaceae","HIGHERRANK_ACCEPTED","GENUS","Aristida"
