"synonym_taxa","accepted_taxa"
"Eichhornia natans","Pontederia natans"
"Euphorbia cyathophora","Euphorbia heterophylla cyathophora"
"Euphorbia glomerifera","Euphorbia hypericifolia"
"Euphorbia thymifolia","Euphorbia scordiifolia"
"Eragrostis amabilis wight & arn","Eragrostis viscosa"
"Fimbristylis debilis","Fimbristylis signata"
"Fimbristylis dichotoma pluristriata","Fimbristylis dichotoma podocarpa"
"Fimbristylis exilis","Bulbostylis hispidula hispidula"
"Fimbristylis hispidula senegalensis","Bulbostylis hispidula senegalensis"
"Ficus hirta","Ficus simplicissima"
"Mitragyna ledermannii risdale","Mitragyna stipulosa"
"Anomatheca laxa","Freesia laxa"
"Chrysophyllum subnudum baker","Gambeya subnuda"
"Gladiolus natalensis","Gladiolus dalenii"
"Gnaphalium luteoalbum","Helichrysum luteoalbum"
"Gnaphalium purpureum","Gamochaeta purpurea"
"Exolobus patens efourn","Gonolobus rostratus"
"Cleome gynandra","Gynandropsis gynandra"
"Heliotropium ovalifolium","Euploca ovalifolia"
"Heliotropium subulatum","Heliotropium zeylanicum"
"Heliotropium strigosum","Euploca strigosa"
"Hewittia sublobata","Hewittia malabarica"
"Pellaea doniata","Pellaea doniana"
"Hyptis rhomboidea","Hyptis capitata"
"Hyptis pectinata","Mesosphaerum pectinatum"
"Hyptis spicigera","Cantinoa americana"
"Hyptis suaveolens","Mesosphaerum suaveolens"
"Diodia scandens sw","Hexasepalum scandens"
"Hybanthus enneaspermus fmuell","Pigea enneasperma"
"Hydrolea glabra schumach & thonn","Hydrolea palustris"
"Hedyotis tenelliflora","Scleromitrion tenelliflorum"
"Indigofera endecaphylla jacq","Indigofera hendecaphylla"
"Indigofera parviflora","Indigastrum parviflorum"
"Impatiens flavida","Impatiens trilobata"
"Iphigenia ledermanii","Iphigenia pauciflora"
"Ipomoea fistulosa mart & choisy","Ipomoea carnea fistulosa"
"Laurentia longiflora peterm","Hippobroma longiflora"
"Justicia galeopsis t anderson ex cb clarke","Justicia ladanoides"
"Kohautia senegalensis","Kohautia tenuis"
"Crinum sanderianum","Crinum ornatum"
"Ctenitis protensa ching","Triplophyllum protensum"
"Mangenotia eburnea","Cryptolepis eburnea"
"Parquetina nigrescens bullock","Cryptolepis nigrescens"
"Kyllinga bulbosa pbeauv","Cyperus richardii"
"Kyllinga erecta schumach","Cyperus erectus"
"Kyllinga pumila michx","Cyperus hortensis"
"Kyllinga squamulata vahl","Cyperus metzii"
"Kyllinga tenuifolia steud","Cyperus tenuifolius"
"Scilla sudanica achev","Ledebouria sudanica"
"Blumea aurita","Pseudoconyza viscosa"
"Laggera pterodonta","Laggera crispata"
"Adenopus breviflorus","Lagenaria breviflora"
"Adenopus guineensis","Lagenaria guineensis"
"Lipocarpha chinensis jkern","Cyperus albescens"
"Lindernia antipoda","Bonnaya antipoda"
"Lindernia crustacea fmuell","Torenia crustacea"
"Lindernia diffusa","Vandellia diffusa"
"Lindernia nummulariifolia wettst","Craterostigma nummulariifolium"
"Vernonia hillii","Linzia ituriensis"
"Sonchus rarifolius","Launaea rarifolia"
"Lonchocarpus cyanescens","Philenoptera cyanescens"
"Crotalaria micrantha","Lotononis rostrata"
"Ludwigia stolonifera ph raven","Ludwigia adscendens diffusa"
"Mariscus cylindrostachys","Cyperus cyperinus"
"Mariscus flabelliformis kunth","Cyperus tenuis"
"Mariscus cylindristachyus","Cyperus cyperoides"
"Mariscus quarrosus","Cyperus squarrosus"
"Marsilea crenata","Marsilea minuta"
"Monodora brevipes","Monodora undulata"
"Melothria maderaspatana","Cucumis maderaspatanus"
"Melanthera scandens","Lipotriche scandens"
"Phyllanthus discoideus","Margaritaria discoidea"
