"id","euromed_name","tpl_name","ncbitaxon_uri"
837,Phalaris brachystachys,Phalaris brachystachys,
838,Phalaris canariensis,Phalaris canariensis,
839,Phalaris minor,Phalaris minor,
840,Phalaris paradoxa,Phalaris paradoxa,
841,Phalaroides arundinacea,Phalaris arundinacea,
842,Phleum ambiguum,Phleum hirsutum,
843,Phleum exaratum,Phleum exaratum,
844,Phleum pratense,Phleum pratense,
845,Phragmites australis,Phragmites australis,
846,Physalis peruviana,Physalis peruviana,
847,Physocarpus opulifolius,Physocarpus opulifolius,
848,Phytolacca americana,Phytolacca americana,
849,Picnomon acarna,Picnomon acarna,
850,Picris,Picris,
851,Picris hieracioides,Picris hieracioides,
852,Pilosella officinarum,Pilosella officinarum,
853,Pimpinella major,Pimpinella major,
854,Pimpinella saxifraga,Pimpinella saxifraga,
855,Pinus sylvestris,Pinus sylvestris,
856,Piptatherum,Piptatherum,
857,Pisum,Pisum,
858,Pisum sativum,Pisum sativum,
859,Plantago,Plantago,
860,Plantago afra,Plantago afra,
861,Plantago albicans,Plantago albicans,
862,Plantago altissima,Plantago altissima,
863,Plantago arenaria,Plantago indica,
864,Plantago bellardii,Plantago bellardii,
865,Plantago coronopus,Plantago coronopus,
866,Plantago lagopus,Plantago lagopus,
867,Plantago lanceolata,Plantago lanceolata,
868,Plantago major,Plantago major,
869,Plantago major subsp. intermedia,Plantago uliginosa,
870,Plantago major subsp. intermedia,Plantago major subsp. intermedia,
871,Plantago media,Plantago media,
872,Plantago pauciflora,Plantago barbata subsp. monanthos,
873,Poa,Poa,
874,Poa angustifolia,Poa angustifolia,
875,Poa bulbosa,Poa bulbosa,
876,Poa compressa,Poa compressa,
877,Poa nemoralis,Poa nemoralis,
878,Poa palustris,Poa palustris,
879,Poa pratensis,Poa pratensis,
880,Poa trivialis,Poa trivialis,
881,Poa trivialis subsp. trivialis,Poa trivialis,
882,Podospermum,Podospermum,
883,Podospermum laciniatum,Podospermum laciniatum,
884,Polycarpon tetraphyllum,Polycarpon tetraphyllum,
885,Polygala monspeliaca,Polygala monspeliaca,
886,Polygonum,Polygonum,
887,Polygonum aviculare,Polygonum aviculare,
888,Polygonum bellardii,Polygonum bellardii,
889,Polypogon monspeliensis,Polypogon monspeliensis,
890,Populus tremula,Populus tremula,
891,Portulaca oleracea,Portulaca oleracea,
892,Potentilla,Potentilla,
893,Potentilla argentea,Potentilla argentea,
894,Potentilla crantzii,Potentilla crantzii,
895,Potentilla indica,Duchesnea indica,
896,Potentilla micrantha,Potentilla micrantha,
897,Potentilla norvegica,Potentilla norvegica,
898,Potentilla reptans,Potentilla reptans,
899,Potentilla supina,Potentilla supina,
900,Primula veris,Primula veris,
901,Prunella vulgaris,Prunella vulgaris,
902,Prunus,Prunus,
903,Pteridium aquilinum,Pteridium aquilinum,
904,Pulicaria arabica subsp. hispanica,Pulicaria arabica subsp. hispanica,
905,Pulicaria vulgaris,Pulicaria vulgaris,
906,Quercus,Quercus,
907,Quercus robur,Quercus robur,
908,Ranunculus,Ranunculus,
909,Ranunculus acris,Ranunculus acris,
910,Ranunculus arvensis,Ranunculus arvensis,
911,Ranunculus bulbosus,Ranunculus bulbosus,
912,Ranunculus muricatus,Ranunculus muricatus,
913,Ranunculus parviflorus,Ranunculus parviflorus,
914,Ranunculus repens,Ranunculus repens,
915,Ranunculus sardous,Ranunculus sardous,
916,Ranunculus sceleratus,Ranunculus sceleratus,
917,Raphanus,Raphanus,
918,Raphanus raphanistrum,Raphanus raphanistrum,
919,Raphanus sativus,Raphanus raphanistrum subsp. sativus,
920,Rapistrum perenne,Rapistrum perenne,
921,Rapistrum rugosum,Rapistrum rugosum,
922,Reichardia picroides,Reichardia picroides,
923,Reseda,Reseda,
924,Reseda alba,Reseda alba,
925,Reseda lanceolata,Reseda lanceolata,
926,Reseda lutea,Reseda lutea,
927,Reseda luteola,Reseda luteola,
928,Reseda phyteuma,Reseda phyteuma,
929,Reseda undata,Reseda undata,
930,Retama sphaerocarpa,Retama sphaerocarpa,
931,Reynoutria japonica,Reynoutria japonica,
932,Rhagadiolus stellatus,Rhagadiolus stellatus,
933,Rhinanthus,Rhinanthus,
934,Rhinanthus alectorolophus,Rhinanthus alectorolophus,
935,Rhinanthus minor,Rhinanthus minor,
936,Ridolfia segetum,Ridolfia segetum,
937,Robinia pseudoacacia,Robinia pseudoacacia,
938,Roemeria hybrida,Roemeria hybrida,
939,Rorippa,Rorippa,
940,Rorippa amphibia,Rorippa amphibia,
941,Rorippa austriaca,Rorippa austriaca,
942,Rorippa islandica,Rorippa islandica,
943,Rorippa palustris,Rorippa palustris,
944,Rorippa sylvestris,Rorippa sylvestris,
945,Rosa,Rosa,
946,Rostraria cristata,Rostraria cristata,
947,Rubus,Rubus,
948,Rubus arcticus,Rubus arcticus,
949,Rubus caesius,Rubus caesius,
950,Rubus ulmifolius,Rubus ulmifolius,
951,Rubus vestitus,Rubus vestitus,
952,Rumex,Rumex,
953,Rumex acetosa,Rumex acetosa,
954,Rumex acetosella,Rumex acetosella,
955,Rumex acetosella subsp. acetosella,Rumex acetosella,
956,Rumex bucephalophorus,Rumex bucephalophorus,
957,Rumex confertus,Rumex confertus,
958,Rumex conglomeratus,Rumex conglomeratus,
959,Rumex crispus,Rumex crispus,
960,Rumex obtusifolius,Rumex obtusifolius,
961,Rumex palustris,Rumex palustris,
962,Rumex pulcher,Rumex pulcher,
963,Rumex sanguineus,Rumex sanguineus,
964,Rumex stenophyllus,Rumex stenophyllus,
965,Rumex thyrsiflorus,Rumex thyrsiflorus,
966,Ruta chalepensis,Ruta chalepensis,
967,Ruta graveolens,Ruta graveolens,
968,Sagina apetala,Sagina apetala,
969,Sagina procumbens,Sagina procumbens,
970,Salix,Salix,
971,Salsola kali,Salsola kali,
972,Salvia,Salvia,
973,Salvia pratensis,Salvia pratensis,
974,Salvia sclarea,Salvia sclarea,
975,Salvia verbenaca,Salvia verbenaca,
976,Salvia viridis,Salvia viridis,
977,Sambucus ebulus,Sambucus ebulus,
978,Sambucus nigra,Sambucus nigra,
979,Sanguisorba,Sanguisorba,
980,Sanguisorba minor,Sanguisorba minor,
981,Santolina chamaecyparissus,Santolina chamaecyparissus,
982,Saxifraga tridactylites,Saxifraga tridactylites,
983,Scabiosa,Scabiosa,
984,Scandix pecten-veneris,Scandix pecten-veneris,
985,Schedonorus arundinaceus,Festuca arundinacea,
986,Schedonorus pratensis,Festuca pratensis,
987,Scleranthus annuus,Scleranthus annuus,
988,Scleranthus perennis,Scleranthus perennis,
989,Sclerochloa dura,Sclerochloa dura,
990,Scolymus,Scolymus,
991,Scolymus hispanicus,Scolymus hispanicus,
992,Scolymus maculatus,Scolymus maculatus,
993,Scorpiurus muricatus,Scorpiurus muricatus,
