original_ID;DB;original_taxa;accepted_taxa;original_taxa_Tichy2022
AGSGI;BE_ANN_EXPLORE;Agrostis gigantea;Agrostis gigantea;Agrostis gigantea
PLAME;BE_ANN_EXPLORE;Plantago media;Plantago media;Plantago media
NELNU;BE_ANN_EXPLORE;Nelumbo nucifera;Nelumbo nucifera;Nelumbo nucifera
STEGR;BE_ANN_EXPLORE;Stellaria graminea;Stellaria graminea;Stellaria graminea
RHIMI;BE_ANN_EXPLORE;Rhinanthus minor;Rhinanthus minor;Rhinanthus minor
EPHPP;BE_ANN_EXPLORE;Ephippiger perforatus;Ephippiger perforatus;NA
POANE;BE_ANN_EXPLORE;Poa nemoralis;Poa nemoralis;Poa nemoralis
MYOCO;BE_ANN_EXPLORE;Myosotis corsicana;Myosotis corsicana;Myosotis corsicana
CNSRE;BE_ANN_EXPLORE;Consolida regalis;Delphinium consolida;Consolida regalis
ARILE;BE_ANN_EXPLORE;Arenaria leptoclados;Arenaria leptoclados;Arenaria leptoclados
MEAAR;BE_ANN_EXPLORE;Melampyrum arvense;Melampyrum arvense;Melampyrum arvense
VLLSS;BE_ANN_EXPLORE;Valerianella;Valerianella;Valerianella coronata_Valerianella dentata_Valerianella discoidea_Valerianella echinata_Valerianella eriocarpa_Valerianella locusta_Valerianella microcarpa
LTHTU;BE_ANN_EXPLORE;Lathyris tuberosus;Lathyrus tuberosus;Lathyrus tuberosus
BROAV;BE_ANN_EXPLORE;Bromus arvensis;Bromus arvensis;Bromus arvensis
VICSS;BE_ANN_EXPLORE;Vicia;Vicia;Lens culinaris_Vicia benghalensis_Vicia bithynica_Vicia cracca_Vicia disperma_Vicia grandiflora_Vicia hybrida_Vicia lathyroides_Vicia lutea_Vicia monantha_Vicia narbonensis_Vicia pannonica_Vicia peregrina_Vicia pisiformis_Vicia sativa_Vicia sepium_Vicia serratifolia_Vicia tenuifolia_Vicia villosa
SINSS;BE_ANN_EXPLORE;Sinapis;Sinapis;Sinapis alba_Sinapis arvensis
BRSSS;BE_ANN_EXPLORE;Bromus;Bromus;Bromus arvensis_Bromus commutatus_Bromus grossus_Bromus hordeaceus_Bromus japonicus_Bromus lanceolatus_Bromus racemosus_Bromus secalinus_Bromus squarrosus
VERSS;BE_ANN_EXPLORE;Veronica;Veronica;Veronica acinifolia_Veronica agrestis_Veronica anagallis-aquatica_Veronica arvensis_Veronica beccabunga_Veronica catenata_Veronica chamaedrys aggr._Veronica cymbalaria_Veronica filiformis_Veronica hederifolia aggr._Veronica montana_Veronica officinalis_Veronica opaca_Veronica persica_Veronica polita_Veronica praecox_Veronica prostrata_Veronica serpyllifolia_Veronica spicata_Veronica triphyllos_Veronica verna
GALTC;BE_ANN_EXPLORE;Galium tricornutum;Galium tricornutum;Galium tricornutum
GLEHE;BE_ANN_EXPLORE;Glechoma hederacea;Glechoma hederacea;Glechoma hederacea
TRFSS;BE_ANN_EXPLORE;Trifolium;Trifolium;Trifolium alpestre_Trifolium angustifolium_Trifolium arvense_Trifolium aureum_Trifolium campestre_Trifolium cherleri_Trifolium dubium_Trifolium fragiferum_Trifolium glomeratum_Trifolium hirtum_Trifolium hybridum_Trifolium incarnatum_Trifolium lappaceum_Trifolium medium_Trifolium michelianum_Trifolium micranthum_Trifolium montanum_Trifolium nigrescens_Trifolium pallidum_Trifolium pratense_Trifolium repens_Trifolium resupinatum_Trifolium rubens_Trifolium scabrum_Trifolium squamosum_Trifolium squarrosum_Trifolium stellatum_Trifolium striatum_Trifolium strictum_Trifolium subterraneum_Trifolium suffocatum_Trifolium tomentosum_Trifolium vesiculosum
LEBAU;BE_ANN_EXPLORE;Scorzoneroides autumnalis;Scorzoneroides autumnalis;Scorzoneroides autumnalis
LACSS;BE_ANN_EXPLORE;Lactuca;Lactuca;Lactuca muralis_Lactuca perennis_Lactuca saligna_Lactuca sativa_Lactuca serriola_Lactuca viminea_Lactuca virosa
DECCA;BE_ANN_EXPLORE;Deschampsia cespitosa;Deschampsia cespitosa;Deschampsia cespitosa aggr.
OROPE;BE_ANN_EXPLORE;Vicia nigra;Vicia angustifolia;NA
