Family,Accepted Name,Specialists,Data Quality ,Status,SLA,Plant Height,Radial Growth Rate,Flowering Onset,Flowering Duration,Clonal Spread,Clonal Index,Clonal Cyclicity,Seed Mass,Seed/ Ramet,Seedbank Longevity ,Tmin,To,Tmax,Seed Dormancy,Seeding Onset,Seeding Season,DR: unassisted,DR: wind,DR: endo,DR: exo,DR: hem,DR: myrm,DR: hydro,DR: ballis,Clonal Presence,E: Light,E: Temp,E: pH,E: Nitrogen,E: Moisture
 ~ Data Quality (/689 possible records),,,,,,525= 75%,158= 23%,616= 90%,616=90%,283= 41%,281=41%,423=61%,477=69%,224=33%,318=46%,122= 17%,387= 56%,135= 19%,266=    39%,616= 89%,616= 89%,511= 74%,511= 74%,511= 74%,511= 74%,511= 74%,511= 74%,511= 74%,511= 74%,454= 65%,303=44%,238= 35%,308= 45%,300=44%,442=64%
Campanulaceae,Phyteuma globulariifolium,A. Alpine,65.38,Included in Analysis,18.1,3,0.15,7,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,10,autumn,0,0,0,0,0,0,0.5,0.5,0,NA,NA,NA,NA,NA
Campanulaceae,Phyteuma hemisphaericum,A. Alpine,80.77,Included in Analysis,12.6,17.5,0.16,7,2,NA,NA,2,0.101,NA,NA,8,NA,35,MPD,9,late summer,0,0,0,0,0,0,0,1,0,4,2,3,1,5
Campanulaceae,Phyteuma orbiculare,Generalist,84.62,Included in Analysis,361,35,0.2,5,5,NA,NA,2,0.1975,500,0.5,NA,23,NA,MPD,10,autumn,0,0.2,0.2,0.2,0,0.2,0,0.2,0,7,NA,8,3,3.8
Campanulaceae,Phyteuma spicatum,Generalist,84.62,Included in Analysis,427.1,51.66666667,1.5,5,3,NA,NA,2,0.154222222,5000,0.5,NA,26,NA,MPD,8,late summer,0,0.166666667,0.166666667,0,0.166666667,0.166666667,0.166666667,0.166666667,0,4,4,5,4,5
Caprifoliaceae,Knautia arvensis,Generalist,84.62,Included in Analysis,160.6,48.66666667,1,5,6,NA,NA,2,3.606240909,536.1142857,1.395522388,NA,16,NA,PD,11,autumn,0,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0,7,3,8,4,3.125
Caprifoliaceae,Knautia dipsacifolia,Generalist,61.54,Included in Analysis,351.8,60,NA,6,4,NA,NA,NA,5.13,NA,0.5,NA,NA,NA,NA,10,autumn,0,0,0.333333333,0.333333333,0,0.333333333,0,0,NA,NA,NA,NA,NA,6
Caprifoliaceae,Knautia nevadensis,Meadow,0,Removed for Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caprifoliaceae,Knautia purpurea,C. Alpine,19.23,Included in Analysis,NA,50,NA,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,late summer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caprifoliaceae,Scabiosa columbaria,Dry,80.77,Included in Analysis,211.7684079,11.32,0.4,6,5,NA,NA,2,1.933636364,301.6,5,NA,15,NA,NA,11,autumn,0,0.2,0.2,0.2,0.2,0,0.2,0,0,8,NA,8,2,2.25
Caprifoliaceae,Scabiosa lucida,C. Alpine,80.77,Included in Analysis,NA,20,0.12,6,2,NA,NA,2,1.841,NA,NA,9,20,20,PD,8,late summer,0,0.333333333,0.333333333,0.333333333,0,0,0,0,0,5,3,8,3,4
Caprifoliaceae,Scabiosa ochroleuca,Dry,73.08,Included in Analysis,116.3,NA,NA,7,3,NA,NA,2,1.583,112.5,NA,NA,21,NA,PD,10,autumn,0,0.333333333,0,0.333333333,0.333333333,0,0,0,0,NA,NA,NA,NA,3
Caprifoliaceae,Valeriana celtica,A. Alpine,34.62,Included in Analysis,NA,9,NA,7,2,0.005,3,2,NA,NA,NA,NA,NA,NA,NA,9,late summer,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
Caprifoliaceae,Valeriana montana,C. Alpine,73.08,Included in Analysis,277.1261853,41,0.3,4,4,0.0675,3,2,NA,NA,NA,NA,NA,NA,NA,8,late summer,0,1,0,0,0,0,0,0,1,4,2,9,2,5
Caprifoliaceae,Valeriana saxatilis,Generalist,65.38,Included in Analysis,NA,17.5,NA,6,3,0.0675,4,2,NA,NA,NA,NA,NA,NA,NA,9,late summer,0,1,0,0,0,0,0,0,1,NA,NA,NA,NA,4
Caryophyllaceae,Arenaria ciliata,Generalist,61.54,Included in Analysis,NA,6,NA,7,2,NA,NA,2,NA,NA,NA,NA,NA,NA,PD,9,late summer,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,5
Caryophyllaceae,Arenaria grandiflora,Generalist,19.23,Included in Analysis,NA,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,ND,8,late summer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllaceae,Arenaria serpyllifolia,Generalist,88.46,Included in Analysis,96.3,22.45,NA,5,5,NA,NA,1,0.066480702,3131.166667,2.636363636,7,16,28,PD,10,autumn,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0,0.142857143,0.142857143,0,8,2.5,7,5,3
Caryophyllaceae,Cerastium alpinum,Nardus,76.92,Included in Analysis,174.5,10,NA,7,2,NA,NA,2,0.278342857,NA,0.5,NA,11,NA,ND,9,late summer,0,0,0.333333333,0.333333333,0,0,0,0.333333333,0,9,1,6,2,4.666666667
Caryophyllaceae,Cerastium arvense,Generalist,84.62,Included in Analysis,250.1,20.375,NA,4,5,0.088333333,4,2,0.18645,400,0.576923077,NA,20,NA,NA,9,late summer,0,0.2,0.2,0.2,0,0,0.2,0.2,1,NA,NA,NA,NA,3.666666667
Caryophyllaceae,Cerastium fontanum,Meadow,84.62,Included in Analysis,280.21,25.80277778,NA,4,4,0.13,NA,2,0.152433333,3294.5,5,NA,20,30,NA,8,late summer,0.166666667,0,0.166666667,0.166666667,0.166666667,0,0.166666667,0.166666667,1,7,3,5,5,3.25
Caryophyllaceae,Cerastium tomentosum,C. Alpine,76.92,Included in Analysis,213.85,20,NA,6,3,0.088333333,4,2,0.468875,180,NA,NA,NA,NA,NA,9,late summer,0,0,0,0.25,0.25,0,0.25,0.25,1,NA,NA,NA,NA,3
Caryophyllaceae,Dianthus alpinus,C. Alpine,19.23,Included in Analysis,NA,NA,NA,6,3,NA,NA,NA,0.56,NA,NA,NA,NA,NA,NA,9,late summer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllaceae,Dianthus carthusianorum,Dry,73.08,Included in Analysis,178.9,32.5,NA,5,5,NA,NA,2,1.048285714,NA,0.5,NA,21,NA,NA,10,autumn,0,0.25,0,0.25,0.25,0,0,0.25,0,4,5,7,2,2.5
Caryophyllaceae,Dianthus deltoides,Nardus,88.46,Included in Analysis,14,24.16666667,1.5,6,4,0.13,5,2,0.184822222,3584,0.5,NA,16,NA,NA,10,autumn,0,0,0,0,0.333333333,0,0.333333333,0.333333333,1,8,5,5,2,2.875
Caryophyllaceae,Dianthus hyssopifolius,Generalist,23.08,Included in Analysis,NA,NA,NA,6,3,NA,NA,NA,1.03,NA,NA,NA,26,NA,NA,9,late summer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllaceae,Dianthus pavonius,A. Alpine,15.38,Included in Analysis,NA,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,late summer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllaceae,Dianthus sylvestris,C. Alpine,73.08,Included in Analysis,7.5,15,0.16,6,3,NA,NA,2,0.468,NA,NA,NA,16,NA,NA,9,late summer,0,0.5,0,0,0,0,0,0.5,0,NA,NA,NA,NA,4
Caryophyllaceae,Gypsophila repens,Generalist,69.23,Included in Analysis,153.5,NA,NA,5,4,NA,NA,2,0.723333333,NA,NA,NA,21,NA,PD,9,late summer,0,0,0,0,0.333333333,0,0.333333333,0.333333333,0,NA,NA,NA,NA,NA
Caryophyllaceae,Minuartia recurva,A. Alpine,73.08,Included in Analysis,13.2,3,0.12,7,2,NA,NA,NA,0.31,13.5381,0.5,NA,25,NA,NA,9,late summer,0,0,0,0,0,0,0,1,NA,8,NA,3,1,4
Caryophyllaceae,Minuartia sedoides,Generalist,69.23,Included in Analysis,NA,6.666666667,NA,7,2,NA,NA,2,0.258,NA,NA,NA,21,NA,PD,9,late summer,0,0,0,0,0,0,0,1,0,NA,1,NA,NA,4.75
Caryophyllaceae,Minuartia verna,C. Alpine,84.62,Included in Analysis,237,12.5,0.07,6,3,NA,NA,2,0.078777778,NA,NA,10,10,27,PD,9,late summer,0,0.333333333,0,0,0,0,0.333333333,0.333333333,0,8,NA,7,1,3.8
Caryophyllaceae,Paronychia kapela,C. Alpine,53.85,Included in Analysis,NA,5.5,0.1,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,late summer,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Caryophyllaceae,Paronychia polygonifolia,A. Alpine,23.08,Included in Analysis,NA,20,0.4,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,autumn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllaceae,Sagina saginoides,Nardus,65.38,Included in Analysis,NA,3.666666667,NA,6,3,NA,NA,1,0.09077,NA,NA,NA,16,NA,NA,9,late summer,0,0,0.25,0.25,0,0,0.25,0.25,0,4,3,5,4,7
Caryophyllaceae,Saponaria caespitosa,C. Alpine,0,Removed for Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllaceae,Saponaria pumilio,Generalist,23.08,Included in Analysis,NA,NA,NA,7,3,NA,NA,NA,1.008,NA,NA,NA,25,NA,NA,10,autumn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllaceae,Silene acaulis,Generalist,80.77,Included in Analysis,222.6,2,NA,6,4,NA,NA,2,0.302912381,77,0.5,NA,23,NA,PD,10,autumn,0.25,0.25,0,0,0,0,0.25,0.25,0,8,NA,6,1,4.5
Caryophyllaceae,Silene alpestris,Generalist,61.54,Included in Analysis,NA,NA,NA,6,3,NA,NA,1,0.07,NA,NA,NA,21,NA,NA,9,late summer,0,0,0,0,0,0,0.5,0.5,0,NA,NA,NA,NA,NA
Caryophyllaceae,Silene ciliata,Nardus,73.08,Included in Analysis,NA,5,0.13,7,2,NA,NA,NA,0.59,NA,NA,14,15,30,PD,9,late summer,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Caryophyllaceae,Silene dioica,Generalist,92.31,Included in Analysis,491.3452957,47.5,0.6,4,6,NA,NA,2,0.7779,3164.7,1.25,6,25,35,PD,10,autumn,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0,0.142857143,0.142857143,0,5,3,7,8,5.333333333
Caryophyllaceae,Silene flos-cuculi,Meadow,84.62,Included in Analysis,21.17,58.75,0.5,5,4,NA,NA,NA,0.14,4500,5,17,20,30,PD,9,late summer,0.25,0.25,0,0,0,0,0.25,0.25,NA,4,5,NA,NA,9
Caryophyllaceae,Silene multicaulis,Nardus,23.08,Included in Analysis,NA,NA,NA,5,3,NA,NA,NA,0.25,NA,NA,NA,26,NA,NA,8,late summer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllaceae,Silene nutans,Generalist,76.92,Included in Analysis,270,45,NA,5,4,NA,NA,2,0.391507692,255.8,1.642857143,NA,21,NA,NA,9,late summer,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0,0.142857143,0.142857143,0,NA,NA,NA,NA,3
Caryophyllaceae,Silene otites,Generalist,76.92,Included in Analysis,124.5,20,NA,5,4,NA,NA,2,0.222766667,4686,0.5,NA,16,NA,NA,9,late summer,0,0.25,0,0.25,0.25,0,0,0.25,0,NA,NA,7,NA,2.666666667
Caryophyllaceae,Silene roemeri,Nardus,19.23,Included in Analysis,NA,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,8,late summer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllaceae,Silene rupestris,A. Alpine,69.23,Included in Analysis,30.36,14,0.4,6,3,NA,NA,NA,0.075666667,NA,0.5,NA,15,NA,NA,9,late summer,0,0.333333333,0,0,0,0,0.333333333,0.333333333,NA,5,3,3,1,2.5
Caryophyllaceae,Silene uniflora,A. Alpine,50,Included in Analysis,227.3276743,30,0.2,NA,NA,NA,NA,NA,1.03,NA,NA,NA,16,NA,NA,NA,NA,0,0.333333333,0,0,0,0,0.333333333,0.333333333,NA,8,NA,6,4,6
Caryophyllaceae,Silene vallesia,C. Alpine,26.92,Included in Analysis,NA,5,NA,7,2,NA,NA,NA,0.67,NA,NA,NA,25,NA,NA,9,late summer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllaceae,Silene vulgaris,Generalist,76.92,Included in Analysis,NA,45,NA,6,5,NA,NA,1,1.095917647,NA,5.53030303,NA,16,27,PD,11,autumn,0,0.166666667,0.166666667,0.166666667,0.166666667,0,0.166666667,0.166666667,0,7,3,8,5,3.75
Caryophyllaceae,Stellaria graminea,Meadow,88.46,Included in Analysis,295.9333333,51.33333333,NA,5,3,0.13,4,1,0.286479167,1517.114286,5,NA,20,NA,PD,8,late summer,0.166666667,0,0.166666667,0.166666667,0.166666667,0,0.166666667,0.166666667,1,7,2,5,4,4.875
Cistaceae,Helianthemum nummularium,Generalist,80.77,Included in Analysis,170.9715215,8.668421053,NA,5,4,NA,NA,1,1.062261905,250.5,0.75,NA,15,36,NA,9,late summer,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0,NA,NA,NA,NA,3.5
Cistaceae,Helianthemum oelandicum,C. Alpine,76.92,Included in Analysis,10.5,10,NA,5,2,NA,NA,NA,0.51,NA,0.5,11,22,35,PY,7,summer,0,0.5,0,0.5,0,0,0,0,NA,8,NA,8,1,3
Colchicaceae,Colchicum autumnale,Meadow,80.77,Included in Analysis,21.91,40,NA,8,3,0.005,3,2,5.44528,532.145,0.5,NA,NA,NA,NA,11,autumn,0.142857143,0,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,1,3,NA,4,NA,4.75
Colchicaceae,Colchicum montanum,Dry,11.54,Included in Analysis,13.2,5.82,NA,NA,NA,NA,NA,NA,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Compositae,Achillea clavennae,C. Alpine,73.08,Included in Analysis,NA,11,NA,6,3,0.005,4,2,0.39,NA,NA,NA,NA,20,NA,9,late summer,0,0.5,0,0,0,0.5,0,0,1,NA,NA,NA,NA,NA
Compositae,Achillea collina,Dry,69.23,Included in Analysis,150,58,0.8,6,4,NA,NA,NA,0.16,5541.5,NA,NA,15,NA,NA,10,autumn,0,0,0.25,0.25,0.25,0,0,0.25,NA,5,6,7,2,2
Compositae,Achillea millefolium,Generalist,100,Included in Analysis,160.5176916,31.015,0.38,5,5,2.363680553,5,2,0.15181875,5279.428572,0.384666667,10,20,33,PD,10,autumn,0,0.166666667,0.166666667,0.166666667,0.166666667,0,0.166666667,0.166666667,1,7,0,6,4,3.4
Compositae,Achillea pannonica,Dry,80.77,Included in Analysis,68.8,80,NA,6,3,0.13,5,2,0.18,767,0.5,NA,NA,NA,NA,9,late summer,0,0,0.25,0.25,0.25,0,0,0.25,1,NA,NA,NA,NA,3
Compositae,Achillea setacea,Nardus,69.23,Included in Analysis,NA,25,NA,6,5,0.13,5,2,NA,NA,2.5,NA,NA,NA,NA,11,autumn,0,0,0,0,0,0,0,1,1,5,7,7,2,2
Compositae,Achillea virescens,Nardus,19.23,Included in Analysis,NA,30,NA,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,late summer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Compositae,Adenostyles alpina,C. Alpine,38.46,Included in Analysis,NA,50,NA,6,3,0.13,4,2,1.3,NA,NA,NA,NA,NA,NA,9,late summer,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
Compositae,Antennaria carpatica,Generalist,69.23,Included in Analysis,NA,NA,NA,6,3,0.005,3,2,0.08,NA,NA,NA,NA,NA,ND,9,late summer,0,0.5,0.5,0,0,0,0,0,1,NA,NA,NA,NA,5
Compositae,Antennaria dioica,Generalist,88.46,Included in Analysis,NA,15,NA,6,3,0.105,5,2,0.055,NA,0.166666667,9,17,17,ND,9,late summer,0,0.333333333,0.333333333,0,0.333333333,0,0,0,1,8,NA,4,2,4.5
Compositae,Arnica montana,Nardus,96.15,Included in Analysis,220.75,35,0.2,6,3,0.13,3,2,1.5061,NA,0.5,9,15,30,PD,9,late summer,0,0.25,0.25,0,0.25,0,0.25,0,1,5,4,3,2,5
Compositae,Aster alpinus,C. Alpine,84.62,Included in Analysis,NA,15,0.07,6,3,0.0675,5,2,0.793,NA,0.5,NA,25,NA,ND,9,late summer,0,0.333333333,0,0.333333333,0.333333333,0,0,0,1,5,2,7,2,5
Compositae,Aster amellus,Generalist,88.46,Included in Analysis,133.1691295,35,NA,7,3,0.13,4,2,0.727464286,195,0.5,NA,25,NA,PD,10,autumn,0,0.2,0.2,0.2,0.2,0,0.2,0,1,4,NA,NA,NA,4
Compositae,Bellidastrum michelii,C. Alpine,61.54,Included in Analysis,25.69,10,NA,5,3,NA,NA,NA,2.3,NA,0.5,NA,NA,NA,NA,8,late summer,0,0,0,0,0,0,0,0,NA,4,3,8,4,NA
Compositae,Bellis perennis,Meadow,92.31,Included in Analysis,375.6370454,12.17916667,NA,1,12,0.09875,5,1,0.11175,876.6666667,5,NA,16,35,PD,1,winter,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,1,NA,NA,NA,NA,4.333333333
Compositae,Buphthalmum salicifolium,Generalist,80.77,Included in Analysis,215.2,36.25,NA,6,4,0.005,3,1,0.373333333,77.5,16,NA,NA,NA,NA,10,autumn,0,0.333333333,0,0,0.333333333,0,0,0.333333333,1,NA,NA,NA,NA,4
Compositae,Carduncellus monspeliensis,Dry,15.38,Included in Analysis,NA,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,late summer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Compositae,Carduus carlinoides,Generalist,0,Removed for Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Compositae,Carduus defloratus,C. Alpine,69.23,Included in Analysis,151.9,60,NA,5,3,NA,NA,2,2.49,NA,NA,NA,NA,NA,ND,8,late summer,0,0.2,0.2,0.2,0,0.2,0.2,0,0,NA,NA,NA,NA,NA
Compositae,Carlina acanthifolia,Generalist,57.69,Included in Analysis,NA,6.5,NA,7,3,NA,NA,NA,7.017,NA,NA,NA,10,NA,NA,10,autumn,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Compositae,Carlina acaulis,Generalist,73.08,Included in Analysis,99.15,2,NA,6,4,NA,NA,1,3.2,NA,0.166666667,NA,NA,NA,PD,10,autumn,0,0.2,0.2,0.2,0.2,0,0.2,0,0,NA,NA,NA,NA,4
Compositae,Carlina vulgaris,Dry,88.46,Included in Analysis,33.1,35,NA,7,3,NA,NA,2,1.633333333,526.925,0.5,8,26,30,PD,10,autumn,0,0.25,0.25,0,0.25,0,0,0.25,0,NA,NA,NA,NA,4
Compositae,Catananche caerulea,Generalist,53.85,Included in Analysis,NA,NA,NA,7,3,NA,NA,NA,3.28,NA,NA,NA,11,NA,NA,10,autumn,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Compositae,Centaurea ambigua,C. Alpine,15.38,Included in Analysis,NA,NA,NA,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,late summer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Compositae,Centaurea jacea,Generalist,84.62,Included in Analysis,162.6214947,65.07142857,NA,6,5,0.040714286,3,1,1.72908,708.2,0.684782609,NA,21,NA,NA,11,autumn,0,0,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,1,NA,NA,NA,3,3.75
Compositae,Centaurea nigra,Generalist,88.46,Included in Analysis,211.750923,61.96,NA,7,2,0.005,3,1,2.45396,NA,0.944444444,11,21,34,NA,9,late summer,0.2,0.2,0.2,0.2,0,0.2,0,0,1,7,NA,6,5,4.666666667
Compositae,Centaurea scabiosa,Dry,84.62,Included in Analysis,173.325,82.5,NA,6,3,NA,NA,2,6.077381818,2000,2.5,13,20,34,NA,9,late summer,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0,0,NA,NA,NA,NA,3.666666667
Compositae,Centaurea triumfetti,C. Alpine,65.38,Included in Analysis,23.89,39.16666667,NA,5,4,NA,NA,NA,8.12,NA,0.5,NA,10,NA,NA,9,late summer,0,0.333333333,0.333333333,0,0,0.333333333,0,0,NA,NA,NA,NA,NA,NA
Compositae,Cichorium intybus,Generalist,76.92,Included in Analysis,212.9999073,51.25,NA,7,3,NA,NA,2,1.348571429,9527.25,1,NA,35,NA,NA,10,autumn,0,0,0.2,0.2,0.2,0,0.2,0.2,0,NA,NA,NA,NA,3.75
Compositae,Cirsium acaule,Dry,76.92,Included in Analysis,138.8666667,22,NA,5,4,NA,NA,NA,3.2152,425,0.5,15,26,29,NA,9,late summer,0,0.25,0.25,0.25,0,0.25,0,0,NA,5,5,8,2,3.666666667
Compositae,Cirsium arvense,Generalist,92.31,Included in Analysis,216.5592104,91.41214286,NA,5,5,0.178333333,6,1,1.437052632,22051.66667,1.647619048,NA,23,30,PD,10,autumn,0,0.2,0.2,0.2,0.2,0,0.2,0,1,NA,5,NA,6,4.25
Compositae,Cirsium erisithales,Generalist,57.69,Included in Analysis,NA,NA,NA,6,3,NA,NA,2,3.04,NA,NA,NA,NA,NA,NA,9,late summer,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Compositae,Cirsium oleraceum,Meadow,76.92,Included in Analysis,326.9,80,NA,6,4,0.088333333,4,2,2.617333333,NA,0.5,NA,NA,NA,NA,10,autumn,0,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,1,3,NA,7,5,5.5
Compositae,Cirsium pannonicum,Generalist,34.62,Included in Analysis,NA,NA,NA,5,4,0.13,5,2,2.13,NA,NA,NA,NA,NA,NA,9,late summer,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
Compositae,Crepis aurea,Generalist,65.38,Included in Analysis,NA,NA,NA,6,4,0.005,3,2,0.4,NA,NA,NA,NA,NA,NA,10,autumn,0,0.5,0.5,0,0,0,0,0,1,NA,NA,NA,NA,5
Compositae,Crepis biennis,Meadow,80.77,Included in Analysis,29.9,72.5,1,5,5,NA,NA,2,1.0368,1876,0.5,NA,26,NA,NA,10,autumn,0,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0,8,5,7,6,4.75
Compositae,Crepis conyzifolia,Generalist,65.38,Included in Analysis,NA,10,NA,6,4,NA,NA,2,2.038,NA,NA,NA,25,NA,NA,10,autumn,0,0.333333333,0.333333333,0,0,0,0.333333333,0,0,5,NA,NA,NA,NA
Compositae,Crepis jacquinii,Generalist,61.54,Included in Analysis,NA,NA,NA,6,3,0.005,3,2,NA,NA,NA,NA,NA,NA,NA,9,late summer,0,1,0,0,0,0,0,0,1,NA,NA,NA,NA,5
Compositae,Crepis mollis,Meadow,76.92,Included in Analysis,NA,46.875,NA,6,3,0.005,3,2,0.710866667,NA,0.5,NA,16,NA,NA,9,late summer,0,0.2,0.2,0.2,0,0.2,0.2,0,1,8,4,7,5,5
Compositae,Crepis pyrenaica,Generalist,73.08,Included in Analysis,502.8,20,NA,6,3,0.005,3,2,NA,296.5,NA,NA,NA,NA,NA,9,late summer,0,0.333333333,0,0,0.333333333,0,0.333333333,0,1,NA,NA,NA,NA,5
Compositae,Crepis terglouensis,C. Alpine,69.23,Included in Analysis,NA,7.25,0.2,7,2,0.005,3,2,NA,NA,NA,NA,NA,NA,NA,9,late summer,0,0,1,0,0,0,0,0,1,5,1,9,3,5
Compositae,Doronicum clusii,Generalist,53.85,Included in Analysis,NA,NA,NA,7,3,NA,NA,NA,0.7956,NA,NA,NA,NA,NA,NA,10,autumn,0,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
Compositae,Doronicum columnae,C. Alpine,69.23,Included in Analysis,NA,60,NA,5,4,0.005,3,2,0.39,NA,NA,NA,NA,NA,NA,9,late summer,0,0,0,1,0,0,0,0,1,4,2,8,7,6
Compositae,Erigeron alpinus,Generalist,69.23,Included in Analysis,NA,4,NA,7,3,0.005,3,2,0.2,NA,NA,NA,NA,NA,NA,10,autumn,0,1,0,0,0,0,0,0,1,NA,NA,NA,NA,5
Compositae,Erigeron epiroticus,Generalist,15.38,Included in Analysis,NA,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,late summer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Compositae,Erigeron uniflorus,Generalist,76.92,Included in Analysis,NA,5.5,NA,7,3,0.005,3,2,0.18,NA,NA,NA,25,NA,ND,10,autumn,0,1,0,0,0,0,0,0,1,NA,NA,NA,NA,5
Compositae,Gnaphalium supinum,Nardus,88.46,Included in Analysis,262.5937837,5.7,0.1,7,2,0.005,3,2,0.075,44.61428571,NA,NA,35,NA,PD,9,late summer,0,0.5,0.5,0,0,0,0,0,1,4,2,3,4,7
Compositae,Hieracium alpinum,A. Alpine,92.31,Included in Analysis,194.7,16.52,NA,7,2,0.005,3,2,0.083,NA,0.5,9,17,17,PD,9,late summer,0,0.25,0.25,0.25,0,0.25,0,0,1,4,2,1,1,NA
Compositae,Hieracium cymosum,Nardus,57.69,Included in Analysis,235.2,20,NA,5,4,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,9,late summer,0,0.25,0.25,0.25,0,0.25,0,0,NA,4,6,8,2,2.5
Compositae,Hieracium glaciale,A. Alpine,50,Included in Analysis,13.2,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,late summer,0,0.5,0.5,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Compositae,Hieracium murorum,Generalist,73.08,Included in Analysis,361.8,13.5,NA,5,4,0.005,3,1,0.4,NA,NA,NA,NA,NA,NA,9,late summer,0,0.2,0.2,0.2,0.2,0.2,0,0,1,NA,NA,NA,NA,3.333333333
Compositae,Hieracium piliferum,A. Alpine,65.38,Included in Analysis,NA,10,NA,7,2,0.005,3,2,NA,NA,NA,NA,NA,NA,NA,9,late summer,0,0.5,0.5,0,0,0,0,0,1,5,1,1,1,5
Compositae,Hieracium praealtum,Generalist,46.15,Included in Analysis,NA,NA,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,late summer,0,0.5,0,0,0.5,0,0,0,NA,NA,NA,NA,NA,NA
Compositae,Hieracium villosum,C. Alpine,76.92,Included in Analysis,NA,20,0.2,7,2,0.005,3,2,NA,NA,0.5,NA,21,NA,NA,9,late summer,0,0.5,0.5,0,0,0,0,0,1,5,2,9,3,5
